data,ricoverati_con_sintomi,terapia_intensiva,totale_ospedalizzati,isolamento_domiciliare,totale_positivi,variazione_totale_positivi,nuovi_positivi,dimessi_guariti,deceduti,casi_da_sospetto_diagnostico,casi_da_screening,totale_casi,tamponi,casi_testati,note,nuovi_tamponi,nuovi_casi_testati,nuovi_deceduti
2020-02-24,101,26,127,94,221,0,221,1,7,0.0,0.0,229,4324,0.0,0,4324,0.0,7
2020-02-25,114,35,150,162,311,90,93,1,10,0.0,0.0,322,8623,0.0,0,4299,0.0,3
2020-02-26,128,36,164,221,385,74,78,3,12,0.0,0.0,400,9587,0.0,0,964,0.0,2
2020-02-27,248,56,304,284,588,203,250,45,17,0.0,0.0,650,12014,0.0,0,2427,0.0,5
2020-02-28,345,64,409,412,821,233,238,46,21,0.0,0.0,888,15695,0.0,0,3681,0.0,4
2020-02-29,401,105,506,543,1049,228,240,50,29,0.0,0.0,1128,18661,0.0,0,2966,0.0,8
2020-03-01,639,140,779,798,1577,528,566,83,34,0.0,0.0,1694,21127,0.0,0,2466,0.0,5
2020-03-02,742,166,908,927,1835,258,342,149,52,0.0,0.0,2036,23345,0.0,0,2218,0.0,18
2020-03-03,1034,229,1263,1000,2263,428,466,160,79,0.0,0.0,2502,25856,0.0,0,2511,0.0,27
2020-03-04,1346,295,1641,1065,2706,443,587,276,107,0.0,0.0,3089,29837,0.0,0,3981,0.0,28
2020-03-05,1790,351,2141,1155,3296,590,769,414,148,0.0,0.0,3858,32362,0.0,0,2525,0.0,41
2020-03-06,2394,462,2856,1060,3916,620,778,523,197,0.0,0.0,4636,36359,0.0,0,3997,0.0,49
2020-03-07,2651,567,3218,1843,5061,1145,1247,589,233,0.0,0.0,5883,42062,0.0,pd-IT-0003,5703,0.0,36
2020-03-08,3557,650,4207,2180,6387,1326,1492,622,366,0.0,0.0,7375,49937,0.0,0,7875,0.0,133
2020-03-09,4316,733,5049,2936,7985,1598,1797,724,463,0.0,0.0,9172,53826,0.0,0,3889,0.0,97
2020-03-10,5038,877,5915,2599,8514,529,977,1004,631,0.0,0.0,10149,60761,0.0,pd-IT-0005,6935,0.0,168
2020-03-11,5838,1028,6866,3724,10590,2076,2313,1045,827,0.0,0.0,12462,73154,0.0,nd-IT-0002,12393,0.0,196
2020-03-12,6650,1153,7803,5036,12839,2249,2651,1258,1016,0.0,0.0,15113,86011,0.0,0,12857,0.0,189
2020-03-13,7426,1328,8754,6201,14955,2116,2547,1439,1266,0.0,0.0,17660,97488,0.0,0,11477,0.0,250
2020-03-14,8372,1518,9890,7860,17750,2795,3497,1966,1441,0.0,0.0,21157,109170,0.0,0,11682,0.0,175
2020-03-15,9663,1672,11335,9268,20603,2853,3590,2335,1809,0.0,0.0,24747,124899,0.0,0,15729,0.0,368
2020-03-16,11025,1851,12876,10197,23073,2470,3233,2749,2158,0.0,0.0,27980,137962,0.0,nd-IT-0004;nd-IT-0006,13063,0.0,349
2020-03-17,12894,2060,14954,11108,26062,2989,3526,2941,2503,0.0,0.0,31506,148657,0.0,nd-IT-0009,10695,0.0,345
2020-03-18,14363,2257,16620,12090,28710,2648,4207,4025,2978,0.0,0.0,35713,165541,0.0,nd-IT-0012;nd-IT-0014,16884,0.0,475
2020-03-19,15757,2498,18255,14935,33190,4480,5322,4440,3405,0.0,0.0,41035,182777,0.0,0,17236,0.0,427
2020-03-20,16020,2655,18675,19185,37860,4670,5986,5129,4032,0.0,0.0,47021,206886,0.0,0,24109,0.0,627
2020-03-21,17708,2857,20565,22116,42681,4821,6557,6072,4825,0.0,0.0,53578,233222,0.0,0,26336,0.0,793
2020-03-22,19846,3009,22855,23783,46638,3957,5560,7024,5476,0.0,0.0,59138,258402,0.0,0,25180,0.0,651
2020-03-23,20692,3204,23896,26522,50418,3780,4789,7432,6077,0.0,0.0,63927,275468,0.0,0,17066,0.0,601
2020-03-24,21937,3396,25333,28697,54030,3612,5249,8326,6820,0.0,0.0,69176,296964,0.0,0,21496,0.0,743
2020-03-25,23112,3489,26601,30920,57521,3491,5210,9362,7503,0.0,0.0,74386,324445,0.0,0,27481,0.0,683
