data,denominazione_regione,ricoverati_con_sintomi,terapia_intensiva,totale_ospedalizzati,isolamento_domiciliare,totale_positivi,variazione_totale_positivi,nuovi_positivi,dimessi_guariti,deceduti,casi_da_sospetto_diagnostico,casi_da_screening,totale_casi,tamponi,casi_testati,nuovi_tamponi,nuovi_casi_testati,nuovi_deceduti
2020-02-24,Basilicata,0,0,0,0,0,0,0,0,0,0.0,0.0,0,0,0.0,0,0.0,0
2020-02-25,Basilicata,0,0,0,0,0,0,0,0,0,0.0,0.0,0,0,0.0,0,0.0,0
2020-02-26,Basilicata,0,0,0,0,0,0,0,0,0,0.0,0.0,0,0,0.0,0,0.0,0
2020-02-27,Basilicata,0,0,0,0,0,0,0,0,0,0.0,0.0,0,0,0.0,0,0.0,0
2020-02-28,Basilicata,0,0,0,0,0,0,0,0,0,0.0,0.0,0,0,0.0,0,0.0,0
2020-02-29,Basilicata,0,0,0,0,0,0,0,0,0,0.0,0.0,0,32,0.0,32,0.0,0
2020-03-01,Basilicata,0,0,0,0,0,0,0,0,0,0.0,0.0,0,39,0.0,7,0.0,0
2020-03-02,Basilicata,0,0,0,0,0,0,0,0,0,0.0,0.0,0,39,0.0,0,0.0,0
2020-03-03,Basilicata,0,0,0,1,1,1,1,0,0,0.0,0.0,1,42,0.0,3,0.0,0
2020-03-04,Basilicata,0,0,0,1,1,0,0,0,0,0.0,0.0,1,48,0.0,6,0.0,0
2020-03-05,Basilicata,0,0,0,1,1,0,0,0,0,0.0,0.0,1,54,0.0,6,0.0,0
2020-03-06,Basilicata,1,0,1,2,3,2,2,0,0,0.0,0.0,3,63,0.0,9,0.0,0
2020-03-07,Basilicata,1,0,1,2,3,0,0,0,0,0.0,0.0,3,75,0.0,12,0.0,0
2020-03-08,Basilicata,2,0,2,2,4,1,1,0,0,0.0,0.0,4,123,0.0,48,0.0,0
2020-03-09,Basilicata,2,0,2,3,5,1,1,0,0,0.0,0.0,5,135,0.0,12,0.0,0
2020-03-10,Basilicata,2,0,2,5,7,2,2,0,0,0.0,0.0,7,148,0.0,13,0.0,0
2020-03-11,Basilicata,1,1,2,6,8,1,1,0,0,0.0,0.0,8,155,0.0,7,0.0,0
2020-03-12,Basilicata,1,1,2,6,8,0,0,0,0,0.0,0.0,8,155,0.0,0,0.0,0
2020-03-13,Basilicata,1,1,2,8,10,2,2,0,0,0.0,0.0,10,155,0.0,0,0.0,0
2020-03-14,Basilicata,0,2,2,8,10,0,0,0,0,0.0,0.0,10,155,0.0,0,0.0,0
2020-03-15,Basilicata,0,2,2,9,11,1,1,0,0,0.0,0.0,11,208,0.0,53,0.0,0
2020-03-16,Basilicata,1,2,3,9,12,1,1,0,0,0.0,0.0,12,230,0.0,22,0.0,0
2020-03-17,Basilicata,5,2,7,13,20,8,8,0,0,0.0,0.0,20,262,0.0,32,0.0,0
2020-03-18,Basilicata,9,2,11,16,27,7,7,0,0,0.0,0.0,27,262,0.0,0,0.0,0
2020-03-19,Basilicata,8,5,13,24,37,10,10,0,0,0.0,0.0,37,353,0.0,91,0.0,0
2020-03-20,Basilicata,8,5,13,39,52,15,15,0,0,0.0,0.0,52,443,0.0,90,0.0,0
2020-03-21,Basilicata,12,7,19,47,66,14,14,0,0,0.0,0.0,66,522,0.0,79,0.0,0
2020-03-22,Basilicata,13,10,23,58,81,15,15,0,0,0.0,0.0,81,643,0.0,121,0.0,0
2020-03-23,Basilicata,15,12,27,62,89,8,9,0,1,0.0,0.0,90,696,0.0,53,0.0,1
2020-03-24,Basilicata,14,12,26,65,91,2,2,0,1,0.0,0.0,92,744,0.0,48,0.0,0
2020-03-25,Basilicata,20,14,34,78,112,21,21,0,1,0.0,0.0,113,857,0.0,113,0.0,0
2020-03-26,Basilicata,22,16,38,95,133,21,21,0,1,0.0,0.0,134,1046,0.0,189,0.0,0
2020-03-27,Basilicata,22,15,37,110,147,14,17,1,3,0.0,0.0,151,1254,0.0,208,0.0,2
2020-03-28,Basilicata,26,19,45,133,178,31,31,1,3,0.0,0.0,182,1421,0.0,167,0.0,0
2020-03-29,Basilicata,32,18,50,147,197,19,20,1,4,0.0,0.0,202,1585,0.0,164,0.0,1
2020-03-30,Basilicata,36,18,54,154,208,11,12,1,5,0.0,0.0,214,1833,0.0,248,0.0,1
2020-03-31,Basilicata,37,17,54,162,216,8,12,3,7,0.0,0.0,226,2043,0.0,210,0.0,2
2020-04-01,Basilicata,39,15,54,171,225,9,11,3,9,0.0,0.0,237,2262,0.0,219,0.0,2
2020-04-02,Basilicata,38,19,57,176,233,8,9,3,10,0.0,0.0,246,2427,0.0,165,0.0,1
2020-04-03,Basilicata,41,19,60,187,247,14,15,3,11,0.0,0.0,261,2622,0.0,195,0.0,1
2020-04-04,Basilicata,44,19,63,181,244,-3,3,9,11,0.0,0.0,264,2765,0.0,143,0.0,0
2020-04-05,Basilicata,46,18,64,190,254,10,14,11,13,0.0,0.0,278,2931,0.0,166,0.0,2
2020-04-06,Basilicata,46,18,64,198,262,8,9,12,13,0.0,0.0,287,3061,0.0,130,0.0,0
2020-04-07,Basilicata,47,17,64,201,265,3,4,12,14,0.0,0.0,291,3160,0.0,99,0.0,1
2020-04-08,Basilicata,48,17,65,205,270,5,6,13,14,0.0,0.0,297,3296,0.0,136,0.0,0
2020-04-09,Basilicata,50,17,67,208,275,5,6,13,15,0.0,0.0,303,3474,0.0,178,0.0,1
2020-04-10,Basilicata,59,15,74,205,279,4,5,14,15,0.0,0.0,308,3696,0.0,222,0.0,0
2020-04-11,Basilicata,60,12,72,209,281,2,4,14,17,0.0,0.0,312,4050,0.0,354,0.0,2
2020-04-12,Basilicata,61,12,73,204,277,-4,3,20,18,0.0,0.0,315,4355,0.0,305,0.0,1
2020-04-13,Basilicata,64,12,76,194,270,-7,4,31,18,0.0,0.0,319,4545,0.0,190,0.0,0
2020-04-14,Basilicata,62,12,74,191,265,-5,0,35,19,0.0,0.0,319,4759,0.0,214,0.0,1
2020-04-15,Basilicata,60,12,72,189,261,-4,1,38,21,0.0,0.0,320,5037,0.0,278,0.0,2
2020-04-16,Basilicata,60,9,69,204,273,12,16,41,22,0.0,0.0,336,5349,0.0,312,0.0,1
2020-04-17,Basilicata,59,9,68,198,266,-7,1,49,22,0.0,0.0,337,5710,0.0,361,0.0,0
2020-04-18,Basilicata,60,8,68,194,262,-4,2,54,23,0.0,0.0,339,6056,0.0,346,0.0,1
2020-04-19,Basilicata,59,8,67,180,247,-15,3,71,24,0.0,0.0,342,6528,6528.0,472,6528.0,1
2020-04-20,Basilicata,59,7,66,176,242,-5,0,76,24,0.0,0.0,342,6868,6868.0,340,340.0,0
2020-04-21,Basilicata,64,7,71,174,245,3,8,81,24,0.0,0.0,350,7470,7470.0,602,602.0,0
2020-04-22,Basilicata,65,7,72,160,232,-13,4,98,24,0.0,0.0,354,8040,8040.0,570,570.0,0
2020-04-23,Basilicata,61,7,68,161,229,-3,2,103,24,0.0,0.0,356,8511,8511.0,471,471.0,0
2020-04-24,Basilicata,59,7,66,163,229,0,4,107,24,0.0,0.0,360,9026,9026.0,515,515.0,0
2020-04-25,Basilicata,58,7,65,153,218,-11,1,118,25,0.0,0.0,361,9792,9792.0,766,766.0,1
2020-04-26,Basilicata,57,7,64,155,219,1,5,122,25,0.0,0.0,366,10077,10077.0,285,285.0,0
2020-04-27,Basilicata,57,7,64,153,217,-2,0,124,25,0.0,0.0,366,10364,10364.0,287,287.0,0
2020-04-28,Basilicata,56,7,63,142,205,-12,0,136,25,0.0,0.0,366,10889,10889.0,525,525.0,0
2020-04-29,Basilicata,51,4,55,139,194,-11,0,147,25,0.0,0.0,366,11331,11331.0,442,442.0,0
2020-04-30,Basilicata,49,4,53,139,192,-2,1,150,25,0.0,0.0,367,12774,12774.0,1443,1443.0,0
2020-05-01,Basilicata,49,4,53,140,193,1,11,160,25,0.0,0.0,378,13269,13269.0,495,495.0,0
2020-05-02,Basilicata,48,4,52,139,191,-2,2,164,25,0.0,0.0,380,13722,13722.0,453,453.0,0
2020-05-03,Basilicata,48,3,51,143,194,3,6,167,25,0.0,0.0,386,14210,14210.0,488,488.0,0
2020-05-04,Basilicata,50,3,53,120,173,-21,0,188,25,0.0,0.0,386,14901,14455.0,691,245.0,0
2020-05-05,Basilicata,50,3,53,124,177,4,10,194,25,0.0,0.0,396,15476,15028.0,575,573.0,0
2020-05-06,Basilicata,47,3,50,122,172,-5,3,202,25,0.0,0.0,399,16103,15619.0,627,591.0,0
2020-05-07,Basilicata,48,2,50,105,155,-17,-16,202,26,0.0,0.0,383,16272,15780.0,169,161.0,1
2020-05-08,Basilicata,48,2,50,102,152,-3,-1,204,26,0.0,0.0,382,16777,16285.0,505,505.0,0
2020-05-09,Basilicata,45,1,46,99,145,-7,0,210,27,0.0,0.0,382,17433,16941.0,656,656.0,1
2020-05-10,Basilicata,45,1,46,97,143,-2,3,215,27,0.0,0.0,385,17916,17424.0,483,483.0,0
2020-05-11,Basilicata,46,1,47,95,142,-1,1,217,27,0.0,0.0,386,18266,17774.0,350,350.0,0
2020-05-12,Basilicata,47,1,48,92,140,-2,1,220,27,0.0,0.0,387,19100,18608.0,834,834.0,0
2020-05-13,Basilicata,42,1,43,88,131,-9,2,231,27,0.0,0.0,389,19678,19186.0,578,578.0,0
2020-05-14,Basilicata,34,1,35,92,127,-4,0,235,27,0.0,0.0,389,20285,19789.0,607,603.0,0
2020-05-15,Basilicata,33,1,34,86,120,-7,0,242,27,0.0,0.0,389,20851,20359.0,566,570.0,0
2020-05-16,Basilicata,29,1,30,83,113,-7,1,250,27,0.0,0.0,390,21496,20966.0,645,607.0,0
2020-05-17,Basilicata,29,1,30,74,104,-9,2,261,27,0.0,0.0,392,22167,21627.0,671,661.0,0
2020-05-18,Basilicata,29,1,30,63,93,-11,0,272,27,0.0,0.0,392,22581,22016.0,414,389.0,0
2020-05-19,Basilicata,26,1,27,57,84,-9,1,282,27,0.0,0.0,393,23347,22767.0,766,751.0,0
2020-05-20,Basilicata,22,1,23,50,73,-11,0,293,27,0.0,0.0,393,23986,23376.0,639,609.0,0
2020-05-21,Basilicata,15,1,16,44,60,-13,1,307,27,0.0,0.0,394,24537,23903.0,551,527.0,0
2020-05-22,Basilicata,15,1,16,33,49,-11,0,318,27,0.0,0.0,394,25045,24395.0,508,492.0,0
2020-05-23,Basilicata,14,1,15,26,41,-8,4,330,27,0.0,0.0,398,25511,24841.0,466,446.0,0
2020-05-24,Basilicata,13,1,14,25,39,-2,1,333,27,0.0,0.0,399,26111,25431.0,600,590.0,0
2020-05-25,Basilicata,13,0,13,23,36,-3,0,336,27,0.0,0.0,399,26634,25944.0,523,513.0,0
2020-05-26,Basilicata,8,0,8,28,36,0,0,336,27,0.0,0.0,399,27197,26807.0,563,863.0,0
2020-05-27,Basilicata,7,0,7,29,36,0,0,336,27,0.0,0.0,399,27734,27344.0,537,537.0,0
2020-05-28,Basilicata,6,0,6,28,34,-2,0,338,27,0.0,0.0,399,28342,27952.0,608,608.0,0
2020-05-29,Basilicata,5,0,5,28,33,-1,0,339,27,0.0,0.0,399,28909,28209.0,567,257.0,0
2020-05-30,Basilicata,5,0,5,26,31,-2,0,341,27,0.0,0.0,399,29421,28685.0,512,476.0,0
2020-05-31,Basilicata,4,0,4,25,29,-2,0,343,27,0.0,0.0,399,29880,29130.0,459,445.0,0
2020-06-01,Basilicata,4,0,4,24,28,-1,0,344,27,0.0,0.0,399,29956,29196.0,76,66.0,0
2020-06-02,Basilicata,4,0,4,20,24,-4,0,348,27,0.0,0.0,399,30424,29664.0,468,468.0,0
2020-06-03,Basilicata,4,0,4,19,23,-1,0,349,27,0.0,0.0,399,30708,29938.0,284,274.0,0
2020-06-04,Basilicata,3,0,3,17,20,-3,0,352,27,0.0,0.0,399,31096,30706.0,388,768.0,0
2020-06-05,Basilicata,0,0,0,18,18,-2,0,354,27,0.0,0.0,399,31485,30705.0,389,-1.0,0
