data,denominazione_regione,ricoverati_con_sintomi,terapia_intensiva,totale_ospedalizzati,isolamento_domiciliare,totale_positivi,variazione_totale_positivi,nuovi_positivi,dimessi_guariti,deceduti,casi_da_sospetto_diagnostico,casi_da_screening,totale_casi,tamponi,casi_testati,nuovi_tamponi,nuovi_casi_testati,nuovi_deceduti
2020-02-24,Campania,0,0,0,0,0,0,0,0,0,0.0,0.0,0,10,0.0,10,0.0,0
2020-02-25,Campania,0,0,0,0,0,0,0,0,0,0.0,0.0,0,10,0.0,0,0.0,0
2020-02-26,Campania,0,0,0,0,0,0,0,0,0,0.0,0.0,0,10,0.0,0,0.0,0
2020-02-27,Campania,2,0,2,1,3,3,3,0,0,0.0,0.0,3,10,0.0,0,0.0,0
2020-02-28,Campania,2,0,2,2,4,1,1,0,0,0.0,0.0,4,213,0.0,203,0.0,0
2020-02-29,Campania,3,0,3,10,13,9,9,0,0,0.0,0.0,13,373,0.0,160,0.0,0
2020-03-01,Campania,4,0,4,13,17,4,4,0,0,0.0,0.0,17,373,0.0,0,0.0,0
2020-03-02,Campania,4,0,4,13,17,0,0,0,0,0.0,0.0,17,373,0.0,0,0.0,0
2020-03-03,Campania,11,0,11,19,30,13,13,0,0,0.0,0.0,30,405,0.0,32,0.0,0
2020-03-04,Campania,11,0,11,20,31,1,1,0,0,0.0,0.0,31,429,0.0,24,0.0,0
2020-03-05,Campania,12,0,12,33,45,14,14,0,0,0.0,0.0,45,471,0.0,42,0.0,0
2020-03-06,Campania,12,0,12,45,57,12,12,0,0,0.0,0.0,57,471,0.0,0,0.0,0
2020-03-07,Campania,16,0,16,45,61,4,4,0,0,0.0,0.0,61,612,0.0,141,0.0,0
2020-03-08,Campania,30,7,37,63,100,39,40,1,0,0.0,0.0,101,980,0.0,368,0.0,0
2020-03-09,Campania,42,8,50,69,119,19,19,1,0,0.0,0.0,120,980,0.0,0,0.0,0
2020-03-10,Campania,33,8,41,85,126,7,7,1,0,0.0,0.0,127,1141,0.0,161,0.0,0
2020-03-11,Campania,56,11,67,82,149,23,27,4,1,0.0,0.0,154,1375,0.0,234,0.0,1
2020-03-12,Campania,56,11,67,107,174,25,25,4,1,0.0,0.0,179,1551,0.0,176,0.0,0
2020-03-13,Campania,60,19,79,134,213,39,41,5,2,0.0,0.0,220,1671,0.0,120,0.0,1
2020-03-14,Campania,72,17,89,154,243,30,52,23,6,0.0,0.0,272,1936,0.0,265,0.0,4
2020-03-15,Campania,73,22,95,201,296,53,61,28,9,0.0,0.0,333,2213,0.0,277,0.0,3
2020-03-16,Campania,103,22,125,238,363,67,67,28,9,0.0,0.0,400,2517,0.0,304,0.0,0
2020-03-17,Campania,127,24,151,272,423,60,60,28,9,0.0,0.0,460,2685,0.0,168,0.0,0
2020-03-18,Campania,127,24,151,272,423,0,0,28,9,0.0,0.0,460,2685,0.0,0,0.0,0
2020-03-19,Campania,213,36,249,356,605,182,192,30,17,0.0,0.0,652,3544,0.0,859,0.0,8
2020-03-20,Campania,130,41,171,531,702,97,97,30,17,0.0,0.0,749,3845,0.0,301,0.0,0
2020-03-21,Campania,233,87,320,473,793,91,95,29,22,0.0,0.0,844,4448,0.0,603,0.0,5
2020-03-22,Campania,243,99,342,524,866,73,92,41,29,0.0,0.0,936,4943,0.0,495,0.0,7
2020-03-23,Campania,266,110,376,553,929,63,90,48,49,0.0,0.0,1026,5813,0.0,870,0.0,20
2020-03-24,Campania,345,181,526,466,992,63,75,53,56,0.0,0.0,1101,6297,0.0,484,0.0,7
2020-03-25,Campania,318,123,441,631,1072,80,98,53,74,0.0,0.0,1199,6972,0.0,675,0.0,18
2020-03-26,Campania,448,114,562,607,1169,97,111,58,83,0.0,0.0,1310,8346,0.0,1374,0.0,9
2020-03-27,Campania,456,113,569,723,1292,123,144,64,98,0.0,0.0,1454,9613,0.0,1267,0.0,15
2020-03-28,Campania,463,132,595,812,1407,115,138,76,109,0.0,0.0,1592,10616,0.0,1003,0.0,11
2020-03-29,Campania,476,135,611,945,1556,149,167,86,117,0.0,0.0,1759,11805,0.0,1189,0.0,8
2020-03-30,Campania,468,126,594,1145,1739,183,193,88,125,0.0,0.0,1952,12969,0.0,1164,0.0,8
2020-03-31,Campania,501,133,634,1237,1871,132,140,88,133,0.0,0.0,2092,14403,0.0,1434,0.0,8
2020-04-01,Campania,478,129,607,1369,1976,105,139,107,148,0.0,0.0,2231,15728,0.0,1325,0.0,15
2020-04-02,Campania,503,120,623,1517,2140,164,225,149,167,0.0,0.0,2456,17404,0.0,1676,0.0,19
2020-04-03,Campania,532,115,647,1705,2352,212,221,144,181,0.0,0.0,2677,19237,0.0,1833,0.0,14
2020-04-04,Campania,567,114,681,1815,2496,144,151,146,186,0.0,0.0,2828,21534,0.0,2297,0.0,5
2020-04-05,Campania,609,108,717,1904,2621,125,132,150,189,0.0,0.0,2960,23139,0.0,1605,0.0,3
2020-04-06,Campania,610,101,711,1987,2698,77,98,156,204,0.0,0.0,3058,24526,0.0,1387,0.0,15
2020-04-07,Campania,603,103,706,2059,2765,67,90,167,216,0.0,0.0,3148,25779,0.0,1253,0.0,12
2020-04-08,Campania,608,97,705,2154,2859,94,120,188,221,0.0,0.0,3268,27784,0.0,2005,0.0,5
2020-04-09,Campania,604,94,698,2175,2873,14,76,244,227,0.0,0.0,3344,29664,0.0,1880,0.0,6
2020-04-10,Campania,600,90,690,2273,2963,90,98,248,231,0.0,0.0,3442,31745,0.0,2081,0.0,4
2020-04-11,Campania,582,85,667,2335,3002,39,75,277,238,0.0,0.0,3517,33781,0.0,2036,0.0,7
2020-04-12,Campania,526,82,608,2449,3057,55,87,305,242,0.0,0.0,3604,35448,0.0,1667,0.0,4
2020-04-13,Campania,606,80,686,2376,3062,5,66,360,248,0.0,0.0,3670,36770,0.0,1322,0.0,6
2020-04-14,Campania,618,82,700,2394,3094,32,99,415,260,0.0,0.0,3769,38094,0.0,1324,0.0,12
2020-04-15,Campania,607,86,693,2394,3087,-7,38,442,278,0.0,0.0,3807,39534,0.0,1440,0.0,18
2020-04-16,Campania,618,76,694,2424,3118,31,80,483,286,0.0,0.0,3887,41296,0.0,1762,0.0,8
2020-04-17,Campania,622,76,698,2329,3027,-91,64,631,293,0.0,0.0,3951,43697,0.0,2401,0.0,7
2020-04-18,Campania,605,76,681,2364,3045,18,37,643,300,0.0,0.0,3988,46294,0.0,2597,0.0,7
2020-04-19,Campania,590,61,651,2371,3022,-23,41,703,304,0.0,0.0,4029,48187,34994.0,1893,34994.0,4
2020-04-20,Campania,586,61,647,2372,3019,-3,45,746,309,0.0,0.0,4074,51090,36153.0,2903,1159.0,5
2020-04-21,Campania,532,58,590,2356,2946,-73,61,872,317,0.0,0.0,4135,53548,37505.0,2458,1352.0,8
2020-04-22,Campania,523,53,576,2422,2998,52,50,860,327,0.0,0.0,4185,55701,38679.0,2153,1174.0,10
2020-04-23,Campania,539,47,586,2392,2978,-20,53,928,332,0.0,0.0,4238,58324,38679.0,2623,0.0,5
2020-04-24,Campania,524,44,568,2375,2943,-35,44,1003,336,0.0,0.0,4282,61331,40053.0,3007,1374.0,4
