data,denominazione_regione,ricoverati_con_sintomi,terapia_intensiva,totale_ospedalizzati,isolamento_domiciliare,totale_positivi,variazione_totale_positivi,nuovi_positivi,dimessi_guariti,deceduti,casi_da_sospetto_diagnostico,casi_da_screening,totale_casi,tamponi,casi_testati,nuovi_tamponi,nuovi_casi_testati,nuovi_deceduti
2020-02-24,Emilia-Romagna,10,2,12,6,18,0,18,0,0,0.0,0.0,18,148,0.0,148,0.0,0
2020-02-25,Emilia-Romagna,15,2,17,9,26,8,8,0,0,0.0,0.0,26,391,0.0,243,0.0,0
2020-02-26,Emilia-Romagna,20,3,23,23,46,20,21,0,1,0.0,0.0,47,577,0.0,186,0.0,1
2020-02-27,Emilia-Romagna,36,6,42,54,96,50,50,0,1,0.0,0.0,97,1033,0.0,456,0.0,0
2020-02-28,Emilia-Romagna,56,6,62,81,143,47,48,0,2,0.0,0.0,145,1277,0.0,244,0.0,1
2020-02-29,Emilia-Romagna,86,11,97,116,213,70,72,0,4,0.0,0.0,217,1550,0.0,273,0.0,2
2020-03-01,Emilia-Romagna,127,13,140,137,277,64,68,0,8,0.0,0.0,285,1795,0.0,245,0.0,4
2020-03-02,Emilia-Romagna,148,16,164,160,324,47,50,0,11,0.0,0.0,335,1973,0.0,178,0.0,3
2020-03-03,Emilia-Romagna,187,24,211,187,398,74,85,4,18,0.0,0.0,420,2012,0.0,39,0.0,7
2020-03-04,Emilia-Romagna,256,26,282,234,516,118,124,6,22,0.0,0.0,544,2500,0.0,488,0.0,4
2020-03-05,Emilia-Romagna,327,32,359,299,658,142,154,10,30,0.0,0.0,698,2884,0.0,384,0.0,8
2020-03-06,Emilia-Romagna,397,53,450,366,816,158,172,17,37,0.0,0.0,870,3136,0.0,252,0.0,7
2020-03-07,Emilia-Romagna,464,64,528,409,937,121,140,25,48,0.0,0.0,1010,3604,0.0,468,0.0,11
2020-03-08,Emilia-Romagna,542,75,617,480,1097,160,170,27,56,0.0,0.0,1180,4344,0.0,740,0.0,8
2020-03-09,Emilia-Romagna,576,90,666,620,1286,189,206,30,70,0.0,0.0,1386,4906,0.0,562,0.0,14
2020-03-10,Emilia-Romagna,669,98,767,650,1417,131,147,31,85,0.0,0.0,1533,5494,0.0,588,0.0,15
2020-03-11,Emilia-Romagna,745,104,849,739,1588,171,206,38,113,0.0,0.0,1739,6640,0.0,1146,0.0,28
2020-03-12,Emilia-Romagna,814,112,926,832,1758,170,208,43,146,0.0,0.0,1947,7600,0.0,960,0.0,33
2020-03-13,Emilia-Romagna,942,128,1070,941,2011,253,316,51,201,0.0,0.0,2263,8787,0.0,1187,0.0,55
2020-03-14,Emilia-Romagna,1076,152,1228,1121,2349,338,381,54,241,0.0,0.0,2644,10043,0.0,1256,0.0,40
2020-03-15,Emilia-Romagna,1215,169,1384,1357,2741,392,449,68,284,0.0,0.0,3093,12054,0.0,2011,0.0,43
