data,denominazione_regione,ricoverati_con_sintomi,terapia_intensiva,totale_ospedalizzati,isolamento_domiciliare,totale_positivi,variazione_totale_positivi,nuovi_positivi,dimessi_guariti,deceduti,casi_da_sospetto_diagnostico,casi_da_screening,totale_casi,tamponi,casi_testati,nuovi_tamponi,nuovi_casi_testati,nuovi_deceduti
2020-02-24,Liguria,0,0,0,0,0,0,0,0,0,0.0,0.0,0,1,0.0,1,0.0,0
2020-02-25,Liguria,1,0,1,0,1,1,1,0,0,0.0,0.0,1,39,0.0,38,0.0,0
2020-02-26,Liguria,6,0,6,5,11,10,10,0,0,0.0,0.0,11,66,0.0,27,0.0,0
2020-02-27,Liguria,9,0,9,10,19,8,8,0,0,0.0,0.0,19,78,0.0,12,0.0,0
2020-02-28,Liguria,9,0,9,10,19,0,0,0,0,0.0,0.0,19,112,0.0,34,0.0,0
2020-02-29,Liguria,4,1,5,33,38,19,23,4,0,0.0,0.0,42,121,0.0,9,0.0,0
2020-03-01,Liguria,12,1,13,8,21,-17,-17,4,0,0.0,0.0,25,121,0.0,0,0.0,0
2020-03-02,Liguria,12,1,13,5,18,-3,-3,4,0,0.0,0.0,22,121,0.0,0,0.0,0
2020-03-03,Liguria,12,2,14,5,19,1,2,4,1,0.0,0.0,24,121,0.0,0,0.0,1
2020-03-04,Liguria,10,3,13,8,21,2,2,4,1,0.0,0.0,26,133,0.0,12,0.0,0
2020-03-05,Liguria,11,3,14,7,21,0,2,4,3,0.0,0.0,28,146,0.0,13,0.0,2
2020-03-06,Liguria,12,5,17,7,24,3,4,5,3,0.0,0.0,32,229,0.0,83,0.0,0
2020-03-07,Liguria,26,6,32,10,42,18,19,5,4,0.0,0.0,51,331,0.0,102,0.0,1
2020-03-08,Liguria,39,11,50,17,67,25,27,5,6,0.0,0.0,78,401,0.0,70,0.0,2
2020-03-09,Liguria,60,17,77,20,97,30,31,5,7,0.0,0.0,109,611,0.0,210,0.0,1
2020-03-10,Liguria,57,29,86,42,128,31,32,5,8,0.0,0.0,141,694,0.0,83,0.0,1
2020-03-11,Liguria,74,34,108,73,181,53,53,5,8,0.0,0.0,194,1025,0.0,331,0.0,0
2020-03-12,Liguria,100,36,136,107,243,62,80,20,11,0.0,0.0,274,1174,0.0,149,0.0,3
2020-03-13,Liguria,128,44,172,132,304,61,71,24,17,0.0,0.0,345,1442,0.0,268,0.0,6
2020-03-14,Liguria,213,62,275,109,384,80,118,52,27,0.0,0.0,463,1750,0.0,308,0.0,10
2020-03-15,Liguria,253,66,319,174,493,109,96,33,33,0.0,0.0,559,1973,0.0,223,0.0,6
2020-03-16,Liguria,255,73,328,247,575,82,108,42,50,0.0,0.0,667,2189,0.0,216,0.0,17
2020-03-17,Liguria,299,85,384,277,661,86,111,57,60,0.0,0.0,778,2509,0.0,320,0.0,10
2020-03-18,Liguria,401,100,501,243,744,83,109,70,73,0.0,0.0,887,2912,0.0,403,0.0,13
2020-03-19,Liguria,491,112,603,280,883,139,172,85,91,0.0,0.0,1059,3348,0.0,436,0.0,18
2020-03-20,Liguria,573,121,694,307,1001,118,162,101,119,0.0,0.0,1221,3794,0.0,446,0.0,28
2020-03-21,Liguria,598,129,727,432,1159,158,215,125,152,0.0,0.0,1436,4304,0.0,510,0.0,33
2020-03-22,Liguria,736,132,868,483,1351,192,229,143,171,0.0,0.0,1665,4995,0.0,691,0.0,19
2020-03-23,Liguria,761,133,894,659,1553,202,259,159,212,0.0,0.0,1924,5538,0.0,543,0.0,41
2020-03-24,Liguria,803,147,950,742,1692,139,192,193,231,0.0,0.0,2116,5992,0.0,454,0.0,19
2020-03-25,Liguria,927,147,1074,752,1826,134,189,225,254,0.0,0.0,2305,6602,0.0,610,0.0,23
2020-03-26,Liguria,998,154,1152,875,2027,201,262,260,280,0.0,0.0,2567,7304,0.0,702,0.0,26
2020-03-27,Liguria,1023,157,1180,880,2060,33,129,305,331,0.0,0.0,2696,7804,0.0,500,0.0,51
2020-03-28,Liguria,1031,167,1198,888,2086,26,126,378,358,0.0,0.0,2822,8177,0.0,373,0.0,27
2020-03-29,Liguria,1077,166,1243,1036,2279,193,254,420,377,0.0,0.0,3076,9100,0.0,923,0.0,19
2020-03-30,Liguria,1142,175,1317,1066,2383,104,141,437,397,0.0,0.0,3217,9677,0.0,577,0.0,20
2020-03-31,Liguria,1153,179,1332,1176,2508,125,199,480,428,0.0,0.0,3416,10376,0.0,699,0.0,31
2020-04-01,Liguria,1114,179,1293,1352,2645,137,244,555,460,0.0,0.0,3660,11334,0.0,958,0.0,32
2020-04-02,Liguria,1120,172,1292,1368,2660,15,122,634,488,0.0,0.0,3782,12069,0.0,735,0.0,28
2020-04-03,Liguria,1147,173,1320,1426,2746,86,183,700,519,0.0,0.0,3965,12934,0.0,865,0.0,31
2020-04-04,Liguria,1121,169,1290,1604,2894,148,238,767,542,0.0,0.0,4203,14087,0.0,1153,0.0,23
2020-04-05,Liguria,1126,165,1291,1802,3093,199,246,800,556,0.0,0.0,4449,15047,0.0,960,0.0,14
2020-04-06,Liguria,1141,162,1303,1814,3117,24,100,837,595,0.0,0.0,4549,15533,0.0,486,0.0,39
2020-04-07,Liguria,1090,156,1246,1966,3212,95,208,925,620,0.0,0.0,4757,16579,0.0,1046,0.0,25
2020-04-08,Liguria,1109,153,1262,1983,3245,33,149,1007,654,0.0,0.0,4906,17521,0.0,942,0.0,34
2020-04-09,Liguria,1103,154,1257,1996,3253,8,114,1085,682,0.0,0.0,5020,18446,0.0,925,0.0,28
2020-04-10,Liguria,1076,151,1227,2074,3301,48,171,1181,709,0.0,0.0,5191,19514,0.0,1068,0.0,27
2020-04-11,Liguria,1003,146,1149,2184,3333,32,185,1309,734,0.0,0.0,5376,20888,0.0,1374,0.0,25
2020-04-12,Liguria,1032,144,1176,2157,3333,0,118,1412,749,0.0,0.0,5494,21983,0.0,1095,0.0,15
2020-04-13,Liguria,1088,138,1226,2139,3365,32,102,1471,760,0.0,0.0,5596,23129,0.0,1146,0.0,11
2020-04-14,Liguria,967,133,1100,2366,3466,101,212,1549,793,0.0,0.0,5808,24446,0.0,1317,0.0,33
2020-04-15,Liguria,959,120,1079,2385,3464,-2,128,1665,807,0.0,0.0,5936,25793,0.0,1347,0.0,14
2020-04-16,Liguria,957,103,1060,2377,3437,-27,103,1774,828,0.0,0.0,6039,26945,0.0,1152,0.0,21
2020-04-17,Liguria,897,105,1002,2457,3459,22,149,1863,866,0.0,0.0,6188,28181,0.0,1236,0.0,38
2020-04-18,Liguria,901,105,1006,2406,3412,-47,113,1992,897,0.0,0.0,6301,29322,0.0,1141,0.0,31
