data,denominazione_regione,ricoverati_con_sintomi,terapia_intensiva,totale_ospedalizzati,isolamento_domiciliare,totale_positivi,variazione_totale_positivi,nuovi_positivi,dimessi_guariti,deceduti,casi_da_sospetto_diagnostico,casi_da_screening,totale_casi,tamponi,casi_testati,nuovi_tamponi,nuovi_casi_testati,nuovi_deceduti
2020-02-24,Lombardia,76,19,95,71,166,0,166,0,6,0.0,0.0,172,1463,0.0,1463,0.0,6
2020-02-25,Lombardia,79,25,104,127,231,65,68,0,9,0.0,0.0,240,3700,0.0,2237,0.0,3
2020-02-26,Lombardia,79,25,104,145,249,18,18,0,9,0.0,0.0,258,3208,0.0,-492,0.0,0
2020-02-27,Lombardia,172,41,213,136,349,100,145,40,14,0.0,0.0,403,3320,0.0,112,0.0,5
2020-02-28,Lombardia,235,47,282,192,474,125,128,40,17,0.0,0.0,531,4835,0.0,1515,0.0,3
2020-02-29,Lombardia,256,80,336,216,552,78,84,40,23,0.0,0.0,615,5723,0.0,888,0.0,6
2020-03-01,Lombardia,406,106,512,375,887,335,369,73,24,0.0,0.0,984,6879,0.0,1156,0.0,1
2020-03-02,Lombardia,478,127,605,472,1077,190,270,139,38,0.0,0.0,1254,7925,0.0,1046,0.0,14
2020-03-03,Lombardia,698,167,865,461,1326,249,266,139,55,0.0,0.0,1520,9577,0.0,1652,0.0,17
2020-03-04,Lombardia,877,209,1086,411,1497,171,300,250,73,0.0,0.0,1820,12138,0.0,2561,0.0,18
2020-03-05,Lombardia,1169,244,1413,364,1777,280,431,376,98,0.0,0.0,2251,12354,0.0,216,0.0,25
2020-03-06,Lombardia,1622,309,1931,77,2008,231,361,469,135,0.0,0.0,2612,13556,0.0,1202,0.0,37
2020-03-07,Lombardia,1661,359,2020,722,2742,734,808,524,154,0.0,0.0,3420,15778,0.0,2222,0.0,19
2020-03-08,Lombardia,2217,399,2616,756,3372,630,769,550,267,0.0,0.0,4189,18534,0.0,2756,0.0,113
2020-03-09,Lombardia,2802,440,3242,1248,4490,1118,1280,646,333,0.0,0.0,5469,20135,0.0,1601,0.0,66
2020-03-10,Lombardia,3319,466,3785,642,4427,-63,322,896,468,0.0,0.0,5791,21479,0.0,1344,0.0,135
2020-03-11,Lombardia,3852,560,4412,1351,5763,1336,1489,900,617,0.0,0.0,7280,25629,0.0,4150,0.0,149
2020-03-12,Lombardia,4247,605,4852,2044,6896,1133,1445,1085,744,0.0,0.0,8725,29534,0.0,3905,0.0,127
2020-03-13,Lombardia,4435,650,5085,2647,7732,836,1095,1198,890,0.0,0.0,9820,32700,0.0,3166,0.0,146
2020-03-14,Lombardia,4898,732,5630,3429,9059,1327,1865,1660,966,0.0,0.0,11685,37138,0.0,4438,0.0,76
2020-03-15,Lombardia,5500,767,6267,3776,10043,984,1587,2011,1218,0.0,0.0,13272,40369,0.0,3231,0.0,252
2020-03-16,Lombardia,6171,823,6994,3867,10861,818,1377,2368,1420,0.0,0.0,14649,43565,0.0,3196,0.0,202
2020-03-17,Lombardia,6953,879,7832,4263,12095,1234,1571,2485,1640,0.0,0.0,16220,46449,0.0,2884,0.0,220
2020-03-18,Lombardia,7285,924,8209,4057,12266,171,1493,3488,1959,0.0,0.0,17713,48983,0.0,2534,0.0,319
2020-03-19,Lombardia,7387,1006,8393,5545,13938,1672,2171,3778,2168,0.0,0.0,19884,52244,0.0,3261,0.0,209
2020-03-20,Lombardia,7735,1050,8785,6635,15420,1482,2380,4295,2549,0.0,0.0,22264,57174,0.0,4930,0.0,381
2020-03-21,Lombardia,8258,1093,9351,8019,17370,1950,3251,5050,3095,0.0,0.0,25515,66730,0.0,9556,0.0,546
2020-03-22,Lombardia,9439,1142,10581,7304,17885,515,1691,5865,3456,0.0,0.0,27206,70598,0.0,3868,0.0,361
2020-03-23,Lombardia,9266,1183,10449,8461,18910,1025,1555,6075,3776,0.0,0.0,28761,73242,0.0,2644,0.0,320
2020-03-24,Lombardia,9711,1194,10905,8963,19868,958,1942,6657,4178,0.0,0.0,30703,76695,0.0,3453,0.0,402
2020-03-25,Lombardia,10026,1236,11262,9329,20591,723,1643,7281,4474,0.0,0.0,32346,81666,0.0,4971,0.0,296
2020-03-26,Lombardia,10681,1263,11944,10245,22189,1598,2543,7839,4861,0.0,0.0,34889,87713,0.0,6047,0.0,387
2020-03-27,Lombardia,11137,1292,12429,11466,23895,1706,2409,8001,5402,0.0,0.0,37298,95860,0.0,8147,0.0,541
2020-03-28,Lombardia,11152,1319,12471,12038,24509,614,2117,8962,5944,0.0,0.0,39415,102503,0.0,6643,0.0,542
2020-03-29,Lombardia,11613,1328,12941,12451,25392,883,1592,9255,6360,0.0,0.0,41007,107398,0.0,4895,0.0,416
2020-03-30,Lombardia,11815,1330,13145,11861,25006,-386,1154,10337,6818,0.0,0.0,42161,111057,0.0,3659,0.0,458
2020-03-31,Lombardia,11883,1324,13207,11917,25124,118,1047,10885,7199,0.0,0.0,43208,114640,0.0,3583,0.0,381
2020-04-01,Lombardia,11927,1342,13269,12496,25765,641,1565,11415,7593,0.0,0.0,44773,121449,0.0,6809,0.0,394
2020-04-02,Lombardia,11762,1351,13113,12763,25876,111,1292,12229,7960,0.0,0.0,46065,128286,0.0,6837,0.0,367
2020-04-03,Lombardia,11802,1381,13183,13006,26189,313,1455,13020,8311,0.0,0.0,47520,135051,0.0,6765,0.0,351
2020-04-04,Lombardia,12002,1326,13328,13892,27220,1031,1598,13242,8656,0.0,0.0,49118,141877,0.0,6826,0.0,345
2020-04-05,Lombardia,12009,1317,13326,14798,28124,904,1337,13426,8905,0.0,0.0,50455,149984,0.0,8107,0.0,249
2020-04-06,Lombardia,11914,1343,13257,15212,28469,345,1079,13863,9202,0.0,0.0,51534,154989,0.0,5005,0.0,297
2020-04-07,Lombardia,11833,1305,13138,15205,28343,-126,791,14498,9484,0.0,0.0,52325,159331,0.0,4342,0.0,282
2020-04-08,Lombardia,11719,1257,12976,15569,28545,202,1089,15147,9722,0.0,0.0,53414,167557,0.0,8226,0.0,238
2020-04-09,Lombardia,11796,1236,13032,16042,29074,529,1388,15706,10022,0.0,0.0,54802,176953,0.0,9396,0.0,300
2020-04-10,Lombardia,11877,1202,13079,16451,29530,456,1246,16280,10238,0.0,0.0,56048,186325,0.0,9372,0.0,216
2020-04-11,Lombardia,12026,1174,13200,17058,30258,728,1544,16823,10511,0.0,0.0,57592,196302,0.0,9977,0.0,273
2020-04-12,Lombardia,11969,1176,13145,18120,31265,1007,1460,17166,10621,0.0,0.0,59052,205832,0.0,9530,0.0,110
2020-04-13,Lombardia,12028,1143,13171,18764,31935,670,1262,17478,10901,0.0,0.0,60314,211092,0.0,5260,0.0,280
2020-04-14,Lombardia,12077,1122,13199,19164,32363,428,1012,17821,11142,0.0,0.0,61326,214870,0.0,3778,0.0,241
2020-04-15,Lombardia,12043,1074,13117,19804,32921,558,827,17855,11377,0.0,0.0,62153,221968,0.0,7098,0.0,235
2020-04-16,Lombardia,11356,1032,12388,20702,33090,169,941,18396,11608,0.0,0.0,63094,232674,0.0,10706,0.0,231
2020-04-17,Lombardia,10627,971,11598,21836,33434,344,1041,18850,11851,0.0,0.0,64135,243513,0.0,10839,0.0,243
2020-04-18,Lombardia,10042,947,10989,23206,34195,761,1246,19136,12050,0.0,0.0,65381,255331,0.0,11818,0.0,199
2020-04-19,Lombardia,10342,922,11264,23233,34497,302,855,19526,12213,0.0,0.0,66236,264155,183757.0,8824,183757.0,163
2020-04-20,Lombardia,10138,901,11039,23548,34587,90,735,20008,12376,0.0,0.0,66971,270486,173333.0,6331,-10424.0,163
2020-04-21,Lombardia,9805,851,10656,23322,33978,-609,960,21374,12579,0.0,0.0,67931,277197,173333.0,6711,0.0,203
2020-04-22,Lombardia,9692,817,10509,23733,34242,264,1161,22110,12740,0.0,0.0,69092,290699,184323.0,13502,10990.0,161
2020-04-23,Lombardia,9192,790,9982,23891,33873,-369,1073,23352,12940,0.0,0.0,70165,302715,190451.0,12016,6128.0,200
2020-04-24,Lombardia,8791,756,9547,24821,34368,495,1091,23782,13106,0.0,0.0,71256,314298,196406.0,11583,5955.0,166
2020-04-25,Lombardia,8489,724,9213,25260,34473,105,713,24227,13269,0.0,0.0,71969,326940,202827.0,12642,6421.0,163
2020-04-26,Lombardia,8481,706,9187,25979,35166,693,920,24398,13325,0.0,0.0,72889,337797,208471.0,10857,5644.0,56
2020-04-27,Lombardia,7525,680,8205,27236,35441,275,590,24589,13449,0.0,0.0,73479,342850,211523.0,5053,3052.0,124
2020-04-28,Lombardia,7280,655,7935,27809,35744,303,869,25029,13575,0.0,0.0,74348,351423,216526.0,8573,5003.0,126
2020-04-29,Lombardia,7120,634,7754,28368,36122,378,786,25333,13679,0.0,0.0,75134,365895,223952.0,14472,7426.0,104
2020-04-30,Lombardia,6834,605,7439,28772,36211,89,598,25749,13772,0.0,0.0,75732,376943,229880.0,11048,5928.0,93
2020-05-01,Lombardia,6628,563,7191,29282,36473,262,737,26136,13860,0.0,0.0,76469,390644,236822.0,13701,6942.0,88
2020-05-02,Lombardia,6529,545,7074,29593,36667,194,533,26146,14189,0.0,0.0,77002,403702,243383.0,13058,6561.0,329
2020-05-03,Lombardia,6609,532,7141,29785,36926,259,526,26371,14231,0.0,0.0,77528,410857,247176.0,7155,3793.0,42
2020-05-04,Lombardia,6414,532,6946,30361,37307,381,577,26504,14294,0.0,0.0,78105,418835,251661.0,7978,4485.0,63
2020-05-05,Lombardia,6201,509,6710,30382,37092,-215,500,27124,14389,0.0,0.0,78605,425290,255292.0,6455,3631.0,95
2020-05-06,Lombardia,6079,480,6559,25194,31753,-5339,764,33005,14611,0.0,0.0,79369,439806,262964.0,14516,7672.0,222
2020-05-07,Lombardia,5848,480,6328,25687,32015,262,720,33329,14745,0.0,0.0,80089,455294,262964.0,15488,0.0,134
2020-05-08,Lombardia,5702,400,6102,25881,31983,-32,634,33901,14839,0.0,0.0,80723,466287,277106.0,10993,14142.0,94
2020-05-09,Lombardia,5535,330,5865,24397,30262,-1721,502,36039,14924,0.0,0.0,81225,477765,282817.0,11478,5711.0,85
2020-05-10,Lombardia,5428,348,5776,24414,30190,-72,282,36331,14986,0.0,0.0,81507,485134,287330.0,7369,4513.0,62
