data,denominazione_regione,ricoverati_con_sintomi,terapia_intensiva,totale_ospedalizzati,isolamento_domiciliare,totale_positivi,variazione_totale_positivi,nuovi_positivi,dimessi_guariti,deceduti,casi_da_sospetto_diagnostico,casi_da_screening,totale_casi,tamponi,casi_testati,nuovi_tamponi,nuovi_casi_testati,nuovi_deceduti
2020-02-24,P.A. Bolzano,0,0,0,0,0,0,0,0,0,0.0,0.0,0,1,0.0,1,0.0,0
2020-02-25,P.A. Bolzano,1,0,1,0,1,1,1,0,0,0.0,0.0,1,1,0.0,0,0.0,0
2020-02-26,P.A. Bolzano,1,0,1,0,1,0,0,0,0,0.0,0.0,1,1,0.0,0,0.0,0
2020-02-27,P.A. Bolzano,1,0,1,0,1,0,0,0,0,0.0,0.0,1,2,0.0,1,0.0,0
2020-02-28,P.A. Bolzano,1,0,1,0,1,0,0,0,0,0.0,0.0,1,2,0.0,0,0.0,0
2020-02-29,P.A. Bolzano,1,0,1,0,1,0,0,0,0,0.0,0.0,1,16,0.0,14,0.0,0
2020-03-01,P.A. Bolzano,1,0,1,0,1,0,0,0,0,0.0,0.0,1,20,0.0,4,0.0,0
2020-03-02,P.A. Bolzano,1,0,1,0,1,0,0,0,0,0.0,0.0,1,20,0.0,0,0.0,0
2020-03-03,P.A. Bolzano,1,0,1,0,1,0,0,0,0,0.0,0.0,1,20,0.0,0,0.0,0
2020-03-04,P.A. Bolzano,1,0,1,0,1,0,0,0,0,0.0,0.0,1,20,0.0,0,0.0,0
2020-03-05,P.A. Bolzano,1,0,1,0,1,0,0,0,0,0.0,0.0,1,20,0.0,0,0.0,0
2020-03-06,P.A. Bolzano,4,0,4,0,4,3,3,0,0,0.0,0.0,4,36,0.0,16,0.0,0
2020-03-07,P.A. Bolzano,8,0,8,1,9,5,5,0,0,0.0,0.0,9,36,0.0,0,0.0,0
2020-03-08,P.A. Bolzano,8,0,8,1,9,0,0,0,0,0.0,0.0,9,36,0.0,0,0.0,0
2020-03-09,P.A. Bolzano,8,0,8,1,9,0,0,0,0,0.0,0.0,9,36,0.0,0,0.0,0
2020-03-10,P.A. Bolzano,17,1,18,20,38,29,29,0,0,0.0,0.0,38,36,0.0,0,0.0,0
2020-03-11,P.A. Bolzano,8,4,12,63,75,37,37,0,0,0.0,0.0,75,75,0.0,39,0.0,0
2020-03-12,P.A. Bolzano,21,4,25,78,103,28,29,0,1,0.0,0.0,104,607,0.0,532,0.0,1
