data,denominazione_regione,ricoverati_con_sintomi,terapia_intensiva,totale_ospedalizzati,isolamento_domiciliare,totale_positivi,variazione_totale_positivi,nuovi_positivi,dimessi_guariti,deceduti,casi_da_sospetto_diagnostico,casi_da_screening,totale_casi,tamponi,casi_testati,nuovi_tamponi,nuovi_casi_testati,nuovi_deceduti
2020-02-24,Piemonte,2,0,2,1,3,0,3,0,0,0.0,0.0,3,141,0.0,141,0.0,0
2020-02-25,Piemonte,2,0,2,1,3,0,0,0,0,0.0,0.0,3,141,0.0,0,0.0,0
2020-02-26,Piemonte,2,0,2,1,3,0,0,0,0,0.0,0.0,3,156,0.0,15,0.0,0
2020-02-27,Piemonte,2,0,2,0,2,-1,-1,0,0,0.0,0.0,2,156,0.0,0,0.0,0
2020-02-28,Piemonte,7,0,7,4,11,9,9,0,0,0.0,0.0,11,227,0.0,71,0.0,0
2020-02-29,Piemonte,7,0,7,4,11,0,0,0,0,0.0,0.0,11,308,0.0,81,0.0,0
2020-03-01,Piemonte,11,2,13,36,49,38,38,0,0,0.0,0.0,49,362,0.0,54,0.0,0
2020-03-02,Piemonte,12,2,14,37,51,2,2,0,0,0.0,0.0,51,434,0.0,72,0.0,0
2020-03-03,Piemonte,13,3,16,40,56,5,5,0,0,0.0,0.0,56,458,0.0,24,0.0,0
2020-03-04,Piemonte,26,13,39,43,82,26,26,0,0,0.0,0.0,82,543,0.0,85,0.0,0
2020-03-05,Piemonte,43,17,60,46,106,24,26,0,2,0.0,0.0,108,543,0.0,0,0.0,2
2020-03-06,Piemonte,57,30,87,52,139,33,35,0,4,0.0,0.0,143,793,0.0,250,0.0,2
2020-03-07,Piemonte,110,38,148,54,202,63,64,0,5,0.0,0.0,207,1046,0.0,253,0.0,1
2020-03-08,Piemonte,245,45,290,65,355,153,153,0,5,0.0,0.0,360,1636,0.0,590,0.0,0
2020-03-09,Piemonte,222,50,272,65,337,-18,-10,0,13,0.0,0.0,350,1681,0.0,45,0.0,8
2020-03-10,Piemonte,306,66,372,64,436,99,103,0,17,0.0,0.0,453,2374,0.0,693,0.0,4
2020-03-11,Piemonte,319,75,394,86,480,44,48,0,21,0.0,0.0,501,2431,0.0,57,0.0,4
2020-03-12,Piemonte,368,97,465,89,554,74,79,0,26,0.0,0.0,580,2879,0.0,448,0.0,5
2020-03-13,Piemonte,556,135,691,103,794,240,260,0,46,0.0,0.0,840,3105,0.0,226,0.0,20
2020-03-14,Piemonte,538,150,688,126,814,20,33,0,59,0.0,0.0,873,3680,0.0,575,0.0,13
2020-03-15,Piemonte,726,171,897,133,1030,216,238,0,81,0.0,0.0,1111,4375,0.0,695,0.0,22
2020-03-16,Piemonte,1045,186,1231,174,1405,375,405,0,111,0.0,0.0,1516,5588,0.0,1213,0.0,30
2020-03-17,Piemonte,1378,206,1584,180,1764,359,381,0,133,0.0,0.0,1897,6543,0.0,955,0.0,22
2020-03-18,Piemonte,1780,227,2007,180,2187,423,444,0,154,0.0,0.0,2341,7516,0.0,973,0.0,21
2020-03-19,Piemonte,2279,257,2536,218,2754,567,591,3,175,0.0,0.0,2932,8853,0.0,1337,0.0,21
2020-03-20,Piemonte,1541,280,1821,1423,3244,490,529,8,209,0.0,0.0,3461,9975,0.0,1122,0.0,34
2020-03-21,Piemonte,1976,301,2277,1229,3506,262,291,8,238,0.0,0.0,3752,10701,0.0,726,0.0,29
2020-03-22,Piemonte,2118,308,2426,1701,4127,621,668,10,283,0.0,0.0,4420,12701,0.0,2000,0.0,45
2020-03-23,Piemonte,2194,343,2537,1992,4529,402,441,17,315,0.0,0.0,4861,13560,0.0,859,0.0,32
2020-03-24,Piemonte,2404,360,2764,2360,5124,595,654,17,374,0.0,0.0,5515,15469,0.0,1909,0.0,59
2020-03-25,Piemonte,2544,381,2925,2631,5556,432,509,19,449,0.0,0.0,6024,16655,0.0,1186,0.0,75
2020-03-26,Piemonte,2633,408,3041,2909,5950,394,510,135,449,0.0,0.0,6534,18054,0.0,1399,0.0,0
2020-03-27,Piemonte,2852,431,3283,3064,6347,397,558,176,569,0.0,0.0,7092,19705,0.0,1651,0.0,120
2020-03-28,Piemonte,3094,439,3533,3318,6851,504,579,203,617,0.0,0.0,7671,21511,0.0,1806,0.0,48
2020-03-29,Piemonte,2985,443,3428,3840,7268,417,535,254,684,0.0,0.0,8206,24058,0.0,2547,0.0,67
2020-03-30,Piemonte,2985,452,3437,4218,7655,387,506,308,749,0.0,0.0,8712,25478,0.0,1420,0.0,65
2020-03-31,Piemonte,3174,452,3626,4456,8082,427,589,365,854,0.0,0.0,9301,27658,0.0,2180,0.0,105
2020-04-01,Piemonte,3146,453,3599,4871,8470,388,494,439,886,0.0,0.0,9795,30060,0.0,2402,0.0,32
2020-04-02,Piemonte,3341,453,3794,5005,8799,329,558,571,983,0.0,0.0,10353,32100,0.0,2040,0.0,97
2020-04-03,Piemonte,3300,452,3752,5378,9130,331,543,723,1043,0.0,0.0,10896,34281,0.0,2181,0.0,60
2020-04-04,Piemonte,3441,450,3891,5802,9693,563,813,888,1128,0.0,0.0,11709,37181,0.0,2900,0.0,85
2020-04-05,Piemonte,3472,444,3916,6261,10177,484,653,1017,1168,0.0,0.0,12362,38539,0.0,1358,0.0,40
2020-04-06,Piemonte,3484,438,3922,6623,10545,368,562,1128,1251,0.0,0.0,12924,41123,0.0,2584,0.0,83
2020-04-07,Piemonte,3553,432,3985,6719,10704,159,419,1320,1319,0.0,0.0,13343,44121,0.0,2998,0.0,68
2020-04-08,Piemonte,3493,423,3916,7073,10989,285,540,1516,1378,0.0,0.0,13883,48495,0.0,4374,0.0,59
2020-04-09,Piemonte,3514,412,3926,7410,11336,347,639,1732,1454,0.0,0.0,14522,52807,0.0,4312,0.0,76
2020-04-10,Piemonte,3497,394,3891,7685,11576,240,490,1904,1532,0.0,0.0,15012,57457,0.0,4650,0.0,78
2020-04-11,Piemonte,3435,384,3819,8351,12170,594,996,2205,1633,0.0,0.0,16008,62577,0.0,5120,0.0,101
2020-04-12,Piemonte,3429,381,3810,8695,12505,335,652,2426,1729,0.0,0.0,16660,66555,0.0,3978,0.0,96
2020-04-13,Piemonte,3344,379,3723,9042,12765,260,474,2543,1826,0.0,0.0,17134,69170,0.0,2615,0.0,97
2020-04-14,Piemonte,3395,367,3762,9293,13055,290,556,2708,1927,0.0,0.0,17690,71678,0.0,2508,0.0,101
2020-04-15,Piemonte,3338,366,3704,9491,13195,140,539,3019,2015,0.0,0.0,18229,75664,0.0,3986,0.0,88
2020-04-16,Piemonte,3418,346,3764,10019,13783,588,879,3231,2094,0.0,0.0,19108,80708,0.0,5044,0.0,79
2020-04-17,Piemonte,3266,333,3599,10399,13998,215,695,3634,2171,0.0,0.0,19803,86714,0.0,6006,0.0,77
2020-04-18,Piemonte,3271,323,3594,10629,14223,225,661,3989,2252,0.0,0.0,20464,91844,0.0,5130,0.0,81
2020-04-19,Piemonte,3201,305,3506,10964,14470,247,593,4256,2331,0.0,0.0,21057,96569,71644.0,4725,71644.0,79
2020-04-20,Piemonte,3299,301,3600,10957,14557,87,292,4383,2409,0.0,0.0,21349,99669,73192.0,3100,1548.0,78
2020-04-21,Piemonte,3116,293,3409,11402,14811,254,606,4659,2485,0.0,0.0,21955,105434,76406.0,5765,3214.0,76
2020-04-22,Piemonte,3213,273,3486,11636,15122,311,784,5058,2559,0.0,0.0,22739,111513,81176.0,6079,4770.0,74
2020-04-23,Piemonte,3039,261,3300,11852,15152,30,401,5358,2630,0.0,0.0,23140,117970,84648.0,6457,3472.0,71
2020-04-24,Piemonte,2918,257,3175,12216,15391,239,682,5732,2699,0.0,0.0,23822,125300,89392.0,7330,4744.0,69
2020-04-25,Piemonte,2937,238,3175,12327,15502,111,604,6157,2767,0.0,0.0,24426,131107,93325.0,5807,3933.0,68
2020-04-26,Piemonte,2866,214,3080,12439,15519,17,394,6478,2823,0.0,0.0,24820,135142,96977.0,4035,3652.0,56
