data,denominazione_regione,ricoverati_con_sintomi,terapia_intensiva,totale_ospedalizzati,isolamento_domiciliare,totale_positivi,variazione_totale_positivi,nuovi_positivi,dimessi_guariti,deceduti,casi_da_sospetto_diagnostico,casi_da_screening,totale_casi,tamponi,casi_testati,nuovi_tamponi,nuovi_casi_testati,nuovi_deceduti
2020-02-24,Puglia,0,0,0,0,0,0,0,0,0,0.0,0.0,0,0,0.0,0,0.0,0
2020-02-25,Puglia,0,0,0,0,0,0,0,0,0,0.0,0.0,0,0,0.0,0,0.0,0
2020-02-26,Puglia,0,0,0,0,0,0,0,0,0,0.0,0.0,0,0,0.0,0,0.0,0
2020-02-27,Puglia,1,0,1,0,1,1,1,0,0,0.0,0.0,1,0,0.0,0,0.0,0
2020-02-28,Puglia,1,0,1,2,3,2,2,0,0,0.0,0.0,3,242,0.0,242,0.0,0
2020-02-29,Puglia,1,0,1,2,3,0,0,0,0,0.0,0.0,3,252,0.0,10,0.0,0
2020-03-01,Puglia,1,0,1,2,3,0,0,0,0,0.0,0.0,3,262,0.0,10,0.0,0
2020-03-02,Puglia,2,0,2,2,4,1,1,0,0,0.0,0.0,4,278,0.0,16,0.0,0
2020-03-03,Puglia,2,0,2,4,6,2,2,0,0,0.0,0.0,6,298,0.0,20,0.0,0
2020-03-04,Puglia,4,0,4,3,7,1,3,1,1,0.0,0.0,9,322,0.0,24,0.0,1
2020-03-05,Puglia,5,1,6,6,12,5,5,1,1,0.0,0.0,14,359,0.0,37,0.0,0
2020-03-06,Puglia,5,1,6,9,15,3,3,1,1,0.0,0.0,17,395,0.0,36,0.0,0
2020-03-07,Puglia,9,2,11,12,23,8,9,1,2,0.0,0.0,26,395,0.0,0,0.0,1
2020-03-08,Puglia,17,3,20,16,36,13,14,1,3,0.0,0.0,40,627,0.0,232,0.0,1
2020-03-09,Puglia,20,6,26,20,46,10,10,1,3,0.0,0.0,50,685,0.0,58,0.0,0
2020-03-10,Puglia,28,6,34,21,55,9,9,1,3,0.0,0.0,59,747,0.0,62,0.0,0
2020-03-11,Puglia,38,4,42,29,71,16,18,1,5,0.0,0.0,77,909,0.0,162,0.0,2
2020-03-12,Puglia,58,2,60,38,98,27,27,1,5,0.0,0.0,104,1269,0.0,360,0.0,0
2020-03-13,Puglia,77,2,79,42,121,23,25,3,5,0.0,0.0,129,1449,0.0,180,0.0,0
2020-03-14,Puglia,91,6,97,59,156,35,37,2,8,0.0,0.0,166,1681,0.0,232,0.0,3
2020-03-15,Puglia,116,6,122,90,212,56,64,2,16,0.0,0.0,230,2017,0.0,336,0.0,8
2020-03-16,Puglia,116,6,122,90,212,0,0,2,16,0.0,0.0,230,2017,0.0,0,0.0,0
2020-03-17,Puglia,155,14,169,151,320,108,110,2,18,0.0,0.0,340,3077,0.0,1060,0.0,2
2020-03-18,Puglia,156,30,186,176,362,42,43,2,19,0.0,0.0,383,3433,0.0,356,0.0,1
2020-03-19,Puglia,173,31,204,245,449,87,95,4,25,0.0,0.0,478,4046,0.0,613,0.0,6
2020-03-20,Puglia,191,31,222,329,551,102,103,4,26,0.0,0.0,581,4789,0.0,743,0.0,1
2020-03-21,Puglia,209,33,242,400,642,91,94,4,29,0.0,0.0,675,5617,0.0,828,0.0,3
2020-03-22,Puglia,252,37,289,459,748,106,111,7,31,0.0,0.0,786,6160,0.0,543,0.0,2
2020-03-23,Puglia,285,45,330,532,862,114,120,7,37,0.0,0.0,906,6761,0.0,601,0.0,6
2020-03-24,Puglia,317,57,374,566,940,78,99,21,44,0.0,0.0,1005,7345,0.0,584,0.0,7
2020-03-25,Puglia,349,64,413,610,1023,83,88,22,48,0.0,0.0,1093,8223,0.0,878,0.0,4
2020-03-26,Puglia,480,76,556,539,1095,72,89,22,65,0.0,0.0,1182,9191,0.0,968,0.0,17
2020-03-27,Puglia,530,82,612,624,1236,141,152,29,69,0.0,0.0,1334,10233,0.0,1042,0.0,4
2020-03-28,Puglia,563,98,661,697,1358,122,124,29,71,0.0,0.0,1458,11500,0.0,1267,0.0,2
2020-03-29,Puglia,559,99,658,774,1432,74,91,31,86,0.0,0.0,1549,12361,0.0,861,0.0,15
2020-03-30,Puglia,590,106,696,889,1585,153,163,36,91,0.0,0.0,1712,13117,0.0,756,0.0,5
2020-03-31,Puglia,609,105,714,940,1654,69,91,39,110,0.0,0.0,1803,14073,0.0,956,0.0,19
2020-04-01,Puglia,637,107,744,1012,1756,102,143,61,129,0.0,0.0,1946,15209,0.0,1136,0.0,19
2020-04-02,Puglia,645,118,763,1101,1864,108,131,69,144,0.0,0.0,2077,16554,0.0,1345,0.0,15
2020-04-03,Puglia,648,123,771,1178,1949,85,105,69,164,0.0,0.0,2182,17924,0.0,1370,0.0,20
2020-04-04,Puglia,627,153,780,1193,1973,24,58,94,173,0.0,0.0,2240,18977,0.0,1053,0.0,9
2020-04-05,Puglia,574,159,733,1289,2022,49,77,113,182,0.0,0.0,2317,20080,0.0,1103,0.0,9
2020-04-06,Puglia,625,97,722,1393,2115,93,127,134,195,0.0,0.0,2444,22059,0.0,1979,0.0,13
2020-04-07,Puglia,615,93,708,1429,2137,22,70,168,209,0.0,0.0,2514,23149,0.0,1090,0.0,14
2020-04-08,Puglia,639,90,729,1509,2238,101,120,177,219,0.0,0.0,2634,24493,0.0,1344,0.0,10
2020-04-09,Puglia,630,86,716,1585,2301,63,82,190,225,0.0,0.0,2716,26088,0.0,1595,0.0,6
2020-04-10,Puglia,631,80,711,1625,2336,35,93,235,238,0.0,0.0,2809,27812,0.0,1724,0.0,13
2020-04-11,Puglia,627,73,700,1702,2402,66,95,249,253,0.0,0.0,2904,29463,0.0,1651,0.0,15
2020-04-12,Puglia,609,71,680,1772,2452,50,85,277,260,0.0,0.0,2989,30973,0.0,1510,0.0,7
2020-04-13,Puglia,600,71,671,1841,2512,60,76,286,267,0.0,0.0,3065,31922,0.0,949,0.0,7
2020-04-14,Puglia,611,62,673,1879,2552,40,53,288,278,0.0,0.0,3118,33071,0.0,1149,0.0,11
2020-04-15,Puglia,592,73,665,1908,2573,21,66,323,288,0.0,0.0,3184,34518,0.0,1447,0.0,10
2020-04-16,Puglia,603,58,661,1964,2625,52,74,334,299,0.0,0.0,3258,36158,0.0,1640,0.0,11
2020-04-17,Puglia,590,62,652,2004,2656,31,69,364,307,0.0,0.0,3327,38278,0.0,2120,0.0,8
2020-04-18,Puglia,594,60,654,2040,2694,38,82,401,314,0.0,0.0,3409,40423,0.0,2145,0.0,7
2020-04-19,Puglia,590,60,650,2136,2786,92,120,427,316,0.0,0.0,3529,42598,41580.0,2175,41580.0,2
2020-04-20,Puglia,584,66,650,2160,2810,24,38,431,326,0.0,0.0,3567,44189,43119.0,1591,1539.0,10
