data,denominazione_regione,ricoverati_con_sintomi,terapia_intensiva,totale_ospedalizzati,isolamento_domiciliare,totale_positivi,variazione_totale_positivi,nuovi_positivi,dimessi_guariti,deceduti,casi_da_sospetto_diagnostico,casi_da_screening,totale_casi,tamponi,casi_testati,nuovi_tamponi,nuovi_casi_testati,nuovi_deceduti
2020-02-24,Sicilia,0,0,0,0,0,0,0,0,0,0.0,0.0,0,5,0.0,5,0.0,0
2020-02-25,Sicilia,1,0,1,2,3,3,3,0,0,0.0,0.0,3,5,0.0,0,0.0,0
2020-02-26,Sicilia,1,0,1,2,3,0,0,0,0,0.0,0.0,3,5,0.0,0,0.0,0
2020-02-27,Sicilia,1,0,1,1,2,-1,1,2,0,0.0,0.0,4,5,0.0,0,0.0,0
2020-02-28,Sicilia,1,0,1,1,2,0,0,2,0,0.0,0.0,4,5,0.0,0,0.0,0
2020-02-29,Sicilia,1,0,1,1,2,0,0,2,0,0.0,0.0,4,6,0.0,1,0.0,0
2020-03-01,Sicilia,1,0,1,6,7,5,5,2,0,0.0,0.0,9,291,0.0,285,0.0,0
2020-03-02,Sicilia,2,0,2,3,5,-2,-2,2,0,0.0,0.0,7,307,0.0,16,0.0,0
2020-03-03,Sicilia,2,0,2,3,5,0,0,2,0,0.0,0.0,7,307,0.0,0,0.0,0
2020-03-04,Sicilia,5,0,5,11,16,11,11,2,0,0.0,0.0,18,367,0.0,60,0.0,0
2020-03-05,Sicilia,5,0,5,11,16,0,0,2,0,0.0,0.0,18,367,0.0,0,0.0,0
2020-03-06,Sicilia,7,0,7,15,22,6,6,2,0,0.0,0.0,24,367,0.0,0,0.0,0
2020-03-07,Sicilia,8,0,8,25,33,11,11,2,0,0.0,0.0,35,643,0.0,276,0.0,0
2020-03-08,Sicilia,18,0,18,33,51,18,18,2,0,0.0,0.0,53,791,0.0,148,0.0,0
2020-03-09,Sicilia,19,0,19,33,52,1,1,2,0,0.0,0.0,54,836,0.0,45,0.0,0
2020-03-10,Sicilia,17,2,19,41,60,8,8,2,0,0.0,0.0,62,955,0.0,119,0.0,0
2020-03-11,Sicilia,23,1,24,57,81,21,21,2,0,0.0,0.0,83,1194,0.0,239,0.0,0
2020-03-12,Sicilia,28,5,33,78,111,30,32,2,2,0.0,0.0,115,1477,0.0,283,0.0,2
2020-03-13,Sicilia,37,7,44,82,126,15,15,2,2,0.0,0.0,130,1950,0.0,473,0.0,0
2020-03-14,Sicilia,42,11,53,97,150,24,26,4,2,0.0,0.0,156,2100,0.0,150,0.0,0
2020-03-15,Sicilia,56,15,71,108,179,29,32,7,2,0.0,0.0,188,2452,0.0,352,0.0,0
2020-03-16,Sicilia,75,20,95,108,203,24,25,8,2,0.0,0.0,213,2653,0.0,201,0.0,0
2020-03-17,Sicilia,86,28,114,112,226,23,24,8,3,0.0,0.0,237,2916,0.0,263,0.0,1
2020-03-18,Sicilia,100,29,129,138,267,41,45,12,3,0.0,0.0,282,3294,0.0,378,0.0,0
2020-03-19,Sicilia,143,36,179,142,321,54,58,15,4,0.0,0.0,340,3961,0.0,667,0.0,1
2020-03-20,Sicilia,168,42,210,169,379,58,68,25,4,0.0,0.0,408,4468,0.0,507,0.0,0
2020-03-21,Sicilia,206,48,254,204,458,79,82,26,6,0.0,0.0,490,4883,0.0,415,0.0,2
2020-03-22,Sicilia,220,55,275,321,596,138,140,26,8,0.0,0.0,630,5580,0.0,697,0.0,2
