data,denominazione_regione,ricoverati_con_sintomi,terapia_intensiva,totale_ospedalizzati,isolamento_domiciliare,totale_positivi,variazione_totale_positivi,nuovi_positivi,dimessi_guariti,deceduti,casi_da_sospetto_diagnostico,casi_da_screening,totale_casi,tamponi,casi_testati,nuovi_tamponi,nuovi_casi_testati,nuovi_deceduti
2020-02-24,Toscana,0,0,0,0,0,0,0,0,0,0.0,0.0,0,140,0.0,140,0.0,0
2020-02-25,Toscana,2,0,2,0,2,2,2,0,0,0.0,0.0,2,296,0.0,156,0.0,0
2020-02-26,Toscana,2,0,2,0,2,0,0,0,0,0.0,0.0,2,363,0.0,67,0.0,0
2020-02-27,Toscana,2,0,2,0,2,0,0,0,0,0.0,0.0,2,410,0.0,47,0.0,0
2020-02-28,Toscana,5,0,5,2,7,5,6,1,0,0.0,0.0,8,437,0.0,27,0.0,0
2020-02-29,Toscana,7,0,7,3,10,3,3,1,0,0.0,0.0,11,531,0.0,94,0.0,0
2020-03-01,Toscana,7,0,7,5,12,2,2,1,0,0.0,0.0,13,572,0.0,41,0.0,0
2020-03-02,Toscana,7,0,7,5,12,0,0,1,0,0.0,0.0,13,613,0.0,41,0.0,0
2020-03-03,Toscana,10,0,10,8,18,6,6,1,0,0.0,0.0,19,697,0.0,84,0.0,0
2020-03-04,Toscana,15,2,17,20,37,19,19,1,0,0.0,0.0,38,776,0.0,79,0.0,0
2020-03-05,Toscana,26,3,29,31,60,23,23,1,0,0.0,0.0,61,776,0.0,0,0.0,0
2020-03-06,Toscana,35,5,40,38,78,18,18,1,0,0.0,0.0,79,1097,0.0,321,0.0,0
2020-03-07,Toscana,54,7,61,51,112,34,34,1,0,0.0,0.0,113,1331,0.0,234,0.0,0
2020-03-08,Toscana,91,7,98,67,165,53,53,1,0,0.0,0.0,166,1618,0.0,287,0.0,0
2020-03-09,Toscana,107,9,116,90,206,41,42,1,1,0.0,0.0,208,2018,0.0,400,0.0,1
2020-03-10,Toscana,91,40,131,129,260,54,56,3,1,0.0,0.0,264,2573,0.0,555,0.0,0
2020-03-11,Toscana,87,54,141,173,314,54,56,5,1,0.0,0.0,320,2804,0.0,231,0.0,0
2020-03-12,Toscana,100,59,159,193,352,38,44,7,5,0.0,0.0,364,3165,0.0,361,0.0,4
2020-03-13,Toscana,134,77,211,244,455,103,106,10,5,0.0,0.0,470,4049,0.0,884,0.0,0
2020-03-14,Toscana,160,87,247,367,614,159,160,10,6,0.0,0.0,630,4595,0.0,546,0.0,1
2020-03-15,Toscana,175,107,282,481,763,149,151,10,8,0.0,0.0,781,5132,0.0,537,0.0,2
2020-03-16,Toscana,175,107,282,559,841,78,85,11,14,0.0,0.0,866,5910,0.0,778,0.0,6
2020-03-17,Toscana,329,143,472,552,1024,183,187,12,17,0.0,0.0,1053,6727,0.0,817,0.0,3
