data,denominazione_regione,ricoverati_con_sintomi,terapia_intensiva,totale_ospedalizzati,isolamento_domiciliare,totale_positivi,variazione_totale_positivi,nuovi_positivi,dimessi_guariti,deceduti,casi_da_sospetto_diagnostico,casi_da_screening,totale_casi,tamponi,casi_testati,nuovi_tamponi,nuovi_casi_testati,nuovi_deceduti
2020-02-24,Valle d'Aosta,0,0,0,0,0,0,0,0,0,0.0,0.0,0,7,0.0,7,0.0,0
2020-02-25,Valle d'Aosta,0,0,0,0,0,0,0,0,0,0.0,0.0,0,7,0.0,0,0.0,0
2020-02-26,Valle d'Aosta,0,0,0,0,0,0,0,0,0,0.0,0.0,0,7,0.0,0,0.0,0
2020-02-27,Valle d'Aosta,0,0,0,0,0,0,0,0,0,0.0,0.0,0,9,0.0,2,0.0,0
2020-02-28,Valle d'Aosta,0,0,0,0,0,0,0,0,0,0.0,0.0,0,9,0.0,0,0.0,0
2020-02-29,Valle d'Aosta,0,0,0,0,0,0,0,0,0,0.0,0.0,0,9,0.0,0,0.0,0
2020-03-01,Valle d'Aosta,0,0,0,0,0,0,0,0,0,0.0,0.0,0,10,0.0,1,0.0,0
2020-03-02,Valle d'Aosta,0,0,0,0,0,0,0,0,0,0.0,0.0,0,11,0.0,1,0.0,0
2020-03-03,Valle d'Aosta,0,0,0,0,0,0,0,0,0,0.0,0.0,0,12,0.0,1,0.0,0
2020-03-04,Valle d'Aosta,0,0,0,0,0,0,0,0,0,0.0,0.0,0,15,0.0,3,0.0,0
2020-03-05,Valle d'Aosta,0,0,0,2,2,2,2,0,0,0.0,0.0,2,21,0.0,6,0.0,0
2020-03-06,Valle d'Aosta,0,0,0,7,7,5,5,0,0,0.0,0.0,7,28,0.0,7,0.0,0
2020-03-07,Valle d'Aosta,1,0,1,7,8,1,1,0,0,0.0,0.0,8,32,0.0,4,0.0,0
2020-03-08,Valle d'Aosta,1,0,1,8,9,1,1,0,0,0.0,0.0,9,41,0.0,9,0.0,0
2020-03-09,Valle d'Aosta,4,0,4,11,15,6,6,0,0,0.0,0.0,15,67,0.0,26,0.0,0
2020-03-10,Valle d'Aosta,2,0,2,15,17,2,2,0,0,0.0,0.0,17,89,0.0,22,0.0,0
2020-03-11,Valle d'Aosta,2,0,2,17,19,2,3,0,1,0.0,0.0,20,99,0.0,10,0.0,1
2020-03-12,Valle d'Aosta,7,0,7,19,26,7,7,0,1,0.0,0.0,27,118,0.0,19,0.0,0
2020-03-13,Valle d'Aosta,6,0,6,21,27,1,1,0,1,0.0,0.0,28,189,0.0,71,0.0,0
2020-03-14,Valle d'Aosta,12,0,12,29,41,14,14,0,1,0.0,0.0,42,231,0.0,42,0.0,0
2020-03-15,Valle d'Aosta,10,3,13,43,56,15,15,0,1,0.0,0.0,57,230,0.0,-1,0.0,0
2020-03-16,Valle d'Aosta,28,5,33,70,103,47,48,0,2,0.0,0.0,105,287,0.0,57,0.0,1
2020-03-17,Valle d'Aosta,35,6,41,93,134,31,31,0,2,0.0,0.0,136,398,0.0,111,0.0,0
2020-03-18,Valle d'Aosta,41,3,44,118,162,28,29,0,3,0.0,0.0,165,486,0.0,88,0.0,1
2020-03-19,Valle d'Aosta,47,9,56,153,209,47,50,0,6,0.0,0.0,215,608,0.0,122,0.0,3
2020-03-20,Valle d'Aosta,54,9,63,194,257,48,49,0,7,0.0,0.0,264,814,0.0,206,0.0,1
2020-03-21,Valle d'Aosta,62,15,77,227,304,47,49,1,8,0.0,0.0,313,884,0.0,70,0.0,1
2020-03-22,Valle d'Aosta,63,21,84,270,354,50,51,1,9,0.0,0.0,364,950,0.0,66,0.0,1
2020-03-23,Valle d'Aosta,69,20,89,290,379,25,29,2,12,0.0,0.0,393,1098,0.0,148,0.0,3
2020-03-24,Valle d'Aosta,71,20,91,288,379,0,7,2,19,0.0,0.0,400,1180,0.0,82,0.0,7
2020-03-25,Valle d'Aosta,70,25,95,280,375,-4,1,2,24,0.0,0.0,401,1200,0.0,20,0.0,5
2020-03-26,Valle d'Aosta,73,24,97,281,378,3,7,2,28,0.0,0.0,408,1203,0.0,3,0.0,4
2020-03-27,Valle d'Aosta,91,24,115,298,413,35,44,2,37,0.0,0.0,452,1252,0.0,49,0.0,9
2020-03-28,Valle d'Aosta,90,26,116,352,468,55,59,2,41,0.0,0.0,511,1380,0.0,128,0.0,4
