data,denominazione_regione,ricoverati_con_sintomi,terapia_intensiva,totale_ospedalizzati,isolamento_domiciliare,totale_positivi,variazione_totale_positivi,nuovi_positivi,dimessi_guariti,deceduti,totale_casi,tamponi,casi_testati,nuovi_tamponi,nuovi_casi_testati,nuovi_deceduti
2020-02-24,Abruzzo,0,0,0,0,0,0,0,0,0,0,5,0.0,5,0.0,0
2020-02-25,Abruzzo,0,0,0,0,0,0,0,0,0,0,5,0.0,0,0.0,0
2020-02-26,Abruzzo,0,0,0,0,0,0,0,0,0,0,13,0.0,8,0.0,0
2020-02-27,Abruzzo,1,0,1,0,1,1,1,0,0,1,33,0.0,20,0.0,0
2020-02-28,Abruzzo,1,0,1,0,1,0,0,0,0,1,33,0.0,0,0.0,0
2020-02-29,Abruzzo,2,0,2,0,2,1,1,0,0,2,43,0.0,10,0.0,0
2020-03-01,Abruzzo,3,0,3,2,5,3,3,0,0,5,52,0.0,9,0.0,0
2020-03-02,Abruzzo,3,0,3,2,5,0,0,0,0,5,52,0.0,0,0.0,0
2020-03-03,Abruzzo,5,0,5,1,6,1,1,0,0,6,52,0.0,0,0.0,0
2020-03-04,Abruzzo,7,0,7,0,7,1,1,0,0,7,85,0.0,33,0.0,0
2020-03-05,Abruzzo,8,0,8,0,8,1,1,0,0,8,96,0.0,11,0.0,0
2020-03-06,Abruzzo,9,0,9,0,9,1,1,0,0,9,96,0.0,0,0.0,0
2020-03-07,Abruzzo,11,0,11,0,11,2,2,0,0,11,123,0.0,27,0.0,0
2020-03-08,Abruzzo,14,0,14,3,17,6,6,0,0,17,163,0.0,40,0.0,0
2020-03-09,Abruzzo,25,0,25,5,30,13,13,0,0,30,237,0.0,74,0.0,0
2020-03-10,Abruzzo,17,9,26,11,37,7,8,0,1,38,310,0.0,73,0.0,1
2020-03-11,Abruzzo,17,9,26,11,37,0,0,0,1,38,310,0.0,0,0.0,0
2020-03-12,Abruzzo,47,12,59,19,78,41,46,4,2,84,867,0.0,557,0.0,1
2020-03-13,Abruzzo,42,14,56,27,83,5,5,4,2,89,958,0.0,91,0.0,0
2020-03-14,Abruzzo,51,14,65,41,106,23,23,4,2,112,1232,0.0,274,0.0,0
2020-03-15,Abruzzo,72,28,100,28,128,22,25,6,3,137,1419,0.0,187,0.0,1
2020-03-16,Abruzzo,71,37,108,57,165,37,39,7,4,176,1533,0.0,114,0.0,1
2020-03-17,Abruzzo,94,32,126,90,216,51,53,7,6,229,1688,0.0,155,0.0,2
2020-03-18,Abruzzo,99,41,140,109,249,33,34,7,7,263,2054,0.0,366,0.0,1
2020-03-19,Abruzzo,181,47,228,138,366,117,122,8,11,385,2409,0.0,355,0.0,4
2020-03-20,Abruzzo,190,48,238,184,422,56,64,10,17,449,2695,0.0,286,0.0,6
2020-03-21,Abruzzo,185,44,229,265,494,72,80,13,22,529,3035,0.0,340,0.0,5
2020-03-22,Abruzzo,218,49,267,272,539,45,58,15,33,587,3375,0.0,340,0.0,11
2020-03-23,Abruzzo,228,52,280,325,605,66,76,20,38,663,3674,0.0,299,0.0,5
2020-03-24,Abruzzo,234,57,291,331,622,17,26,21,46,689,4294,0.0,620,0.0,8
2020-03-25,Abruzzo,248,59,307,431,738,116,124,23,52,813,4982,0.0,688,0.0,6
2020-03-26,Abruzzo,280,64,344,516,860,122,133,23,63,946,5488,0.0,506,0.0,11
2020-03-27,Abruzzo,289,71,360,565,925,65,71,24,68,1017,6109,0.0,621,0.0,5
2020-03-28,Abruzzo,311,70,381,646,1027,102,116,30,76,1133,7003,0.0,894,0.0,8
