data,denominazione_regione,ricoverati_con_sintomi,terapia_intensiva,totale_ospedalizzati,isolamento_domiciliare,totale_positivi,variazione_totale_positivi,nuovi_positivi,dimessi_guariti,deceduti,totale_casi,tamponi,casi_testati,nuovi_tamponi,nuovi_casi_testati,nuovi_deceduti
2020-02-24,Calabria,0,0,0,0,0,0,0,0,0,0,1,0.0,1,0.0,0
2020-02-25,Calabria,0,0,0,0,0,0,0,0,0,0,2,0.0,1,0.0,0
2020-02-26,Calabria,0,0,0,0,0,0,0,0,0,0,3,0.0,1,0.0,0
2020-02-27,Calabria,0,0,0,0,0,0,0,0,0,0,14,0.0,11,0.0,0
2020-02-28,Calabria,0,0,0,1,1,1,1,0,0,1,21,0.0,7,0.0,0
2020-02-29,Calabria,0,0,0,1,1,0,0,0,0,1,27,0.0,6,0.0,0
2020-03-01,Calabria,0,0,0,1,1,0,0,0,0,1,35,0.0,8,0.0,0
2020-03-02,Calabria,0,0,0,1,1,0,0,0,0,1,39,0.0,4,0.0,0
2020-03-03,Calabria,0,0,0,1,1,0,0,0,0,1,39,0.0,0,0.0,0
2020-03-04,Calabria,0,0,0,1,1,0,0,0,0,1,46,0.0,7,0.0,0
2020-03-05,Calabria,1,0,1,1,2,1,1,0,0,2,53,0.0,7,0.0,0
2020-03-06,Calabria,2,0,2,2,4,2,2,0,0,4,99,0.0,46,0.0,0
2020-03-07,Calabria,2,0,2,2,4,0,0,0,0,4,113,0.0,14,0.0,0
2020-03-08,Calabria,5,0,5,4,9,5,5,0,0,9,113,0.0,0,0.0,0
2020-03-09,Calabria,8,0,8,1,9,0,2,2,0,11,173,0.0,60,0.0,0
2020-03-10,Calabria,8,2,10,1,11,2,2,2,0,13,360,0.0,187,0.0,0
2020-03-11,Calabria,10,2,12,5,17,6,6,2,0,19,405,0.0,45,0.0,0
2020-03-12,Calabria,14,2,16,16,32,15,14,1,0,33,483,0.0,78,0.0,0
2020-03-13,Calabria,18,3,21,16,37,5,5,1,0,38,504,0.0,21,0.0,0
2020-03-14,Calabria,22,4,26,33,59,22,22,1,0,60,711,0.0,207,0.0,0
2020-03-15,Calabria,32,6,38,28,66,7,8,1,1,68,884,0.0,173,0.0,1
2020-03-16,Calabria,36,7,43,44,87,21,21,1,1,89,1030,0.0,146,0.0,0
2020-03-17,Calabria,45,10,55,57,112,25,25,1,1,114,1293,0.0,263,0.0,0
2020-03-18,Calabria,45,11,56,70,126,14,15,2,1,129,1668,0.0,375,0.0,0
2020-03-19,Calabria,60,13,73,91,164,38,40,2,3,169,2342,0.0,674,0.0,2
2020-03-20,Calabria,71,16,87,114,201,37,38,2,4,207,2690,0.0,348,0.0,1
2020-03-21,Calabria,73,16,89,136,225,24,28,5,5,235,3050,0.0,360,0.0,1
2020-03-22,Calabria,77,17,94,166,260,35,38,5,8,273,3666,0.0,616,0.0,3
2020-03-23,Calabria,82,20,102,178,280,20,19,5,7,292,4073,0.0,407,0.0,-1
2020-03-24,Calabria,88,21,109,195,304,24,27,5,10,319,4486,0.0,413,0.0,3
2020-03-25,Calabria,93,23,116,217,333,29,32,7,11,351,5058,0.0,572,0.0,1
2020-03-26,Calabria,101,23,124,248,372,39,42,7,14,393,5933,0.0,875,0.0,3
2020-03-27,Calabria,103,22,125,344,469,97,101,7,18,494,6901,0.0,968,0.0,4
2020-03-28,Calabria,107,22,129,394,523,54,61,11,21,555,7760,0.0,859,0.0,3
2020-03-29,Calabria,124,19,143,434,577,54,59,12,25,614,8485,0.0,725,0.0,4
2020-03-30,Calabria,130,18,148,454,602,25,33,14,31,647,9013,0.0,528,0.0,6
2020-03-31,Calabria,132,17,149,457,606,4,12,17,36,659,9327,0.0,314,0.0,5
2020-04-01,Calabria,144,16,160,450,610,4,10,21,38,669,9983,0.0,656,0.0,2
2020-04-02,Calabria,163,19,182,445,627,17,22,23,41,691,10679,0.0,696,0.0,3
2020-04-03,Calabria,183,17,200,462,662,35,42,26,45,733,11608,0.0,929,0.0,4
2020-04-04,Calabria,178,15,193,469,662,0,8,30,49,741,12314,0.0,706,0.0,4
2020-04-05,Calabria,174,13,187,519,706,44,54,33,56,795,13077,0.0,763,0.0,7
2020-04-06,Calabria,170,14,184,538,722,16,22,37,58,817,13633,0.0,556,0.0,2
2020-04-07,Calabria,169,14,183,550,733,11,16,40,60,833,14072,0.0,439,0.0,2
2020-04-08,Calabria,170,15,185,570,755,22,26,44,60,859,14977,0.0,905,0.0,0
2020-04-09,Calabria,168,15,183,582,765,10,15,48,61,874,15698,0.0,721,0.0,1
2020-04-10,Calabria,168,14,182,604,786,21,27,50,65,901,16637,0.0,939,0.0,4
2020-04-11,Calabria,169,15,184,608,792,6,14,57,66,915,17493,0.0,856,0.0,1
2020-04-12,Calabria,165,14,179,616,795,3,8,62,66,923,18211,0.0,718,0.0,0
2020-04-13,Calabria,160,12,172,619,791,-4,5,70,67,928,18596,0.0,385,0.0,1
2020-04-14,Calabria,161,12,173,643,816,25,28,72,68,956,19014,0.0,418,0.0,1
2020-04-15,Calabria,156,11,167,652,819,3,15,81,71,971,19662,0.0,648,0.0,3
2020-04-16,Calabria,157,9,166,681,847,28,38,90,72,1009,20642,0.0,980,0.0,1
2020-04-17,Calabria,154,7,161,658,819,-28,-18,99,73,991,21657,0.0,1015,0.0,1
2020-04-18,Calabria,152,7,159,673,832,13,20,106,73,1011,22794,0.0,1137,0.0,0
2020-04-19,Calabria,142,6,148,696,844,12,24,116,75,1035,23760,22234.0,966,22234.0,2
2020-04-20,Calabria,140,7,147,681,828,-16,3,135,75,1038,24373,22847.0,613,613.0,0
2020-04-21,Calabria,133,7,140,679,819,-9,9,152,76,1047,25440,23914.0,1067,1067.0,1
2020-04-22,Calabria,128,7,135,686,821,2,13,163,76,1060,26560,24878.0,1120,964.0,0
2020-04-23,Calabria,129,7,136,687,823,2,9,170,76,1069,27869,26187.0,1309,1309.0,0
2020-04-24,Calabria,123,7,130,691,821,-2,10,178,80,1079,28764,26811.0,895,624.0,4
2020-04-25,Calabria,125,7,132,679,811,-10,9,197,80,1088,29959,28006.0,1195,1195.0,0
2020-04-26,Calabria,118,8,126,671,797,-14,1,212,80,1089,30853,28900.0,894,894.0,0
2020-04-27,Calabria,114,6,120,662,782,-15,7,231,83,1096,31787,29834.0,934,934.0,3
2020-04-28,Calabria,113,6,119,645,764,-18,1,248,85,1097,33755,31802.0,1968,1968.0,2
2020-04-29,Calabria,107,6,113,640,753,-11,5,263,86,1102,34914,32961.0,1159,1159.0,1
2020-04-30,Calabria,105,6,111,629,740,-13,6,282,86,1108,35903,33950.0,989,989.0,0
2020-05-01,Calabria,105,3,108,619,727,-13,4,299,86,1112,37054,35101.0,1151,1151.0,0
2020-05-02,Calabria,100,4,104,609,713,-14,0,311,88,1112,37928,35975.0,874,874.0,2
2020-05-03,Calabria,95,4,99,603,702,-11,2,324,88,1114,38835,36874.0,907,899.0,0
2020-05-04,Calabria,93,4,97,577,674,-28,4,356,88,1118,39438,37390.0,603,516.0,0
