data,denominazione_regione,ricoverati_con_sintomi,terapia_intensiva,totale_ospedalizzati,isolamento_domiciliare,totale_positivi,variazione_totale_positivi,nuovi_positivi,dimessi_guariti,deceduti,totale_casi,tamponi,casi_testati,nuovi_tamponi,nuovi_casi_testati,nuovi_deceduti
2020-02-24,Campania,0,0,0,0,0,0,0,0,0,0,10,0.0,10,0.0,0
2020-02-25,Campania,0,0,0,0,0,0,0,0,0,0,10,0.0,0,0.0,0
2020-02-26,Campania,0,0,0,0,0,0,0,0,0,0,10,0.0,0,0.0,0
2020-02-27,Campania,2,0,2,1,3,3,3,0,0,3,10,0.0,0,0.0,0
2020-02-28,Campania,2,0,2,2,4,1,1,0,0,4,213,0.0,203,0.0,0
2020-02-29,Campania,3,0,3,10,13,9,9,0,0,13,373,0.0,160,0.0,0
2020-03-01,Campania,4,0,4,13,17,4,4,0,0,17,373,0.0,0,0.0,0
2020-03-02,Campania,4,0,4,13,17,0,0,0,0,17,373,0.0,0,0.0,0
2020-03-03,Campania,11,0,11,19,30,13,13,0,0,30,405,0.0,32,0.0,0
2020-03-04,Campania,11,0,11,20,31,1,1,0,0,31,429,0.0,24,0.0,0
2020-03-05,Campania,12,0,12,33,45,14,14,0,0,45,471,0.0,42,0.0,0
2020-03-06,Campania,12,0,12,45,57,12,12,0,0,57,471,0.0,0,0.0,0
2020-03-07,Campania,16,0,16,45,61,4,4,0,0,61,612,0.0,141,0.0,0
2020-03-08,Campania,30,7,37,63,100,39,40,1,0,101,980,0.0,368,0.0,0
2020-03-09,Campania,42,8,50,69,119,19,19,1,0,120,980,0.0,0,0.0,0
2020-03-10,Campania,33,8,41,85,126,7,7,1,0,127,1141,0.0,161,0.0,0
2020-03-11,Campania,56,11,67,82,149,23,27,4,1,154,1375,0.0,234,0.0,1
2020-03-12,Campania,56,11,67,107,174,25,25,4,1,179,1551,0.0,176,0.0,0
2020-03-13,Campania,60,19,79,134,213,39,41,5,2,220,1671,0.0,120,0.0,1
2020-03-14,Campania,72,17,89,154,243,30,52,23,6,272,1936,0.0,265,0.0,4
2020-03-15,Campania,73,22,95,201,296,53,61,28,9,333,2213,0.0,277,0.0,3
2020-03-16,Campania,103,22,125,238,363,67,67,28,9,400,2517,0.0,304,0.0,0
2020-03-17,Campania,127,24,151,272,423,60,60,28,9,460,2685,0.0,168,0.0,0
