data,denominazione_regione,ricoverati_con_sintomi,terapia_intensiva,totale_ospedalizzati,isolamento_domiciliare,totale_positivi,variazione_totale_positivi,nuovi_positivi,dimessi_guariti,deceduti,totale_casi,tamponi,casi_testati,nuovi_tamponi,nuovi_casi_testati,nuovi_deceduti
2020-02-24,Molise,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0.0,0
2020-02-25,Molise,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0.0,0
2020-02-26,Molise,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0.0,0
2020-02-27,Molise,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0.0,0
2020-02-28,Molise,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0.0,0
2020-02-29,Molise,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0.0,0
2020-03-01,Molise,0,0,0,0,0,0,0,0,0,0,6,0.0,6,0.0,0
2020-03-02,Molise,0,0,0,0,0,0,0,0,0,0,13,0.0,7,0.0,0
2020-03-03,Molise,3,0,3,0,3,3,3,0,0,3,13,0.0,0,0.0,0
2020-03-04,Molise,3,0,3,0,3,0,0,0,0,3,19,0.0,6,0.0,0
2020-03-05,Molise,4,0,4,3,7,4,4,0,0,7,24,0.0,5,0.0,0
2020-03-06,Molise,3,2,5,7,12,5,5,0,0,12,104,0.0,80,0.0,0
2020-03-07,Molise,3,2,5,9,14,2,2,0,0,14,112,0.0,8,0.0,0
2020-03-08,Molise,4,2,6,8,14,0,0,0,0,14,116,0.0,4,0.0,0
2020-03-09,Molise,4,2,6,8,14,0,0,0,0,14,212,0.0,96,0.0,0
2020-03-10,Molise,3,3,6,9,15,1,1,0,0,15,225,0.0,13,0.0,0
2020-03-11,Molise,4,3,7,9,16,1,1,0,0,16,233,0.0,8,0.0,0
2020-03-12,Molise,4,3,7,9,16,0,0,0,0,16,238,0.0,5,0.0,0
2020-03-13,Molise,5,3,8,9,17,1,1,0,0,17,243,0.0,5,0.0,0
2020-03-14,Molise,5,3,8,9,17,0,0,0,0,17,247,0.0,4,0.0,0
2020-03-15,Molise,3,4,7,10,17,0,0,0,0,17,248,0.0,1,0.0,0
2020-03-16,Molise,3,5,8,7,15,-2,4,5,1,21,253,0.0,5,0.0,1
2020-03-17,Molise,7,5,12,7,19,4,4,5,1,25,301,0.0,48,0.0,0
2020-03-18,Molise,7,6,13,8,21,2,3,6,1,28,361,0.0,60,0.0,0
2020-03-19,Molise,19,6,25,13,38,17,18,6,2,46,426,0.0,65,0.0,1
2020-03-20,Molise,20,6,26,13,39,1,4,6,5,50,426,0.0,0,0.0,3
2020-03-21,Molise,21,6,27,20,47,8,11,7,7,61,449,0.0,23,0.0,2
2020-03-22,Molise,24,7,31,21,52,5,5,7,7,66,532,0.0,83,0.0,0
