data,denominazione_regione,ricoverati_con_sintomi,terapia_intensiva,totale_ospedalizzati,isolamento_domiciliare,totale_positivi,variazione_totale_positivi,nuovi_positivi,dimessi_guariti,deceduti,totale_casi,tamponi,casi_testati,nuovi_tamponi,nuovi_casi_testati,nuovi_deceduti
2020-02-24,Piemonte,2,0,2,1,3,0,3,0,0,3,141,0.0,141,0.0,0
2020-02-25,Piemonte,2,0,2,1,3,0,0,0,0,3,141,0.0,0,0.0,0
2020-02-26,Piemonte,2,0,2,1,3,0,0,0,0,3,156,0.0,15,0.0,0
2020-02-27,Piemonte,2,0,2,0,2,-1,-1,0,0,2,156,0.0,0,0.0,0
2020-02-28,Piemonte,7,0,7,4,11,9,9,0,0,11,227,0.0,71,0.0,0
2020-02-29,Piemonte,7,0,7,4,11,0,0,0,0,11,308,0.0,81,0.0,0
2020-03-01,Piemonte,11,2,13,36,49,38,38,0,0,49,362,0.0,54,0.0,0
2020-03-02,Piemonte,12,2,14,37,51,2,2,0,0,51,434,0.0,72,0.0,0
2020-03-03,Piemonte,13,3,16,40,56,5,5,0,0,56,458,0.0,24,0.0,0
2020-03-04,Piemonte,26,13,39,43,82,26,26,0,0,82,543,0.0,85,0.0,0
2020-03-05,Piemonte,43,17,60,46,106,24,26,0,2,108,543,0.0,0,0.0,2
2020-03-06,Piemonte,57,30,87,52,139,33,35,0,4,143,793,0.0,250,0.0,2
2020-03-07,Piemonte,110,38,148,54,202,63,64,0,5,207,1046,0.0,253,0.0,1
2020-03-08,Piemonte,245,45,290,65,355,153,153,0,5,360,1636,0.0,590,0.0,0
2020-03-09,Piemonte,222,50,272,65,337,-18,-10,0,13,350,1681,0.0,45,0.0,8
2020-03-10,Piemonte,306,66,372,64,436,99,103,0,17,453,2374,0.0,693,0.0,4
2020-03-11,Piemonte,319,75,394,86,480,44,48,0,21,501,2431,0.0,57,0.0,4
2020-03-12,Piemonte,368,97,465,89,554,74,79,0,26,580,2879,0.0,448,0.0,5
2020-03-13,Piemonte,556,135,691,103,794,240,260,0,46,840,3105,0.0,226,0.0,20
2020-03-14,Piemonte,538,150,688,126,814,20,33,0,59,873,3680,0.0,575,0.0,13
2020-03-15,Piemonte,726,171,897,133,1030,216,238,0,81,1111,4375,0.0,695,0.0,22
2020-03-16,Piemonte,1045,186,1231,174,1405,375,405,0,111,1516,5588,0.0,1213,0.0,30
2020-03-17,Piemonte,1378,206,1584,180,1764,359,381,0,133,1897,6543,0.0,955,0.0,22
2020-03-18,Piemonte,1780,227,2007,180,2187,423,444,0,154,2341,7516,0.0,973,0.0,21
2020-03-19,Piemonte,2279,257,2536,218,2754,567,591,3,175,2932,8853,0.0,1337,0.0,21
2020-03-20,Piemonte,1541,280,1821,1423,3244,490,529,8,209,3461,9975,0.0,1122,0.0,34
2020-03-21,Piemonte,1976,301,2277,1229,3506,262,291,8,238,3752,10701,0.0,726,0.0,29
2020-03-22,Piemonte,2118,308,2426,1701,4127,621,668,10,283,4420,12701,0.0,2000,0.0,45
2020-03-23,Piemonte,2194,343,2537,1992,4529,402,441,17,315,4861,13560,0.0,859,0.0,32
2020-03-24,Piemonte,2404,360,2764,2360,5124,595,654,17,374,5515,15469,0.0,1909,0.0,59
2020-03-25,Piemonte,2544,381,2925,2631,5556,432,509,19,449,6024,16655,0.0,1186,0.0,75
2020-03-26,Piemonte,2633,408,3041,2909,5950,394,510,135,449,6534,18054,0.0,1399,0.0,0
2020-03-27,Piemonte,2852,431,3283,3064,6347,397,558,176,569,7092,19705,0.0,1651,0.0,120
2020-03-28,Piemonte,3094,439,3533,3318,6851,504,579,203,617,7671,21511,0.0,1806,0.0,48
2020-03-29,Piemonte,2985,443,3428,3840,7268,417,535,254,684,8206,24058,0.0,2547,0.0,67
2020-03-30,Piemonte,2985,452,3437,4218,7655,387,506,308,749,8712,25478,0.0,1420,0.0,65
2020-03-31,Piemonte,3174,452,3626,4456,8082,427,589,365,854,9301,27658,0.0,2180,0.0,105
2020-04-01,Piemonte,3146,453,3599,4871,8470,388,494,439,886,9795,30060,0.0,2402,0.0,32
