data,denominazione_regione,ricoverati_con_sintomi,terapia_intensiva,totale_ospedalizzati,isolamento_domiciliare,totale_positivi,variazione_totale_positivi,nuovi_positivi,dimessi_guariti,deceduti,totale_casi,tamponi,casi_testati,nuovi_tamponi,nuovi_casi_testati,nuovi_deceduti
2020-02-24,Umbria,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0.0,0
2020-02-25,Umbria,0,0,0,0,0,0,0,0,0,0,8,0.0,8,0.0,0
2020-02-26,Umbria,0,0,0,0,0,0,0,0,0,0,8,0.0,0,0.0,0
2020-02-27,Umbria,0,0,0,0,0,0,0,0,0,0,8,0.0,0,0.0,0
2020-02-28,Umbria,0,0,0,0,0,0,0,0,0,0,8,0.0,0,0.0,0
2020-02-29,Umbria,0,0,0,0,0,0,0,0,0,0,31,0.0,23,0.0,0
2020-03-01,Umbria,0,0,0,2,2,2,2,0,0,2,35,0.0,4,0.0,0
2020-03-02,Umbria,0,0,0,2,2,0,0,0,0,2,35,0.0,0,0.0,0
2020-03-03,Umbria,1,1,2,6,8,6,6,0,0,8,45,0.0,10,0.0,0
2020-03-04,Umbria,1,1,2,7,9,1,1,0,0,9,58,0.0,13,0.0,0
2020-03-05,Umbria,1,1,2,7,9,0,0,0,0,9,88,0.0,30,0.0,0
2020-03-06,Umbria,2,2,4,12,16,7,7,0,0,16,110,0.0,22,0.0,0
2020-03-07,Umbria,2,2,4,20,24,8,8,0,0,24,134,0.0,24,0.0,0
2020-03-08,Umbria,2,2,4,22,26,2,2,0,0,26,168,0.0,34,0.0,0
2020-03-09,Umbria,4,2,6,22,28,2,2,0,0,28,183,0.0,15,0.0,0
2020-03-10,Umbria,8,2,10,27,37,9,9,0,0,37,260,0.0,77,0.0,0
2020-03-11,Umbria,7,5,12,32,44,7,9,2,0,46,340,0.0,80,0.0,0
2020-03-12,Umbria,8,8,16,46,62,18,18,2,0,64,458,0.0,118,0.0,0
2020-03-13,Umbria,11,10,21,52,73,11,12,2,1,76,576,0.0,118,0.0,1
2020-03-14,Umbria,21,11,32,71,103,30,31,3,1,107,748,0.0,172,0.0,0
2020-03-15,Umbria,25,13,38,101,139,36,36,3,1,143,965,0.0,217,0.0,0
2020-03-16,Umbria,30,15,45,114,159,20,21,4,1,164,1093,0.0,128,0.0,0
2020-03-17,Umbria,36,21,57,135,192,33,33,4,1,197,1323,0.0,230,0.0,0
2020-03-18,Umbria,54,21,75,166,241,49,50,4,2,247,1601,0.0,278,0.0,1
2020-03-19,Umbria,69,21,90,238,328,87,87,4,2,334,1954,0.0,353,0.0,0
2020-03-20,Umbria,75,24,99,285,384,56,61,4,7,395,2303,0.0,349,0.0,5
2020-03-21,Umbria,92,29,121,326,447,63,67,5,10,462,2712,0.0,409,0.0,3
2020-03-22,Umbria,97,35,132,368,500,53,59,5,16,521,3135,0.0,423,0.0,6
2020-03-23,Umbria,106,42,148,408,556,56,56,5,16,577,3561,0.0,426,0.0,0
2020-03-24,Umbria,105,43,148,476,624,68,71,5,19,648,4108,0.0,547,0.0,3
2020-03-25,Umbria,123,44,167,519,686,62,62,5,19,710,4707,0.0,599,0.0,0
2020-03-26,Umbria,144,46,190,580,770,84,92,12,20,802,5428,0.0,721,0.0,1
2020-03-27,Umbria,149,46,195,629,824,54,82,39,21,884,6137,0.0,709,0.0,1
2020-03-28,Umbria,159,44,203,695,898,74,85,43,28,969,7028,0.0,891,0.0,7
2020-03-29,Umbria,166,46,212,685,897,-1,54,95,31,1023,7685,0.0,657,0.0,3
2020-03-30,Umbria,173,47,220,614,834,-63,28,184,33,1051,8150,0.0,465,0.0,2
2020-03-31,Umbria,176,43,219,632,851,17,27,190,37,1078,8685,0.0,535,0.0,4
2020-04-01,Umbria,173,45,218,646,864,13,17,194,37,1095,9080,0.0,395,0.0,0
