author,content,date,tags,title,url,website-domain
 La Repubblica,"

La vittima aveva 86 anni: portata in gravi condizioni al Maggiore, non ce l'ha fatta. Non si esclude la perizia psichiatrica Articolo completo »   Commenti »
 Emilia-Romagna Bologna

",2020-02-17,"['Emilia-Romagna', 'Bologna']","Bologna, è morta l'anziana picchiata e accoltellata dal figlio",https://bologna.repubblica.it/cronaca/2020/02/17/news/madre_accoltellata_figlio_morta-248787545/?rss,bologna.repubblica.it
 La Repubblica,"

Esponente di Forza Nuova condannato a ripulire la camera mortuaria Articolo completo »   Commenti »
 Emilia-Romagna Cesena Gay/Lesbiche

",2020-02-17,"['Emilia-Romagna', 'Cesena', 'Gay/Lesbiche']","Cesena, inscenò funerale contro le unioni gay: lavori sociali al cimitero",https://bologna.repubblica.it/cronaca/2020/02/17/news/cesena_insceno_funerale_contro_le_unioni_civili_lavori_sociali_al_cimitero-248799291/?rss,bologna.repubblica.it
 La Repubblica,"

La denuncia di un ex giudice del lavoro. L'udienza riguardava un nigeriano accusato di lesioni Articolo completo »   Commenti »
 Giustizia Tribunali Emilia-Romagna Ravenna Lavoro

",2020-02-21,"['Giustizia', 'Tribunali', 'Emilia-Romagna', 'Ravenna', 'Lavoro']","Sul fascicolo per il tribunale c'è la scritta ""negro"": accade a Ravenna",https://bologna.repubblica.it/cronaca/2020/02/21/news/sul_fascicolo_la_scritta_negro_accade_a_ravenna-249163078/?rss,bologna.repubblica.it
 La Repubblica,"



Non si registrano danni al momento. Profondità 6 chilometri Articolo completo »   Commenti »
 Terremoti Emilia-Romagna Correggio Reggio Emilia

",2020-02-22,"['Terremoti', 'Emilia-Romagna', 'Correggio', 'Reggio Emilia']","Terremoto Correggio (Reggio Emilia), scossa di magnitudo 3,4",https://bologna.repubblica.it/cronaca/2020/02/22/news/correggio_reggio_emilia_scossa_di_terremoto_3_4-249272556/?rss,bologna.repubblica.it
 La Repubblica,"

Vittima un'anziana di 81 anni Articolo completo »   Commenti »
 Truffe Emilia-Romagna Bologna

",2020-02-25,"['Truffe', 'Emilia-Romagna', 'Bologna']","Prima truffa a Bologna con la scusa del coronavirus: ""Signora, le disinfetto i contanti""",https://bologna.repubblica.it/cronaca/2020/02/25/news/prima_truffa_a_bologna_con_la_scusa_del_coronavirus_signora_le_disinfetto_i_contanti_-249533237/?rss,bologna.repubblica.it
 La Repubblica,"

La ragazza subiva messaggi intimidatori e aggressioni Articolo completo »   Commenti »
 Emilia-Romagna Bologna Stalking

",2020-02-27,"['Emilia-Romagna', 'Bologna', 'Stalking']","Bologna, diventa anoressica per lo stalking dell'ex: 21enne denunciato, la minacciava di morte",https://bologna.repubblica.it/cronaca/2020/02/27/news/bologna_gelosia_stalking-249722727/?rss,bologna.repubblica.it
 La Repubblica,"

Il nipote di Vittorio e pronipote di Romano stava preparando l'esame di maturità. L'incidente fra via Barbiano e via degli Scalini Articolo completo »   Commenti »
 Emilia-Romagna Bologna Romano Prodi Incidenti Stradali Esami Di Maturità

",2020-02-28,"['Emilia-Romagna', 'Bologna', 'Romano Prodi', 'Incidenti Stradali', 'Esami Di Maturità']","Bologna, muore in bici a 18 anni Matteo Prodi: schianto con un'auto sui colli",https://bologna.repubblica.it/cronaca/2020/02/28/news/muore_in_bicicletta_a_18_anni-249815526/?rss,bologna.repubblica.it
 La Repubblica,"

Il nipote di Vittorio e pronipote di Romano stava preparando l'esame di maturità. L'incidente fra via Barbiano e via degli Scalini Articolo completo »   Commenti »
 Emilia-Romagna Bologna Romano Prodi Incidenti Stradali Esami Di Maturità

",2020-02-28,"['Emilia-Romagna', 'Bologna', 'Romano Prodi', 'Incidenti Stradali', 'Esami Di Maturità']","Bologna, muore in bici a 18 anni Matteo Prodi: schianto con un'auto sui colli",https://bologna.repubblica.it/cronaca/2020/02/28/news/muore_in_bicicletta_a_18_anni-249815526/?rss,bologna.repubblica.it
 La Repubblica,"



Indagine epidemiologica. Le Asl di Bologna e Ferrara si rivolgono ai frequentatori del locale Articolo completo »   Commenti »
 Coronavirus Discoteche Sintomi Inchieste-investigazioni-indagini Asl Emilia-Romagna Bologna Ferrara Sintomi Covid 19

",2020-03-2,"['Coronavirus', 'Discoteche', 'Sintomi', 'Inchieste-investigazioni-indagini', 'Asl', 'Emilia-Romagna', 'Bologna', 'Ferrara', 'Sintomi Covid 19']","Coronavirus, uno dei pazienti bolognesi era stato in discoteca. ""Se avete sintomi, chiamate questi...",https://bologna.repubblica.it/cronaca/2020/03/02/news/coronavirus_indagine_epidemiologica-250043499/?rss,bologna.repubblica.it
 La Repubblica,"

Tante firme illustri per un luogo in cui spiegare e ricordare la strage: come aderire Articolo completo »   Commenti »
 Emilia-Romagna Bologna

",2020-03-5,"['Emilia-Romagna', 'Bologna']","Un memoriale del 2 agosto alla stazione, l'appello di Cantiere Bologna",https://bologna.repubblica.it/cronaca/2020/03/05/news/un_memoriale_del_2_agosto_alla_stazione_l_appello_di_cantiere_bologna-250340873/?rss,bologna.repubblica.it
