author,content,date,tags,title,url,website-domain
 Corriere Adriatico,"

CIVITANOVA - Tornerà domani pomeriggio a Civitanova la salma di Cristina Cesari, la venticinquenne morta in seguito ad un tragico fuori pista sugli sci, a Madonna di Campiglio.... Articolo completo »   Commenti »


",2020-02-17,[],"Tragedia a Madonna di Campiglio, mercoledì l'addio a Cristina. Il fratello: «Sorridi anche lassù»",https://www.corriereadriatico.it/macerata/notizie_di_oggi_cristina_cesari_morta_madonna_di_campiglio_funerali-5055469.html,www.corriereadriatico.it
 Corriere Adriatico,"

POLLENZA - Tragico schianto nella notte a Pollenza, in contrada Morla: muore una donna di 90 anni, feriti il figlio 63enne ed il conducente dell'altra auto, un ragazzo 20enne.
LEGGI... Articolo completo »   Commenti »
 Pollenza

",2020-02-17,['Pollenza'],"Tragico schianto all'incrocio nella notte: muore una donna, ferito il figlio",https://www.corriereadriatico.it/macerata/pollenza_tragico_schianto_incrocio_muore_donna_ferito_figlio_ultime_notizie-5056713.html,www.corriereadriatico.it
 Corriere Adriatico,"

PORTO SANT'ELPIDIO- Choc a Porto Sant'Elpidio questa mattina, dove è stato ritrovato il cadavere di uomo di 30 anni, con una serie di ferite di arma da taglio alla schiena. Per gli... Articolo completo »   Commenti »
 Marche Porto Sant'Elpidio Tagli

",2020-02-17,"['Marche', ""Porto Sant'Elpidio"", 'Tagli']","Accoltellato alle spalle, trovato morto in campagna un uomo di 30 anni. E' giallo",https://www.corriereadriatico.it/fermo/porto_santelpidio_morto_uomo_30_anni_accoltellato_spalle_campagna_giallo_ultime_notizie-5056743.html,www.corriereadriatico.it
 Vivere Marche,"

Il ragazzo, di origini rumene, è stato trovato da un passante che ha subito lanciato l'allarme alle forze dell'ordine. All'arrivo dei sanitari non c'era più niente da fare. Articolo completo »   Commenti »
 Marche Porto Sant'Elpidio

",2020-02-17,"['Marche', ""Porto Sant'Elpidio""]","Porto Sant'Elpidio: muore giovane 30enne, accoltellato alle spalle",https://www.viveremarche.it/2020/02/18/porto-santelpidio-muore-giovane-30enne-accoltellato-alle-spalle/769387,www.viveremarche.it
 Il Valore Italiano,"

Il corpo di un uomo di circa 30 anni, con profondi segni di arma da taglio sulla schiena, è stato trovato stamane in via Strada Pescolla a Porto Sant'Elpidio, in una zona di campagna. A lanciare l'allarme all'alba è stato un passante.
Sul luogo... Articolo completo »   Commenti »
 Marche Porto Sant'Elpidio Omicidi Tagli

",2020-02-17,"['Marche', ""Porto Sant'Elpidio"", 'Omicidi', 'Tagli']","Porto SantElpidio, uomo ucciso a coltellate in campagna",https://www.ilvaloreitaliano.it/porto-santelpidio-uomo-ucciso-a-coltellate-in-campagna/,www.ilvaloreitaliano.it
 La Gazzetta del Mezzogiorno,"

PORTO SANT'ELPIDIO (FERMO), 17 FEB - Il corpo di un uomo di circa 30 anni, con profondi segni di arma da taglio sulla schiena, è stato trovato stamane in via Strada Pescolla a Porto Sant'Elpidio, in una zona di campagna. A lanciare l'allarme... Articolo completo »   Commenti »
 Marche Porto Sant'Elpidio Tagli

",2020-02-17,"['Marche', ""Porto Sant'Elpidio"", 'Tagli']",Trovato morto accoltellato in campagna,https://www.lagazzettadelmezzogiorno.it/news/italia/1205923/trovato-morto-accoltellato-in-campagna.html,www.lagazzettadelmezzogiorno.it
 Fanpage,"

Il corpo senza vita di un giovane uomo con evidenti segni di violenza è stato rinvenuto da un passante lungo una stradina di campagna nel comune di Porto Sant'Elpidio, in provincia di Fermo. La vittima sarebbe un giovane di circa trenta anni.... Articolo completo »   Commenti »
 Marche Porto Sant'Elpidio Omicidi

",2020-02-17,"['Marche', ""Porto Sant'Elpidio"", 'Omicidi']","Porto SantElpidio, passanti scoprono corpo di giovane ucciso a coltellate in strada",https://www.fanpage.it/attualita/porto-santelpidio-passanti-scoprono-corpo-di-giovane-ucciso-a-coltellate-in-strada/,www.fanpage.it
 Vivere Marche,"



I carabinieri di Fabriano, nella consueta azione di controllo e prevenzione viaria attuata nel fine settimana, hanno ritirato tre patenti: in due casi per alcool e un'altra per droga. Articolo completo »   Commenti »
 Marche Fabriano Droga Carabinieri

",2020-02-17,"['Marche', 'Fabriano', 'Droga', 'Carabinieri']","Fabriano: Controlli del weekend, ritirate tre patenti per alcool e droga",https://www.viveremarche.it/2020/02/18/fabriano-controlli-del-weekend-ritirate-tre-patenti-per-alcool-e-droga/769432,www.viveremarche.it
 Vivere Marche,"



PESARO - Fermati dalla polizia tre giovani, autori dei furti notturni ai danni di esercizi commerciali a Pesaro. Al momento i giovani sono sicuramente autori di 6 episodi, ma non si esclude di arrivare alla contestazione dei 20 furti che si sono... Articolo completo »   Commenti »
 Marche Pesaro Polizia

",2020-02-17,"['Marche', 'Pesaro', 'Polizia']","Pesaro: Fermata la banda dei furti nei negozi, i giovani ""inchiodati"" dalla cioccolata",https://www.viveremarche.it/2020/02/18/pesaro-fermata-la-banda-dei-furti-nei-negozi-i-giovani-inchiodati-dalla-cioccolata/769425,www.viveremarche.it
 NewNotizie,"

Il corpo privo di vita di un giovane uomo di 30  anni è stato ritrovato nelle campagne che insistono sul centro di Fermo (Marche). Si tratta di omicidio e si indaga per capire cosa sia successo Periferia della Corva, Porto sant'Elpidio (Fermo,... Articolo completo »   Commenti »
 Omicidi Marche Porto Sant'Elpidio Fermo

",2020-02-17,"['Omicidi', 'Marche', ""Porto Sant'Elpidio"", 'Fermo']","Omicidio a Porto SantElpidio, uomo di 30 anni trovato morto nelle campagne: si indaga",https://www.newnotizie.it/2020/02/17/omicidio-a-porto-santelpidio/,www.newnotizie.it
