author,content,date,tags,title,url,website-domain
 Il Giornale,"



L'umore della sala gremita è alle stelle. Si va a caccia di sicurezza e produttività. Di ricchezza e benessere. Di rifiuti fuori dalle strade e metro che funzionano. Almeno una volta tanto. Un miraggio appare di fronte ai cittadini romani: si chiama... Articolo completo »   Commenti »
 Decreti Mafia

",2020-02-17,"['Decreti', 'Mafia']","Salvini contro le Sardine: ""Chi vuole cambiare decreti sicurezza è contro la lotta alla mafia""",https://www.ilgiornale.it/news/politica/salvini-contro-sardine-chi-vuole-cambiare-decreti-sicurezza-1827529.html,www.ilgiornale.it
 Huffington Post,"

E' morto a Pisa un neonato che avrebbe compiuto 2 mesi proprio oggi a causa delle gravi ferite riportate in un incidente stradale ieri pomeriggio. Il bimbo viaggiava nell'auto dei familiari coinvolta in un tamponamento fra almeno tre vetture.La... Articolo completo »   Commenti »
 Toscana Pisa Polizia Stradale Polizia

",2020-02-17,"['Toscana', 'Pisa', 'Polizia Stradale', 'Polizia']","In tamponamento scoppia airbag, muore neonato a Pisa: era nell'ovetto sul sedile anteriore",https://www.huffingtonpost.it/entry/in-tamponamento-scoppia-airbag-muore-neonato-a-pisa-era-nellovetto-sul-sedile-anteriore_it_5e4a605fc5b64ba29751fde6,www.huffingtonpost.it
 Giustizia News24,"

Muore a due mesi dopo un tamponamento, fatale sarebbe stato l'airbag dell'automobile su cui viaggiava insieme ai genitori. Il bimbo avrebbe compiuto due mesi proprio oggi, è spirato all'ospedale di Pisa a causa delle gravi ferite riportate in un... Articolo completo »   Commenti »
 Incidenti Stradali Toscana Pisa

",2020-02-17,"['Incidenti Stradali', 'Toscana', 'Pisa']","Neonato di due mesi muore in incidente stradale, lo scoppio dellairbag sarebbe stato fatale",https://www.giustizianews24.it/2020/02/17/neonato-di-due-mesi-muore-in-incidente-stradale-lo-scoppio-dellairbag-sarebbe-stato-fatale/,www.giustizianews24.it
 Fanpage,"

Incidente mortale domenica pomeriggio in via Aristo Manghi a Cisanello: tre auto si sono tamponate per cause in via di accertamento. In una delle vetture viaggiava un neonato di due mesi, nell'ovetto accanto al padre che era alla guida, il quale è... Articolo completo »   Commenti »
 Toscana Pisa Airbag

",2020-02-17,"['Toscana', 'Pisa', 'Airbag']","Incidente Pisa, scoppia l'airbag dopo un tamponamento: morto neonato di due mesi",https://www.fanpage.it/attualita/incidente-pisa-scoppia-lairbag-dopo-un-tamponamento-morto-neonato-di-due-mesi/,www.fanpage.it
 Il Messaggero,"

Lo scoppio dell'airbag potrebbe essere stato fatale a un neonato, morto in un incidente stradale ieri pomeriggio a Pisa. Avrebbe compiuto 2 mesi proprio oggi. Il bimbo viaggiava nell'auto dei... Articolo completo »   Commenti »
 Airbag Toscana Pisa

",2020-02-17,"['Airbag', 'Toscana', 'Pisa']","Scoppia l'airbag, neonato morto a Pisa in un incidente: era nell'ovetto sul sedile anteriore",https://www.ilmessaggero.it/italia/neonato_morto_airbag_scoppiato_tamponamento_auto_pisa_ultime_notizie_17_febraio_2020-5056779.html,www.ilmessaggero.it
 Blitz,"

Pisa, neonato muore per lo scoppio dell'airbag: era nell'ovetto sul sedile al fianco del papà che guidava (nella foto ANSA un ambulanza)
PISA - Un neonato di 2 mesi è morto a causa delle gravi ferite riportate in un incidente stradale ieri... Articolo completo »   Commenti »
 Toscana Pisa

",2020-02-17,"['Toscana', 'Pisa']","Pisa, neonato muore per lo scoppio dellairbag: era nellovetto sul sedile al fianco del papà che...",https://www.blitzquotidiano.it/cronaca-italia/neonato-muore-scoppio-airbag-3150381/,www.blitzquotidiano.it
 Il Giornale,"

Probabilmente un caso di malasanità. Ma la dinamica non è ancora chiara. Tragedia a Montefiascone, comune in provincia di Viterbo, dove una ragazza di 16 anni è stata trovata priva di vita nel letto dai genitori. La giovane, alle prese con problemi... Articolo completo »   Commenti »
 Inchieste-investigazioni-indagini Omicidi Montefiascone Lazio Viterbo

",2020-02-17,"['Inchieste-investigazioni-indagini', 'Omicidi', 'Montefiascone', 'Lazio', 'Viterbo']",Ragazza morta dopo un ricovero in ospedale: indagini per omicidio colposo,https://www.ilgiornale.it/news/roma/ragazza-morta-ricovero-ospedale-s-indaga-omicidio-colposo-1827793.html,www.ilgiornale.it
 Il Giornale,"

In Tre uomini e una gamba di Aldo Giovanni e Giacomo, il trio indossava le maschere di Oscar Luigi Scalfaro, Francesco Cossiga, Sandro Pertini per intrufolarsi nella casa di una famiglia di marocchini per riprendersi la ""gamba"" persa durante la... Articolo completo »   Commenti »
 Fausto Bertinotti Arresti Stalking Aldo, Giovanni e Giacomo

",2020-02-17,"['Fausto Bertinotti', 'Arresti', 'Stalking', 'Aldo, Giovanni e Giacomo']",Con maschera Bertinotti lancia frecce al vicino: arrestato per stalking,https://www.ilgiornale.it/news/cronache/maschera-bertinotti-lancia-frecce-vicino-arrestato-stalking-1827813.html,www.ilgiornale.it
 Meteo Web,"

Tragedia ieri a Pisa: un bimbo di due mesi (li avrebbe compiuti oggi) è rimasto coinvolto in un tamponamento tra tre auto nel quartiere di Cisanello.
Il neonato, in macchina con la famiglia, era seduto nel seggiolino posizionato sul posto del... Articolo completo »   Commenti »
 Toscana Pisa

",2020-02-17,"['Toscana', 'Pisa']","Tragico incidente stradale: scoppia airbag, morto bimbo di 2 mesi",http://www.meteoweb.eu/2020/02/tragico-incidente-stradale-scoppia-airbag-morto-bimbo-2-mesi/1389797/,www.meteoweb.eu
 Il Fatto Quotidiano,"

È morto a Pisa un neonato che avrebbe compiuto 2 mesi proprio oggi a causa delle gravi ferite riportate in un incidente stradale ieri pomeriggio. Il bimbo viaggiava nell'auto dei familiari coinvolta in un tamponamento fra almeno tre vetture. La... Articolo completo »   Commenti »
 Toscana Pisa Polizia Stradale Polizia

",2020-02-17,"['Toscana', 'Pisa', 'Polizia Stradale', 'Polizia']","Pisa, scoppia airbag per tamponamento fra auto: muore neonato di due mesi",https://www.ilfattoquotidiano.it/2020/02/17/pisa-scoppia-airbag-per-tamponamento-fra-auto-muore-neonato-di-due-mesi/5708090/,www.ilfattoquotidiano.it
