;author;regions
0; Libero Quotidiano;['sardegna', 'marche', 'campania', 'piemonte', 'umbria', 'lazio', 'basilicata', 'puglia', 'toscana', 'abruzzo', 'veneto', 'liguria', 'sicilia', 'lombardia', 'calabria']
1; Vivicentro;['sardegna', 'marche', 'campania', 'piemonte', 'lazio', 'basilicata', 'puglia', 'toscana', 'veneto', 'liguria', 'sicilia', 'lombardia', 'calabria']
2; Marche Notizie;['marche', 'abruzzo', 'calabria', 'campania', 'umbria', 'piemonte']
3; Gay;['lazio', 'puglia', 'toscana', 'veneto', 'campania', 'umbria', 'lombardia']
4; Il Fatto Quotidiano;['sardegna', 'marche', 'molise', 'piemonte', 'umbria', 'lazio', 'basilicata', 'puglia', 'abruzzo', 'sicilia', 'campania', 'toscana', 'veneto', 'liguria', 'calabria', 'lombardia']
5; CalcioWeb;['sardegna', 'marche', 'piemonte', 'campania', 'umbria', 'lazio', 'puglia', 'abruzzo', 'veneto', 'sicilia', 'lombardia', 'calabria']
6; Notizie Audaci;['marche', 'campania', 'piemonte', 'lazio', 'puglia', 'veneto', 'liguria', 'sicilia', 'lombardia', 'calabria']
7; Il Tempo;['sardegna', 'marche', 'piemonte', 'campania', 'umbria', 'lazio', 'basilicata', 'puglia', 'toscana', 'abruzzo', 'veneto', 'liguria', 'sicilia', 'lombardia', 'calabria']
8; Meteo Web;['sardegna', 'marche', 'campania', 'piemonte', 'umbria', 'lazio', 'basilicata', 'puglia', 'toscana', 'abruzzo', 'veneto', 'liguria', 'sicilia', 'lombardia', 'calabria']
9; Giornale di Sicilia;['sardegna', 'marche', 'campania', 'piemonte', 'lazio', 'basilicata', 'puglia', 'toscana', 'veneto', 'liguria', 'sicilia', 'lombardia', 'calabria']
10; Agenzia di Stampa Italpress;['sardegna', 'molise', 'campania', 'piemonte', 'lazio', 'basilicata', 'puglia', 'toscana', 'veneto', 'sicilia', 'lombardia', 'calabria']
11; Identità Insorgenti;['lazio', 'veneto', 'campania', 'lombardia']
12; Il Sussidiario;['marche', 'sardegna', 'piemonte', 'umbria', 'lombardia', 'lazio', 'basilicata', 'puglia', 'abruzzo', 'sicilia', 'campania', 'toscana', 'veneto', 'liguria', 'calabria', 'molise']
13; Giustizia News24;['sardegna', 'marche', 'piemonte', 'umbria', 'lombardia', 'lazio', 'basilicata', 'puglia', 'abruzzo', 'sicilia', 'campania', 'toscana', 'veneto', 'liguria', 'calabria', 'molise']
14; La Gazzetta del Mezzogiorno;['marche', 'sardegna', 'molise', 'piemonte', 'umbria', 'basilicata', 'lazio', 'puglia', 'abruzzo', 'sicilia', 'campania', 'toscana', 'veneto', 'liguria', 'calabria', 'lombardia']
15; Blasting News;['sardegna', 'piemonte', 'campania', 'umbria', 'lazio', 'puglia', 'toscana', 'abruzzo', 'liguria', 'veneto', 'calabria', 'sicilia', 'lombardia']
16; Quotidianosanità;['marche', 'sardegna', 'campania', 'lazio', 'toscana', 'abruzzo', 'veneto', 'liguria', 'calabria', 'sicilia', 'lombardia']
17; Secolo d'Italia;['sardegna', 'marche', 'campania', 'piemonte', 'umbria', 'lazio', 'basilicata', 'puglia', 'toscana', 'abruzzo', 'veneto', 'liguria', 'calabria', 'sicilia', 'lombardia']
18; Salernonotizie;['marche', 'campania', 'piemonte', 'umbria', 'lazio', 'basilicata', 'puglia', 'abruzzo', 'veneto', 'liguria', 'sicilia', 'lombardia', 'calabria']
19; Il Meridiano News;['sardegna', 'marche', 'piemonte', 'umbria', 'lombardia', 'lazio', 'basilicata', 'puglia', 'abruzzo', 'sicilia', 'campania', 'toscana', 'veneto', 'liguria', 'calabria', 'molise']
20; Tgcom24;['sardegna', 'marche', 'piemonte', 'umbria', 'lombardia', 'lazio', 'basilicata', 'puglia', 'abruzzo', 'sicilia', 'campania', 'toscana', 'liguria', 'veneto', 'calabria', 'molise']
