;title;content;date;author;tags;url;website-domain;region
481;Foggia, precipita con il parapendio sui Monti Dauni: muore 35enne;"FOGGIA - Un 35enne è morto nel pomeriggio dopo essersi schiantato al suolo precipitando con il parapendio a Panni, sui Monti Dauni. Secondo una prima ricostruzione, l'incidente potrebbe essere stato causato da un malfunzionamento del parapendio.Per tentare si salvare il 35enne sono intervenuti l'elisoccorso e un'ambulanza del 118, ma l'uomo è morto poco dopo il loro arrivo. Sull'accaduto indagano i carabinieri. La vittima si chiamava Angelo Gualano ed era di San Marco in Lamis.Sportivo da sempre, sui social condivideva le immagini delle sue 'adventure'. Ma dall'inizio della pandemia aveva fatto propri gli appelli al rispetto delle regole: ""Stop adventure #iorestoacasa"" scriveva il 12 marzo su Instagram. Mentre due giorni fa aveva scritto, pensando al futuro: ""Ritorneranno le avventure fuori regione"".";2020-05-9; La Repubblica;['Puglia', 'Foggia'];https://bari.repubblica.it/cronaca/2020/05/09/news/foggia_precipita_con_parapendio_muore_35enne-256166887/?rss;bari.repubblica.it;['puglia']
1106;Contrabbando di sigarette e Cialis a bordo della nave della Marina: 6 militari arrestati;Avevano imbarcato da Tripoli sulla nave militare italiana Caprera sigarette di contrabbando e confezioni del farmaco Cialis per portare il carico in Italia: arrestate cinque persone e per la sesta è stato disposto l'obbligo di dimora. Si tratta di cinque militari della Marina militare italiana e di un ufficiale della guardia costiera libica. L'acquisto del carico illecito era stato inserito tra beni e servizi fatturati allo Stato italiano per la missione all'estero.Le indagini sono state condotte dal nucleo di Polizia Economico - Finanziaria della guardia di finanza di Brindisi, diretti dai pm Giuseppe De Nozza e Alfredo Manca, coordinati dal sostituto procuratore Antonio Negro della Procura di Brindisi. L'ordinanza delle misure cautelari ha la firma del gip Vittorio Testi. I fatti risalgono alla missione italiana in Libia tra marzo e luglio 2018, in quella che è stata denominata operazione Mare sicuro.In carcere è finito Marco Corbisiero 44 anni di Torino, disposti i domiciliari per Roberto Castiglione 47 anni di Taranto, Antonio Filogamo 44 anni di Villaricca provincia di Napoli, Antonio Mosca 41 anni di Mesagne. Per Mario Ortelli napoletano di 40 anni è stato disposto l'obbligo di dimora. Tutti sono dipendenti della Marina militare, quattro di questi imbarcati sulla nave Caprera. Arrestato ai domiciliari anche l'ufficiale della Guardia costiera libica Hamza Mohamed B Aben Abulad, 31 anni di Tripoli, che avrebbe venduto la merce di contrabbando a Marco Corbesiero che nella missione ricopriva il ruolo di ufficiale tecnico della Marina Militare a capo del team preposto al ripristino dell'efficienza del naviglio ceduto dall'Italia alla Libia per il potenziamento del contrasto all'emigrazione clandestina verso l'Italia.Gli indagati sono accusati a vario titolo dei reati di contrabbando pluriaggravato di tabacchi lavorati esteri e di farmaco Cialis di provenienza estera, d'imbarco arbitrario di merci di contrabbando sulla nave militare Caprera, di peculato d'uso, di istigazione alla corruzione, di corruzione per atti contrari ai doveri dell'ufficio ed, infine, di falso ideologico. Il trasporto della merce di contrabbando sarebbe avvenuto nel contesto della missione internazionale 'Operazione Mare Sicuro' svolta dalla nave Caprera della Marina Militare italiana nel porto di Tripoli dal 31 marzo del 2018 sino al 12 luglio. La scoperta dell'illecito carico è avvenuta il 15 luglio 2018 quando la nave ha attraccato nel porto di Brindisi, senza scali intermedi e la merce è stata scaricata dalla banchina Garibaldi.Corbisiero, Ben Abulad , Castiglione, Filogamo e Mosca (questi ultimi tre membri dell'equipaggio del Caprera) sono gravemente indiziati, a vario titolo, di aver organizzato l'imbarco e il trasporto dal porto di Tripoli a quello di Brindisi di 774 chilogrammi circa di tabacco lavorato estero di contrabbando e di farmaco Cialis di contrabbando.Le sigarette e il farmaco dovevano essere venduti agli stessi appartenenti alla Marina Militare di Taranto ed anche a persone fuori da questo contesto. Marco Corbisiero avrebbe offerto numerose stecche di sigarette per comprare il silenzio del personale imbarcato ed evitare che fosse denunciato. Inoltre avrebbe anche organizzato l'illecito trasporto della merce dalla banchina di Brindisi agli uffici della Marina Militare di Taranto attraverso un mezzo della Marina, condotto da Mario Ortelli. L'automezzo proveniente da Taranto era  giunto la mattina del 15 luglio sotto il bordo della Caprera per ritirare il carico e trasferirlo nel capoluogo ionico.Il carico sarebbe stato acquistato mediante fatturazioni per operazioni in tutto o in parte inesistenti tra gli acquisti di beni e servizi da parte dello Stato Italiano per l'operazione in Libia. Questi beni e servizi sarebbe stati acquistati da una società libica denominata Altikka for service, riconducibile sostanzialmente all'ufficiale della Guardia costiera libica Ben Abulad. Durante tutte le fasi delle indagini preliminari c'è stata la collaborazione del comando della Marina Militare Italiana e dell'Ambasciata Italiana di Tripoli.;2020-05-11; La Repubblica;['Arresti', 'Inchieste-investigazioni-indagini', 'Guardia di Finanza', 'Puglia', 'Brindisi'];https://bari.repubblica.it/cronaca/2020/05/11/news/contrabbando_di_sigarette_e_cialis_a_bordo_della_nave_della_marina_6_indagati-256292483/?rss;bari.repubblica.it;['puglia']
2482;Omicidio Sarah Scazzi, in carcere Cosima e Sabrina Misseri cuciono mascherine per l'emergenza Covid;All'opera per cucire mascherine per l'emergenza coronavirus, ci sono anche Sabrina Misseri e la madre Cosima Serrano. E' la nuova attività in carcere delle donne, condannate entrambe all'ergastolo per l'omicidio della cugina e nipote Sarah Scazzi il 26 agosto 2010 ad Avetrana.Si trovano nel carcere di Taranto e lì, come rivela il settimanale Oggi in un'anticipazione, sono passate di recente alla produzione di mascherine. Prima, si occupavano del confezionamento di tovaglie, corredi, vestiti. Sabrina e la madre dividono la stessa cella e lavorano nel laboratorio di sartoria del penitenziario.Il settimanale, in edicola dal 21 maggio, dedica un servizio ai lavori svolti in carcere da alcuni detenuti noti condannati per omicidio.;2020-05-13; La Repubblica;['Omicidi', 'Sarah Scazzi', 'Carceri', 'Sabrina Misseri', 'Ergastolo', 'Avetrana'];https://bari.repubblica.it/cronaca/2020/05/13/news/omicidio_sarah_scazzi_cosima_e_sabrina_cuciono_mascherine_in_carcere-256533181/?rss;bari.repubblica.it;['puglia']
2777;Bari, il forte vento fa volare un tetto di lamiera: muore una passante;Era uscita di casa insieme al padre per recarsi a trovare la madre, morta di recente, al cimitero, in via Crispi però è stata travolta da un tetto di lamiera che il forte vento ha fatto volare da un edificio. Per una 53enne di Bari sono stati inutili i soccorsi: è morta poco dopo l’incidente, a causa delle gravi ferite.La tragedia - che avrebbe potuto avere conseguenze ancora più gravi, vista la grandezza della lamiera - è accaduta poco prima di mezzogiorno, quando sulla città soffiava un forte vento da sud, che ha causato danni anche in altri quartieri. A Libertà, però, l’incidente ha avuto un epilogo terribile, sul quale adesso indaga la polizia con il coordinamento del sostituto procuratore Marcello Quercia. Stando alla prima ricostruzione dell’accaduto, la donna stava camminando insieme al padre sulla parte terminale di via Crispi, per raggiungere il cimitero che dista poche centinaia di metri.Mentre attraversava la strada è stata travolta da un enorme pezzo di lamiera, che è volato giù da un terrazzo, sul quale era utilizzato come copertura, presumibilmente abusiva. Immediati quanto inutili i soccorsi. Il padre, invece, è rimasto illeso ed è stato trasportato in ospedale in stato di shock. I vigili del fuoco sono intervenuti per liberare la strada dall’enorme lamiera e anche per mettere in sicurezza la terrazza.Si indaga anche per verificare eventuali responsabilità del proprietario della terrazza su cui era stato installato il tetto di lamiera. A distanza di pochi minuti, e anche di poche centinaia di metri, all’angolo tra via Buozzi e viale Europa un’altra persona è deceduta: si tratta di un 73enne che ha avuto un malore mentre andava in bicicletta ed è morto sul colpo;2020-05-14; La Repubblica;['Puglia', 'Bari'];https://bari.repubblica.it/cronaca/2020/05/14/news/bari_il_vento_fa_volare_un_tetto_di_lamiera_muore_una_passante-256593000/?rss;bari.repubblica.it;['puglia']
4750;Arrestato il Procuratore di Taranto Capristo: pressioni per indirizzare indagini;;2020-05-19; La Repubblica;['Arresti', 'Giustizia', 'Puglia', 'Taranto', 'Inchieste-investigazioni-indagini', 'Arresti Domiciliari'];https://bari.repubblica.it/cronaca/2020/05/19/news/arrestato_il_procuratore_di_taranto_carlo_maria_capristo_pressioni_per_indirizzare_indagini-257060253/?rss;bari.repubblica.it;['puglia']
5106;San Severo, fuochi d'artificio dedicati al boss ucciso e minacce al sindaco: l'allarme del prefetto;"Circa 300 persone hanno partecipato, senza mascherina, ai festeggiamenti non autorizzati per la Madonna del Soccorso, patrona di San Severo, avvenuti ieri sera nel quartiere popolare Luisa Fantasia nonostante fossero sospesi per le norme contro il contagio da Covid19. Molti i video ripresi dai cellulari dei partecipanti e postati sui social media, che mostrano l'accensione di una ""batteria"" di fuochi d'artificio, file di mortaretti molto potenti e pericolosi che la gente rincorre, come vuole la tradizione, man mano che esplodono.L'omaggio al boss uccisoSu Facebook è apparsa anche la dedica di un video in omaggio a un boss di San Severo, detto ""Coccione"", ucciso due anni fa nella bottega di un barbiere. Si vede anche una volante della polizia, ma nelle immagini diffuse non appare alcun intervento di ordine pubblico. Il sindaco di San Severo, Francesco Miglio, ha informato il prefetto Raffaele Grassi e domani, afferma il primo cittadino, questi episodi finiranno sul tavolo del Comitato per l'ordine e la sicurezza pubblica.La condanna del prefetto""Stigmatizzo il comportamento della comunità di San Severo, episodi di questo tipo sono intollerabili e ingiustificabili"". Lo ha detto il prefetto di Foggia Raffaele Grassi, parlando dei festeggiamenti non autorizzati.  ""Già nella giornata di oggi - sottolinea il prefetto Grassi - l'episodio sarà analizzato nel corso di un Comitato per l'ordine e la sicurezza pubblica, al quale prenderanno parte i vertici delle forze di polizia. Ci preme capire la dinamica delle cose e individuare eventuali responsabili. Ribadiamo che non avevano alcuna autorizzazione né per lo svolgimento dei festeggiamenti, né per l'esplosione dei fuochi pirici. Occorre - conclude Grassi - richiamare il senso di responsabilità da parte di tutti"".Le minacce al sindaco""Se non la smetti passi i guai veramente perché ti metto le mani addosso"". Hanno il sapore delle minacce le pesanti accuse rivolte da Antonio, figlio del boss Michele Russi detto Coccione, ucciso a novembre del 2018 in un barbiere a San Severo, al sindaco del comune foggiano Francesco Miglio. Proprio in una diretta live sulla pagina Facebook della figlia che Antonio Russi dice la sua in merito ai festeggiamenti: ""Voglio precisare che i fuochi di ieri nel nostro quartiere non erano dedicati a mio padre, erano  fuochi per la festa patronale"" ";2020-05-19; La Repubblica;['Puglia', 'San Severo', 'Omicidi', 'Prefettura'];https://bari.repubblica.it/cronaca/2020/05/19/news/san_severo_fuochi_d_artificio_dedicati_al_boss_ucciso_e_minacce_al_sindaco_l_allarme_del_prefetto-257099882/?rss;bari.repubblica.it;['puglia']
5981;Violenza sulle donne, 72enne tenta di dar fuoco alla moglie ma i carabinieri lo mettono in fuga:...;Al culmine di una violenta lite ha cosparso la moglie di liquido infiammabile e tentato di darle fuoco con un accendino, e ha inutilmente tentato di fuggire all'arrivo dei carabinieri.E' accaduto stamane a Melissano (Lecce), dove i militari della locale stazione hanno arrestato con l'accusa di tentato omicidio un uomo di 72 anni che dopo l'ennesimo litigio con la consorte l'aveva spinta a terra e cosparsa di alcool.La donna era riuscita poco prima a chiedere soccorso al '112'. Il marito è stato catturato mentre scappava dall'abitazione, messo in fuga dalle grida di aiuto della moglie, che ha riportato lesioni fortunatamente non gravi. L'arrestato è stato rinchiuso nel carcere di Lecce;2020-05-21; La Repubblica;['Violenza Sulle Donne', 'Carabinieri', 'Arresti', 'Puglia'];https://bari.repubblica.it/cronaca/2020/05/21/news/violenza_sulle_donne_72enne_tenta_di_dar_fuoco_alla_moglie_arrestato-257241470/?rss;bari.repubblica.it;['puglia']
7545;Tragedia in mare nel Salento: sub di Racale muore a 28 anni durante una battuta di pesca;LECCE - Un sub di 28 anni, Davide D'Alessandro, di Racale (Lecce), è morto durante una battuta di pesca cominciata ieri pomeriggio nel tratto di mare fra Tricase porto e l'isolotto di Marina di Andrano.Il corpo è stato recuperato in mattinata durante le ricerche cominciate la sera precedente e alle quali hanno partecipato i sommozzatori dei vigili del fuoco, carabinieri e Capitaneria di porto.A dare l'allarme era stato il fratello del 28enne, che aveva allertato i soccorritori spiegando che il congiunto era impegnato in una battuta di pesca in apnea. La ricerca è proseguita per tutta la notte e si è conclusa con il ritrovamento del corpo, adagiato sul fondale a circa 20 metri di profondità. Nel frattempo erano intervenuti anche gli operatori del 118.;2020-05-24; La Repubblica;['Racale'];https://bari.repubblica.it/cronaca/2020/05/24/news/tragedia_in_mare_nel_salento_muore_a_28_anni_un_sub_di_racale-257502806/?rss;bari.repubblica.it;['puglia']
7661;Isole Tremiti, il traghetto della Tirrenia da Termoli finisce sugli scogli: non ci sono feriti;"FOGGIA - Un traghetto della Tirrenia è finito sugli scogli nel porticciolo dell'isola di San Nicola alle Tremiti. L'imbarcazione, con sette passeggeri a bordo, poco dopo le 11 era arrivata da Termoli quando è andata a urtare una scogliera all'ingresso del piccolo porto. A determinare l'incidente potrebbero essere stati problemi tecnici alle manette del traghetto che non avrebbero permesso al natante di effettuare la manovra.Immediato l'sos dell'equipaggio e per fortuna nessun ferito tra dipendenti e utenti. La Capitaneria di porto delle isole è arrivata immediatamente e alcuni sub si sono immersi per verificare l'entità dei danni. Il traghetto nelle ore successivo è stato condotto in banchina per le le indagini tecniche.""Ci auguriamo che non sia nulla di serio - commenta Marco Napolitano, imprenditore turistico e titolare dell'hotel Gabbiano - e che per il prossimo fine settimana sia già operativo. Stiamo ricevendo le prime prenotazioni. anche se c'è molta cautela a causa del Covid-19. Ci stiamo preparando ad accoglierli in sicurezza e l'imbarcazione è essenziale. Speriamo che non ci sia bisogno di una nave sostitutiva, sarebbe tutto più complicato"".";2020-05-24; La Repubblica;['Traghetti'];https://bari.repubblica.it/cronaca/2020/05/24/news/isole_tremiti_un_traghetto_della_tirrenia_finisce_sugli_scogli_non_ci_sono_feriti-257513257/?rss;bari.repubblica.it;['puglia']
9866;Salento, operaio morto nel cantiere per gasdotto Tap: un indagato;C'è un indagato nell'inchiesta aperta dal procuratore aggiunto di Lecce Elsa Valeria Mignone sulla morte dell'operaio di Squinzano, Simone Martena, di 35 anni, schiacciato da un macchinario posatubi all'interno del cantiere del metanodotto di interconnessione tra la rete Snam e Tap a Vernole, in Salento.Si tratta del conducente del mezzo pesante che si è rovesciato sull'operaio, uccidendolo. L'iscrizione nel registro degli indagati per omicidio colposo è un atto dovuto in vista dell'autopsia affidata al medico legale Alberto Tortorella.;2020-05-29; La Repubblica;['Puglia', 'Gasdotti', 'Inchieste-investigazioni-indagini'];https://bari.repubblica.it/cronaca/2020/05/28/news/salento_operaio_morto_nel_cantiere_per_gasdotto_tap_un_indagato-257853409/?rss;bari.repubblica.it;['puglia']
