;title;content;date;author;tags;url;website-domain;region
213;CAPRIOLO SI RIFUGIA IN QUESTURA, SOCCORSO DALLA POLIZIA;"  (ASIpress) - Teramo 17 feb. 2020  - 


Un capriolo, con ogni probabilità spaventato, è andato dritto dritto in Questura, a Teramo. Il personale della polizia e i cittadini hanno potuto osservare tutta la scena: lo splendido animale selvatico con una corsa è entrato nel cortile e poi è andato a rifugiarsi nell'autorimessa delle macchine della polizia. Evidentemente è sceso dalla parte superiore di via del Castello. Immediatamente sono stati allertati i Carabinieri Forestali ed il Servizio Veterinario della Asl, con la dr.ssa Lattanzi, ed il capriolo è stato tenuto sotto controllo in una parte isolata del garage dagli agenti, per evitare che nell'agitazione potesse ferirsi. Immobilizzato all'arrivo del personale veterinario intorno alle 12.30 circa, in buone condizioni di salute, è stato prelevato e con lo speciale veicolo della Asl preso in carico. Già oggi, controllato lo stato di salute, potrebbe essere rimesso in libertà.





(ASIpress) Red - Cronaca Abruzzo - cod.43600 (17/02/2020 14:24:38)   ";2020-02-17; ASIpress;['Capriolo', 'Polizia', 'Abruzzo', 'Teramo'];https://www.asipress.it/notizia_dettaglio.asp?id=43600;www.asipress.it;['abruzzo']
1293;AUTO IN FIAMME DAVANTI PRONTO SOCCORSO CHIETI;"  (ASIpress) - Chieti 19 feb. 2020  - 


Un incendio si è sviluppato intorno alle ore 8.20 accanto all'Ospedale di Chieti: un'autovettura alimentata a gpl ha preso fuoco vicino alla guardiola che presidia l'accesso al Pronto soccorso. Il proprietario aveva fermato l'auto per chiedere un'informazione e, all'improvviso, dalla vettura si sono sprigionate le fiamme che si sono estese anche alla vicina vegetazione. Gli addetti alla vigilanza hanno subito chiamato i vigili del fuoco che sono arrivati e in pochi minuti hanno spento l'incendio. Sul posto è giunta anche la Polizia. Al di là dello spavento dei presenti, dovuto al fumo, alle fiamme e al botto causato dall'esplosione degli pneumatici, non si registrano danni a persone.





(ASIpress) Red - Cronaca Abruzzo - cod.43616 (19/02/2020 14:07:11)   ";2020-02-19; ASIpress;['Abruzzo', 'Chieti', 'Incendi', 'GPL'];https://www.asipress.it/notizia_dettaglio.asp?id=43616;www.asipress.it;['abruzzo']
5132;AGGREDISCE AGENTE DURANTE CONTROLLO, ARRESTATO 18ENNE;"  (ASIpress) - Roseto degli Abruzzi (Teramo) 28 feb. 2020  - 


Ieri pomeriggio la Polstrada ha arrestato C.F.M., 18 anni, di Pineto, per aver aggredito un componente della pattuglia. Gli agenti hanno notato tre giovani a Roseto degli Abruzzi che alla vista della vettura della Polizia hanno mostrato segni di nervosismo. Ciò era dovuto al fatto che il 18enne nascondeva nel marsupio due buste in cellophane trasparente termosigillate contenenti 13 e 14 grammi di marijuana. Il giovane, all'invito a salire sull'autovettura di servizio per i successivi adempimenti, con mossa repentina e violenta ha spinto il capo pattuglia e dopo averlo colpito al petto, facendolo cadere a terra, ha tentato la fuga. Bloccato dagli altri poliziotti è stato ammanettato. Nel corso della perquisizione a casa, sono stati trovati un bilancino elettronico utilizzato per il confezionamento delle dosi. Al termine delle formalità è stato posto ai domiciliari.





(ASIpress) Red - Cronaca Abruzzo - cod.43689 (28/02/2020 15:01:48)   ";2020-02-28; ASIpress;['Arresti', 'Polizia Stradale', 'Abruzzo', 'Pineto', 'Roseto Degli Abruzzi'];https://www.asipress.it/notizia_dettaglio.asp?id=43689;www.asipress.it;['abruzzo']
9081;+++ ASIPRESS: TITOLI NOTIZIE ABRUZZO ORE 19:23:52 +++;"  (ASIpress) - Pescasseroli (L'Aquila) 9 mar. 2020  - 


 
(Cronaca - 09/03/2020 19:13:41 - CORONAVIRUS: SITUAZIONE ITALIA OGGI 9 MARZO) 
(Cronaca - 09/03/2020 18:08:21 - CORONAVIRUS: ABRUZZO, DUE NUOVI CASI NEL CHIETINO) 
(Cronaca - 09/03/2020 17:15:39 - CORONAVIRUS: IN ABRUZZO 30 CONTAGI A OGGI 9 MARZO) 
(Cronaca - 09/03/2020 17:03:07 - CORONAVIRUS: ABRUZZO, CHIETI ADOTTA MISURE DPCM) 
(Cronaca - 09/03/2020 16:59:59 - CORONAVIRUS: ABRUZZO, USR ATTIVA DIDATTICA ON LINE) 
(Cronaca - 09/03/2020 16:26:37 - CORONAVIRUS: ABRUZZO, S.G. TEATINO ATTIVA IL COC) 
(Cronaca - 09/03/2020 13:38:45 - CORONAVIRUS: ABRUZZO, LANCIANO ADOTTA CAUTELE DPCM) 
(Cronaca - 09/03/2020 11:35:33 - CORONAVIRUS: REGIONE ABRUZZO, FRONT OFFICE SOLO TELEMATICO) 
(Cronaca - 09/03/2020 10:02:21 - METEO: IN ARRIVO NUOVA FASE CALDA, TEMPERATURA IN RIALZO) 
(Cronaca - 09/03/2020 09:28:08 - CORONAVIRUS: CONSIGLI ISS PER LE PERSONE ANZIANE) 
(Cronaca - 09/03/2020 09:08:57 - CORONAVIRUS: SITUAZIONE ABRUZZO A IERI 8 MARZO) 
(Cronaca - 09/03/2020 09:04:53 - CORONAVIRUS: SITUAZIONE ITALIA A IERI 8 MARZO) 
(Cronaca - 09/03/2020 08:03:10 - TEMPERATURE MINIME) 
(NoteServ - 09/03/2020 08:02:03 - BUONGIORNO) - leggi su https://www.asipress.it





(ASIpress) Red - Noteserv Abruzzo - cod.43824 (09/03/2020 19:23:54)   ";2020-03-9; ASIpress;['Abruzzo'];https://www.asipress.it/notizia_dettaglio.asp?id=43824;www.asipress.it;['abruzzo']
10866;CORONAVIRUS: GDF DENUNCIA DUE CINESI PER FRODE IN COMMERCIO;"  (ASIpress) - Montesilvano (Pescara) 14 mar. 2020  - 


Ieri pomeriggio una pattuglia della Guardia di Finanza di Pescara, specializzata in Anti Terrorismo Pronto Impiego, è stata allertata dai vigili urbani di Montesilvano per la verifica presso un negozio gestito da due cinesi. All'interno le fiamme gialle hanno trovato pacchi di mascherine e gel disinfettante venduti a prezzi spropositati rispetto al loro prezzo di acquisto. Esaminata sul posto la documentazione amministrativa e contabile i militari non hanno avuto dubbi, scoprendo che la merce veniva venduta con margini di ricarico tra il 120% e il 380%, approfittando della contingenza causata dalla crisi coronavirus. L'attività si è conclusa con il sequestro di 710 mascherine di vari genere e prezzo, nonchè di 20 flaconi da un litro di gel mani igienizzante. Al termine delle formalità i due cinesi sono stati denunciati per frode in commercio e manovre speculative sulle merci. I controlli da parte dei finanzieri continueranno in maniera serrata al fine di contrastare pratiche commerciali scorrette. Chiunque rilevasse situazioni analoghe è invitato a chiamare il 117.





(ASIpress) Red - Cronaca Abruzzo - cod.43849 (14/03/2020 11:51:15)   ";2020-03-14; ASIpress;['Guardia di Finanza', 'Abruzzo', 'Pescara', 'Terrorismo', 'Montesilvano'];https://www.asipress.it/notizia_dettaglio.asp?id=43849;www.asipress.it;['abruzzo']
12584;CORONAVIRUS: PRESI A TAGLIARE LEGNA NEL BOSCO, DOPPIA DENUNCIA;"  (ASIpress) - Pescasseroli (L'Aquila) 19 mar. 2020  - 


Le Guardie del Parco nazionale d'Abruzzo e i Carabinieri hanno denunciato due persone di Pescasseroli per taglio abusivo di legna e inosservanza dei provvedimenti dell'Autorità sulle restrizioni per il coronavirus. I due sono stati sorpresi in località Prati della Zocca, a Pescasseroli, intenti nel bosco a tagliare gli alberi. Contestualmente sono stati sequestrati 8 quintali di legna e una motosega.





(ASIpress) Red - Cronaca Abruzzo - cod.43890 (19/03/2020 09:10:59)   ";2020-03-19; ASIpress;['Abruzzo', 'Carabinieri', 'Tagli'];https://www.asipress.it/notizia_dettaglio.asp?id=43890;www.asipress.it;['abruzzo']
12775;CORONAVIRUS: POLIZIA CHIUDE BAR AVEZZANO;"  (ASIpress) - Avezzano (L'Aquila) 19 mar. 2020  - 


Ieri gli agenti del Commissariato di Avezzano hanno dato esecuzione ad un provvedimento con cui il Prefetto di L'Aquila ha disposto la chiusura di un bar nella zona nord della città, per cinque giorni con decorrenza dal termine dall'emergenza epidemiologica in corso. Nei giorni precedenti, nell'ambito dei controlli volti al rispetto delle prescrizioni di cui ai D.P.C.M., gli agenti del Commissariato di Avezzano avevano accertato che il bar era regolarmente aperto in violazione dell'obbligo di sospensione di ogni attività. L'equipaggio della Volante, nell'immediatezza, aveva intimato la chiusura del bar contestando al titolare anche l'inosservanza dei provvedimenti dall'Autorità, emessi per ragioni di igiene e sicurezza pubblica) che prevede l'arresto fino tre mesi. L'inosservanza al divieto di apertura era stata segnalata alla Procura della Repubblica di Avezzano, al Sindaco e al Prefetto dell'Aquila.





(ASIpress) Red - Cronaca Abruzzo - cod.43894 (19/03/2020 14:33:17)   ";2020-03-19; ASIpress;"['Polizia', 'Abruzzo', 'Avezzano', 'Prefettura', ""L'Aquila""]";https://www.asipress.it/notizia_dettaglio.asp?id=43894;www.asipress.it;['abruzzo']
16840;CORONAVIRUS: GDF DENUNCIA DUE CINESI PER FRODE IN COMMERCIO;"  (ASIpress) - Montesilvano (Pescara) 14 mar. 2020  - 


Ieri pomeriggio una pattuglia della Guardia di Finanza di Pescara, specializzata in Anti Terrorismo Pronto Impiego, è stata allertata dai vigili urbani di Montesilvano per la verifica presso un negozio gestito da due cinesi. All'interno le fiamme gialle hanno trovato pacchi di mascherine e gel disinfettante venduti a prezzi spropositati rispetto al loro prezzo di acquisto. Esaminata sul posto la documentazione amministrativa e contabile i militari non hanno avuto dubbi, scoprendo che la merce veniva venduta con margini di ricarico tra il 120% e il 380%, approfittando della contingenza causata dalla crisi coronavirus. L'attività si è conclusa con il sequestro di 710 mascherine di vari genere e prezzo, nonchè di 20 flaconi da un litro di gel mani igienizzante. Al termine delle formalità i due cinesi sono stati denunciati per frode in commercio e manovre speculative sulle merci. I controlli da parte dei finanzieri continueranno in maniera serrata al fine di contrastare pratiche commerciali scorrette. Chiunque rilevasse situazioni analoghe è invitato a chiamare il 117.





(ASIpress) Red - Cronaca Abruzzo - cod.43849 (14/03/2020 11:51:15)   ";2020-03-14; ASIpress;['Guardia di Finanza', 'Abruzzo', 'Pescara', 'Terrorismo', 'Montesilvano'];https://www.asipress.it/notizia_dettaglio.asp?id=43849;www.asipress.it;['abruzzo']
18549;CORONAVIRUS: PRESI A TAGLIARE LEGNA NEL BOSCO, DOPPIA DENUNCIA;"  (ASIpress) - Pescasseroli (L'Aquila) 19 mar. 2020  - 


Le Guardie del Parco nazionale d'Abruzzo e i Carabinieri hanno denunciato due persone di Pescasseroli per taglio abusivo di legna e inosservanza dei provvedimenti dell'Autorità sulle restrizioni per il coronavirus. I due sono stati sorpresi in località Prati della Zocca, a Pescasseroli, intenti nel bosco a tagliare gli alberi. Contestualmente sono stati sequestrati 8 quintali di legna e una motosega.





(ASIpress) Red - Cronaca Abruzzo - cod.43890 (19/03/2020 09:10:59)   ";2020-03-19; ASIpress;['Abruzzo', 'Carabinieri', 'Tagli'];https://www.asipress.it/notizia_dettaglio.asp?id=43890;www.asipress.it;['abruzzo']
18740;CORONAVIRUS: POLIZIA CHIUDE BAR AVEZZANO;"  (ASIpress) - Avezzano (L'Aquila) 19 mar. 2020  - 


Ieri gli agenti del Commissariato di Avezzano hanno dato esecuzione ad un provvedimento con cui il Prefetto di L'Aquila ha disposto la chiusura di un bar nella zona nord della città, per cinque giorni con decorrenza dal termine dall'emergenza epidemiologica in corso. Nei giorni precedenti, nell'ambito dei controlli volti al rispetto delle prescrizioni di cui ai D.P.C.M., gli agenti del Commissariato di Avezzano avevano accertato che il bar era regolarmente aperto in violazione dell'obbligo di sospensione di ogni attività. L'equipaggio della Volante, nell'immediatezza, aveva intimato la chiusura del bar contestando al titolare anche l'inosservanza dei provvedimenti dall'Autorità, emessi per ragioni di igiene e sicurezza pubblica) che prevede l'arresto fino tre mesi. L'inosservanza al divieto di apertura era stata segnalata alla Procura della Repubblica di Avezzano, al Sindaco e al Prefetto dell'Aquila.





(ASIpress) Red - Cronaca Abruzzo - cod.43894 (19/03/2020 14:33:17)   ";2020-03-19; ASIpress;"['Polizia', 'Abruzzo', 'Avezzano', 'Prefettura', ""L'Aquila""]";https://www.asipress.it/notizia_dettaglio.asp?id=43894;www.asipress.it;['abruzzo']
