;title;content;date;author;tags;url;website-domain;region
111;Fase 2 hot, più congiunti di così: il video del sesso sugli scogli diventa virale;"
PORTO SANT'ELPIDIO - Di sicuro questi non si possono multare, perché di sicuro sono congiunti. Chissà se li ha visti il poliziotto, il carabiniere, il vigile di turno. Il popolo della rete sicuramente sì, li ha visti, perché il video è diventato in poco tempo virale. Travolti da un insolito destino nell’azzurro del mare di maggio… la replica nostrana del film della Wertmuller del 1974. Già, allora i personaggi erano di grande respiro, attori protagonisti gli intramontabili Mariangela Melato e Giancarlo Giannini. Stavolta restano sconosciuti il lui e la lei senza mutande sorpresi nell’amplesso. 





 


";2020-05-9; Corriere Adriatico;['Video', 'Carabinieri'];https://www.corriereadriatico.it/fermo/coronavirus_ultime_notizie_porto_sant_elpidio_sesso_scogli_video_virale_fase_2_hot_congiunti_8_maggio-5215681.html;www.corriereadriatico.it;['marche']
112;Tintarella e tuffi sono vietati, i vigili in spiaggia con i quad. Moli e battigia nord sorvegliati...;"
CIVITANOVA - Primo fine settimana della fase 2, spiaggia, porto e lungomare le zone sotto osservazione per evitare le temute aggregazioni di persone. La polizia locale metterà in azione il nuovo mezzo, appena acquistato, vale a dire il quad. In sella al quadriciclo, sarà pattugliata la battigia dove sono permesse le passeggiate ma non lo stazionamento. Vietato quindi prendere la tintarella, sedersi sulla spiaggia, farsi il bagno. Eventualità che in questi primi giorni non sono state mai riscontrate in città. 
La spiaggia più frequentata per le camminate è quella nord, sabbiosa ma l’ampiezza consente di non aver alcun problema a mantenere le distanze minime. Non si sono mai verificati assembramenti pericolosi. In questa zona agiscono anche i militari della Guardia Costiera che tengono sotto controllo anche l’area portuale. I moli sono senza dubbio i luoghi preferiti dai civitanovesi e anche quelli più fotografati. In questi giorni su tante pagine facebook sono tornate a fiorire le foto, anche dell’alba. Essendo il porto una delle zone preferite anche dai runner, soprattutto dopo le 18 le banchine risultano molto affollate. Ma, in questi giorni, c’è stata sempre parecchia attenzione nel mantenere il giusto distanziamento. 
I gruppi che passeggiano insieme sono (quasi sempre) nuclei familiari conviventi. Le infrazioni più lampanti sono, però, commesse dai teenagers. Le chiusura delle scuole di ogni ordine e grado hanno creato parecchio tempo libero ad orde di ragazzini alla ricerca di socialità. Così, purtroppo, qualche volta i giovani si raggruppano come non dovrebbero sui muretti del molo sud del porto o nelle panchine della pista ciclabile dl Castellaro. Ma anche sul muretto del lungomare sud, postazione iconica in città. Qui a far diradare gli assembramenti ci pensano gli agenti della polizia locale. Soprattutto nel pomeriggio, infatti, il lungomare sud è pattugliato più volte con agenti a piedi che ricordano le norme sul distanziamento, controllano tramite documenti se le persone che camminano vicine fanno parte dello stesso nucleo familiare e, nel caso, elevano sanzioni. Caso questo non ancora verificatosi per quanto riguarda le passeggiate. Di sicuro c’è che il lungomare sud, nel tardo pomeriggio, è la strada più trafficata. Meno gente nei parchi dove continuano ad essere interdetti i giochi per bambini. Qui il distanziamento sociale non è un problema. Molto frequentata, invece, la pista ciclabile del Castellaro. Per il weekend in molti si riverseranno sulla costa dall’entroterra.


 ";2020-05-9; Corriere Adriatico;['Spiaggie'];https://www.corriereadriatico.it/macerata/notizie_di_oggi_controlli_spiaggia_civitanova_marche_vigili_quad-5216365.html;www.corriereadriatico.it;['marche']
124;Pesaro, controlli Covid, putiferio alla richiesta di documenti: spray al peperoncino e denuncia per...;"
PESARO - Troppe persone al mare e nei parchi in barba alle norme per il contenimento del coronavirus. Continue segnalazioni alle forze dell’ordine soprattutto per capannelli che si formano al parco di Villa San Martino ma anche in via Lubiana, Cinque Torri e ovviamente in zona mare.Coronavirus, altre quattro vittime in un giorno: sono tutte donne. Nelle Marche 958 morti









";2020-05-9; Corriere Adriatico;['Marche', 'Pesaro'];https://www.corriereadriatico.it/pesaro/coronavirus_ultime_notizie_pesaro_controlli_spray_peperoncino_denuncia_due_ragazzi-5216305.html;www.corriereadriatico.it;['marche']
635;Centro ambiente, cassone a fuoco: l'incendio riaccende le polemiche;"
JESI  - Fiamme nel tardo pomeriggio e intervento dei vigili del fuoco, un odore di plastica bruciata che si diffonde ed è avvertito in buona parte del quartiere San Giuseppe. È accaduto venerdì scorso al Centro ambiente del Campo Boario, dove in tanti nell’ultima settimana, dopo la riapertura di lunedì scorso, si sono affollati per smaltire rifiuti ingombranti e potature accumulati. 









";2020-05-10; Corriere Adriatico;['Vigili Del Fuoco', 'Incendi', 'Marche', 'Jesi'];https://www.corriereadriatico.it/ancona/jesi_centro_ambiente_cassone_fuoco_incendio_riaccende_polemiche_ultime_notizie-5218053.html;www.corriereadriatico.it;['marche']
636;Violano le norme anti assembramento e i carabinieri li sorprendono con la droga, doppia denuncia...;"
APPIGNANO - Segnalato un assembramento di giovani, i carabinieri arrivano e trovano marijuana. Invano i ragazzi si erano nascosti tra gli alberi. Speravano di farla franca, ma in quattro alla fine sono stati denunciati. L’operazione antidroga è scattata l’altra sera quando i carabinieri della stazione di Appignano, durante il consueto servizio di perlustrazione, sono stati inviati dalla centrale operativa del Comando provinciale dei carabinieri di Macerata in contrada Campolongo di Montecassiano, dove era stato segnalato un assembramento di giovani.

I militari dell’Arma, appena giunti sul posto, hanno scovato i quattro ragazzi nascosti in mezzo agli arbusti. Si tratta di giovani del luogo, di età compresa tra i 19 ed i 21 anni, trovati in possesso di due involucri di cellophane,
contenenti 24 grammi complessivi di marijuana.

Per tale motivo sono stati denunciati per la detenzione di sostanza stupefacente. I guai per loro, però, non sono finiti qui. Sono stati, infatti, sanzionati  per l’inosservanza del divieto di movimento senza un reale e giustificato motivo, non rispettando le norme imposte dal decreto anticontagio.

 ";2020-05-10; Corriere Adriatico;['Carabinieri', 'Droga', 'Appignano'];https://www.corriereadriatico.it/macerata/appignano_ragazzi_hgashish_denunciati_anticontagio-5218174.html;www.corriereadriatico.it;['marche']
637;Carabiniere in servizio a Macerata ucciso dal Covid, aveva 59 anni;"
MACERATA - Carabiniere in servizio alla stazione di Macerata ucciso dal Covid. Choc e dolore nel capoluogo per la morte improvvisa di Federico La Rotonda, 59 anni, appuntato scelto qualifica speciale originario della Liguria che da molti anni viveva nelle Marche. È deceduto ieri all’ospedale Torrette di Ancona dove era stato ricoverato visto l’aggravarsi delle sue condizioni di salute dopo il contagio da Covid.









";2020-05-10; Corriere Adriatico;['Carabinieri', 'Marche', 'Macerata', 'Omicidi'];https://www.corriereadriatico.it/macerata/coronavirus_macerata_carabiniere_stroncato_da_covid_choc_nell_arma_ultime_notizie-5218182.html;www.corriereadriatico.it;['marche']
781;Pure un clandestino cinese a lavorare nella fabbrica che produce le mascherine. Denunciato il...;"
MALTIGNANO  - C’è il rischio di una chiusura fino a 30 giorni per l’azienda manifatturiera di Maltignano dove i carabinieri, a seguito di un controllo, hanno rilevato delle gravi carenze igieniche-sanitarie in cui lavoravano gli operai. A compiere il blitz sono stati i carabinieri di Folignano e di Castel di Lama insieme ai colleghi del Nucleo carabinieri ispettorato del lavoro che hanno effettuato il controllo all’azienda riconvertita per la realizzazione di mascherine.









";2020-05-10; Corriere Adriatico;['Carabinieri'];https://www.corriereadriatico.it/ascoli_piceno/coronavirus_clandestino_cinese_lavorare_fabbrica_mascherine_titolare_denunciato_ultime_notizie_10_maggio-5219429.html;www.corriereadriatico.it;['marche']
1002;Il Piceno a contagi zero: «E pazienti dimessi entro pochi giorni»;"
ASCOLI - Anche nella giornata di ieri non si è registrato nessun caso positivo da Coronavirus a testimonianza che nell’Area vasta 5 i contagi sono stati arrestati. «Si tratta di una notizia molto incoraggiante - afferma il direttore generale dell’Area vasta 5, Cesare Milani - che va ad associarsi a quelle provenienti dall’ospedale Madonna del Soccorso dove sono rimasti solo tre pazienti ricoverati in rianimazione ma non più per il Covid-19 bensì per patologie pregresse».









";2020-05-11; Corriere Adriatico;['Marche', 'Ascoli Piceno', 'Coronavirus', 'Arresti'];https://www.corriereadriatico.it/ascoli_piceno/coronavirus_ultime_notizie_ascoli_piceno_contagi_zero_pazienti_dimessi_pochi_giorni_11_maggio-5220950.html;www.corriereadriatico.it;['marche']
1260;Scoppia l'incendio in casa: Roberto muore a 50 anni soffocato dal fumo;"
CAGLI - Tragedia a Cagli, dove Roberto Girelli, imprenditore agricolo di 50 anni, è morto soffocato dalle esalazioni di un incendio che è scoppiato in casa. Incubo Coronavirus, altri 4 morti nelle Marche. Tra questi un uomo di 59 anni senza patologie pregresseCoronavirus, solo 10 contagiati nelle Marche: è il dato più basso da febbraio. Positivo un tampone su cento






 


";2020-05-11; Corriere Adriatico;['Incendi', 'Cagli'];https://www.corriereadriatico.it/pesaro/cagli_tragedia_morto_50_anni_roberto_girelli_incendio_casa_soffocato_fumo_ultime_notizie-5221174.html;www.corriereadriatico.it;['marche']
1289;Quattro persone sanzionate fino a 12.000 euro per abbandono di rifiuti urbani;"
SASSOFERRATO - Nei giorni scorsi i Carabinieri Forestali della Stazione Cc Forestale di Sassoferrato hanno portato a termine un’operazione di monitoraggio dei rifiuti abbandonati nel territorio comunale a seguito della chiusura del Centro Ambientale intercomunale di Sassoferrato, conseguenza dell’Emergenza Covid-19.









";2020-05-11; Corriere Adriatico;['Sassoferrato', 'Carabinieri'];https://www.corriereadriatico.it/ancona/sassoferrato_quattro_persone_sanzionate_abbnadono_rifiuti_urbani_ultime_notizie_11_maggio-5221094.html;www.corriereadriatico.it;['marche']
