;title;content;date;author;tags;url;website-domain;region
346;Nichelino: cade dal quarto piano, morto pensionato;È morto dopo un'ora dal suo ricovero in ospedale, Stefano Lucisano, 75 anni, pensionato di Nichelino. Troppo grave il trauma riportato dopo essere caduto dal quarto piano di un alloggio di via Fenestrelle. Da una prima ricostruzione di Polizia locale e Spresal l'uomo aveva raggiunto i figli, che avevano rilevato la sua ditta di ristrutturazioni, all'interno di un cantiere in un appartamento al quarto piano. È ancora da capire come possa essere caduto. Forse ha perso l'equilibrio o a seguito di un lieve malore. Quando sono arrivati i soccorritori del 118, il pensionato era ancora cosciente. Poi la situazione si è aggravata subito dopo il ricovero in ospedale. L'uomo è mancato al Cto di Torino poco dopo le 17,30 di questo pomeriggio.;2020-02-17; L'Eco del Chisone;['Piemonte', 'Nichelino'];https://www.ecodelchisone.it/news/2020-02-17/nichelino-cade-quarto-piano-morto-pensionato-37352;www.ecodelchisone.it;['piemonte']
409;Pinerolo: un buco nel pavimento per rapinare la banca, ma il colpo fallisce;Una banda di rapinatori ha preso di mira nella notte la filiale della “Bene banca” di corso Torino a Pinerolo. I malviventi sono entrati nell'istituto di credito dopo aver fatto un buco nel pavimento degli uffici, sfruttando il seminterrato. I rapinatori hanno aspettato l’arrivo del direttore che la mattina sarebbe arrivato ad aprire gli uffici con l’obiettivo di costringerlo ad aprire la cassaforte. Il colpo non è riuscito perché il responsabile della filiale ha notato uno dei rapinatori non appena è entrato negli uffici ed è riuscito a fuggire all’esterno della banca e a chiedere aiuto telefonando al 112. Immediatamente sul posto sono arrivati i Carabinieri del Radiomobile di Pinerolo. I rapinatori sono riusciti a fuggire dal retro. Non è stato asportato nulla. Il direttore è rimasto illeso e non è stato mai raggiunto dai rapinatori. Indagano i Carabinieri del Nucleo Operativo e Radiomobile.;2020-02-17; L'Eco del Chisone;['Piemonte', 'Pinerolo', 'Torino'];https://www.ecodelchisone.it/news/2020-02-17/pinerolo-buco-nel-pavimento-rapinare-banca-colpo-fallisce-37353;www.ecodelchisone.it;['piemonte']
976;Pinerolo: di nuovo a fuoco lex merlettificio Turck;Operazioni di spegnimento in corso a Pinerolo, all'ex merlettificio Turck, per un incendio divampato al primo piano che ha coinvolto lo storico follone che si affaccia su corso Piave. L'intervento tempestivo dei Vigili del Fuoco di Pinerolo e Luserna e dei Carabinieri di Pinerolo ha permesso di domare le fiamme in breve tempo. Probabilmente le fiamme si sono sollevate a causa di un fuoco acceso per scaldarsi all'interno. Al momento, non risultano esserci feriti. I Vigili del Fuoco stanno lavorando per metterlo in sicurezza. Si tratta dell'ennesimo episodio negli ultimi mesi: gli abitanti della zona sono preoccupati per la situazione di pericolo.;2020-02-18; L'Eco del Chisone;['Piemonte', 'Pinerolo', 'Incendi'];https://www.ecodelchisone.it/news/2020-02-18/pinerolo-nuovo-fuoco-ex-merlettificio-turck-37386;www.ecodelchisone.it;['piemonte']
2524;Coronavirus task force regionale;Si è svolta oggi pomeriggio nella sede dell’assessorato regionale alla Sanità del Piemonte una riunione straordinaria della task force regionale sul “coronavirus covid-19” per fare il punto sulla situazione in Piemonte, dopo i primi casi di contagio in Lombardia.L’assessore regionale alla Sanità ha illustrato in tempo reale la nuova ordinanza emanata dal ministro della Salute che prevede misure di isolamento quarantenario obbligatorio per i contatti stretti con un caso risultato positivo e dispone la sorveglianza attiva con permanenza domiciliare fiduciaria per chi è stato nelle aree a rischio negli ultimi 14 giorni, con obbligo di segnalazione da parte del soggetto interessato alle autorità sanitarie locali.Alla riunione, presieduta dallo stesso assessore, hanno partecipato i direttori generali e sanitari delle Asl e Aso del Piemonte, i responsabili del Seremi (Servizio di riferimento regionale di epidemiologìa per la sorveglianza e il controllo delle malattie infettive) di Alessandria, il dirigente responsabile del Settore Programmazione dei servizi sanitari regionali, i responsabili dei Servizi di Emergenza 118 e della Protezione civile del Piemonte.Si è seguita in videoconferenza la riunione della Unità di emergenza nazionale, in collegamento dalla sede della Regione Lombardia.Al momento, in Piemonte, non sono riscontrati casi di positività al virus. Alle Aziende sanitarie sono state ribadite le indicazioni dei protocolli internazionali e ministeriali riferite all’evolversi della situazione.L’assessore ha rilevato come il Sistema sanitario piemontese stia agendo con la massima attenzione, assicurando il pieno rispetto dei protocolli sanitari appropriati alle diverse situazioni. ;2020-02-21; L'Eco del Chisone;['Piemonte', 'Pinerolo'];https://www.ecodelchisone.it/news/2020-02-21/coronavirus-task-force-regionale-37407;www.ecodelchisone.it;['piemonte']
2652;Nichelino: chiude in cantina unanziana, badante arrestata per sequestro di persona;Ieri mattina a Nichelino i carabinieri, a seguito di una segnalazione al giunta al “112” di un condomino che ha sentito dei lamenti di una donna dal vano cantine del palazzo, sono intervenuti e hanno scoperto che la badante aveva chiuso in cantina una donna di 63 anni per poi ritornare dopo diverse ore. La vittima ha riferito che tale episodio si era verificato anche il giorno prima per tutta l’intera giornata. La badante, una 46enne di origine moldava, è stata arrestata per sequestro di persona.;2020-02-22; L'Eco del Chisone;['Piemonte', 'Nichelino', 'Arresti', 'Carabinieri'];https://www.ecodelchisone.it/news/2020-02-22/nichelino-chiude-cantina-anziana-badante-arrestata-sequestro-persona-37408;www.ecodelchisone.it;['piemonte']
3372;VIllafranca: sinti in trasferta ad Aosta per derubare gli anziani, una donna arrestata;La Squadra mobile della Questura di Aosta ha eseguito un'ordinanza di custodia cautelare in carcere nei confronti di due sinti di Villafranca Piemonte ritenuti responsabili di alcuni episodi di furto in abitazione avvenuti proprio ad Aosta. Si tratta di Giuseppina Argenta, 55 anni, e del convivente Adriano Decolombi, di 54 anni. Lei è stata fermata dai poliziotti questa mattina proprio a Villafranca mentre su di lui, che non era in casa, sono in corso le ricerche degli investigatori. Secondo gli inquirenti si sarebbero spacciati per amici e conoscenti di persone anziane e, dopo aver carpito la loro fiducia ed essere entrati nelle abitazioni, li avrebbero derubati di denaro contante e oggetti di valore. Dai riscontri, l'ammontare complessivo del bottino ammonterebbe a 70mila euro.;2020-02-24; L'Eco del Chisone;"[""Valle D'Aosta"", 'Aosta', 'Arresti', 'Custodia Cautelare', 'Carceri', 'Piemonte']";https://www.ecodelchisone.it/news/2020-02-24/villafranca-sinti-trasferta-ad-aosta-derubare-gli-anziani-una-donna-arrestata-37466;www.ecodelchisone.it;['piemonte']
4155;Nichelino: rubano su un tir nell'area di servizio della tangenziale;Sono in corso le indagini della Polizia stradale di Torino dopo il maxi-furto avvenuto nella notte tra lunedì e martedì nell'area di servizio Nichelino sud della tangenziale di Torino. I ladri hanno svaligiato un autoarticolato che trasportava componenti di ricambio per le autovetture Volvo. Durante il colpo, hanno danneggiato il cassone telonato di altri due tir. Per raggiungere e poi fuggire dall'area di servizio, hanno fatto un buco nella recinzione del distributore e si sono allontanati nella notte verso le campagne circostanti.;2020-02-26; L'Eco del Chisone;['Piemonte', 'Nichelino', 'Inchieste-investigazioni-indagini', 'Polizia Stradale', 'Polizia', 'Torino'];https://www.ecodelchisone.it/news/2020-02-26/nichelino-rubano-tir-nell-area-servizio-tangenziale-37488;www.ecodelchisone.it;['piemonte']
4578;Fallimento Auxilium Basket: arrestato l'ex notaio Goveani;Quattro ordinanze di custodia cautelare (oltre a vari avvisi di garanzia) sono state eseguite relativamente al fallimento dell’Auxilium basket di Torino. Uno degli arrestati è l’imprenditore Mario Burlò, sponsor della società, già finito in carcere per concorso esterno in associazione mafiosa nell'ambito dell'Operazione Fenice, che pochi giorni prima di Natale aveva portato in cella pure l'ex assessore regionale Roberto Rosso. Tra gli odierni destinatari della misura cautelare anche l'ex notaio Roberto Goveani, personaggio assai noto e controverso (oggi alle prese con un processo per peculato che dovrebbe concludersi a maggio a Tempio Pausania), che nel 1993 fu presidente del Torino Calcio, Maurizio Actis (commercialista, componente del Cda della società dichiarata fallita il 17 giugno 2019) ed Enrico Zumbo (factotum di Burlò). L'accusa sarebbe bancarotta fraudolenta attraverso il meccanismo delle indebite compensazioni, già al centro dell'inchiesta Fenice. L'indagine è coordinata dal pm Ciro Santoriello. Burlò, 46enne imprenditore di rango nel ramo del «Facility managment» e outsourcing, fino al 20 dicembre (quando il contratto fu rescisso proprio a seguito delle notizie emerse con l'Operazione Fenice) era pure main sponsor della Valpe. A far da tramite tra il torinese, fondatore del Consorzio di imprese OJ Solution con sede in via Arcivescovado nel capoluogo piemontese, era stato proprio l'amico Goveani. Indagato a piede libero anche il figlio del notaio, Umberto, che aveva un ruolo manageriale in OJ Solution.Ad assistere il notaio pinerolese, gli avv. Fiorenzo Storelli e Alberto Mittone.Nella foto Goveani (a sinistra) e Burlò, rispettivamente direttore generale e presidente del Capri Calcio.Aggiornamento alle ore 11,17.;2020-02-27; L'Eco del Chisone;['Arresti', 'Piemonte', 'Pinerolo', 'Custodia Cautelare', 'Torino'];https://www.ecodelchisone.it/news/2020-02-27/fallimento-auxilium-basket-arrestato-ex-notaio-goveani-37493;www.ecodelchisone.it;['piemonte']
4780;Fallimento Auxilium Basket: l'ex notaio Goveani in carcere alle Vallette;"È in cella alle Vallette da questa mattina, l’ex notaio Roberto Goveani: ad arrestarlo, nella sua abitazione di San Secondo di Pinerolo, gli uomini della Guardia di Finanza di Torino che hanno eseguito l’ordinanza di custodia in carcere richiesta dalla Procura e firmata dal gip Alessandra Pfiffner.  Oltre a Goveani, classe ’57, personaggio assai noto e controverso che nel 1993 fu persino presidente del Torino Calcio, anche il commercialista Maurizio Actis, l’imprenditore Mario Burlò e il suo factotum Enrico Rodolfo Zumbo.
 
Per gli inquirenti sono loro i principali responsabili di un disegno criminoso teso a compensare i gravosi debiti contributivi e tributari della società di basket Auxilium Torino, attraverso il sistematico utilizzo di fittizi crediti Iva, quantificati, allo stato, in circa 1,5 milioni di euro.
 
Le indagini, condotte dal Gruppo GdF Torino, col coordinamento del Procuratore Aggiunto Marco Gianoglio e del pm Ciro Santoriello, sono state inizialmente orientate ad appurare eventuali responsabilità penali in relazione alle circostanze che nella primavera dello scorso anno portarono alla dissoluzione della squadra torinese (che allora militava nella massima serie, la Lega A di pallacanestro), alle quali seguì l’apertura e successiva dichiarazione di fallimento della società (17 giugno 2019).
 
Una frode ramificata in molteplici società, quella ricostruita dagli inquirenti, che vedrebbe coinvolti anche professionisti tributari e di consulenza aziendale. Tra i destinatari dell'odierna misura cautelare, pure il 46enne Mario Burlò, main sponsor dell’Auxilium, già finito in carcere il 20 dicembre (così come l'ex assessore regionale Roberto Rosso) con l’accusa di concorso esterno in associazione mafiosa nell'ambito dell'Operazione Fenice. Imprenditore di rango nel ramo del «Facility managment» e outsourcing, fondatore del consorzio di imprese OJ Solution, con sede in Via Arcivescovado a Torino, Burlò fu main sponsor della Valpe fino alla notizia del suo arresto, quando la Cooperativa HCV Filatoio 2440 rescisse il contratto senza tentennnamenti. A portarlo in Val Pellice, era stato proprio l'amico Goveani, con cui tra l'altro aveva fatto rinascere la squadra di calcio di Capri.  
“Risultano indagati - puntualizza la nota stampa diramata dal Comando provinciale della Finanza - anche ulteriori professionisti compiacenti che hanno apposto il necessario visto di conformità sui fittizi crediti IVA creati, anche attraverso l’emissione di fatture per operazioni inesistenti, da diverse società esistenti solo sulla carta, poi utilizzati dalla AUXILIUM”. Tra questi ci sarebbe Umberto Goveani, figlio di Roberto, che aveva un ruolo manageriale in OJ Solution.Da anni alle prese con un processo per peculato che dovrebbe concludersi a metà maggio nel Tribunale sardo di Tempio Pausania, nell'attuale procedimento giudiziario il notaio pinerolese è difeso dagli avv. Fiorenzo Storelli di Lucca e Alberto Mittone di Torino.Nella foto Goveani (a sinistra) e Burlò, rispettivamente direttore generale e presidente del Capri Isola Azzurra di Calcio.";2020-02-27; L'Eco del Chisone;['Carceri', 'Piemonte', 'Pinerolo', 'Giustizia', 'Tribunali'];https://www.ecodelchisone.it/news/2020-02-27/fallimento-auxilium-basket-ex-notaio-goveani-carcere-alle-vallette-37498;www.ecodelchisone.it;['piemonte']
6395;Sestriere: Guardia di Finanza, notte di controlli antidroga al Colle;Una notte di controlli, quelli effettuati dalla Guardia di Finanza di Torino impegnata al Sestriere in un’attività di prevenzione mirata a contrastare il traffico di stupefacenti ed episodi di microcriminalità. Alcuni equipaggi della Compagnia di Susa e della Tenenza di Bardonecchia, supportati dalle Squadre Cinofile del Gruppo Torino, hanno controllato per gran parte della notte, all’ingresso del Colle, sia le auto provenienti dalla Val Chisone e pinerolese, che quelle provenienti dalla Val di Susa. Ben 70 i veicoli controllati e 200 le persone identificati: decine i grammi di sostanze stupefacenti sequestrati, sia a bordo delle autovetture fermate che occultate sulle persone, oltre a diversi spinelli già confezionati e pronti per essere consumati. Quantitativi di Hashish e marijuana sono stati anche rivenuti nascosti all’interno di una transenna sita in un parcheggio posto nelle immediate vicinanze di un noto locale notturno del Sestriere, molto probabilmente sostanze “abbandonate” dai possessori alla vista dei Finanzieri.;2020-03-3; L'Eco del Chisone;['Sestriere', 'Guardia di Finanza', 'Droga', 'Torino', 'Piemonte'];https://www.ecodelchisone.it/news/2020-03-03/sestriere-guardia-finanza-notte-controlli-antidroga-colle-37556;www.ecodelchisone.it;['piemonte']
