;title;content;date;author;tags;url;website-domain;region
44;"Il padre di Iaquinta a rischio coronavirus: ""In carcere non fanno il tampone""";"""Giuseppe Iaquinta potrebbe avere il coronavirus in carcere"". Lo sostiene l'avvocato Ernesto De Toni che assiste il padre dell'ex calciatore della Juve e campione del Mondo 2006 con la Nazionale. La notizia arriva dal Carlino di Reggio Emilia. Iaquinta senior è in cella nel carcere di Voghera dopo la condanna a 19 anni per associazione mafiosa in primo grado nel processo 'Aemilia' contro la 'ndrangheta e gli affari criminali della cosca Grande Aracri in provincia di Reggio Emilia e non solo. ""Il medico del carcere - le parole del legale - ha chiesto che fosse sottoposto al tampone, ma ancora non lo ha fatto. Non ha la febbre, ma ha mal di gola e si trova in una sezione con altri che hanno avuto il Covid. Uno di loro è morto. Giuseppe soffre di problemi cardiaci per i quali in dicembre è stato ricoverato"". Iaquinta ha compiuto ieri 63 anni.Circa un mese fa, sui social, Vincenzo Iaquinta, condannato a due anni nello stesso processo, si era sfogato per la situazione del padre, tenuto in una cella troppo piccola, invocando l'intervento del ministro Bonafede. ""Abbiamo presentato un'altra istanza di scarcerazione alla Corte di Appello: i giudici hanno chiesto approfondimenti alla direzione sanitaria del carcere che dal 23 aprile non ha risposto nonostante il nostro sollecito del 30 aprile. Ho avuto modo di leggere una relazione scritta dalla direzione sanitaria su un altro detenuto, in cui si diceva che in carcere è tutto a posto. Non è così, e se Iaquinta dovesse morire di Covid li denuncerò"", ha concluso l'avvocato De Toni.   Gasport© RIPRODUZIONE RISERVATA";2020-05-8; La Gazzetta dello Sport;['Carceri', 'Avvocati'];https://www.gazzetta.it/Calcio/Serie-A/08-05-2020/padre-iaquinta-carcere-ndrangheta-rischio-coronavirus-370819618692.shtml;www.gazzetta.it;['sardegna', 'friuli', 'campania', 'piemonte', 'lazio', 'toscana', 'liguria', 'veneto', 'lombardia']
204;Patron del Marsala agli arresti domiciliari. L'accusa: peculato e riciclaggio;Domenico Cottone, patron del Marsala Calcio (serie D) è agli arresti domiciliari con la moglie Chiara Gulotta con l’accusa di peculato e abusiva attività finanziaria, i due sono indagati anche per il reato di riciclaggio. Le accuse sono legare alla gestione di una sala giochi in via Cavour a Palermo. Secondo quanto accertato dai finanzieri marito e moglie si sarebbero appropriati degli importi dovuti per legge su tutte le giocate effettuate e quelli previsti dal canone di concessione, non versando i soldi alla concessionaria dello Stato. L’operazione “Washing Hall” è stata coordinata dai pm Giovanni Antoci e Vincenzo Amico e dal procuratore aggiunto Sergio Demontis. Disposto anche il sequestro di beni e disponibilità finanziarie di un milione di euro relativo al debito complessivo con l’erario maturato nell’arco di 4 anni. Inoltre secondo i finanzieri, nella sala giochi i titolari concedevano dei ticket validi per giocare dietro la consegna di assegni bancari postdatati e in alcuni casi senza la data di emissione.A metà febbraio i giocatori del Marsala avevano denunciato in un comunicato “la mancanza di stipendi (ultima mensilità percepita ottobre 2019)” aggiungendo che in un confronto con la proprietà era stato comunicato: “Al momento non ci sono soldi nelle casse della società”.Gasport© RIPRODUZIONE RISERVATA;2020-05-9; La Gazzetta dello Sport;['Sicilia', 'Marsala', 'Arresti', 'Arresti Domiciliari', 'Palermo'];https://www.gazzetta.it/Calcio/altri-campionati/09-05-2020/patron-marsala-arresti-domiciliari-peculato-riciclaggio-370832719953.shtml;www.gazzetta.it;['sardegna', 'campania', 'friuli', 'piemonte', 'lazio', 'toscana', 'liguria', 'veneto', 'sicilia', 'lombardia']
350;Valanga sulle montagne di Cortina: morto uno scialpinista, illeso il fratello;" Un giovane di 23 anni è morto nella valanga che si è verificata a Cortina, nella zona Tofana di Rotzes, sopra il rifugio Giussani. Il ragazzo, che stava facendo scialpinismo con il fratello 27enne, è stato trascinato a valle per oltre 200 metri. Non ci sarebbero altre vittime. Secondo quanto ricostruito, scendendo dalla Rotzes assieme al fratello lo scialpinista bellunese, anziché prendere il rientro classico dallo spallone, si è tenuto a destra dello Spigolo Zero e ha preso un canale che porta dietro Punta Marietta. A metà discesa si è però staccata una valanga che lo ha trascinato per oltre 200 metri.  Il fratello, rimasto più in alto, ha subito lanciato l’allarme e sul posto si è diretto l’elicottero del Suem di Pieve di Cadore, dopo aver imbarcato personale del Soccorso alpino e della Guardia di finanza di Cortina. Una volta individuato il corpo a circa 2550 metri di quota, i soccorritori sono stati sbarcati con un verricello di 70 metri.  La salma è stata recuperata e trasportata a valle, per essere poi accompagnata nella cella mortuaria di Cortina. L’eliambulanza ha imbarcato anche il fratello del giovane, rimasto illeso. Una discesa “tagliata” troppo a destra rispetto al tragitto considerato più sicuro e condizioni meteo con temperature in rialzo e sole che perduravano da due giorni: sono due delle concause ipotizzate dai soccorritori. Il ragazzo insieme al fratello aveva raggiunto con l’auto poco dopo le 9 il Rifugio Di Bona. Da qui con gli sci attrezzati con le pelli di foca i due erano risaliti sino al Rifugio Giussani. Mentre stavano scendendo il più giovane è rimasto coinvolto nell’incidente. Una massa di neve si è staccata e lo ha trascinato a valle per 300 metri, facendolo rimbalzare su una serie di picchi. Quando è stato ritrovato, per il 23enne non vi era più nulla da fare. Molti appassionati di scialpinismo stamane avevano compiuto la stessa escursione, complice la giornata di sole e il rialzo delle temperature. Due elementi che potrebbero aver contribuito al formarsi della valanga. L’intervento, dicono i soccorritori, è concluso; viene esclusa l’ipotesi che vi siano altri sciatori coinvolti.Gasport© RIPRODUZIONE RISERVATA";2020-05-9; La Gazzetta dello Sport;"[""Cortina D'Ampezzo (Viaggi)""]";https://www.gazzetta.it/Sport-Invernali/09-05-2020/valanga-cortina-morto-ragazzo-370835129963.shtml;www.gazzetta.it;['sardegna', 'friuli', 'campania', 'piemonte', 'lazio', 'toscana', 'liguria', 'veneto', 'lombardia']
853;Il ragazzo che sgasava in via Padova: ricordo di Lorenzo Bandini;"Mario Salvini 
                &commatchepalleblog
            Lo vedevano sfrecciare in via Padova, che adesso se la senti nominare è per via di qualche tensione sociale, per una fama cattiva e non del tutto meritata. Ma allora quello stradone che esce da piazzale Loreto verso la periferia nord era la rappresentazione stessa della ripresa economica e del miracolo che aveva portato a Milano plotoni di italiani arrivati da altre regioni. Lorenzo Bandini viveva lì con la sua Margherita, al numero 95, sopra l’angolo con via Cavezzali dove al 9 c’era l’Autorimessa Gran Prix avuta in gestione dal suocero, Goliardo Freddi.";2020-05-10; La Gazzetta dello Sport;['Veneto', 'Padova', 'Gran Premio Di Monaco (Montecarlo)', 'Ferrari', 'Lombardia', 'Milano'];https://www.gazzetta.it/Formula-1/10-05-2020/ragazzo-che-sgasava-via-padova-ricordo-lorenzo-bandini-370867001701.shtml;www.gazzetta.it;['sardegna', 'campania', 'friuli', 'piemonte', 'lazio', 'toscana', 'veneto', 'liguria', 'lombardia']
892;Il boato e poi la scossa: Roma si sveglia col terremoto;"Roma si è svegliata col terremoto. Un inizio di giornata traumatico per i romani che sono scesi in strada poco dopo le 5 a causa di una scossa sismica. Oltre alla paura, infatti, pioggia e vento hanno segnato questo inizio mattinata. La scossa è stata avvertita distintamente in tutta Roma e in particolare nella zona nord est più vicina all'epicentro, e a Tivoli e Guidonia. Alcune persone sono scese in strada, molte le chiamate ai centralini delle forze dell'ordine. Al momento non risultano danni a persone o cose. ""Non parliamo di una forte scossa di terremoto, questa è una magnitudo frequente nel nostro Paese. Scosse come queste di magnitudo 3.3 ne registriamo centinaia se non migliaia durante l'anno. La scossa che è stata avvertita a Roma ha svegliato molte persone ma non ha generato danni nei Comuni di Fonte Nuova, Mentana e Monterotondo che sono i comuni più prossimi alla zona epicentrale"". Lo ha detto Pierfrancesco De Milito, capo ufficio stampa della Protezione Civile intervenendo a RaiNews 24. ""La tranquillità non è un atteggiamento da applicare al rischio sismico - ha aggiunto -, ma sapendo che l'Italia è un Paese esposto a questo rischio, non dobbiamo meravigliarci o spaventarci di scosse come queste"". Paura anche nei comuni limitrofi a Fonte Nuova, epicentro del sisma. A Guidonia Montecelio, Tivoli, Monterotondo molte persone, svegliate anche dal boato che ha preceduto la scossa, sono scese in strada malgrado il temporale che si è scatenato subito dopo il terremoto.Gasport© RIPRODUZIONE RISERVATA";2020-05-11; La Gazzetta dello Sport;['Terremoti', 'Terremoto A Roma', 'Lazio', 'Roma'];https://www.gazzetta.it/Cronaca/11-05-2020/terremoto-roma-prima-alba-370880312634.shtml;www.gazzetta.it;['sardegna', 'friuli', 'campania', 'piemonte', 'lazio', 'toscana', 'liguria', 'veneto', 'lombardia']
1125;Andrea Rinaldi non ce l'ha fatta: è morto per un aneurisma a 19 anni;"Andrea Rinaldi, 19 anni, ex centrocampista dell'Atalanta Primavera, poi ceduto al Legnano in Serie D, non ce l'ha fatta. Venerdì nella sua casa di Cermenate (Como) era stato colpito da un aneurisma cerebrale mentre si allenava. Subito la corsa all'ospedale di Varese per cercare di salvarlo, ma stamattina il suo cuore ha cessato di battere. I funerali si terranno giovedì, alle 15.30,allo stadio Cermenate (dove, visti gli spazi, si potrà accedere senza limitazioni di numero), mentre la camera ardente sarà allestita nella palestra antistante lo stadio e sarà aperta nell'intera giornata di mercoledì e giovedì mattina.""Andrea era un ragazzo a cui tutti volevano bene e chi si faceva volere bene"", il virgolettato dell'allenatore del Legnano, Giovanni Cusatis, rilasciato alla Provincia di Como. ""Ci eravamo sentiti qualche giorno fa, io chiamo tutti i ragazzi una volta a settimana e stava bene. Mi ha detto: 'Mister ha fatto appena in tempo a beccarmi che sto andando in giardino ad allenarmi'. Abbiamo scherzato ed era felice, sorridente, non aveva alcun problema"". La notizia della morte è stata confermata dallo stesso club lilla sul sito ufficiale. ""L'Ac Legnano, il mondo lilla, la città e l'intero universo calcistico, a tutti i livelli, oggi vivono uno dei loro giorni più sconvolgenti. Andrea Rinaldi, il nostro guerriero, ci ha lasciati. Un aneurisma lo ha strappato alla vita a 20 anni non ancora compiuti, nel fiore degli anni, con una vita davanti e con una carriera che prometteva traguardi luminosi. Una tragedia improvvisa e sconvolgente, impossibile anche solo da immaginare"". Molte le società che hanno espresso il proprio dolore per la scomparsa di Andrea. In prima fila, naturalmente, la ""sua"" Atalanta:  ""Il Presidente Antonio Percassi e tutta la famiglia #Atalanta, profondamente colpiti, partecipano commossi al dolore dei familiari e del @aclegnano per la scomparsa di Andrea #Rinaldi. Ciao Andrea..."". Il Torino lo ha fatto sui propri canali social: ""Il Presidente Urbano Cairo e tutto il Torino Football Club, profondamente commossi, esprimono il loro cordoglio e la vicinanza alla famiglia Rinaldi per la prematura scomparsa di Andrea Rinaldi, giovane centrocampista del Legnano ed ex calciatore della Primavera dell'Atalanta"".Il suo procuratore Marco Montesarchio ha pubblicato oggi un post con un video delle immagini più belle di Andrea calciatore: ""È una notizia che non vorresti mai dover dare o ricevere anche per chi, come me, ti conosceva solo da un anno. Fu tuo padre a organizzare l'incontro, ma bastò poco a entrambi per capire subito che condividevamo gli stessi principi per poter iniziare a lavorare insieme. Sono stato davvero fortunato ad averti conosciuto e sono contento che le nostre strade si siano incrociate anche se per così poco tempo... Spero d'averti potuto lasciare qualcosa di positivo come tu sicuramente hai fatto con me. Sei stato sempre corretto e leale con tutti, era il tuo modo di essere dentro e fuori dal campo di calcio. Quel rettangolo verde che era la tua vita!  Avrei voluto poter gioire con te per un tuo ritorno tra i professionisti, te lo saresti meritato dopo una stagione esaltante a Legnano. Poi, avevamo ancora tantissimi traguardi da dover raggiungere, come quelli che iniziavamo a programmare per la prossima stagione. Ma, purtroppo, il destino ha voluto che un malore ti portasse via in un attimo... La tua vita è stata breve ma vissuta intensamente perché eri un lottatore che davanti alle difficoltà non si arrendeva e lo hai sempre saputo dimostrare e hai sempre dato tutto!  È stato un onore averti avuto tra i miei assistiti e mi piacerà ricordarti, così, con quel motto che ti rappresentava tanto e che avevi scritto anche sulla tua pagina facebook: 'Se non lotti per ciò che desideri, non piangere per ciò che perdi'. Ciao Andrea Rinaldi, fai Buon Viaggio"". Gasport© RIPRODUZIONE RISERVATA";2020-05-11; La Gazzetta dello Sport;['Lombardia', 'Legnano', 'Varese'];https://www.gazzetta.it/Calcio/Serie-A/Atalanta/11-05-2020/chi-era-andrea-rinaldi-ex-primavera-atalanta-morto-19-anni-aneurisma-370884763250.shtml;www.gazzetta.it;['sardegna', 'friuli', 'campania', 'piemonte', 'lazio', 'toscana', 'liguria', 'veneto', 'lombardia']
1382;Williams, cronaca di un declino. E con i gp fermi rischia il default;Luigi PernaDomani saranno passati otto anni. Un tempo infinito senza vittorie per la Williams, che festeggiò l’ultima gioia il 13 maggio del 2012 sul circuito del Montmeló, quando Pastor Maldonado andò in testa dopo il secondo pit stop e riuscì a tenersi dietro la Ferrari di uno scatenato Fernando Alonso nei dieci giri finali del GP di Spagna. Fu un successo memorabile, il primo per un pilota venezuelano, e i festeggiamenti furono “infuocati” (letteralmente) a causa di un principio di incendio nel box della squadra inglese durante le operazioni per svuotare il serbatoio delle vetture nel dopo gara.;2020-05-12; La Gazzetta dello Sport;['Williams F1 Team'];https://www.gazzetta.it/Formula-1/11-05-2020/williams-cronaca-un-declino-gp-fermi-rischia-default-370899333752.shtml;www.gazzetta.it;['sardegna', 'friuli', 'campania', 'piemonte', 'lazio', 'toscana', 'liguria', 'veneto', 'lombardia']
1452;Tesla, Musk contro il lockdown: riapre la fabbrica in California; Il numero uno di Tesla, Elon Musk, ha annunciato su Twitter il riavvio della produzione presso la fabbrica di Fremont, in California, in violazione del lockdown e in una sfida aperta alle autorità locali. “Tesla sta riprendendo la produzione oggi contro le regole della contea di Alameda”, ha scritto l’imprenditore. “Sarò alla catena di montaggio con tutti gli altri. Se qualcuno dovrà essere arrestato, chiedo che sia solamente io”, ha aggiunto. Musk ha incassato l’appoggio del presidente degli Stati Uniti Donald Trump: “La california dovrebbe permettere a Tesla di Elon Musk di aprire la fabbrica ora. Può essere fatto velocemente e in sicurezza” ha scritto Trump in un tweet. La fabbrica di Fremont impiega 10 mila persone ed è stata chiusa dal 23 marzo. In altri stati americani gli impianti hanno avuto il permesso di ricominciare a lavorare: in Michigan da lunedì 11 le fabbriche hanno potuto riaprire. Anche il governatore della California Gavin Newson venerdì 8 aveva dato l’ok alla riapertura della manifattura ma la contea di Alameda aveva disposto un’altra settimana di chiusura. Poche ore prima dell’annuncio della riapertura dell’impianto nella baia di San Francisco l’imprenditore aveva fatto causa alla contea di Alameda per ottenere l’annullamento degli ordini esecutivi che lo hanno costretto a chiudere la fabbrica. Vistosi negato il permesso di riaprire Musk aveva inoltre minacciato di spostare gli uffici amministrativi e il suo unico stabilimento statunitense in Texas o in Nevada. “Se manterremo un’attività a Fremont dipenderà dal modo in cui verremo trattati in futuro”, aveva chiosato. Musk, non nuovo a exploit di questo genere, si è scagliato più volte in maniera durissima contro il lockdown e alcuni giorni fa, durante la conference call con gli azionisti sui risultati trimestrali, si era lanciato in una lunga invettiva nella quale aveva definito “fasciste” le misure di contenimento della pandemia da coronavirus. Prima dell’appoggio di Trump, in un’intervista alla Cnbc, il segretario al Tesoro, Steve Mnuchin, ha invitato la California a collaborare con Musk per consentirgli di riaprire velocemente e in sicurezza la sua fabbrica.  Intanto il costruttore di auto elettriche ha registrato un crollo delle vendite in Cina in controtendenza rispetto al mercato. Ad aprile, con le concessionarie riaperte, le immatricolazioni sono calate del 64% rispetto al mese precedente. Le vendite si sono fermate a 3.653 pezzi contro i 10.160 di marzo. Gasport© RIPRODUZIONE RISERVATA;2020-05-12; La Gazzetta dello Sport;['Tesla (auto)', 'Arresti'];https://www.gazzetta.it/motori/la-mia-auto/12-05-2020/tesla-musk-lockdown-vuole-riaprire-fabbrica-california-370908015505.shtml;www.gazzetta.it;['sardegna', 'friuli', 'campania', 'piemonte', 'lazio', 'toscana', 'liguria', 'veneto', 'lombardia']
2041;Lavezzi, estorsione a luci rosse: denunciati i ricattatori;"Ezequiel ""Pocho"" Lavezzi, ex attaccante argentino del Napoli e ritiratosi (ai Caraibi) dal calcio giocato alla fine dell’anno scorso, è stato vittima di un ricatto basato su video definiti “porno”. Lo ha denunciato lo stesso Lavezzi, con due diversi esposti alla procura di Buenos Aires, alla sezione crimini informatici. Lo riferisce il quotidiano argentino “Clarin”. L'importo chiesto al Pocho è modesto, 5.000 dollari, ma la minaccia sembra reale: in ballo ci sarebbero dei video particolarmente hot e delle conversazioni esplicite, che lo stesso Lavezzi ha riconosciuto.Hanno iniziato a scrivergli da due account Instagram. Non solo a lui ma anche alla sua ragazza, Natalia Borges, con cui vive - ha raccontato il ‘Clarin’ citando fonti investigative -. Queste persone hanno in vari modi, anche facendoli ascoltare, dimostrato di essere in possesso di video e conversazioni ‘hot’ di Lavezzi e della sua compagna, minacciando di svelarne il contenuto. Ecco perché l’ex calciatore argentino ha deciso di sporgere denuncia per estorsione. Che sarebbe tale anche se i contenuti fossero falsi, hanno spiegato gli inquirenti. Ma pare che lo stesso Lavezzi riconosce i video e le conversazioni come reali.Il Pocho è ancora amatissimo a Napoli dove ha giocato fra il 2007 e il 2012 (prima all’Estudiantes e al San Lorenzo, dopo al Psg e in Cina con l’Hebei) vincendo anche una Coppa Italia in azzurro, procurando il rigore decisivo segnato da Cavani, quel 20 maggio di 8 anni fa. E la testimonianza del legame della città partenopea lo vedi anche attraverso i social: domenica ai Caraibi Lavezzi ha festeggiato i 15 anni del figlio Tomi. Da Napoli sono arrivati tantissimi auguri. Gasport© RIPRODUZIONE RISERVATA";2020-05-13; La Gazzetta dello Sport;['Video'];https://www.gazzetta.it/Calcio/Serie-A/Napoli/12-05-2020/scatto-pocho-lavezzi-denuncia-ricattatori-hard-370925027387.shtml;www.gazzetta.it;['sardegna', 'friuli', 'campania', 'piemonte', 'lazio', 'toscana', 'liguria', 'veneto', 'lombardia']
2134;"Tragedia in Valtellina: muore il ""Ragno"" Matteo Bernasconi, travolto da una valanga"; Tragedia in montagna: è morto, travolto da una valanga in Valtellina, Matteo Bernasconi, classe 1982, notissimo alpinista dei Ragni di Lecco.L’allarme era scattato martedì sera quando il Berna, come era conosciuto da tutti, non era rientrato a casa. Il corpo è stato ritrovato mercoledì notte alle due dal soccorso alpino. L’incidente è avvenuto nel Canale della Malgina, Pizzo del Diavolo, in Valtellina, noto itinerario scialpinistico. Bernasconi era da solo ed è stato travolto da una valanga. Il ritrovamento dell’auto all’imbocco della valle, nel comune di Castello dell’Acqua, ha permesso di concentrare le ricerche. Bernasconi, originario di Como, era entrato a far parte dei Ragni della Grignetta nel 2003, prima di diventare Aspirante Guida Alpina (2009) e Guida Alpina (2011), trasformando la sua passione in una professione. Alpinista esperto, nel 2008 con il valtellinese Fabio Salini aveva compiuto la settima ripetizione assoluta e la prima ripetizione italiana della leggendaria via dei Ragni aperta nel 1974 sulla Ovest del Cerro Torre. Un amore, quello per la Patagonia, che l’ha poi accompagnato nella sua carriera alpinistica trovando in Matteo Della Bordella, attuale presidente dei Ragni, un compagno di spedizioni ideale. E proprio tra febbraio e marzo, Bernasconi era tornato da una spedizione in Patagonia con Della Bordella e Matteo Pasquetto. Matteo lascia la compagna e una figlia di due anni. Sono già centinaia le testimonianze d’affetto sulla sua pagina Facebook. Gasport© RIPRODUZIONE RISERVATA;2020-05-13; La Gazzetta dello Sport;['Lariano', 'Lombardia', 'Lecco'];https://www.gazzetta.it/Sport-Vari/13-05-2020/tragedia-montagna-travolto-una-valanga-muore-ragno-matteo-bernasconi-370936540166.shtml;www.gazzetta.it;['sardegna', 'friuli', 'campania', 'piemonte', 'lazio', 'toscana', 'liguria', 'veneto', 'lombardia']
