;title;content;date;author;tags;url;website-domain;region
184;Sanità, diabete: gli insostenibili ritardi dellAsp di Crotone;CROTONE – AGD-Areteo, l’associazione che si occupa dell’aiuto ai giovani diabetici, denuncia “gravi ritardi nell’erogazione dei presidi tecnologici”. Si tratta degli strumenti, come i microinfusori d’insulina ed i sensori sottocutanei per la determinazione della glicemia, che utilizzano i pazienti affetti da diabete mellito tipo 1 per la terapia della loro condizione.“Da molto tempo, potremmo dire ormai da anni, l’erogazione di tali presidi, che il ministero della Salute ha inserito da molto tempo nei Lea (Livelli essenziali di assistenza) e che la Regione Calabria ne regolamenta, nei modi e soprattutto nei tempi, la distribuzione ai pazienti da parte della Asp competenti, subisce nell’Asp di Crotone ritardi insostenibili” scrive il presidente dell’associazione Enrico Pedace in una missiva indirizzata alle istituzioni ed alle autorità sanitarie. “Questa situazione comporta notevole disagio ai pazienti ed alle loro famiglie che si vedono costrette spesso a distribuire i presidi tra di loro pur di evitare brusche interruzioni della terapia, in molti casi salvavita”.“Le inerzie burocratiche non possono ricadere sui pazienti e sul loro diritto a curarsi nel miglior modo possibile” aggiunge Pedace, sollecitando il prefetto, il commissario straordinario, il direttore amministrativo dell’Asp di Crotone, il commissario regionale ad acta ed il direttore del Dipartimento regionale per la tutela della salute, ad intervenire ognuno “per quanto di propria competenza, per la risoluzione della problematica e per assicurare ai pazienti affetti da diabete mellito di tipo 1 di accedere, come è loro diritto, alle migliori cure possibili”. ;2020-02-17; Il Crotonese;['Diabete', 'Calabria', 'Crotone', 'Insulina'];https://www.ilcrotonese.it/sanita-diabete-gli-insostenibili-ritardi-dellasp-di-crotone/;www.ilcrotonese.it;['calabria']
632;Crotone, usava ex scuola per nascondere droga e munizioni: arrestato;"CROTONE – Aveva occupato il posto lasciato libero dallo Stato, una scuola in disuso nel quartiere di Acquabona,  e ne aveva fatto un magazzino dove conservare droga e munizioni. per questo i  carabinieri della Sezione Operativa della Compagnia di Crotone hanno arrestato un uomo di 43 anni, M.B. di Crotone che si trovava già aio domiciliari perché a giugno 2019 era stato trovato in possesso di 2 chili di eroina.All’uomo i carabinieri sono arrivati anche grazie all’unità cinofila antidroga del Comando Provinciale della Guardia di Finanza di Crotone che ha fiutato la droga nascosta in un locale all’interno dell’edificio che un tempo ospitava il liceo Gravina. Nel locale utilizzato dal pregiudicato i militari del capitano Francesco Esposito hanno trovato  200 grammi di cocaina, circa 2 chilogrammi di marijuana, materiale per il confezionamento e 226 cartucce calibro 12.
Tutto il materiale è stato sottoposto a sequestro. L’arrestato, dopo le formalità di rito, è stato condotto presso la Casa Circondariale di Crotone in attesa dell’udienza di convalida.";2020-02-18; Il Crotonese;['Calabria', 'Crotone', 'Scuola', 'Droga', 'Arresti', 'Carabinieri'];https://www.ilcrotonese.it/crotone-usava-ex-scuola-per-nascondere-droga-e-munizioni-arrestato/;www.ilcrotonese.it;['calabria']
633;Crotone, picchiava anziana madre per avere soldi per la droga;CROTONE – Picchiava l’anziana madre e minacciava gli altri familiari. Per questo ad un uomo di 49 anni, E.O. di Crotone, è stato imposto il divieto di avvicinamento alla donna. La disposizione è avvenuta dopo che nei giorni scorsi personale della Squadra Volante è intervenuto a seguito della denuncia dei famigliari di una donna i di 85 anni che aveva subito maltrattamenti, minacce, estorsioni e lesioni personali da parte del figlio.L’indagato, consumatore abituale di stupefacenti, avrebbe in più occasioni aggredito la donna al fine di ottenere denaro per l’acquisto della droga, fino a causarle la frattura di una spalla. Inoltre, oggetto delle minacce, anche di morte, sarebbero stati altri familiari tra cui i fratelli.Di conseguenza la Squadra Mobile, dopo un’intensa attività d’indagine, ha eseguito una misura cautelare del divieto di avvicinamento ai luoghi abitualmente frequentati dalla persona offesa nei confronti del 49enne.;2020-02-18; Il Crotonese;['Calabria', 'Crotone'];https://www.ilcrotonese.it/crotone-picchiava-anziana-madre-per-avere-soldi-per-la-droga/;www.ilcrotonese.it;['calabria']
743;Sfuggono controllo e deridono gli agenti sui social: identificati;CITTANOVA (REGGIO CALABRIA) – Si sono sottratti al controllo della polizia mentre, senza casco, viaggiavano a bordo di una moto procedendo ad alta velocità ed invadendo un’area adibita ad isola pedonale. Successivamente hanno pubblicato un video su instagram che riprendeva la corsa con il titolo in dialetto calabrese “mo mi trovi” (“non mi troverai mai”), corredato dalle “emoticons” di uno smile e due auto della Polizia, con lo scopo di deridere gli agenti al cui controllo erano riusciti a sfuggire.Protagonisti della vicenda – teatro il centro del reggino Cittanova – due giovani che dopo la bravata sono stati traditi dalla loro smania di protagonismo sui social network. I due sono stati subito riconosciuti dai poliziotti e la conferma della loro identità è arrivata proprio grazie al video pubblicato su instagram. Successivamente è stata trovata anche la moto sulla quale procedevano a forte velocità. Il mezzo è stato rinvenuto in un terreno adiacente all’abitazione di uno dei due ed è risultato di proprietà della madre di uno di loro. Tra l’altro, non immatricolato e privo di assicurazione.;2020-02-18; Il Crotonese;['Calabria', 'Cittanova', 'Reggio Calabria', 'Polizia', 'Video'];https://www.ilcrotonese.it/sfuggono-controllo-e-deridono-gli-agenti-sui-social-identificati/;www.ilcrotonese.it;['calabria']
1050;Isola Capo Rizzuto, aveva esplosivo, armi e droga: arrestato 25enne;"

Dalla guida senza patente alla detenzione di armi. Sono questi alcuni dei reati contestati ad un uomo di 25 anni di Isola Capo Rizzuto, M.D.A., conosciuto come 'Pizzichino' che è stato arrestato dai Baschi verdi della Guardia di finanza di Crotone.... Articolo completo »   Commenti »
 Calabria Isola Di Capo Rizzuto Droga Arresti Guardia di Finanza Crotone

";2020-02-19; Il Crotonese;['Calabria', 'Isola Di Capo Rizzuto', 'Droga', 'Arresti', 'Guardia di Finanza', 'Crotone'];https://www.ilcrotonese.it/isola-capo-rizzuto-aveva-esplosivo-armi-e-droga-arrestato-25enne/;www.ilcrotonese.it;['calabria']
1119;Crotone, allevamento di cani abusivo: denunciato dai carabinieri;"CROTONE – Un allevamento illegale di cani in una struttura abusiva. Lo hanno scoperto i carabinieri del gruppo Forestale nel corso di un servizio di controllo ad Apriglianello, frazione di Crotone. Al momento del sopralluogo erano presenti 14 animali, la maggior parte femmine di razza Segugio dell’Appennino. Alcuni cani non erano muniti di microchip, ma all’intestatario di quelli che erano dotati del rilevatore in banca dati nazionale, tuttavia, figuravano un numero significativamente maggiore di animali. L’uomo non era in possesso di alcuna autorizzazione per l’esercizio dell’attività di allevamento peraltro svolta in una struttura abusiva  dal punto di vista urbanistico ed edilizio, .
Il proprietario, un operaio di 67 anni nato e residente a Crotone, è stato denunciato all’Autorità giudiziaria per costruzione abusiva. Per le violazioni di carattere sanitario dovrà provvedere il Servizio veterinario dell’Azienda sanitaria provinciale, già informato dei fatti dai militari intervenuti.";2020-02-19; Il Crotonese;['Calabria', 'Crotone', 'Carabinieri'];https://www.ilcrotonese.it/crotone-allevamento-di-cani-abusivo-denunciato-dai-carabinieri/;www.ilcrotonese.it;['calabria']
1356;Isola Capo Rizzuto, aveva esplosivo, armi e droga: arrestato 25enne;"Dalla guida senza patente alla detenzione di armi. Sono questi alcuni dei reati contestati ad un uomo di 25 anni di Isola Capo Rizzuto, M.D.A., conosciuto come ‘Pizzichino’ che è stato arrestato dai Baschi verdi della Guardia di finanza di Crotone. I militari nel corso di un normale controllo del territorio ad Isola Capo Rizzuto hanno fermato l’auto guidata dal 25enne e grazie al sistema informatico “Grifo”, ideato dal comando generale del Corpo, hanno potuto verificare che l’uomo era privo di patente, poiché mai conseguita ed era stato già sanzionato per la stessa violazione nell’arco dell’ultimo biennio. Nel procedere alla denuncia ed al sequestro del mezzo, le Fiamme gialle hanno condotto anche una ispezione del veicolo all’interno del quale hanno trovato un prodotto esplosivo non omologato ed illegale, altamente pericoloso, perché con un alto potere deflagrante. Inoltre nel marsupio indossato dal passeggero dell’auto. A.A. 24 anni di Isola Capo Rizzuto, trovavano un coltello a serramanico lungo 17 centimetri. L’arma bianca veniva sequestrata e il ventiquattrenne denunciato a piede libero.A quel punto i finanzieri hanno esteso la perquisizione presso il domicilio e tutti i luoghi nella disponibilità del fermato. L’operazione condotta con ausilio delle unità cinofile anti droga ha consentito di rinvenire, occultati in diversi mobili ubicati presso i locali ispezionati: quattro pistole, di cui una semiautomatica marca “Walter” modello “Ppk” calibro 7.65, clandestina, con matricola abrasa; un involucro contenente 37 grammi di marijuana, già essiccata e confezionata.Le pistole, tutte in ottimo stato di conservazione e pronte all’utilizzo, sono state messe a disposizione dell’autorità giudiziaria per i successivi accertamenti balistici e per verificarne l’eventuale utilizzo in attività delittuose.È stata accertata dai finanzieri la presenza di un allaccio abusivo alla rete elettrica, realizzato con un bypass del contatore elettronico, in relazione al quale sono stati deferiti oltre al 25enne anche il padre in qualità di proprietario dell’immobile. Tutto il materiale è stato sequestrato e i finanzieri hanno proceduto all’arresto in flagranza di reato del responsabile, nei confronti del quale, il magistrato di turno della Procura della repubblica di Crotone, Pasquale Festa, ha disposto l’accompagnamento presso la casa circondariale pitagorica.";2020-02-19; Il Crotonese;['Calabria', 'Isola Di Capo Rizzuto', 'Droga', 'Arresti', 'Guardia di Finanza', 'Crotone'];https://www.ilcrotonese.it/isola-capo-rizzuto-esplosivo-armi-e-droga-arrestato-25enne/;www.ilcrotonese.it;['calabria']
2751;Omicidio Castiglione, ripristinata la misura in carcere per Bagnato;Resta in carcere Antonio Santo Bagnato, 52 anni, ritenuto il capo dell’omonima cosca mafiosa di Roccabernarda, centro dell’entroterra crotonese. L’uomo, arrestato nel 2018 nell’operazione Trigarium con le accuse di omicidio, tentato omicidio e reati in materia di armi, nel settembre dello scorso anno aveva ottenuto dal Tribunale del riesame gli arresti domiciliari ma ora i giudici della seconda sezione penale del Tribunale di Catanzaro, accogliendo il ricorso della Procura distrettuale antimafia, hanno annullato quella decisione e ripristinato la custodia in carcere che è stata eseguita dai carabinieri della Compagnia di Petilia Policastro.L’omicidio e il tentato omicidio dei quali è accusato Bagnato è quello dei fratelli Rocco Castiglione, ucciso il 31 maggio 2014 a Roccabernarda, e Raffaele Castiglione rimasto illeso nello stesso agguato.;2020-02-22; Il Crotonese;['Omicidi', 'Carceri', 'Mafia', 'Arresti'];https://www.ilcrotonese.it/omicidio-castiglione-ripristinata-la-misura-in-carcere-per-bagnato/;www.ilcrotonese.it;['calabria']
3527;Terremoto nel cosentino. Panico tra gli studenti universitari;Pomeriggio particolarmente movimentato a Cosenza, dove vivono per motivi di studio tantissimi giovani crotonesi: due scosse verificatesi nell’arco di pochi minuti – la prima di magnitudo 3.4  e la seconda di magnitudo 4.8 – intorno alle ore 17.00 con epicentro a Rende, hanno messo in allarme l’intera città di Cosenza e le zone adiacenti. La scossa delle 17 è stata sentita anche a Crotone.Tra Cosenza e Rende sono state centinaia le chiamate ai Vigili del fuoco e tanto il panico per le strade, dove si sono riversati tantissimi studenti universitari. Per fortuna non ci sono vittime e non sembrano esserci danni di grossa portata, al dì la del panico e del caos che si è venuto a creare soprattutto nei luoghi pubblici, come supermercati, dove interi scaffali di alimenti e bevande sono precipitati.Tuttavia alcuni studenti originari di Crotone hanno fatto sapere che le scosse di terremoto hanno causato crepe nelle pareti ed alcune abitazioni sono state dichiarate momentaneamente inagibili dai Vigili del fuoco. Per questo nelle ultime ore diverse famiglie crotonesi si sono messe in macchina per raggiungere da Crotone i propri figli e riportarli a casa per trascorrere la notte. Altri sono già pronti, invece, a trascorrere la notte in macchina, preoccupati per l’arrivo di eventuali scosse di assestamento.;2020-02-24; Il Crotonese;['Terremoti', 'Università', 'Calabria', 'Cosenza'];https://www.ilcrotonese.it/terremoto-nel-cosentino-panico-tra-gli-studenti-universitari/;www.ilcrotonese.it;['calabria']
3768;Crotone, scontro tra auto sulla ex 106 a Gabella: tre persone ferite;CROTONE – Grave incidente sulla ex statale 106 in località Gabella. Questa mattina, intorno alle ore 11:40, due auto – una Fiat Panda vecchio modello ed un’Audi Q8 – si sono scontrate sul tratto di strada che conduce alle località Gabella.Uno scontro violento le cui dinamiche sono ancora da accertare che ha causato il ferimento di tre persone a bordo dei due veicoli (due sull’Audi ed una sulla Panda). Sul posto è dovuta intervenire una squadra dei vigili del fuoco del comando provinciale di Crotone per  liberare l’autista della Fiat Panda incastrato tra le lamiere e permettere poi l’intervento del personale medico del Suem 118 intervenuto con due ambulanze per soccorrere i feriti.La  strada, durante le operazioni di messa in sicurezza dei mezzi e della zona circostante da parte dei Vigili del Fuoco, è rimasta momentaneamente chiusa al traffico. I rilievi sono stati effettuati dai Carabinieri.;2020-02-25; Il Crotonese;['Calabria', 'Crotone', 'Fiat', 'Fiat Panda', 'Audi'];https://www.ilcrotonese.it/crotone-scontro-tra-auto-sulla-ex-106-a-gabella-tre-persone-ferite/;www.ilcrotonese.it;['calabria']
