;title;content;date;author;tags;url;website-domain;region
411;Incidente d'auto in Valdobbiadene, la macchina termina la corsa contro il cancello di una casa Foto;"
VALDOBBIADENE - Incidente stradale poco dopo la mezzanotte di lunedì 17 febbraio in via Erizzo a Valdobbiadene: una Golf condotta da italiano B.M. classe 1989 residente a Caerano San Marco (TV), con a bordo i passeggeri italiani M.N. classe 1993 e B.V. classe 1987, entrambi residenti a Vidor (TV), è uscita dalla sede stradale andando ad schiantarsi contro una condotta in cemento per la raccolta delle acque piovane, finendo la sua corsa addosso al cancello di un'abitazione privata. I tre giovani all'interno della vettura sono stati ricoverati presso gli ospedali di Treviso e Montebelluna, in prognosi riservata, non in pericolo di vita.



 ";2020-02-17; Il Gazzettino Web;['Valdobbiadene'];https://www.ilgazzettino.it/nordest/treviso/valdobbiadene_incidente_auto_oggi-5056705.html;www.ilgazzettino.it;['veneto', 'trentino', 'friuli']
412;Marcon, rapina alle sei di mattina al bar Sole&Luna in piazza del Municipio;"
MARCON - Rapina a mano armata questa mattina, lunedì 17 febbraio, nel bar Sole&Luna di Marcon. Il rapinatore ha colpito alla testa con il calcio della pistola il barista, che ha tentato di opporre resistenza, scappando poi con circa 400 euro in contanti. Rapina nel bar di piazza del Municipio a MarconAlle sei di mattina una persona travisata da cappuccio e armata di pistola ha fatto irruzione nel bar Sole&Luna in piazza Municipio 27. Il bandito ha puntato l'arma contro il barista, C.D., cittadino cinese classe '88, minacciandolo: «Dammi i soldi che tieni in quel contenitore dietro al bancone». Il barista ha tentato di opporsi al rapinatore che, per tutta risposta, lo ha colpito alla testa con il calcio della pistola, prendendo da solo il contenitore e scappando. La vittima è stata infine soccorsa e trasportata da 118 presso ospedale Mestre. Sul posto i carabinieri Compagnia Mestre.
";2020-02-17; Il Gazzettino Web;['Marcon', 'Municipi'];https://www.ilgazzettino.it/nordest/venezia/marcon_rapina_bar_municipio-5056720.html;www.ilgazzettino.it;['veneto', 'trentino', 'friuli']
413;Auto contro un platano: muore una donna di 38 anni;"
CONA - Incidente mortale a Cona verso le 17.40 in località Cantarana: un’auto è finita contro un platano per poi terminare la corsa fuoristrada nel terreno sotto il piano stradale: è morta Melissa Scarpa, 38enne di Chioggia che viaggiava da sola. I vigili del fuoco arrivati da Piove di Sacco e Cavarzere hanno messo in sicurezza l’auto ed estratto la conducente, purtroppo nonostante i soccorsi il personale medico del Suem ha dovuto dichiararne la morte. 
";2020-02-17; Il Gazzettino Web;['Veneto', 'Chioggia'];https://www.ilgazzettino.it/nordest/venezia/auto_contro_platano_morta_donna_incidente_chioggia-5057354.html;www.ilgazzettino.it;['veneto', 'trentino', 'friuli']
414;Incidente stradale a Nervesa. Autobotte si schianta: 33.000 litri di prosecco in canale Foto;"
NERVESA DELLA BATTAGLIA - Incidente stradale a Nervesa della Battaglia. Autobotte finisce con due ruote nel fossato e il vino che trasportava - 33.000 litri di prosecco - finisce in parte nel canale Vittoria. E' successo oggi, lunedì 17 febbraio. Sul posto i tenici Arpav e i vigili del fuoco.


 

#ribaltamento di una #autobotte di vino a #nervesadellabattaglia con coinvolgimento del #canaledellaVittoria. Tecnici #ARPAV in loco a supporto dei #VVF e degli Enti pic.twitter.com/ABfwl7TZ3W
— ARPA VENETO (@arpaveneto) February 17, 2020
 

© RIPRODUZIONE RISERVATA ";2020-02-17; Il Gazzettino Web;[];https://www.ilgazzettino.it/nordest/treviso/autobotte_ribaltata_vino_finisce_nel_canale-5057094.html;www.ilgazzettino.it;['veneto', 'trentino', 'friuli']
541;Schianto con la Mini contro un platano: muore donna di 38 anni;"
CONA - Incidente mortale a Cona verso le 17.40 in località Cantarana: un’auto è finita contro un platano per poi terminare la corsa fuoristrada nel terreno sotto il piano stradale: è morta Melissa Scarpa, 38enne di Chioggia che viaggiava da sola. I vigili del fuoco arrivati da Piove di Sacco e Cavarzere hanno messo in sicurezza l’auto ed estratto la conducente, purtroppo nonostante i soccorsi il personale medico del Suem ha dovuto dichiararne la morte. 
";2020-02-18; Il Gazzettino Web;[];https://www.ilgazzettino.it/nordest/venezia/auto_contro_platano_morta_donna_incidente_cona_chioggia-5057354.html;www.ilgazzettino.it;['veneto', 'trentino', 'friuli']
542;Zaia diffamato sui social. Scuse inutili: due vicentini condannati;"
Un anno fa pareva finita là, con le scuse dei leoni da tastiera al governatore Luca Zaia, accusato su Facebook di favoritismi alla moglie Raffaella, insinuazioni completamente infondate. Ma il presidente della Regione aveva ugualmente denunciato i due vicentini e la querela ha fatto il suo corso fino alla condanna per diffamazione aggravata: entrambi dovranno versare all'erario 300 euro a testa. Si tratta del 57enne Fabio Tommasi di Bassano del Grappa e del 53enne Mario Fasini di Romano d'Ezzelino, quest'ultimo recentemente ritratto sulla copertina di Famiglia Cristiana come esponente del mondo del volontariato.

L'IMPUTAZIONE
Il decreto penale di condanna è stato emesso dal Tribunale di Vicenza su richiesta della Procura. Il giudice per le indagini preliminari Roberto Venditti ha riassunto così l'imputazione, relativa a un episodio avvenuto il 23 marzo 2019. 

Per quanto riguarda Tommasi, «offendeva la reputazione» di Zaia «comunicando con una pluralità di persone attraverso la pubblicazione sul social network Facebook di una foto di una pagina di giornale su cui campeggiava il titolo Declassati l'Oncologia e il laboratorio analisi. Più prestigio a Ortopedia accompagnata da un lungo post da parte dell'autore con frasi del seguente tenore: Per una scelta tutta politica da addebitare al governo leghista di questa regione Veneto, si vuole depotenziare un reparto vitale come l'unità coronarica e l'emodinamica dell'ospedale di Bassano... Poi basta pensare che l'ospedale di Santorso ha come dirigente la moglie di Zaia e capisci tutto... Ma voi continuate a votare Lega, mi raccomando!!! Della ormai famosa serie: la politica al servizio del territorio e della sua gente». 

Quanto a Fasini, la contestazione è di aver a sua volta diffamato il governatore «attraverso la pubblicazione e la condivisione» dello stesso post nel gruppo pubblico Bassano senza Censura.

LA RETROMARCIA
Quel giorno Zaia aveva diffuso un video molto duro: «Non posso accettare che qualche leone da tastiera su Facebook e sui social vada a scrivere che Bassano verrebbe penalizzato in favore di Santorso perché, udite bene, mia moglie sarebbe dirigente a Santorso. Mia moglie fa l'impiegata part-time di una compagnia di assicurazioni di Conegliano, non c'entra niente con il pubblico, non ho familiari nel pubblico, quindi finisce lì. Però voglio chiedere al signor Mario Fasini e al signor Fabio Tommasi, che son tanto eroi, se hanno il coraggio di far le scuse perché li avviso che li denuncerò. Vergognatevi, perché solo dei lazzaroni possono scrivere queste cose». 

A stretto giro i due avevano fatto una clamorosa marcia indietro su Facebook. Tommasi: «Presidente Zaia le ho già scritto privatamente per porgerle le mie scuse riguardo all'aver supposto che sua moglie lavorasse al Santorso e che questo possa aver influenzato le scelte di politica sanitaria del Veneto. Purtroppo sono stato male informato. Porgo quindi pubblicamente le mie più sentite scuse a Lei ed alla sua gentile signora. Il post è stato da subito modificato». Fasini: «Ovviamente devo delle scuse alla moglie di Zaia, ho pubblicato il post di un amico solitamente bene informato, generalmente controllo le fonti, questa volta ho gravemente omesso di farlo, in quanto il tema della sanità mi sta molto a cuore. Da buon leone da tastiera chiedo scusa alle parti lese».

LA COLPEVOLEZZA
Così come il pubblico ministero, anche il gip Venditti non ha avuto dubbi sulla colpevolezza dei due utenti social: «La responsabilità degli imputati appare evidente sulla base delle indagini espletate». Il giudice ha ritenuto che «la pena considerata equa di euro 600 di multa» potesse essere diminuita fino a metà, come previsto dal codice, per cui alla fine l'ha rideterminata in 300 euro per ciascuno. Postilla per i due condannati: «Il reato è estinto se nel termine di 5 anni... l'imputato non commette un delitto... della stessa indole». Se invece i leoni da tastiera non diffameranno più nessuno, si azzererà «ogni effetto penale». Fasani appare sulla prima pagina di Famiglia Cristiana del 9 febbraio, dedicata a Padova capitale europea del volontariato, sotto il titolo: La vera ricchezza? La solidarietà. Contattato dal Gazzettino, il 53enne ha risposto con un «no comment» alla vicenda.

© RIPRODUZIONE RISERVATA ";2020-02-18; Il Gazzettino Web;['Facebook'];https://www.ilgazzettino.it/nordest/vicenza_bassano/diffamazione_luca_zaia_moglie_condanna-5058982.html;www.ilgazzettino.it;['veneto', 'trentino', 'friuli']
543;Stangata sui cani lasciati liberi in spiaggia, prime multe da 200 euro;"
JESOLO - Cani liberi sulla spiaggia, sono già scattate le prime sanzioni. Gli agenti della Polizia locale hanno intensificato i controlli contro la pessima abitudine di lasciare i cani liberi sull’arenile, senza guinzaglio e museruola, a discapito della sicurezza delle altre persone e degli altri cani regolarmente condotti a guinzaglio. Tantissime, nell’ultimo periodo, le proteste e le segnalazioni. Per questo nell’ultima settimana gli agenti hanno avviato dei controlli mirati, elevando le prime sanzioni.
";2020-02-18; Il Gazzettino Web;['Spiaggie'];https://www.ilgazzettino.it/nordest/venezia/jesolo_multe_cani_liberi_spiaggia-5057441.html;www.ilgazzettino.it;['veneto', 'trentino', 'friuli']
544;Ormelle, incidente stradale in auto: parte anteriore disintegrata, morto un ventenne Foto;"
ORMELLE - Incidente stradale mortale questa mattina a Ormelle (Treviso), in via Ragazzoni: una vettura si è schiantata autonomante, andando praticamente distrutta nella parte anteriore. L'incidente è avvenuto intorno alle sette di martedì 18 febbraio. Un 27enne di Oderzo è morto nello schianto. Si chiamava Arten Sebedini ed era di origini kossovare.
 
Incidente a Ormelle, cosa è successo
L'auto procedeva in direzione Ormelle, proveniente da Oderzo, quando all'improvviso è uscita di strada e si è schiantata contro un muro in cemento. Nessuna frenata, l'impatto è stato fatale per il giovane alla guida, un operaio che stava andando a lavoro in una ditta in via Taliercio a Ormelle. ,

 

© RIPRODUZIONE RISERVATA ";2020-02-18; Il Gazzettino Web;['Ormelle', 'Veneto', 'Treviso'];https://www.ilgazzettino.it/nordest/treviso/ormelle_incidente_auto_morto_oggi-5058957.html;www.ilgazzettino.it;['veneto', 'trentino', 'friuli']
636;Strage del bus in A4, morirono 16 ragazzi: l'autista chiede il rito abbreviato;"

";2020-02-18; Il Gazzettino Web;['Veneto', 'Verona'];https://www.ilgazzettino.it/nordest/verona/strage_bus_a4_morti_ragazzi_processo_autista_ultime_notizie-5059088.html;www.ilgazzettino.it;['veneto', 'trentino', 'friuli']
637;Mira, cocaina in auto e un arsenale di armi ed esplosivo in casa: arrestato;"
Dipendente Veritas arrestato a Mira. L'uomo aveca droga in macchina e un arsenale a casa: l'insospettabile 58enne del posto, Diego Simion, è finito in carcere dopo un controllo su strada dei carabinieri.In macchina, lunedì sera, l'uomo nascondeva circa un etto di cocaina. Come da prassi, è scattata la perquisizione domiciliare: qui, però, i militari, intervenuti insieme ai colleghi del nucleo investigativo, hanno trovato armi da guerra, esplosivo al plastico e giubbotti anti proiettile. Il dipendente Veritas aveva un arsenale in casa a MiraUna ""Santa Barbara"" di 11 pistole, due fucili, una mitraglietta scorpion con silenziatore, oltre 500 munizioni di vario calibro e oltre mezzo chilo di esplosivo con miccia e detonatore. Inoltre, sono state trovate 50 carte d'identità in bianco, rubate al Comune di Musile di Piave e oltre duemila marche da bollo per un valore di circa 35mila euro. L'uomo era il classico insospettabile: è un dipendente della multiutility Veritas, la società che gestisce lo smaltimento dei rifiuti nel Veneziano, impiegato amministrativo da oltre vent'anni alla sede di Mestre. Il 58enne è stato portato in carcere: non ha voluto rilasciare dichiarazioni.  
";2020-02-18; Il Gazzettino Web;['Droga', 'Arresti', 'Carabinieri'];https://www.ilgazzettino.it/nordest/venezia/mira_droga_esplosivo_armi-5059071.html;www.ilgazzettino.it;['veneto', 'trentino', 'friuli']
