;title;content;date;author;tags;url;website-domain;region
47;Tragico incidente stradale: scoppia airbag, morto bimbo di 2 mesi;Tragedia ieri a Pisa: un bimbo di due mesi (li avrebbe compiuti oggi) è rimasto coinvolto in un tamponamento tra tre auto nel quartiere di Cisanello. Il neonato, in macchina con la famiglia, era seduto nel seggiolino posizionato sul posto del passeggero accanto al guidatore: in conseguenza del tamponamento, l’airbag dell’auto si è attivato urtando il piccolo che ha riportato gravissimi traumi, risultati fatali. Era stato trasportato in ospedale di Cisanello in condizioni già disperate, con trauma toracico e cranico. Tragedia ieri a Pisa: un bimbo di due mesi (li avrebbe compiuti oggi) è rimasto coinvolto in un tamponamento tra tre auto nel quartiere di Cisanello. Il neonato, in macchina con la famiglia, era seduto nel seggiolino posizionato sul posto del passeggero accanto al guidatore: in conseguenza del tamponamento, l’airbag dell’auto si è attivato urtando il piccolo che ha riportato gravissimi traumi, risultati fatali. Era stato trasportato in ospedale di Cisanello in condizioni già disperate, con trauma toracico e cranico. ;2020-02-17; Meteo Web;['Toscana', 'Pisa'];http://www.meteoweb.eu/2020/02/tragico-incidente-stradale-scoppia-airbag-morto-bimbo-2-mesi/1389797/;www.meteoweb.eu;['toscana']
245;Donna morta a Bari per un mal di gola: aperta unindagine, si procederà con lautopsia;La Procura di Bari ha chiesto l’autopsia sul corpo di Giulia Mininni, la 48enne barese deceduta l’8 febbraio dopo essere giunta al Policlinico di Bari in condizioni di arresto cardiorespiratorio dopo una settimana di malori, iniziati con un apparente mal di gola. La donna, secondo quanto raccontato dai familiari, si sarebbe rivolta a diversi medici e avrebbe chiamato l’ambulanza del 118 tre volte in pochi giorni. Il fascicolo d’inchiesta è coordinato dalla pm Grazia Errede che conferirà l’incarico per l’autopsia al medico legale Antonio Caruso. La famiglia della vittima, marito, figlio e fratelli, difesi dall’avvocato Emiliano D’Alessandro, nominerà come consulente di parte la dottoressa Domenica Laviola. L’indagine per omicidio colposo è attualmente a carico di ignoti. Il responsabile del 118 ha replicato alle accuse dei familiari, dichiarando che durante i primi due interventi a domicilio dei soccorritori sono stati gli stessi famigliari a rifiutare il trasporto in ospedale. Durante il terzo intervento, invece, la paziente era già in arresto cardiaco ed è dunque stata portata al pronto soccorso del Policlinico dove si è tentato di rianimarla, ma non c’è stato nulla da fare. La perizia medico-legale dovrà ora accertare eventuali responsabilità dei medici. La Procura di Bari ha chiesto l’autopsia sul corpo di Giulia Mininni, la 48enne barese deceduta l’8 febbraio dopo essere giunta al Policlinico di Bari in condizioni di arresto cardiorespiratorio dopo una settimana di malori, iniziati con un apparente mal di gola. La donna, secondo quanto raccontato dai familiari, si sarebbe rivolta a diversi medici e avrebbe chiamato l’ambulanza del 118 tre volte in pochi giorni. Il fascicolo d’inchiesta è coordinato dalla pm Grazia Errede che conferirà l’incarico per l’autopsia al medico legale Antonio Caruso. La famiglia della vittima, marito, figlio e fratelli, difesi dall’avvocato Emiliano D’Alessandro, nominerà come consulente di parte la dottoressa Domenica Laviola. L’indagine per omicidio colposo è attualmente a carico di ignoti. Il responsabile del 118 ha replicato alle accuse dei familiari, dichiarando che durante i primi due interventi a domicilio dei soccorritori sono stati gli stessi famigliari a rifiutare il trasporto in ospedale. Durante il terzo intervento, invece, la paziente era già in arresto cardiaco ed è dunque stata portata al pronto soccorso del Policlinico dove si è tentato di rianimarla, ma non c’è stato nulla da fare. La perizia medico-legale dovrà ora accertare eventuali responsabilità dei medici. ;2020-02-17; Meteo Web;['Puglia', 'Bari', 'Inchieste-investigazioni-indagini', 'Giustizia'];http://www.meteoweb.eu/2020/02/donna-morta-a-bari-per-un-mal-di-gola-aperta-unindagine-si-procedera-con-lautopsia/1390131/;www.meteoweb.eu;['puglia']
355;Fu data per morta sul molo di Lampedusa, oggi lincontro con Bartolo;Palermo, 17 feb. (Adnkronos) – Era stata data per morta nel naufragio del 3 ottobre 2013 costato la vita a 368 migranti ma a salvarla fu l’intuito di Pietro Bartolo, il medico di Lampedusa che aveva capito che c’era un flebile battito. Oggi, a distanza di sei anni e mezzo, Kebrat, questo il nome della ragazza etiope salvata, ha incontrato a Bruxelles, il suo salvatore, Pietro Bartolo, che è eurodeputato. A dare l’annuncio su Facebook è lo stesso Bartolo. “Molti di voi questa storia la conoscono bene, perché mi è rimasta nel cuore e non ho mai smesso di raccontarla – racconta – è la storia di Kebrat, una ragazza arrivata sul molo di Lampedusa senza polso, senza battito, durante il naufragio del 3 ottobre 2013. Sembrava morta, era già in un sacco, con la cerniera chiusa. Dovevo soltanto costatarne il decesso”.“Eppure, ho sentito qualcosa, ho auscultato meglio. è stata una corsa contro il tempo, l’ambulatorio, il primo soccorso, il trasporto in elicottero fino al reparto di rianimazione più vicino. Non era finita, per Kebrat – dice Bartolo visibilmente emozionato – Oggi gli amici del Comitato Tre Ottobre mi hanno fatto questa sorpresa immensa, hanno portato Kebrat qui, in Parlamento Europeo a Bruxelles. I nostri occhi lucidi dicono il resto. Grazie”. Oggi la ragazza vive in Scandinavia, e non è mai voluta tornare a Lampedusa. Palermo, 17 feb. (Adnkronos) – Era stata data per morta nel naufragio del 3 ottobre 2013 costato la vita a 368 migranti ma a salvarla fu l’intuito di Pietro Bartolo, il medico di Lampedusa che aveva capito che c’era un flebile battito. Oggi, a distanza di sei anni e mezzo, Kebrat, questo il nome della ragazza etiope salvata, ha incontrato a Bruxelles, il suo salvatore, Pietro Bartolo, che è eurodeputato. A dare l’annuncio su Facebook è lo stesso Bartolo. “Molti di voi questa storia la conoscono bene, perché mi è rimasta nel cuore e non ho mai smesso di raccontarla – racconta – è la storia di Kebrat, una ragazza arrivata sul molo di Lampedusa senza polso, senza battito, durante il naufragio del 3 ottobre 2013. Sembrava morta, era già in un sacco, con la cerniera chiusa. Dovevo soltanto costatarne il decesso”.“Eppure, ho sentito qualcosa, ho auscultato meglio. è stata una corsa contro il tempo, l’ambulatorio, il primo soccorso, il trasporto in elicottero fino al reparto di rianimazione più vicino. Non era finita, per Kebrat – dice Bartolo visibilmente emozionato – Oggi gli amici del Comitato Tre Ottobre mi hanno fatto questa sorpresa immensa, hanno portato Kebrat qui, in Parlamento Europeo a Bruxelles. I nostri occhi lucidi dicono il resto. Grazie”. Oggi la ragazza vive in Scandinavia, e non è mai voluta tornare a Lampedusa. ;2020-02-17; Meteo Web;['Lampedusa', 'Sicilia', 'Palermo', 'Immigrazione'];http://www.meteoweb.eu/2020/02/fu-data-per-morta-sul-molo-di-lampedusa-oggi-lincontro-con-bartolo/1390242/;www.meteoweb.eu;['sicilia']
387;Matera, 39enne trovato morto in un dirupo: era scomparso ieri sera;Un 39enne è stato trovato morto questo pomeriggio a Matera in un dirupo. Dell’uomo era stata denunciata la scomparsa stamattina, presso gli uffici di polizia, e non si avevano più notizie da ieri sera. Sono state avviate le ricerche e la Prefettura ha attivato il piano provinciale per la ricerca delle persone scomparse. Prima è stata ritrovata l’autovettura, nei pressi della ”Grotta dei Pipistrelli”, in contrada Le Piane. Sul posto sono intervenuti agenti di polizia, carabinieri e vigili del fuoco. Un elicottero dei vigili del fuoco ha sorvolato l’area permettendo di individuare il corpo dell’uomo, in un dirupo sottostante, nella stessa area in cui è stata trovata l’auto. Sono in corso le indagini per accertare le cause del decesso Un 39enne è stato trovato morto questo pomeriggio a Matera in un dirupo. Dell’uomo era stata denunciata la scomparsa stamattina, presso gli uffici di polizia, e non si avevano più notizie da ieri sera. Sono state avviate le ricerche e la Prefettura ha attivato il piano provinciale per la ricerca delle persone scomparse. Prima è stata ritrovata l’autovettura, nei pressi della ”Grotta dei Pipistrelli”, in contrada Le Piane. Sul posto sono intervenuti agenti di polizia, carabinieri e vigili del fuoco. Un elicottero dei vigili del fuoco ha sorvolato l’area permettendo di individuare il corpo dell’uomo, in un dirupo sottostante, nella stessa area in cui è stata trovata l’auto. Sono in corso le indagini per accertare le cause del decesso ;2020-02-17; Meteo Web;['Basilicata', 'Matera', 'Polizia', 'Prefettura'];http://www.meteoweb.eu/2020/02/matera-39enne-trovato-morto-in-un-dirupo-era-scomparso-ieri-sera/1390271/;www.meteoweb.eu;['basilicata']
479;Forte scossa di terremoto al largo della Sardegna: avvertita a Olbia, Alghero e Sassari [DATI e...;" jQuery(document).ready(function() { 
		jQuery('#contMW .slideshow-window, #contMW .gallery').remove();
	}); Un terremoto magnitudo ML 3.5 si è verificato nel Tirreno Centrale alle 00:46:54, ad una profondità di 23 km. L’evento è stato localizzato dalla Sala Sismica INGV-Roma a 61 km ad est di Olbia. Non si segnalano danni a persone o cose.Secondo il servizio “Hai Sentito il Terremoto” l’evento è stato avvertito dalla popolazione di Olbia, Siniscola, Dorgali, Alghero, Sassari, Bitti, Tortolì, Ozieri, Desulo, Manziana. Un terremoto magnitudo ML 3.5 si è verificato nel Tirreno Centrale alle 00:46:54, ad una profondità di 23 km. L’evento è stato localizzato dalla Sala Sismica INGV-Roma a 61 km ad est di Olbia. Non si segnalano danni a persone o cose. Secondo il servizio “Hai Sentito il Terremoto” l’evento è stato avvertito dalla popolazione di Olbia, Siniscola, Dorgali, Alghero, Sassari, Bitti, Tortolì, Ozieri, Desulo, Manziana. ";2020-02-18; Meteo Web;['Terremoti', 'Sardegna', 'Olbia', 'Alghero', 'Sassari', 'Jquery'];http://www.meteoweb.eu/2020/02/terremoto-sardegna-oggi-olbia-alghero-sassari/1390359/;www.meteoweb.eu;['sardegna']
484;Mafia: operazione Dia a Palermo, otto arresti;Palermo, 18 feb. (Adnkronos) – La Dia di Palermo sta eseguendo un restrittivo emesso dal Gip presso il locale Tribunale nei confronti di 8 persone ritenute affiliate alla famiglia mafiosa dell’Arenella, una delle più rappresentative del mandamento di Palermo – Resuttana, ritenuti, a vario titolo, responsabili di associazione mafiosa ed altro. I particolari dell’operazione White Shark saranno resi noti nel corso di una conferenza stampa che si terrà, alle ore 11 di oggi, presso Villa Ahrens, sede del Centro Operativo Dia di Palermo. Palermo, 18 feb. (Adnkronos) – La Dia di Palermo sta eseguendo un restrittivo emesso dal Gip presso il locale Tribunale nei confronti di 8 persone ritenute affiliate alla famiglia mafiosa dell’Arenella, una delle più rappresentative del mandamento di Palermo – Resuttana, ritenuti, a vario titolo, responsabili di associazione mafiosa ed altro. I particolari dell’operazione White Shark saranno resi noti nel corso di una conferenza stampa che si terrà, alle ore 11 di oggi, presso Villa Ahrens, sede del Centro Operativo Dia di Palermo. ;2020-02-18; Meteo Web;['Mafia', 'Sicilia', 'Palermo', 'Arresti', 'Giustizia', 'Tribunali'];http://www.meteoweb.eu/2020/02/mafia-operazione-dia-a-palermo-otto-arresti/1390373/;www.meteoweb.eu;['sicilia']
740;Terremoto al largo della Sardegna: dal 2000 ci sono stati 16 eventi con magnitudo superiore a 3...;Alle 00:46:54 di oggi, martedì 18 febbraio, nel Tirreno Centrale si è verificato un terremoto di magnitudo ML 3.5, ad una profondità di 23 km. L’epicentro è stato individuato 61 km ad est di Olbia, a nord-est della Sardegna. Il sisma è stato avvertito dalla popolazione di Olbia, Siniscola, Dorgali, Alghero, Sassari, Bitti, Tortolì, Ozieri, Desulo, Manziana.La zona presenta una pericolosità sismica molto bassa, tanto che storicamente non ci sono dati sui terremoti in questa area. Proprio a causa della bassa pericolosità sismica, i soliti teorici del complotto ipotizzano trivelle e test militari come possibile causa del sisma odierno. Ma bassa pericolosità sismica non significa che non si verificano mai terremoti, ma che la probabilità che accadano è molto più bassa rispetto ad altre zone italiane. Bassa pericolosità sismica significa anche che la magnitudo massima aspettabile è estremamente più bassa rispetto a quella del resto d’Italia.Per quanto riguarda la Sardegna, si hanno registrazioni di un terremoto Mw 4.9 a sud di Cagliari nel 1616, di un terremoto Mw 4.4 a ovest di Cagliari nel 1771 e di un sisma Mw 4.7 ad ovest di Arzachena nel 1970.Secondo i dati dell’archivio dell’INGV, il tipo di evento che si è verificato oggi non rappresenta una novità per la zona considerata. Dal 2000, ci sono stati circa 16 terremoti superiori a ML 3.0, di cui 3 erano superiori ML 4.0: uno di Md 4.7 e uno di Md 4.2 (entrambi nel 2000) e uno di ML 4.3 nel 2004.Inoltre, la profondità della scossa registrata stanotte smentisce la possibilità che si tratti di trivelle. Secondo il geologo Aldo Piombino, i terremoti alla profondità di 23km non possono essere generati da sismicità indotta. Alle 00:46:54 di oggi, martedì 18 febbraio, nel Tirreno Centrale si è verificato un terremoto di magnitudo ML 3.5, ad una profondità di 23 km. L’epicentro è stato individuato 61 km ad est di Olbia, a nord-est della Sardegna. Il sisma è stato avvertito dalla popolazione di Olbia, Siniscola, Dorgali, Alghero, Sassari, Bitti, Tortolì, Ozieri, Desulo, Manziana. La zona presenta una pericolosità sismica molto bassa, tanto che storicamente non ci sono dati sui terremoti in questa area. Proprio a causa della bassa pericolosità sismica, i soliti teorici del complotto ipotizzano trivelle e test militari come possibile causa del sisma odierno. Ma bassa pericolosità sismica non significa che non si verificano mai terremoti, ma che la probabilità che accadano è molto più bassa rispetto ad altre zone italiane. Bassa pericolosità sismica significa anche che la magnitudo massima aspettabile è estremamente più bassa rispetto a quella del resto d’Italia. Per quanto riguarda la Sardegna, si hanno registrazioni di un terremoto Mw 4.9 a sud di Cagliari nel 1616, di un terremoto Mw 4.4 a ovest di Cagliari nel 1771 e di un sisma Mw 4.7 ad ovest di Arzachena nel 1970. Secondo i dati dell’archivio dell’INGV, il tipo di evento che si è verificato oggi non rappresenta una novità per la zona considerata. Dal 2000, ci sono stati circa 16 terremoti superiori a ML 3.0, di cui 3 erano superiori ML 4.0: uno di Md 4.7 e uno di Md 4.2 (entrambi nel 2000) e uno di ML 4.3 nel 2004. Inoltre, la profondità della scossa registrata stanotte smentisce la possibilità che si tratti di trivelle. Secondo il geologo Aldo Piombino, i terremoti alla profondità di 23km non possono essere generati da sismicità indotta. ;2020-02-18; Meteo Web;['Terremoti', 'Sardegna', 'Olbia'];http://www.meteoweb.eu/2020/02/terremoto-sardegna-2000-16-eventi-magnitudo-superiore-3/1390580/;www.meteoweb.eu;['sardegna']
909;Palermo: da Amg Gas 5mila euro per ricomprare i giochi del Parco della Salute;Palermo, 18 feb. (Adnkronos) – Cinquemila euro per ricomprare i giochi del Parco della Salute distrutti da un incendio a fine gennaio. A donarli alla Onlus Vivi Sano, che gestisce lo spazio pubblico al Foro italico di Palermo, è stata Amg Gas. “La notizia dell’incendio e di un gesto grave compiuto contro un luogo che è stato recuperato, restituito alla fruizione della città e frequentato da sportivi, famiglie e bambini ci ha profondamente colpito – sottolinea il presidente della società Vincenzo Costantino – Conosciamo e condividiamo pienamente lo spirito che anima questo spazio, chi lo gestisce e il piacere di chi lo affolla e come già fatto in passato abbiamo voluto testimoniare in modo concreto la nostra presenza e vicinanza con una donazione”. La società già in passato ha dato il suo supporto alla nascita del Parco della Salute e alla sua crescita contribuendo alla realizzazione della struttura. “Saremmo felici – conclude Costantino ‘ se la nostra decisione di donare una somma al Parco della Salute potesse essere spunto e traino per altre iniziative simili, per rendere questo spazio ancora più accogliente e fruibile”. Palermo, 18 feb. (Adnkronos) – Cinquemila euro per ricomprare i giochi del Parco della Salute distrutti da un incendio a fine gennaio. A donarli alla Onlus Vivi Sano, che gestisce lo spazio pubblico al Foro italico di Palermo, è stata Amg Gas. “La notizia dell’incendio e di un gesto grave compiuto contro un luogo che è stato recuperato, restituito alla fruizione della città e frequentato da sportivi, famiglie e bambini ci ha profondamente colpito – sottolinea il presidente della società Vincenzo Costantino – Conosciamo e condividiamo pienamente lo spirito che anima questo spazio, chi lo gestisce e il piacere di chi lo affolla e come già fatto in passato abbiamo voluto testimoniare in modo concreto la nostra presenza e vicinanza con una donazione”. La società già in passato ha dato il suo supporto alla nascita del Parco della Salute e alla sua crescita contribuendo alla realizzazione della struttura. “Saremmo felici – conclude Costantino ‘ se la nostra decisione di donare una somma al Parco della Salute potesse essere spunto e traino per altre iniziative simili, per rendere questo spazio ancora più accogliente e fruibile”. ;2020-02-18; Meteo Web;['Sicilia', 'Palermo'];http://www.meteoweb.eu/2020/02/palermo-da-amg-gas-5mila-euro-per-ricomprare-i-giochi-del-parco-della-salute/1390797/;www.meteoweb.eu;['sicilia']
946;Maltempo Calabria, Magorno: Da Bellanova risposte per la provincia di Crotone;“La provincia di Crotone e’ stata colpita nello scorso mese di novembre da una forte ondata di maltempo che aveva arrecato danni ad aziende e terreni agricoli. Nelle scorse ore è arrivata una risposta concreta con il riconoscimento del carattere di eccezionalita’ degli eventi atmosferici. Grazie alla ministra Teresa Bellanova, che dimostra, ancora una volta, con i fatti, vicinanza alla nostra regione”. Cosi’, in una nota, il senatore di Italia viva Ernesto Magorno. “La provincia di Crotone e’ stata colpita nello scorso mese di novembre da una forte ondata di maltempo che aveva arrecato danni ad aziende e terreni agricoli. Nelle scorse ore è arrivata una risposta concreta con il riconoscimento del carattere di eccezionalita’ degli eventi atmosferici. Grazie alla ministra Teresa Bellanova, che dimostra, ancora una volta, con i fatti, vicinanza alla nostra regione”. Cosi’, in una nota, il senatore di Italia viva Ernesto Magorno. ;2020-02-18; Meteo Web;['Maltempo', 'Calabria', 'Teresa Bellanova', 'Crotone'];http://www.meteoweb.eu/2020/02/maltempo-calabria-magorno-da-bellanova-risposte-per-la-provincia-di-crotone/1390840/;www.meteoweb.eu;['calabria']
975;Maltempo Piemonte, annega nel sottopasso: notificata la chiusura delle indagini al sindaco di...;I carabinieri di Rivarolo stanno notificando un avviso di conclusione delle indagini preliminari e contestuale informazione di garanzia, emessa dalla Procura di Ivrea, al sindaco di Rivarolo ad altri esponenti politici locali nonché professionisti romani, ritenuti responsabili, a vario titolo, di omicidio colposo. Il provvedimento scaturisce dalle indagini avviate il 3 luglio del 2018 a seguito del decesso ‘per annegamento’ di Guido Zabena, un 51 enne di Favria, rimasto intrappolato all’interno della propria autovettura in un sottopasso stradale allagato da un improvviso acquazzone. I carabinieri di Rivarolo stanno notificando un avviso di conclusione delle indagini preliminari e contestuale informazione di garanzia, emessa dalla Procura di Ivrea, al sindaco di Rivarolo ad altri esponenti politici locali nonché professionisti romani, ritenuti responsabili, a vario titolo, di omicidio colposo. Il provvedimento scaturisce dalle indagini avviate il 3 luglio del 2018 a seguito del decesso ‘per annegamento’ di Guido Zabena, un 51 enne di Favria, rimasto intrappolato all’interno della propria autovettura in un sottopasso stradale allagato da un improvviso acquazzone. ;2020-02-18; Meteo Web;['Maltempo', 'Piemonte', 'Inchieste-investigazioni-indagini', 'Carabinieri', 'Giustizia', 'Ivrea'];http://www.meteoweb.eu/2020/02/maltempo-piemonte-17/1390864/;www.meteoweb.eu;['piemonte']
