;title;content;date;author;tags;url;website-domain;region
4;Fano, denunciati quattro uomini sorpresi in possesso di arnesi da scasso;Quattro uomini, sorpresi in possesso di diversi arnesi da scasso nel corso dei controlli condotti dalle forze dell’ordine per garantire il rispetto delle norme anti-Coronavirus, sono stati denunciati nei giorni scorsi a Fano.Gli individui in questione, appena giunti nelle Marche da un campo nomadi situato a Torino, sono stati notati dalla Polizia di Stato a bordo di un’automobile con targa straniera. Il loro girovagare tra le vie della città senza una meta precisa, come se fossero alla ricerca di un obiettivo, ha spinto gli agenti a fermarli e a passare al setaccio la loro vettura.In tal modo sono stati scoperti numerosi attrezzi, con i quali i quattro, tutti già noti alle forze dell’ordine, avrebbero potuto mettere a segno dei furti con scasso. Essi sono quindi stati denunciati per il possesso ingiustificato di tali arnesi, venendo inoltre sanzionati per essersi spostati da una Regione all’altra nonostante le normative vigenti: nei loro confronti sono infine stati emessi dei fogli di via valevoli per il territorio comunale di Fano per un periodo di tre anni.;2020-05-8; Marche Notizie;['Marche', 'Fano'];https://www.pesarourbinonotizie.it/43676/fano-denunciati-quattro-uomini-sorpresi-in-possesso-di-arnesi-da-scasso;www.pesarourbinonotizie.it;['marche']
1313;Incendio nella notte a Cagli, 51enne muore soffocato dal fumo;Tragedia nella notte tra domenica 10 e lunedì 11 maggio nel centro storico di Cagli, dove un uomo di 51 anni ha perso la vita come conseguenza a un incendio.La vittima, Roberto Girelli, stava dormendo in una camera da letto posta al secondo piano della propria abitazione quando, in una stanza sottostante, è scoppiato un rogo, forse scaturito da un corto circuito. Il fumo ha così invaso gran parte della casa, soffocando il 51enne nel sonno.A nulla è valso l’intervento dei soccorritori, giunti sul posto intorno all’1.30 su segnalazione di alcuni vicini. L’incendio è stato poi domato da parte dei Vigili del Fuoco, mentre i rilievi del caso sono stati affidati ai Carabinieri.;2020-05-11; Marche Notizie;['Incendi', 'Cagli'];https://www.pesarourbinonotizie.it/43701/incendio-nella-notte-a-cagli-51enne-muore-soffocato-dal-fumo;www.pesarourbinonotizie.it;['marche']
2443;Ripetute violenze nei confronti degli ospiti di una casa di riposo di Fano, due denunce;Due operatrici socio sanitarie impiegate presso una residenza per anziani di Fano sono state denunciate dai Carabinieri al termine di indagini portate avanti sin dallo scorso mese di gennaio.Diverse segnalazioni pervenute ai militari del comando fanese avevano infatti destato l’attenzione delle forze dell’ordine, che per alcuni mesi hanno predisposto dei minuziosi accertamenti adoperando delle telecamere nascoste in diverse stanze della struttura.Grazie a tali riprese, i Carabinieri hanno così potuto documentare almeno 16 abusi nei confronti degli ospiti della casa di riposo “Cante di Montevecchio”, denunciando infine due donne con l’accusa di maltrattamenti. Particolarmente grave la posizione di una 62enne, inchiodata dalle immagini mentre si rendeva responsabile di una reiterata condotta violenta sugli anziani: per lei è stata inoltre decretata la sospensione dal servizio attivo per un periodo di sei mesi.;2020-05-13; Marche Notizie;['Marche', 'Fano', 'Carabinieri', 'Inchieste-investigazioni-indagini'];https://www.pesarourbinonotizie.it/43724/ripetute-violenze-nei-confronti-degli-ospiti-di-una-casa-di-riposo-di-fano-due-denunce;www.pesarourbinonotizie.it;['marche']
3434;Fano, perquisizione dei Carabinieri nella sede dellassociazione Africa Milele;È scattata nel corso della mattinata di venerdì 15 maggio la perquisizione della sede fanese della Onlus Africa Milele, che si era occupata della gestione in Kenya della giovane Silvia Romano, poi rapita dai terroristi somali di Al Shabaab.Intorno alle ore 9.00, i Carabinieri del reparto del Ros di Roma si sono recati presso l’abitazione della presidente dell’associazione, Lilian Sora, provvedendo quindi a passare al setaccio computer, hard disk, telefoni cellulari e ogni altra possibile fonte di informazioni riguardante la vicenda che ha visto coinvolta la 24enne milanese.L’operazione arriva a pochi giorni di distanza dalle rivelazioni rilasciate agli inquirenti dalla stessa Romano, che avrebbe dichiarato di essere stata condotta presso il villaggio di Chakama – da dove era poi stata rapita il 20 novembre 2018 – e di avervi prestato opera di volontariato senza adeguate misure di sicurezza.;2020-05-15; Marche Notizie;['Marche', 'Fano', 'Carabinieri', 'Terrorismo'];https://www.pesarourbinonotizie.it/43743/fano-perquisizione-dei-carabinieri-nella-sede-dellassociazione-africa-milele;www.pesarourbinonotizie.it;['marche']
5630;Vallefoglia, aggressione ai danni di Carabinieri e personale medico: due arresti;Nella serata di martedì 19 maggio i Carabinieri di Vallefoglia hanno tratto in arresto due pregiudicati di 33 e 41 anni, protagonisti di una serata ben al di sopra di ogni limite.Intorno alle ore 23.00, nel corso di controlli di routine condotti a Borgo Santa Maria, i militari hanno notato sul ciglio della strada un furgone trafugato poco prima a Cartoceto. Avvicinatisi al mezzo, essi vi hanno rinvenuto un 41enne riminese e un 33enne originario della Lettonia, entrambi già noti alle forze dell’ordine, che poco prima erano stati coinvolti in un incidente a bordo del mezzo.Nonostante le loro resistenze, i due uomini sono quindi stati trasportati per accertamenti presso l’ospedale di Pesaro, dove i medici hanno riscontrato in uno di loro un edema polmonare. Dopo aver nuovamente tentato di aggredire sia i Carabinieri che il personale della struttura sanitaria, la coppia è stata infine arrestata per resistenza e oltraggio a pubblico ufficiale, danneggiamento e ricettazione.;2020-05-20; Marche Notizie;['Vallefoglia', 'Carabinieri', 'Arresti', 'Pregiudicati'];https://www.pesarourbinonotizie.it/43785/vallefoglia-aggressione-ai-danni-di-carabinieri-e-personale-medico-due-arresti;www.pesarourbinonotizie.it;['marche']
9265;Fano, 26enne sorpreso in auto con 200 grammi di cocaina: arrestato;Un 26enne di nazionalità albanese, trovato in possesso di una vasta quantità di stupefacenti, è stato arrestato dai Carabinieri di Fano nella giornata di lunedì 25 maggio.Il giovane è stato fermato nel pomeriggio in occasione di un controllo stradale condotto dai militari in prossimità del casello dell’A-14. Egli avrebbe dimostrato un nervosismo palpabile alle domande di militari, dichiarando di aver appena fatto ritorno da Bologna alla guida dell’automobile di un amico.Sui sedili posteriori della vettura i Carabinieri hanno tuttavia notato alcuni cacciaviti impiegati di norma all’interno dell’abitacolo, decidendo pertanto di passare al setaccio l’intero mezzo: in tal modo, ben celati al di sotto dello sterzo, sono stati scoperti all’incirca 200 grammi di cocaina.Per il 26enne è scattato l’arresto per detenzione di sostanze stupefacenti ai fini di spaccio. Il giovane è stato infine trasportato presso il carcere di Villa Fastiggi.;2020-05-27; Marche Notizie;['Marche', 'Fano', 'Droga', 'Arresti', 'Carabinieri'];https://www.pesarourbinonotizie.it/43843/fano-26enne-sorpreso-in-auto-con-200-grammi-di-cocaina-arrestato;www.pesarourbinonotizie.it;['marche']
11319;Bazar della droga in unabitazione di Mombaroccio, in manette un 31enne;Un’operazione congiunta portata avanti dalla Polizia di Stato di Urbino e di Pesaro ha condotto all’arresto di un 31enne di Mombaroccio, accusato di detenzione di stupefacenti ai fini di spaccio.In casa dell’uomo, ufficialmente senza un’occupazione fissa, le forze dell’ordine hanno scoperto un vasto campionario di droghe, sequestrando 49 grammi di hashish, 20,8 grammi di oppio, 2,2 grammi di metanfetamina e 0,1 grammi di cocaina. Trovati anche oltre 4.200 euro in contanti, ritenuti provenienti dall’attività di spaccio, e del materiale utilizzato per il confezionamento dei singoli quantitativi da vendere al dettaglio.Il 31enne è stato quindi trasferito presso il carcere pesarese di Villa Fastiggi. Nella mattinata di lunedì 1 giugno il Tribunale di Pesaro ha confermato le misure già prese nei suoi confronti, disponendone la custodia cautelare nella medesima struttura detentiva.;2020-05-1; Marche Notizie;['Droga', 'Polizia', 'Marche', 'Urbino', 'Pesaro', 'Gianfranco Fini'];https://www.pesarourbinonotizie.it/43905/bazar-della-droga-in-unabitazione-di-mombaroccio-in-manette-un-31enne;www.pesarourbinonotizie.it;['marche']
19469;Rubavano attrezzi da lavoro a Fermignano e dintorni, arrestati due uomini;Nella notte tra giovedì 5 e venerdì 6 marzo i Carabinieri di Urbino hanno individuato e arrestato a Fermignano due individui trovati in possesso di una cospicua quantità di merce rubata.Protagonisti della vicenda un 28enne e un 35enne originari della Campania, sorpresi dai militari a bordo di un’automobile che, intorno alle 3.00, si aggirava a fari spenti e a bassa velocità. Quando è stato chiesto loro il motivo della loro presenza a Fermignano a quell’ora, i due hanno dichiarato di essere operai in trasferta per effettuare un lavoro nelle vicinanze, non riuscendo tuttavia a chiarire quale fosse di preciso la loro destinazione.Le forze dell’ordine hanno allora condotto una perquisizione sulla loro automobile, al cui interno è stata rinvenuta una moltitudine di arnesi e attrezzi da lavoro di ogni genere, nonché alcune apparecchiature elettroniche.In breve tempo i Carabinieri sono così risaliti a tre proprietari di altrettanti furgoni dai quali erano stati trafugati gli articoli in questione, del valore complessivo di oltre 10.000 euro. Parte della refurtiva è stata riconsegnata ai legittimi possessori, mentre continuano le indagini riguardanti le identità delle restanti persone derubate. Per i due campani sono invece scattati gli arresti domiciliari con l’accusa di furto aggravato.;2020-03-6; Marche Notizie;['Lavoro', 'Fermignano', 'Arresti', 'Carabinieri', 'Marche', 'Urbino'];https://www.pesarourbinonotizie.it/43041/rubavano-attrezzi-da-lavoro-a-fermignano-e-dintorni-arrestati-due-uomini;www.pesarourbinonotizie.it;['marche']
20539;Droghe di ogni tipo in casa, pusher tratto in arresto dalla Polizia a Urbino;Nei giorni scorsi la Polizia di Stato di Urbino ha tratto in arresto un 37enne già noto alle forze dell’ordine, in quanto trovato in possesso di una considerevole quantità di sostanze stupefacenti. In occasione della perquisizione della sua abitazione ubicata nella frazione di Trasanni, infatti, gli agenti hanno rinvenuto ben 1.031 grammi di hashish, 46,13 grammi di cocaina e 35,35 grammi di eroina: assieme alla droga sequestrati anche 5.985 euro in contanti, denaro ritenuto proveniente dall’attività illecita intrapresa ormai da tempo dal soggetto in questione.L’udienza di convalida dell’arresto, avvenuta nella giornata di venerdì 6 marzo, ha confermato la misura nei confronti del 37enne, considerato uno dei principali spacciatori della zona: egli si trova ora agli arresti domiciliari.;2020-03-9; Marche Notizie;['Droga', 'Arresti', 'Polizia', 'Marche', 'Urbino'];https://www.pesarourbinonotizie.it/43060/droghe-di-ogni-tipo-in-casa-pusher-tratto-in-arresto-dalla-polizia-a-urbino;www.pesarourbinonotizie.it;['marche']
20931;Truffa online da 57.000 euro ai danni di una 53enne di Petriano, rintracciati i responsabili;Dopo attente indagini portate avanti all’incirca per cinque mesi, i Carabinieri di Montecchio sono riusciti a risalire ai responsabili di una truffa da decine di migliaia di euro perpetrata ai danni di una 53enne di Petriano.Nell’ottobre dello scorso anno, infatti, la donna aveva acquistato on-line una moltitudine di elettrodomestici per un importo complessivo di 57.000 euro. Quando la merce era arrivata in Italia dalla Germania, tuttavia, ella si era trovata di fronte dei dispositivi non certo all’altezza di quanto pubblicizzato, alcuni dei quali persino inservibili per via delle loro pessime condizioni.La vittima del raggiro si era immediatamente rivolta alle forze dell’ordine che, al termine di lunghi accertamenti, hanno infine denunciato per truffa in concorso un 35enne marocchino residente a Saronno e una 53enne di nazionalità italiana residente nella provincia di Ancona.;2020-03-10; Marche Notizie;['Truffe', 'Inchieste-investigazioni-indagini', 'Carabinieri'];https://www.pesarourbinonotizie.it/43099/truffa-online-da-57-000-euro-ai-danni-di-una-53enne-di-petriano-rintracciati-i-responsabili;www.pesarourbinonotizie.it;['marche']
