;title;content;date;author;tags;url;website-domain;region
1221;Ancora una tragica morte sul lavoro, operaio schiacciato da un muletto, UGL Ragusa: Basta morti...;La Segretaria provinciale UGL Ragusa interviene sulla tragedia avvenuta ieri al mercato ortofrutticolo di Donnalucata (Scicli) “Ancora una tragica morte sul lavoro,un operaio di Scicli, Memmo Paolello, 44 anni, è morto oggi all’interno del mercato ortofrutticolo di Donnalucata, mentre stava operando delle azioni di carico e scarico della merce, il muletto che guidava si è capovolto e lo ha schiacciato.Fatale per lui il trauma toracico sotto il pesante mezzo.Ci uniamo al dolore dei familiari – dichiara – ma non possiamo fare a meno che ribadire che la sicurezza nei luoghi di lavoro deve diventare un fattore culturale che va potenziato e diffuso capillarmente, non solo tra i tra lavoratori, ma anche tra i cittadini.Servono controlli più frequenti sui cantieri per garantire agli operai di agire in tranquillità e di non dover rischiare la vita per portare a casa lo stipendio. Chiediamo accertamenti sugli strumenti utilizzati per svolgere il lavoro e un monitoraggio più completo sullo stato di salute in cui versano i lavoratori”.Dai dati emersi da uno studio Inail , si evince che in Italia ci sono stati 1.018 decessi sul lavoro nel 2016, 1.029 nel 2017 e 1.133 nel 2018 , e n. 1089 nel 2019 .L’incidenza più alta della mortalità rispetto alla popolazione lavorativa, viene rilevata in Basilicata con un indice pari a 21,2 (più del triplo della media nazionale). Ed è seguita dalla Sicilia, dal Trentino Alto Adige e dall’Abruzzo (con un indice di 10,2).Il Sindacato UGL ha sempre fatto della sicurezza sul lavoro una delle sue battaglie primaria e e da oltre un anno ha in attivo il tour itinerante in tutte le principali città d’Italia ‘Lavorare per Vivere’ , condotto dal Segretario Nazionale Francesco Paolo Capone in prima persona, per sensibilizzare l’opinione pubblica su questo fenomeno dilagante e per mettere un freno a questi drammatici eventi.;2020-02-19; Ragusa Oggi;['Sicilia', 'Ragusa', 'Scicli'];https://www.ragusaoggi.it/ancora-una-tragica-morte-sul-lavoro-operaio-schiacciato-da-un-muletto-ugl-ragusa-basta-morti-bianche-necessario-potenziare-la-cultura-della-sicurezza-e-i-controlli/;www.ragusaoggi.it;['sicilia']
1605;Scicli: non mandano i figli a scuola, denunciati 50 genitori;I Carabinieri della Tenenza di Scicli, al termine di attività investigativa hanno deferito in stato di libertà alla Procura di Ragusa per inosservanza dell’obbligo di istruzione dei minori cinquanta soggetti maggiorenni.L’attività dei militari dell’Arma ha preso le mosse dalle segnalazioni svolte dai solerti dirigenti degli istituti scolastici cittadini, che a seguito delle ripetute assenze dalle lezioni, hanno indicato i giovanissimi che non partecipavano senza giustificato motivo alle lezioni della scuola dell’obbligo.Le indagini durate diverse settimane hanno permesso di accertare che ben 25 nuclei familiari sia italiani che stranieri non hanno ottemperato all’obbligo di istruzione dei giovanissimi. Sono stati, quindi deferiti entrambi gli esercenti la potestà genitoriale. Le storie che sottendono ad ognuna di queste situazioni sono diverse, ma il comune denominatore è la scarsa percezione dell’utilità della frequenza della scuola dell’obbligo, che si percepisce spesso in famiglie di bassa estrazione sociale.L’attività è dimostrazione di sinergia con le istituzioni scolastiche cittadine che segnalazioni con attenzione i vari episodi di dispersione scolastica, nonché la sensibilità dei militari nel gestire delicati episodi che afferiscono la sfera delle scelte educative dei figli.;2020-02-20; Ragusa Oggi;['Scicli', 'Scuola', 'Carabinieri', 'Giustizia', 'Sicilia', 'Ragusa'];https://www.ragusaoggi.it/scicli-non-mandano-i-figli-a-scuola-denunciati-50-genitori/;www.ragusaoggi.it;['sicilia']
1968;Al via lanno accademico dellUniversita Europea di Roma;;2020-02-20; Ragusa Oggi;['Lazio', 'Roma', 'Arresti'];https://www.ragusaoggi.it/al-via-lanno-accademico-delluniversita-europea-di-roma/;www.ragusaoggi.it;['lazio']
2690;Violenza sessuale sui pazienti, arrestato medico dellospedale di Tivoli;;2020-02-22; Ragusa Oggi;['Arresti', 'Lazio', 'Tivoli', 'Roma', 'Polizia', 'Inchieste-investigazioni-indagini', 'Giustizia'];https://www.ragusaoggi.it/violenza-sessuale-sui-pazienti-arrestato-medico-dellospedale-di-tivoli/;www.ragusaoggi.it;['lazio']
3242;Smantellato traffico anabolizzanti, 20 indagati in tre regioni;;2020-02-24; Ragusa Oggi;['Reggio Calabria', 'Calabria', 'Carabinieri', 'Sicilia', 'Catania', 'Toscana', 'Firenze', 'Arresti', 'Arresti Domiciliari'];https://www.ragusaoggi.it/smantellato-traffico-anabolizzanti-20-indagati-in-tre-regioni/;www.ragusaoggi.it;['sicilia', 'toscana', 'calabria']
3647;Maxiblitz contro la ndrangheta nel Reggino, 65 arresti;;2020-02-25; Ragusa Oggi;"['Mafia', ""'Ndrangheta"", 'Arresti', 'Arresti Domiciliari', 'Reggio Calabria', 'Calabria', 'Polizia', 'Custodia Cautelare', 'Carceri']";https://www.ragusaoggi.it/maxiblitz-contro-la-ndrangheta-nel-reggino-65-arresti/;www.ragusaoggi.it;['calabria']
3756;E morto prematuramente Maurizio Viaggiatore, domani i funerali al Duomo di Ragusa;Il Duomo di San Giorgio martire a Ragusa e il comitato che cura la festa esprimono profondo cordoglio per la scomparsa di uno dei componenti storici del gruppo che da sempre si occupa delle celebrazioni in onore del patrono. E’ venuto a mancare in queste ore, infatti, il 53enne Maurizio Viaggiatore che lascia la moglie, la figlia e anche una nipotina.I funerali si terranno domani, mercoledì 26 febbraio, alle 15, al Duomo di San Giorgio. Tra l’altro, la sua figura è immediatamente identificabile in quanto era lui che curava da sempre la “vestizione” del simulacro subito dopo il rito della “Scinnuta”.“Sono migliaia – dicono i componenti del comitato – i ricordi che ci legano a Maurizio. Oggi siamo tutti più vuoti. Porteremo avanti le tradizioni riguardanti le celebrazioni in onore di San Giorgio anche grazie a tutte le cose che lui ci ha trasmesso e che a lui erano state insegnate dalle generazioni precedenti.Lo ringraziamo per tutto quello che ci ha dato. Perpetueremo negli anni il suo ricordo”. I portatori parteciperanno alle esequie con la maglietta che raffigura San Giorgio.;2020-02-25; Ragusa Oggi;['Funerali', 'Sicilia', 'Ragusa'];https://www.ragusaoggi.it/e-morto-prematuramente-maurizio-viaggiatore-domani-i-funerali-al-duomo-di-ragusa/;www.ragusaoggi.it;['sicilia']
3757;Scicli: va in carcere Franco Mormina;I Carabinieri della Tenenza di Scicli dando esecuzione ad ordine di carcerazione giunto dalla Procura Generale di Catania giunta all’esito del terzo grado di giudizio hanno arrestato Franco Mormina, 51 anni.L’uomo era stato arrestato nell’operazione Eco dei Carabinieri di Modica, che aveva scoperchiato il sistema di estorsioni legato alla gestione dei rifiuti nella cittadina del commissario Montalbano. All’esito dell’operazione era stata avviata la procedura volta allo scioglimento del Comune.Il Mormina sconterà la pena di 3 anni e 10 mesi nel Carcere di Ragusa dove è stato tradotto all’esito dell’arresto.;2020-02-25; Ragusa Oggi;['Scicli', 'Carceri', 'Carabinieri', 'Arresti', 'Giustizia', 'Sicilia', 'Catania'];https://www.ragusaoggi.it/scicli-va-in-carcere-franco-mormina/;www.ragusaoggi.it;['sicilia']
3822;Rifiuti a Ragusa, controlli in borghese della polizia municipale;"La Polizia Municipale, nel mese di febbraio in esecuzione di apposita direttiva, ha svolto servizi straordinari, effettuati da personale in borghese, in alcune zone del centro storico di Ragusa finalizzati al rispetto dell’Ordinanza sindacale. n. 742/19 in materia di corretto conferimento dei rifiuti.In questa prima fase sono stati monitorati due siti in particolare: Largo Mentana e Via A. Diaz ( tratto Via Roma – Via Rapisardi )
Tale attività è stata svolta nelle fasce orarie comprese tra le ore 20 e le ore 24, ore 6 ed ore 10 e dalle ore 14 alle ore 18. Sono state contestate 13 infrazioni, quasi tutte nella fascia oraria serale.Si precisa, altresì, che i predetti siti sono stati sottoposti anche a videosorveglianza che ha permesso di elevare altre due sanzioni grazie alla lettura delle targhe.
Inoltre dall’11 al 24 febbraio sono state impiegate 15 pattuglie per un totale di 30 unità.
La Polizia Locale comunica, altresì, che tali mirati controlli continueranno anche nelle prossime settimane.";2020-02-25; Ragusa Oggi;['Sicilia', 'Ragusa', 'Polizia'];https://www.ragusaoggi.it/rifiuti-a-ragusa-controlli-in-borghese-della-polizia-municipale/;www.ragusaoggi.it;['sicilia']
3926;Coronavirus, Agrigento: tre carabinieri in autoisolamento;"Tre Carabinieri in servizio ad Agrigento hanno deciso di restare per due settimane in autoisolamento. “Uno dei tre, infatti, tornato da una breve visita ai propri familiari residenti nel lodigiano, appena ha appreso la notizia dell’isolamento che ha interessato il proprio paese, ha con grande tempismo e senso di responsabilità rappresentato la circostanza ai propri superiori”.Lo rende noto il sindaco di Agrigento, Calogero Firetto. “Si precisa che i tre militari, che vivono in stanze attigue, sono sereni ed in ottime condizioni di salute; inoltre il militare del lodigiano ha riferito di non aver avuto alcun tipo di contatto sospetto durante la sua permanenza in famiglia e che parenti ed amici sono tutti in ottimo stato di salute.Tutte le autorità competenti, immediatamente informate, hanno manifestato il proprio apprezzamento per lo zelo dimostrato dai militari ed hanno fornito la propria massima disponibilità e vicinanza all’Arma dei Carabinieri”, dice il sindaco.";2020-02-25; Ragusa Oggi;['Sicilia', 'Agrigento', 'Carabinieri'];https://www.ragusaoggi.it/coronavirus-agrigento-tre-carabinieri-in-autoisolamento/;www.ragusaoggi.it;['sicilia']
