data,denominazione_regione,ricoverati_con_sintomi,terapia_intensiva,totale_ospedalizzati,isolamento_domiciliare,totale_positivi,variazione_totale_positivi,nuovi_positivi,dimessi_guariti,deceduti,totale_casi,tamponi,casi_testati,nuovi_tamponi,nuovi_casi_testati,nuovi_deceduti
2020-02-24,Friuli Venezia Giulia,0,0,0,0,0,0,0,0,0,0,58,0.0,58,0.0,0
2020-02-25,Friuli Venezia Giulia,0,0,0,0,0,0,0,0,0,0,89,0.0,31,0.0,0
2020-02-26,Friuli Venezia Giulia,0,0,0,0,0,0,0,0,0,0,114,0.0,25,0.0,0
2020-02-27,Friuli Venezia Giulia,0,0,0,0,0,0,0,0,0,0,141,0.0,27,0.0,0
2020-02-28,Friuli Venezia Giulia,0,0,0,0,0,0,0,0,0,0,169,0.0,28,0.0,0
2020-02-29,Friuli Venezia Giulia,0,0,0,0,0,0,0,0,0,0,189,0.0,20,0.0,0
2020-03-01,Friuli Venezia Giulia,0,0,0,6,6,6,6,0,0,6,243,0.0,54,0.0,0
2020-03-02,Friuli Venezia Giulia,0,0,0,9,9,3,3,0,0,9,269,0.0,26,0.0,0
2020-03-03,Friuli Venezia Giulia,1,0,1,12,13,4,4,0,0,13,354,0.0,85,0.0,0
2020-03-04,Friuli Venezia Giulia,3,0,3,15,18,5,5,0,0,18,376,0.0,22,0.0,0
2020-03-05,Friuli Venezia Giulia,4,0,4,17,21,3,3,0,0,21,397,0.0,21,0.0,0
2020-03-06,Friuli Venezia Giulia,4,0,4,24,28,7,10,3,0,31,577,0.0,180,0.0,0
2020-03-07,Friuli Venezia Giulia,7,1,8,31,39,11,11,3,0,42,577,0.0,0,0.0,0
2020-03-08,Friuli Venezia Giulia,7,1,8,45,53,14,15,3,1,57,997,0.0,420,0.0,1
2020-03-09,Friuli Venezia Giulia,18,1,19,70,89,36,36,3,1,93,1344,0.0,347,0.0,0
2020-03-10,Friuli Venezia Giulia,27,6,33,77,110,21,23,3,3,116,1602,0.0,258,0.0,2
2020-03-11,Friuli Venezia Giulia,16,5,21,89,110,0,10,10,6,126,2073,0.0,471,0.0,3
2020-03-12,Friuli Venezia Giulia,23,10,33,115,148,38,41,11,8,167,2604,0.0,531,0.0,2
2020-03-13,Friuli Venezia Giulia,59,8,67,169,236,88,90,11,10,257,3149,0.0,545,0.0,2
2020-03-14,Friuli Venezia Giulia,67,11,78,193,271,35,44,17,13,301,3376,0.0,227,0.0,3
2020-03-15,Friuli Venezia Giulia,98,12,110,206,316,45,46,17,14,347,3407,0.0,31,0.0,1
2020-03-16,Friuli Venezia Giulia,96,19,115,231,346,30,39,18,22,386,4851,0.0,1444,0.0,8
2020-03-17,Friuli Venezia Giulia,104,21,125,222,347,1,8,17,30,394,4958,0.0,107,0.0,8
2020-03-18,Friuli Venezia Giulia,128,27,155,261,416,69,68,15,31,462,4958,0.0,0,0.0,1
2020-03-19,Friuli Venezia Giulia,134,29,163,359,522,106,137,41,36,599,4052,0.0,-906,0.0,5
2020-03-20,Friuli Venezia Giulia,143,32,175,380,555,33,57,63,38,656,4964,0.0,912,0.0,2
2020-03-21,Friuli Venezia Giulia,152,37,189,477,666,111,134,82,42,790,5955,0.0,991,0.0,4
2020-03-22,Friuli Venezia Giulia,163,47,210,528,738,72,84,89,47,874,6761,0.0,806,0.0,5
2020-03-23,Friuli Venezia Giulia,185,41,226,545,771,33,56,105,54,930,7424,0.0,663,0.0,7
2020-03-24,Friuli Venezia Giulia,195,49,244,604,848,77,62,80,64,992,8526,0.0,1102,0.0,10
2020-03-25,Friuli Venezia Giulia,200,52,252,659,911,63,147,158,70,1139,9494,0.0,968,0.0,6
2020-03-26,Friuli Venezia Giulia,212,54,266,688,954,43,84,197,72,1223,10721,0.0,1227,0.0,2
2020-03-27,Friuli Venezia Giulia,222,57,279,748,1027,73,94,214,76,1317,11841,0.0,1120,0.0,4
2020-03-28,Friuli Venezia Giulia,223,59,282,838,1120,93,119,229,87,1436,12723,0.0,882,0.0,11
2020-03-29,Friuli Venezia Giulia,236,60,296,845,1141,21,44,241,98,1480,13397,0.0,674,0.0,11
2020-03-30,Friuli Venezia Giulia,229,60,289,820,1109,-32,21,285,107,1501,14003,0.0,606,0.0,9
2020-03-31,Friuli Venezia Giulia,215,60,275,885,1160,51,92,320,113,1593,14899,0.0,896,0.0,6
2020-04-01,Friuli Venezia Giulia,206,60,266,940,1206,46,92,357,122,1685,15987,0.0,1088,0.0,9
2020-04-02,Friuli Venezia Giulia,199,60,259,1035,1294,88,114,376,129,1799,17121,0.0,1134,0.0,7
2020-04-03,Friuli Venezia Giulia,201,61,262,1062,1324,30,80,419,136,1879,19985,0.0,2864,0.0,7
2020-04-04,Friuli Venezia Giulia,183,50,233,1103,1336,12,107,505,145,1986,21126,0.0,1141,0.0,9
2020-04-05,Friuli Venezia Giulia,185,50,235,1128,1363,27,62,531,154,2048,21652,0.0,526,0.0,9
2020-04-06,Friuli Venezia Giulia,189,46,235,1161,1396,33,55,549,158,2103,22272,0.0,620,0.0,4
2020-04-07,Friuli Venezia Giulia,185,44,229,1150,1379,-17,50,610,164,2153,23536,0.0,1264,0.0,6
2020-04-08,Friuli Venezia Giulia,162,41,203,1212,1415,36,65,634,169,2218,24798,0.0,1262,0.0,5
2020-04-09,Friuli Venezia Giulia,167,37,204,1186,1390,-25,81,738,171,2299,26205,0.0,1407,0.0,2
2020-04-10,Friuli Venezia Giulia,167,33,200,1198,1398,8,50,772,179,2349,28097,0.0,1892,0.0,8
2020-04-11,Friuli Venezia Giulia,172,28,200,1182,1382,-16,44,826,185,2393,29685,0.0,1588,0.0,6
2020-04-12,Friuli Venezia Giulia,160,28,188,1138,1326,-56,38,910,195,2431,29988,0.0,303,0.0,10
2020-04-13,Friuli Venezia Giulia,159,30,189,1118,1307,-19,51,973,202,2482,30941,0.0,953,0.0,7
2020-04-14,Friuli Venezia Giulia,166,28,194,705,899,-408,38,1415,206,2520,31764,0.0,823,0.0,4
2020-04-15,Friuli Venezia Giulia,163,24,187,1207,1394,495,24,938,212,2544,33800,0.0,2036,0.0,6
