data,denominazione_regione,ricoverati_con_sintomi,terapia_intensiva,totale_ospedalizzati,isolamento_domiciliare,totale_positivi,variazione_totale_positivi,nuovi_positivi,dimessi_guariti,deceduti,totale_casi,tamponi,casi_testati,nuovi_tamponi,nuovi_casi_testati,nuovi_deceduti
2020-02-24,P.A. Bolzano,0,0,0,0,0,0,0,0,0,0,1,0.0,1,0.0,0
2020-02-25,P.A. Bolzano,1,0,1,0,1,1,1,0,0,1,1,0.0,0,0.0,0
2020-02-26,P.A. Bolzano,1,0,1,0,1,0,0,0,0,1,1,0.0,0,0.0,0
2020-02-27,P.A. Bolzano,1,0,1,0,1,0,0,0,0,1,2,0.0,1,0.0,0
2020-02-28,P.A. Bolzano,1,0,1,0,1,0,0,0,0,1,2,0.0,0,0.0,0
2020-02-29,P.A. Bolzano,1,0,1,0,1,0,0,0,0,1,16,0.0,14,0.0,0
2020-03-01,P.A. Bolzano,1,0,1,0,1,0,0,0,0,1,20,0.0,4,0.0,0
2020-03-02,P.A. Bolzano,1,0,1,0,1,0,0,0,0,1,20,0.0,0,0.0,0
2020-03-03,P.A. Bolzano,1,0,1,0,1,0,0,0,0,1,20,0.0,0,0.0,0
2020-03-04,P.A. Bolzano,1,0,1,0,1,0,0,0,0,1,20,0.0,0,0.0,0
2020-03-05,P.A. Bolzano,1,0,1,0,1,0,0,0,0,1,20,0.0,0,0.0,0
2020-03-06,P.A. Bolzano,4,0,4,0,4,3,3,0,0,4,36,0.0,16,0.0,0
2020-03-07,P.A. Bolzano,8,0,8,1,9,5,5,0,0,9,36,0.0,0,0.0,0
2020-03-08,P.A. Bolzano,8,0,8,1,9,0,0,0,0,9,36,0.0,0,0.0,0
2020-03-09,P.A. Bolzano,8,0,8,1,9,0,0,0,0,9,36,0.0,0,0.0,0
2020-03-10,P.A. Bolzano,17,1,18,20,38,29,29,0,0,38,36,0.0,0,0.0,0
2020-03-11,P.A. Bolzano,8,4,12,63,75,37,37,0,0,75,75,0.0,39,0.0,0
2020-03-12,P.A. Bolzano,21,4,25,78,103,28,29,0,1,104,607,0.0,532,0.0,1
2020-03-13,P.A. Bolzano,20,5,25,98,123,20,21,0,2,125,811,0.0,204,0.0,1
2020-03-14,P.A. Bolzano,26,7,33,137,170,47,48,0,3,173,1135,0.0,324,0.0,1
2020-03-15,P.A. Bolzano,50,4,54,145,199,29,31,0,5,204,1497,0.0,362,0.0,2
2020-03-16,P.A. Bolzano,53,11,64,171,235,36,37,0,6,241,1740,0.0,243,0.0,1
2020-03-17,P.A. Bolzano,71,11,82,200,282,47,50,1,8,291,2149,0.0,409,0.0,2
2020-03-18,P.A. Bolzano,79,18,97,269,366,84,85,1,9,376,2844,0.0,695,0.0,1
2020-03-19,P.A. Bolzano,87,18,105,316,421,55,60,1,14,436,3568,0.0,724,0.0,5
2020-03-20,P.A. Bolzano,99,24,123,407,530,109,112,1,17,548,4433,0.0,865,0.0,3
2020-03-21,P.A. Bolzano,127,30,157,443,600,70,73,1,20,621,5179,0.0,746,0.0,3
2020-03-22,P.A. Bolzano,146,32,178,470,648,48,57,7,23,678,5718,0.0,539,0.0,3
2020-03-23,P.A. Bolzano,145,33,178,510,688,40,46,7,29,724,6084,0.0,366,0.0,6
2020-03-24,P.A. Bolzano,166,38,204,495,699,11,57,44,38,781,6509,0.0,425,0.0,9
2020-03-25,P.A. Bolzano,190,40,230,518,748,49,77,67,43,858,6649,0.0,140,0.0,5
2020-03-26,P.A. Bolzano,223,43,266,525,791,43,48,67,48,906,7744,0.0,1095,0.0,5
2020-03-27,P.A. Bolzano,249,45,294,539,833,42,97,110,60,1003,8520,0.0,776,0.0,12
2020-03-28,P.A. Bolzano,225,51,276,653,929,96,106,116,64,1109,9168,0.0,648,0.0,4
2020-03-29,P.A. Bolzano,234,56,290,744,1034,105,105,116,64,1214,10137,0.0,969,0.0,0
2020-03-30,P.A. Bolzano,231,62,293,805,1098,64,111,153,74,1325,10640,0.0,503,0.0,10
2020-03-31,P.A. Bolzano,249,62,311,831,1142,44,46,153,76,1371,11275,0.0,635,0.0,2
2020-04-01,P.A. Bolzano,269,57,326,786,1112,-30,47,190,116,1418,11951,0.0,676,0.0,40
2020-04-02,P.A. Bolzano,279,60,339,821,1160,48,61,190,129,1479,12677,0.0,726,0.0,13
