data,denominazione_regione,ricoverati_con_sintomi,terapia_intensiva,totale_ospedalizzati,isolamento_domiciliare,totale_positivi,variazione_totale_positivi,nuovi_positivi,dimessi_guariti,deceduti,totale_casi,tamponi,casi_testati,nuovi_tamponi,nuovi_casi_testati,nuovi_deceduti
2020-02-24,P.A. Trento,0,0,0,0,0,0,0,0,0,0,3,0.0,3,0.0,0
2020-02-25,P.A. Trento,0,0,0,0,0,0,0,0,0,0,3,0.0,0,0.0,0
2020-02-26,P.A. Trento,0,0,0,0,0,0,0,0,0,0,3,0.0,0,0.0,0
2020-02-27,P.A. Trento,0,0,0,0,0,0,0,0,0,0,32,0.0,29,0.0,0
2020-02-28,P.A. Trento,0,0,0,0,0,0,0,0,0,0,32,0.0,0,0.0,0
2020-02-29,P.A. Trento,0,0,0,0,0,0,0,0,0,0,43,0.0,11,0.0,0
2020-03-01,P.A. Trento,0,0,0,0,0,0,0,0,0,0,122,0.0,79,0.0,0
2020-03-02,P.A. Trento,0,0,0,0,0,0,0,0,0,0,122,0.0,0,0.0,0
2020-03-03,P.A. Trento,1,0,1,3,4,4,4,0,0,4,122,0.0,0,0.0,0
2020-03-04,P.A. Trento,1,0,1,4,5,1,1,0,0,5,122,0.0,0,0.0,0
2020-03-05,P.A. Trento,2,0,2,5,7,2,2,0,0,7,122,0.0,0,0.0,0
2020-03-06,P.A. Trento,4,0,4,6,10,3,3,0,0,10,122,0.0,0,0.0,0
2020-03-07,P.A. Trento,6,1,7,7,14,4,4,0,0,14,194,0.0,72,0.0,0
2020-03-08,P.A. Trento,7,2,9,14,23,9,9,0,0,23,228,0.0,34,0.0,0
2020-03-09,P.A. Trento,10,2,12,21,33,10,10,0,0,33,267,0.0,39,0.0,0
2020-03-10,P.A. Trento,19,3,22,28,50,17,19,2,0,52,399,0.0,132,0.0,0
2020-03-11,P.A. Trento,28,4,32,42,74,24,25,3,0,77,527,0.0,128,0.0,0
2020-03-12,P.A. Trento,43,5,48,54,102,28,30,4,1,107,593,0.0,66,0.0,1
2020-03-13,P.A. Trento,58,6,64,93,157,55,56,4,2,163,846,0.0,253,0.0,1
2020-03-14,P.A. Trento,68,12,80,119,199,42,43,5,2,206,1006,0.0,160,0.0,0
2020-03-15,P.A. Trento,73,19,92,275,367,168,172,5,6,378,1006,0.0,0,0.0,4
2020-03-16,P.A. Trento,73,19,92,275,367,0,0,5,6,378,1006,0.0,0,0.0,0
2020-03-17,P.A. Trento,107,22,129,239,368,1,7,10,7,385,1727,0.0,721,0.0,1
2020-03-18,P.A. Trento,141,22,163,273,436,68,70,12,7,455,2187,0.0,460,0.0,0
2020-03-19,P.A. Trento,169,30,199,292,491,55,68,20,12,523,2203,0.0,16,0.0,5
2020-03-20,P.A. Trento,198,34,232,368,600,109,119,29,13,642,2656,0.0,453,0.0,1
2020-03-21,P.A. Trento,233,39,272,448,720,120,140,34,28,782,2656,0.0,0,0.0,15
2020-03-22,P.A. Trento,235,46,281,604,885,165,172,34,35,954,3050,0.0,394,0.0,7
2020-03-23,P.A. Trento,249,46,295,619,914,29,69,68,41,1023,3150,0.0,100,0.0,6
2020-03-24,P.A. Trento,308,49,357,618,975,61,87,79,56,1110,3712,0.0,562,0.0,15
2020-03-25,P.A. Trento,308,65,373,685,1058,83,112,90,74,1222,4114,0.0,402,0.0,18
2020-03-26,P.A. Trento,300,66,366,728,1094,36,75,117,86,1297,4600,0.0,486,0.0,12
2020-03-27,P.A. Trento,341,66,407,757,1164,70,94,125,102,1391,4923,0.0,323,0.0,16
2020-03-28,P.A. Trento,351,72,423,811,1234,70,114,151,120,1505,5561,0.0,638,0.0,18
2020-03-29,P.A. Trento,356,75,431,862,1293,59,89,172,129,1594,5950,0.0,389,0.0,9
2020-03-30,P.A. Trento,353,78,431,926,1357,64,88,178,147,1682,6377,0.0,427,0.0,18
2020-03-31,P.A. Trento,354,80,434,955,1389,32,64,193,164,1746,6973,0.0,596,0.0,17
2020-04-01,P.A. Trento,345,76,421,1062,1483,94,124,214,173,1870,7675,0.0,702,0.0,9
2020-04-02,P.A. Trento,339,78,417,1170,1587,104,133,229,187,2003,8496,0.0,821,0.0,14
2020-04-03,P.A. Trento,343,80,423,1236,1659,72,106,246,204,2109,8993,0.0,497,0.0,17
2020-04-04,P.A. Trento,353,81,434,1319,1753,94,111,257,210,2220,9863,0.0,870,0.0,6
2020-04-05,P.A. Trento,352,80,432,1363,1795,42,65,273,217,2285,10476,0.0,613,0.0,7
2020-04-06,P.A. Trento,354,79,433,1405,1838,43,63,280,230,2348,11130,0.0,654,0.0,13
2020-04-07,P.A. Trento,360,78,438,1452,1890,52,128,342,244,2476,12030,0.0,900,0.0,14
2020-04-08,P.A. Trento,354,77,431,1509,1940,50,126,407,255,2602,13258,0.0,1228,0.0,11
2020-04-09,P.A. Trento,345,69,414,1564,1978,38,106,462,268,2708,14338,0.0,1080,0.0,13
2020-04-10,P.A. Trento,335,70,405,1589,1994,16,108,547,275,2816,14981,0.0,643,0.0,7
2020-04-11,P.A. Trento,335,62,397,1667,2064,70,154,622,284,2970,16646,0.0,1665,0.0,9
2020-04-12,P.A. Trento,322,61,383,1699,2082,18,83,678,293,3053,17797,0.0,1151,0.0,9
2020-04-13,P.A. Trento,326,56,382,1698,2080,-2,73,746,300,3126,18586,0.0,789,0.0,7
2020-04-14,P.A. Trento,325,54,379,1703,2082,2,15,749,310,3141,18774,0.0,188,0.0,10
2020-04-15,P.A. Trento,312,48,360,1744,2104,22,79,798,318,3220,19535,0.0,761,0.0,8
2020-04-16,P.A. Trento,296,43,339,1748,2087,-17,74,885,322,3294,20773,0.0,1238,0.0,4
2020-04-17,P.A. Trento,286,44,330,1660,1990,-97,82,1044,342,3376,21921,0.0,1148,0.0,20
2020-04-18,P.A. Trento,276,42,318,1667,1985,-5,55,1098,348,3431,23147,0.0,1226,0.0,6
2020-04-19,P.A. Trento,278,41,319,1652,1971,-14,101,1201,360,3532,24388,16685.0,1241,16685.0,12
2020-04-20,P.A. Trento,272,40,312,1617,1929,-42,58,1295,366,3590,26211,17347.0,1823,662.0,6
2020-04-21,P.A. Trento,254,38,292,1617,1909,-20,24,1329,376,3614,26610,17705.0,399,358.0,10
2020-04-22,P.A. Trento,245,34,279,1595,1874,-35,32,1391,381,3646,26674,17672.0,64,-33.0,5
2020-04-23,P.A. Trento,234,29,263,1608,1871,-3,81,1474,382,3727,28240,18656.0,1566,984.0,1
2020-04-24,P.A. Trento,224,28,252,1575,1827,-44,49,1560,389,3776,29779,19250.0,1539,594.0,7
2020-04-25,P.A. Trento,202,27,229,1515,1744,-83,62,1694,400,3838,30661,19394.0,882,144.0,11
2020-04-26,P.A. Trento,199,24,223,1459,1682,-62,56,1807,405,3894,32142,19902.0,1481,508.0,5
2020-04-27,P.A. Trento,201,23,224,1483,1707,25,101,1881,407,3995,33152,20199.0,1010,297.0,2
2020-04-28,P.A. Trento,182,22,204,1361,1565,-142,30,2048,412,4025,33839,20539.0,687,340.0,5
2020-04-29,P.A. Trento,165,22,187,1276,1463,-102,44,2190,416,4069,35008,20944.0,1169,405.0,4
2020-04-30,P.A. Trento,158,21,179,1191,1370,-93,47,2328,418,4116,36534,21622.0,1526,678.0,2
2020-05-01,P.A. Trento,146,19,165,1128,1293,-77,16,2416,423,4132,37838,22602.0,1304,980.0,5
2020-05-02,P.A. Trento,138,19,157,1125,1282,-11,49,2474,425,4181,39579,23380.0,1741,778.0,2
2020-05-03,P.A. Trento,136,17,153,1094,1247,-35,66,2571,429,4247,41095,24085.0,1516,705.0,4
