data,denominazione_regione,ricoverati_con_sintomi,terapia_intensiva,totale_ospedalizzati,isolamento_domiciliare,totale_positivi,variazione_totale_positivi,nuovi_positivi,dimessi_guariti,deceduti,totale_casi,tamponi,casi_testati,nuovi_tamponi,nuovi_casi_testati,nuovi_deceduti
2020-02-24,Sicilia,0,0,0,0,0,0,0,0,0,0,5,0.0,5,0.0,0
2020-02-25,Sicilia,1,0,1,2,3,3,3,0,0,3,5,0.0,0,0.0,0
2020-02-26,Sicilia,1,0,1,2,3,0,0,0,0,3,5,0.0,0,0.0,0
2020-02-27,Sicilia,1,0,1,1,2,-1,1,2,0,4,5,0.0,0,0.0,0
2020-02-28,Sicilia,1,0,1,1,2,0,0,2,0,4,5,0.0,0,0.0,0
2020-02-29,Sicilia,1,0,1,1,2,0,0,2,0,4,6,0.0,1,0.0,0
2020-03-01,Sicilia,1,0,1,6,7,5,5,2,0,9,291,0.0,285,0.0,0
2020-03-02,Sicilia,2,0,2,3,5,-2,-2,2,0,7,307,0.0,16,0.0,0
2020-03-03,Sicilia,2,0,2,3,5,0,0,2,0,7,307,0.0,0,0.0,0
2020-03-04,Sicilia,5,0,5,11,16,11,11,2,0,18,367,0.0,60,0.0,0
2020-03-05,Sicilia,5,0,5,11,16,0,0,2,0,18,367,0.0,0,0.0,0
2020-03-06,Sicilia,7,0,7,15,22,6,6,2,0,24,367,0.0,0,0.0,0
2020-03-07,Sicilia,8,0,8,25,33,11,11,2,0,35,643,0.0,276,0.0,0
2020-03-08,Sicilia,18,0,18,33,51,18,18,2,0,53,791,0.0,148,0.0,0
2020-03-09,Sicilia,19,0,19,33,52,1,1,2,0,54,836,0.0,45,0.0,0
2020-03-10,Sicilia,17,2,19,41,60,8,8,2,0,62,955,0.0,119,0.0,0
2020-03-11,Sicilia,23,1,24,57,81,21,21,2,0,83,1194,0.0,239,0.0,0
2020-03-12,Sicilia,28,5,33,78,111,30,32,2,2,115,1477,0.0,283,0.0,2
2020-03-13,Sicilia,37,7,44,82,126,15,15,2,2,130,1950,0.0,473,0.0,0
2020-03-14,Sicilia,42,11,53,97,150,24,26,4,2,156,2100,0.0,150,0.0,0
2020-03-15,Sicilia,56,15,71,108,179,29,32,7,2,188,2452,0.0,352,0.0,0
2020-03-16,Sicilia,75,20,95,108,203,24,25,8,2,213,2653,0.0,201,0.0,0
2020-03-17,Sicilia,86,28,114,112,226,23,24,8,3,237,2916,0.0,263,0.0,1
2020-03-18,Sicilia,100,29,129,138,267,41,45,12,3,282,3294,0.0,378,0.0,0
2020-03-19,Sicilia,143,36,179,142,321,54,58,15,4,340,3961,0.0,667,0.0,1
2020-03-20,Sicilia,168,42,210,169,379,58,68,25,4,408,4468,0.0,507,0.0,0
2020-03-21,Sicilia,206,48,254,204,458,79,82,26,6,490,4883,0.0,415,0.0,2
2020-03-22,Sicilia,220,55,275,321,596,138,140,26,8,630,5580,0.0,697,0.0,2
2020-03-23,Sicilia,250,60,310,371,681,85,91,27,13,721,6375,0.0,795,0.0,5
2020-03-24,Sicilia,250,60,310,489,799,118,125,27,20,846,7170,0.0,795,0.0,7
2020-03-25,Sicilia,259,80,339,597,936,137,148,33,25,994,8312,0.0,1142,0.0,5
2020-03-26,Sicilia,346,68,414,681,1095,159,170,36,33,1164,9658,0.0,1346,0.0,8
2020-03-27,Sicilia,425,75,500,658,1158,63,86,53,39,1250,11079,0.0,1421,0.0,6
2020-03-28,Sicilia,441,71,512,730,1242,84,109,60,57,1359,13096,0.0,2017,0.0,18
2020-03-29,Sicilia,451,71,522,808,1330,88,101,65,65,1460,13814,0.0,718,0.0,8
2020-03-30,Sicilia,484,75,559,849,1408,78,95,71,76,1555,14758,0.0,944,0.0,11
2020-03-31,Sicilia,503,72,575,917,1492,84,92,74,81,1647,15634,0.0,876,0.0,5
2020-04-01,Sicilia,496,72,568,976,1544,52,71,86,88,1718,16836,0.0,1202,0.0,7
2020-04-02,Sicilia,503,73,576,1030,1606,62,73,92,93,1791,17833,0.0,997,0.0,5
