data,denominazione_regione,ricoverati_con_sintomi,terapia_intensiva,totale_ospedalizzati,isolamento_domiciliare,totale_positivi,variazione_totale_positivi,nuovi_positivi,dimessi_guariti,deceduti,totale_casi,tamponi,casi_testati,nuovi_tamponi,nuovi_casi_testati,nuovi_deceduti
2020-02-24,Veneto,12,4,16,16,32,0,32,0,1,33,2200,0.0,2200,0.0,1
2020-02-25,Veneto,12,7,19,23,42,10,10,0,1,43,3780,0.0,1580,0.0,0
2020-02-26,Veneto,16,8,24,45,69,27,28,0,2,71,4900,0.0,1120,0.0,1
2020-02-27,Veneto,19,8,27,82,109,40,40,0,2,111,6164,0.0,1264,0.0,0
2020-02-28,Veneto,24,9,33,116,149,40,40,0,2,151,7414,0.0,1250,0.0,0
2020-02-29,Veneto,24,11,35,154,189,40,40,0,2,191,8659,0.0,1245,0.0,0
2020-03-01,Veneto,51,13,64,197,261,72,72,0,2,263,9056,0.0,397,0.0,0
2020-03-02,Veneto,53,14,67,204,271,10,10,0,2,273,9782,0.0,726,0.0,0
2020-03-03,Veneto,49,19,68,229,297,26,34,7,3,307,10176,0.0,394,0.0,1
2020-03-04,Veneto,76,23,99,246,345,48,53,9,6,360,10515,0.0,339,0.0,3
2020-03-05,Veneto,92,24,116,264,380,35,47,17,10,407,11949,0.0,1434,0.0,4
2020-03-06,Veneto,117,27,144,310,454,74,81,22,12,488,13023,0.0,1074,0.0,2
2020-03-07,Veneto,123,41,164,341,505,51,55,25,13,543,14429,0.0,1406,0.0,1
2020-03-08,Veneto,146,47,193,430,623,118,127,29,18,670,15918,0.0,1489,0.0,5
2020-03-09,Veneto,186,51,237,457,694,71,74,30,20,744,15956,0.0,38,0.0,2
2020-03-10,Veneto,204,67,271,512,783,89,112,47,26,856,16643,0.0,687,0.0,6
2020-03-11,Veneto,262,68,330,610,940,157,167,54,29,1023,21400,0.0,4757,0.0,3
2020-03-12,Veneto,360,85,445,852,1297,357,361,55,32,1384,23438,0.0,2038,0.0,3
2020-03-13,Veneto,366,107,473,980,1453,156,211,100,42,1595,25691,0.0,2253,0.0,10
2020-03-14,Veneto,366,119,485,1290,1775,322,342,107,55,1937,26980,0.0,1289,0.0,13
2020-03-15,Veneto,426,129,555,1434,1989,214,235,120,63,2172,32546,0.0,5566,0.0,8
2020-03-16,Veneto,498,156,654,1620,2274,285,301,130,69,2473,35052,0.0,2506,0.0,6
2020-03-17,Veneto,548,171,719,1769,2488,214,231,136,80,2704,35478,0.0,426,0.0,11
2020-03-18,Veneto,646,195,841,2112,2953,465,510,167,94,3214,40841,0.0,5363,0.0,14
2020-03-19,Veneto,771,209,980,2189,3169,216,270,200,115,3484,44658,0.0,3817,0.0,21
