;author;web-domains
0; Il Fatto Quotidiano;['www.ilfattoquotidiano.it']
1; Torresette;['www.torresette.news']
2; Salernonotizie;['www.salernonotizie.it']
3; Affaritaliani;['www.affaritaliani.it']
4; Corriere Adriatico;['www.corriereadriatico.it']
5; Tgcom;['www.tgcom24.mediaset.it']
6; Ragusa Oggi;['www.ragusaoggi.it']
7; dire;['www.dire.it']
8; Quotidiano di Ragusa;['www.quotidianodiragusa.it']
9; Il Sussidiario;['www.ilsussidiario.net']
10; Il Giornale;['www.ilgiornale.it']
11; Huffington Post;['www.huffingtonpost.it']
12; La Gazzetta del Mezzogiorno;['www.lagazzettadelmezzogiorno.it']
13; QuiFinanza;['quifinanza.it']
14; Fanpage;['www.fanpage.it', 'roma.fanpage.it', 'milano.fanpage.it', 'gossip.fanpage.it', 'napoli.fanpage.it', 'motori.fanpage.it', 'tv.fanpage.it', 'scienze.fanpage.it', 'donna.fanpage.it', 'cinema.fanpage.it', 'tech.fanpage.it', 'music.fanpage.it', 'calcio.fanpage.it']
15; Giustizia News24;['www.giustizianews24.it']
16; Vivere Marche;['www.viveremarche.it']
17; Arma dei Carabinieri;['www.carabinieri.it']
18; Trentino TV;['www.trentinotv.it']
19; Pressenza;['www.pressenza.com']
20; igossip;['www.igossip.it']
21; trmtv;['www.trmtv.it']
22; CronacaQui;['www.cronacaqui.it']
23; Il Messaggero;['www.ilmessaggero.it', 'motori.ilmessaggero.it']
24; Blitz;['www.blitzquotidiano.it']
25; Meteo Web;['www.meteoweb.eu']
26; Campanianotizie;['www.campanianotizie.com']
27; Telegranducato di Toscana;['www.telegranducato.it']
28; Vesuvio Live;['www.vesuviolive.it']
29; Cronachedi;['cronachedi.it']
30; Il Meridiano News;['www.ilmeridianonews.it']
31; ViaggiNews;['www.viagginews.com']
32; L'Arno;['larno.ilgiornale.it']
33; SuperGuidaTv;['www.superguidatv.it']
34; DiariodelWeb;['www.diariodelweb.it']
35; TvSerial;['www.tvserial.it']
36; La Repubblica;['bari.repubblica.it', 'www.repubblica.it', 'bologna.repubblica.it', 'torino.repubblica.it', 'video.repubblica.it', 'milano.repubblica.it', 'palermo.repubblica.it', 'napoli.repubblica.it', 'roma.repubblica.it', 'rep.repubblica.it', 'genova.repubblica.it', 'parma.repubblica.it', 'firenze.repubblica.it']
37; La Nuova Riviera;['www.lanuovariviera.it']
38; LaPresse;['www.lapresse.it']
39; Investire Oggi;['www.investireoggi.it']
40; RaiNews24;['www.rainews.it']
41; Il Martino;['www.ilmartino.it']
42; Il Valore Italiano;['www.ilvaloreitaliano.it']
43; ComingSoon;['www.comingsoon.it']
44; Cronaca on line;['www.cronacaonline.it']
45; Stretto Web;['www.strettoweb.com']
46; Giornale di Sicilia;['gds.it']
47; CalcioWeb;['www.calcioweb.eu']
48; Il Monito;['www.ilmonito.it']
49; Controcopertina;['www.controcopertina.com']
50; La Stampa;['www.lastampa.it']
51; Liguria Notizie;['www.ligurianotizie.it']
52; VNews24;['vnews24.it']
53; Impronta Unika;['www.improntaunika.it']
54; Ultime Notizie Flash;['www.ultimenotizieflash.com']
55; NewNotizie;['www.newnotizie.it']
56; Lettera 43;['www.lettera43.it']
57; Art News;['www.art-news.it']
58; Vvox;['www.vvox.it']
59; KontroKultura;['www.kontrokultura.it']
60; Gossip e Tv;['www.gossipetv.com']
61; Tv Soap;['www.tvsoap.it']
62; Reset Italia;['feedproxy.google.com']
63; Kmetro0;['kmetro0.it']
64; Secolo d'Italia;['www.secoloditalia.it']
65; TG1 online;['www.rai.tv', 'www.rai.it']
66; Quotidianpost;['www.quotidianpost.it']
67; Ambiente Bio;['www.ambientebio.it']
68; Corriere della Sera;['www.corriere.it', 'corrieredelmezzogiorno.corriere.it', 'milano.corriere.it']
69; CalabriaPage;['www.calabriapage.it']
70; Il Crotonese;['www.ilcrotonese.it']
71; Vivicentro;['vivicentro.it']
72; Tecnoandroid;['www.tecnoandroid.it']
73; Marche Notizie;['www.anconanotizie.it', 'www.maceratanotizie.it', 'www.fermonotizie.info', 'www.ascolinotizie.it', 'www.marchenotizie.info', 'www.pesarourbinonotizie.it']
74; ASIpress;['www.asipress.it']
75; UBITENNIS;['www.ubitennis.com']
76; Cronache Cittadine;['www.cronachecittadine.it']
77; Il blog di dagata su intopic.it;['www.intopic.it']
78; Libero Quotidiano;['www.liberoquotidiano.it', 'tv.liberoquotidiano.it']
79; LaNostraTv;['feedproxy.google.com', 'www.lanostratv.it']
80; AgoraVox Italia;['feedproxy.google.com', 'www.agoravox.it']
81; GPone;['www.gpone.com']
82; Qelsi;['www.qelsi.it']
83; Notizie Oggi 24;['www.notizieoggi24.it']
84; Zetanews;['www.zetanews.it']
85; ilNapolista;['www.ilnapolista.it']
86; La Verità;['www.laverita.info']
87; Punto Informatico;['www.punto-informatico.it']
88; Sputnik Italia;['it.sputniknews.com']
89; Lega Nerd;['leganerd.com']
90; Teleborsa News;['www.teleborsa.it']
91; Corriere dello Sport;['www.corrieredellosport.it']
92; TM notizie;['www.tmnotizie.com']
93; GenteVip;['gentevip.it']
94; L'Opinionista;['www.lopinionista.it']
95; L'Eco del Chisone;['www.ecodelchisone.it']
96; Quotidianosanità;['www.quotidianosanita.it']
97; WebMagazine24;['www.webmagazine24.it']
98; Ferrovie dello stato;['www.rfi.it']
99; Fortebraccio;['fortebraccionews.wordpress.com']
100; Momento Italia;['www.momentoitalia.it']
101; Il Gazzettino Web;['www.ilgazzettino.it']
102; Very Inutil People;['feedproxy.google.com']
103; Cointelegraph;['it.cointelegraph.com']
104; Il Dubbio;['ildubbio.news', 'www.ildubbio.news']
105; Il Corriere Nazionale;['www.corrierenazionale.net']
106; La Gazzetta dello Sport;['www.gazzetta.it', 'www.juvenews.eu', 'video.gazzetta.it', 'www.itasportpress.it', 'running.gazzetta.it', 'www.ilposticipo.it']
107; Il Punto a Mezzogiorno;['www.ilpuntoamezzogiorno.it']
108; Il Secolo XIX;['www.ilsecoloxix.it']
109; Tgcom24;['www.tgcom24.mediaset.it']
110; Notizie Audaci;['www.notizieaudaci.it']
111; Lunanuvola;['lunanuvola.wordpress.com']
112; Virgilio Notizie;['notizie.virgilio.it']
113; Il Foglio;['www.ilfoglio.it']
114; Il Quotidiano del Lazio;['www.ilquotidianodellazio.it']
115; Agenzia di Stampa Italpress;['www.italpress.com']
116; Si24;['www.si24.it']
117; MarketMovers;['www.marketmovers.it']
118; Il Tempo;['www.iltempo.it', 'tv.iltempo.it']
119; ercolanochannel;['ercolanochannel.it']
120; NonSolo TV;['www.nonsolo.tv']
121; Mediterranews;['mediterranews.org']
122; Velvet Gossip;['velvetgossip.it']
123; antidiplomatico;['www.lantidiplomatico.it']
124; Libero reporter;['www.liberoreporter.it']
125; Play4movie;['play4movie.it']
126; Radio 105;['www.105.net']
127; Corretta Informazione;['www.correttainformazione.it']
128; Essere Informati;['www.essere-informati.it']
129; Gayburg;['www.gayburg.com']
130; Uomini e Donne News;['www.uominiedonnenews.it']
131; Gente d'Italia;['www.genteditalia.org']
132; butac;['www.butac.it']
133; Juventus News 24;['www.juventusnews24.com']
134; Sky Sport;['feedproxy.google.com']
135; Footballnews24;['footballnews24.it']
136; Termometro Politico;['www.termometropolitico.it']
137; Greenreport;['www.greenreport.it']
138; Buongiorno Slovacchia;['www.buongiornoslovacchia.sk']
139; L'Agenda News;['www.lagendanews.com']
140; Eccellenze Meridionali;['eccellenzemeridionali.it']
141; Identità Insorgenti;['www.identitainsorgenti.com']
142; iPhone Italia;['www.iphoneitalia.com']
143; Scienze Notizie;['www.scienzenotizie.it']
144; Movieplayer;['movieplayer.it']
145; Salute domani;['feedproxy.google.com']
146; Gay;['www.gay.it']
147; Proiezioni di Borsa;['www.proiezionidiborsa.it']
148; Corriere Quotidiano;['corrierequotidiano.it']
149; MedBunker;['www.medbunker.it']
150; Lezioni Europa;['www.lezionieuropa.it']
151; Articolo21;['www.articolo21.org']
152; City Milano;['citymilano.com']
153; Libero Tecnologia;['tecnologia.libero.it']
154; Gaming Today;['gamingtoday.it', 'www.rockpapershotgun.com', 'www.eurogamer.it']
155; Mirco Comparini;['mircocomparini.wordpress.com']
156; HDblog;['www.hdmotori.it', 'www.hdblog.it', 'www.hdtroll.it']
157; Analisi dei rischi informatici;['www.analisideirischinformatici.it']
158; MBenz;['mbenz.it']
159; Investireoggi;['www.investireoggi.it']
160; Calciomercato;['www.calciomercato.com']
161; Atlas;['www.atlasweb.it']
162; ForzAzzurri;['www.forzazzurri.net']
163; diregiovani;['www.diregiovani.it']
164; Silenzi e Falsità;['www.silenziefalsita.it']
165; Radiovaticana;['www.vaticannews.va']
166; Jobsnews;['www.jobsnews.it']
167; Arte Magazine;['www.artemagazine.it']
168; Tuttomercatoweb;['www.tuttomercatoweb.com']
169; Teleregionecolor;['www.teleregionecolor.com']
170; CorCom;['www.corrierecomunicazioni.it']
171; Il Delitto;['www.ildelitto.it']
172; Medicomunicare;['www.medicomunicare.it']
173; Cinquecolonne;['www.cinquecolonne.it']
174; Medicalive Magazine;['www.medicalive.it']
175; bocchescucite;['www.bocchescucite.org']
176; CameraLook;['www.cameralook.it']
177; InformaSalus;['www.informasalus.it']
178; Sonda Italia;['feedproxy.google.com']
179; ArtsLife;['www.artslife.com', 'artslife.com']
180; Laogai;['www.laogai.it']
181; SoloGossip;['www.sologossip.it']
182; HTML;['www.webnews.it']
183; RTM web;['www.rtmweb.it']
184; Help Consumatori;['www.helpconsumatori.it']
185; ZEUS News;['www.zeusnews.it']
186; Hardware Upgrade;['www.hwupgrade.it', 'gaming.hwupgrade.it', 'auto.hwupgrade.it']
187; Optima;['www.optimagazine.com']
188; ADUC;['www.aduc.it']
189; Panorama;['www.panorama.it']
190; Funweek;['www.funweek.it']
191; Osservatorio Malattie Rare;['www.osservatoriomalattierare.it']
192; Minformo;['www.minformo.com']
193; Ninja Marketing;['www.ninjamarketing.it']
194; L'Espresso;['espresso.repubblica.it']
195; NapoliTime;['www.napolitime.it']
196; Fronte del Blog;['www.frontedelblog.it']
197; Sentenze Cassazione;['feedproxy.google.com']
198; Inside Marketing;['www.insidemarketing.it']
199; FantaMaster;['www.fantamaster.it']
200; lavoce.info;['www.lavoce.info']
201; Isa e Chia;['www.isaechia.it']
202; T-Mag;['www.t-mag.it']
203; Denjin Den;['denjinden.com']
204; indebitati;['feedproxy.google.com']
