;title;content;date;author;tags;url;website-domain;region
0;Le imprese ci hanno messo la faccia, noi mettiamo #SULAMASCHERA;;2020-05-21;CNA Emilia Romagna;[];https://www.cnaemiliaromagna.it/le-imprese-ci-hanno-messo-la-faccia-noi-mettiamo-sulamaschera/;www.cnaemiliaromagna.it;['Emilia Romagna']
1;Cinema, si torna sul set ma c’è il nodo assicurazioni;;2020-05-20;CNA Emilia Romagna;['anica', 'covid 19', 'gianluca curti', 'mibact', 'minerva'];https://www.cnaemiliaromagna.it/cinema-si-torna-sul-set-ma-ce-il-nodo-assicurazioni/;www.cnaemiliaromagna.it;['Emilia Romagna']
2;Dall’economia circolare una spinta per il dopo-emergenza;;2020-05-20;CNA Emilia Romagna;['albo gestori ambientali', 'codice ambientale', 'ministero dellambiente', 'raee', 'sistri'];https://www.cnaemiliaromagna.it/dalleconomia-circolare-una-spinta-per-il-dopo-emergenza/;www.cnaemiliaromagna.it;['Emilia Romagna']
3;“Adesso è il momento di sbloccare il Paese”;;2020-05-20;CNA Emilia Romagna;['decreto rilancio', 'qn', 'semplificazione', 'sergio silvestrini'];https://www.cnaemiliaromagna.it/adesso-e-il-momento-di-sbloccare-il-paese/;www.cnaemiliaromagna.it;['Emilia Romagna']
4;Troppa confusione sulla sanificazione;;2020-05-19;CNA Emilia Romagna;['coronavirus', 'credito dimposta', 'decreto curaitalia', 'ministero della salute', 'sanificazione'];https://www.cnaemiliaromagna.it/troppa-confusione-sulla-sanificazione/;www.cnaemiliaromagna.it;['Emilia Romagna']
5;Artigiani e imprenditori soddisfatti per la riapertura;;2020-05-18;CNA Emilia Romagna;[];https://www.cnaemiliaromagna.it/artigiani-e-imprenditori-soddisfatti-per-la-riapertura/;www.cnaemiliaromagna.it;['Emilia Romagna']
6;Crisi delle imprese di trasporto persone: integrazione con il Trasporto Pubblico Locale una prima risposta per riprendere un segmento di attività lavorativa;;2020-05-18;CNA Emilia Romagna;['proposta', 'tpl', 'trasporto pubblico'];https://www.cnaemiliaromagna.it/crisi-delle-imprese-di-trasporto-persone-integrazione-con-il-trasporto-pubblico-locale-una-prima-risposta-per-riprendere-un-segmento-di-attivita-lavorativa/;www.cnaemiliaromagna.it;['Emilia Romagna']
7;Le imprese dell’Emilia-Romagna tra il lockdown e l’attesa di una vera ripartenza;;2020-05-15;CNA Emilia Romagna;['coronavirus', 'dario costantini', 'fabio bezzi', 'fase 2', 'riapertura', 'ripartenza'];https://www.cnaemiliaromagna.it/le-imprese-dell-emilia-romagna-tra-il-lockdown-e-lattesa-di-una-vera-ripartenza/;www.cnaemiliaromagna.it;['Emilia Romagna']
8;Gli acconciatori sono allo stremo: occorre riaprire subito (o non riapriranno più);;2020-05-11;CNA Emilia Romagna;['acconciatori', 'morgan visioli'];https://www.cnaemiliaromagna.it/gli-acconciatori-sono-allo-stremo-occorre-riaprire-subito-o-non-riapriranno-piu/;www.cnaemiliaromagna.it;['Emilia Romagna']
9;L’impatto del lockdown: ricavi in caduta libera per le imprese della regione;;2020-05-11;CNA Emilia Romagna;[];https://www.cnaemiliaromagna.it/l-impatto-del-lockdown-ricavi-in-caduta-libera-per-le-imprese-della-regione/;www.cnaemiliaromagna.it;['Emilia Romagna']
10;Silvestrini: “Un piano straordinario per salvare il turismo”;;2020-05-11;CNA Emilia Romagna;['coronavirus', 'sergio silvestrini'];https://www.cnaemiliaromagna.it/silvestrini-un-piano-straordinario-per-salvare-il-turismo/;www.cnaemiliaromagna.it;['Emilia Romagna']
11;Vaccarino: “Favorire la mobilità all’estero di imprenditori e tecnici”;;2020-05-11;CNA Emilia Romagna;['accordi internazionali', 'coronavirus', 'daniele vaccarino'];https://www.cnaemiliaromagna.it/vaccarino-favorire-la-mobilita-allestero-di-imprenditori-e-tecnici/;www.cnaemiliaromagna.it;['Emilia Romagna']
12;Autotrasporto, i temi caldi per le imprese;;2020-05-11;CNA Emilia Romagna;['autotrasporto', 'paola de micheli', 'patrizio ricci'];https://www.cnaemiliaromagna.it/autotrasporto-i-temi-caldi-per-le-imprese/;www.cnaemiliaromagna.it;['Emilia Romagna']
13;Contributi a fondo perduto alle micro imprese: Governo mantenga impegni;;2020-05-9;CNA Emilia Romagna;['coronavirus', 'irap', 'palazzo chigi'];https://www.cnaemiliaromagna.it/contributi-a-fondo-perduto-alle-micro-imprese-governo-mantenga-impegni/;www.cnaemiliaromagna.it;['Emilia Romagna']
14;Bando Impresa Sicura Invitalia: apertura lunedì 11 maggio;;2020-05-8;CNA Emilia Romagna;['dpi', 'invitalia', 'rimborso'];https://www.cnaemiliaromagna.it/bando-impresa-sicura-invitalia-apertura-lunedi-11-maggio/;www.cnaemiliaromagna.it;['Emilia Romagna']
15;Urgente la ripresa delle attività nei centri di revisione veicoli;;2020-05-8;CNA Emilia Romagna;['centri di revisione', 'coronavirus'];https://www.cnaemiliaromagna.it/urgente-la-ripresa-delle-attivita-nei-centri-di-revisione-veicoli/;www.cnaemiliaromagna.it;['Emilia Romagna']
16;Lettera agli associati pensionati: il passaggio alla fase 2;;2020-05-8;CNA Emilia Romagna;['coronavirus', 'supportiamoci'];https://www.cnaemiliaromagna.it/lettera-agli-associati-pensionati-il-passaggio-alla-fase-2/;www.cnaemiliaromagna.it;['Emilia Romagna']
17;Covid-19, l’imprenditore non è responsabile per il dipendente;;2020-05-7;CNA Emilia Romagna;['coronavirus', 'decreto curaitalia', 'direttibiva europea 12 giugno 1989'];https://www.cnaemiliaromagna.it/covid-19-limprenditore-non-e-responsabile-per-il-dipendente/;www.cnaemiliaromagna.it;['Emilia Romagna']
18;Nota del Presidente e del Direttore di CNA Emilia Romagna su interpretazione e chiarimenti DPCM 8 marzo 2020;;2020-03-8;CNA Emilia Romagna;['coronavirus', 'dario costantini', 'fabio bezzi'];https://www.cnaemiliaromagna.it/nota-del-presidente-e-del-direttore-di-cna-emilia-romagna-su-interpretazione-e-chiarimenti-dpcm-8-marzo-2020/;www.cnaemiliaromagna.it;['Emilia Romagna']
19;Firmato il decreto con le nuove misure restrittive: coinvolte cinque province dell’Emilia-Romagna;;2020-03-8;CNA Emilia Romagna;['coronavirus', 'giuseppe conte'];https://www.cnaemiliaromagna.it/firmato-il-decreto-con-le-nuove-misure-restrittive-coinvolte-cinque-province-dell-emilia-romagna/;www.cnaemiliaromagna.it;['Emilia Romagna']
20;Artigiancassa sostiene le imprese nell’emergenza con linee di credito ad hoc;;2020-03-6;CNA Emilia Romagna;[];https://www.cnaemiliaromagna.it/artigiancassa-sostiene-le-imprese-nellemergenza-con-linee-di-credito-ad-hoc/;www.cnaemiliaromagna.it;['Emilia Romagna']
21;8 marzo, giochiamo bene i nostri numeri;;2020-03-6;CNA Emilia Romagna;['8 marzo'];https://www.cnaemiliaromagna.it/8-marzo-giochiamo-bene-i-nostri-numeri/;www.cnaemiliaromagna.it;['Emilia Romagna']
22;Siglato in Emilia-Romagna il primo accordo regionale per l’utilizzo della cassa integrazione in deroga;;2020-03-6;CNA Emilia Romagna;['alessio mammi', 'coronavirus', 'elly schlein', 'stefano bonaccini', 'vincenzo colla'];https://www.cnaemiliaromagna.it/siglato-in-emilia-romagna-il-primo-accordo-regionale-per-lutilizzo-della-cassa-integrazione-in-deroga/;www.cnaemiliaromagna.it;['Emilia Romagna']
23;La ricetta degli artigiani per resistere all’emergenza sanitaria;;2020-03-6;CNA Emilia Romagna;['coronavirus', 'credito imposta', 'daniele vaccarino', 'gaetano pedulla', 'la notizia'];https://www.cnaemiliaromagna.it/la-ricetta-degli-artigiani-per-resistere-allemergenza-sanitaria/;www.cnaemiliaromagna.it;['Emilia Romagna']
24;Emergenza Coronavirus: le nostre proposte alla Regione;;2020-03-3;CNA Emilia Romagna;['coronavirus', 'dario costantini', 'fabio bezzi', 'stefano bonaccini'];https://www.cnaemiliaromagna.it/emergenza-coronavirus-le-nostre-proposte-alla-regione/;www.cnaemiliaromagna.it;['Emilia Romagna']
25;Effetti negativi sul 72% delle imprese, 6.327 risposte al questionario CNA;;2020-03-3;CNA Emilia Romagna;['coronavirus'];https://www.cnaemiliaromagna.it/effetti-negativi-sul-72-delle-imprese-6-327-risposte-al-questionario-cna/;www.cnaemiliaromagna.it;['Emilia Romagna']
26;Prestazione straordinaria “sospensione Covid19”;;2020-03-3;CNA Emilia Romagna;['coronavirus', 'covid19'];https://www.cnaemiliaromagna.it/prestazione-straordinaria-sospensione-covid19/;www.cnaemiliaromagna.it;['Emilia Romagna']
27;Bruxelles detta le linee guida per la libera circolazione delle merci;;2020-03-18;CNA Emilia Romagna;['commissione europea', 'coronavirus'];https://www.cnaemiliaromagna.it/bruxelles-detta-le-linee-guida-per-la-libera-circolazione-delle-merci/;www.cnaemiliaromagna.it;['Emilia Romagna']
28;CNA Pensionati Emilia-Romagna, vicino ai propri associati per affrontare l’isolamento;;2020-03-18;CNA Emilia Romagna;['coronavirus'];https://www.cnaemiliaromagna.it/cna-pensionati-emilia-romagna-vicino-ai-propri-associati-per-affrontare-lisolamento/;www.cnaemiliaromagna.it;['Emilia Romagna']
29;Un bando europeo per fronteggiare l’epidemia Covid-19;;2020-03-17;CNA Emilia Romagna;['coronavirus'];https://www.cnaemiliaromagna.it/un-bando-europeo-per-fronteggiare-lepidemia-covid-19/;www.cnaemiliaromagna.it;['Emilia Romagna']
30;La moda italiana a sostegno dell’emergenza mascherine;;2020-03-17;CNA Emilia Romagna;['cna federmoda', 'coronavirus'];https://www.cnaemiliaromagna.it/la-moda-italiana-a-sostegno-dellemergenza-mascherine/;www.cnaemiliaromagna.it;['Emilia Romagna']
31;Ricominciare, insieme.;;2020-03-16;CNA Emilia Romagna;['coronavirus'];https://www.cnaemiliaromagna.it/ricominciare-insieme/;www.cnaemiliaromagna.it;['Emilia Romagna']
32;Chiarimenti in merito alla proroga del termine del 16 marzo;;2020-03-14;CNA Emilia Romagna;['coronavirus'];https://www.cnaemiliaromagna.it/chiarimenti-in-merito-alla-proroga-del-termine-del-16-marzo/;www.cnaemiliaromagna.it;['Emilia Romagna']
33;Accordo per la sicurezza nei luoghi di lavoro, la salute prima di tutto;;2020-03-14;CNA Emilia Romagna;['coronavirus'];https://www.cnaemiliaromagna.it/accordo-per-la-sicurezza-nei-luoghi-di-lavoro-la-salute-prima-di-tutto/;www.cnaemiliaromagna.it;['Emilia Romagna']
34;La moda emiliano-romagnola è sostenibile?;;2020-03-14;CNA Emilia Romagna;['fashion valley', 'indagine', 'sostenibilita'];https://www.cnaemiliaromagna.it/la-moda-emiliano-romagnola-e-sostenibile/;www.cnaemiliaromagna.it;['Emilia Romagna']
35;Accolta la richiesta della CNA: prorogati termini versamenti fiscali 16 marzo;;2020-03-13;CNA Emilia Romagna;['coronavirus'];https://www.cnaemiliaromagna.it/accolta-la-richiesta-della-cna-prorogati-termini-versamenti-fiscali-16-marzo/;www.cnaemiliaromagna.it;['Emilia Romagna']
36;Parrucchieri ed estetisti al Governo: siamo allo stremo, dobbiamo riaprire subito o chiuderemo tutti;;2020-05-6;CNA Emilia Romagna;['coronavirus'];https://www.cnaemiliaromagna.it/parrucchieri-ed-estetisti-al-governo-siamo-allo-stremo-dobbiamo-riaprire-subito-o-chiuderemo-tutti/;www.cnaemiliaromagna.it;['Emilia Romagna']
37;Fotografi, la Fase 2 lascia gli obiettivi chiusi;;2020-05-6;CNA Emilia Romagna;['fotografi', 'mirco villa'];https://www.cnaemiliaromagna.it/fotografi-la-fase-2-lascia-gli-obiettivi-chiusi/;www.cnaemiliaromagna.it;['Emilia Romagna']
38;Vaccarino a Conte: credito, lavoro e fisco priorità per artigiani e piccole imprese;;2020-05-6;CNA Emilia Romagna;['daniele vaccarino', 'decreto maggio', 'giuseppe conte'];https://www.cnaemiliaromagna.it/vaccarino-a-conte-credito-lavoro-e-fisco-priorita-per-artigiani-e-piccole-imprese/;www.cnaemiliaromagna.it;['Emilia Romagna']
