;title;content;date;author;tags;url;website-domain;region
0;Ecco come chiedere i buoni spesa;;;Il Friuli;[];https://www.ilfriuli.it/articolo/cronaca/ecco-come-chiedere-i-buoni-spesa/2/217571;www.ilfriuli.it;['Friuli']
1;Sulla A23 esenzione del pedaggio per i sanitari in servizio Covid;;;Il Friuli;[];https://www.ilfriuli.it/articolo/cronaca/sulla-a23-esenzione-del-pedaggio-per-i-sanitari-in-servizio-covid/2/217549;www.ilfriuli.it;['Friuli']
2;A Gemona primo decesso da Coronavirus;;;Il Friuli;[];https://www.ilfriuli.it/articolo/cronaca/a-gemona-primo-decesso-da-coronavirus/2/217547;www.ilfriuli.it;['Friuli']
3;A Gorizia batte il cuore della solidarietà;;;Il Friuli;[];https://www.ilfriuli.it/articolo/cronaca/a-gorizia-batte-il-cuore-della-solidarieta/2/217544;www.ilfriuli.it;['Friuli']
4;Udine, cliente e titolare pizzicati nel ristorante;;;Il Friuli;[];https://www.ilfriuli.it/articolo/cronaca/udine-cliente-e-titolare-pizzicati-nel-ristorante/2/217538;www.ilfriuli.it;['Friuli']
5;Pordenone, va a fuoco la lavanderia di un'abitazione;;;Il Friuli;[];https://www.ilfriuli.it/articolo/cronaca/pordenone-va-a-fuoco-la-lavanderia-di-un-abitazione/2/217543;www.ilfriuli.it;['Friuli']
6;Incendio di sterpaglie a Leonacco di Tricesimo;;;Il Friuli;[];https://www.ilfriuli.it/articolo/cronaca/incendio-di-sterpaglie-a-leonacco-di-tricesimo/2/217532;www.ilfriuli.it;['Friuli']
7;Sequestrati 17mila litri di falso gel igienizzante;;;Il Friuli;[];https://www.ilfriuli.it/articolo/cronaca/sequestrati-17mila-litri-di-falso-gel-igienizzante/2/217497;www.ilfriuli.it;['Friuli']
8;Zoppola, terzo decesso nella casa di riposo;;;Il Friuli;[];https://www.ilfriuli.it/articolo/cronaca/zoppola-terzo-decesso-nella-casa-di-riposo/2/217496;www.ilfriuli.it;['Friuli']
9;Electrolux di Porcia, positivo uno dei dipendenti;;;Il Friuli;[];https://www.ilfriuli.it/articolo/cronaca/electrolux-di-porcia-positivo-uno-dei-dipendenti/2/217487;www.ilfriuli.it;['Friuli']
10;Forgaria in lutto, morto Mario De Franceschi;;;Il Friuli;[];https://www.ilfriuli.it/articolo/cronaca/forgaria-in-lutto-morto-mario-de-franceschi/2/217491;www.ilfriuli.it;['Friuli']
11;Acquista mascherine professionali online, veterinario truffato;;;Il Friuli;[];https://www.ilfriuli.it/articolo/cronaca/acquista-mascherine-professionali-online-veterinario-truffato/2/217489;www.ilfriuli.it;['Friuli']
12;Fermata per un controllo, rifiuta l'alcoltest;;;Il Friuli;[];https://www.ilfriuli.it/articolo/cronaca/fermata-per-un-controllo-rifiuta-l-alcoltest/2/217483;www.ilfriuli.it;['Friuli']
13;Lignano, due nuovi casi di Coronavirus;;;Il Friuli;[];https://www.ilfriuli.it/articolo/cronaca/lignano-due-nuovi-casi-di-coronavirus/2/217476;www.ilfriuli.it;['Friuli']
