;title;content;date;author;tags;url;website-domain;region
389;E' morto di covid Lorenzo Facibeni, vigile del fuoco di Forlì: i colleghi si erano mobilitati per...;"FORLì - E' morto ucciso dal coronavirus Lorenzo Facibeni, il vigile del fuoco di Predappio attorno al quale si erano stretti tutti i colleghi, era ricoverato da due mesi all'ospedale Bufalini di Cesena. Aveva 52 anni, lascia una moglie e le figlie.L'account Twitter del Corpo nazionale dei Vigili del fuoco gli ha reso omaggio postando una sua foto sorridente: ""Il collega Lorenzo Facibeni ci ha lasciato. Il suo fisico, provato dalla lunga lotta contro  il Covid-19, non ha retto. Si stringono al dolore della famiglia e dei colleghi di Forlì e Cesena il capo dipartimento Mulas, il capo del corpo Dattilo e i vigili del fuoco di tutta Italia"".Il collega Lorenzo Facibeni ci ha lasciato. Il suo fisico, provato dalla lunga lotta contro il #Covid_19, non ha retto. Si stringono al dolore della famiglia e dei colleghi di Forlì e Cesena il capo dipartimento Mulas, il capo del corpo Dattilo e i #vigilidelfuoco di tutta Italia pic.twitter.com/vs0h3EmWrk— Vigili del Fuoco (@emergenzavvf) May 9, 2020 	   		""La notizia desta profondo sgomento anche a Forlì. Abbiamo sperato fino all'ultimo - si legge nel messaggio di cordoglio inviato dal sindaco di Forlì, Gian Luca Zattini - che il vigile del fuoco in forza al corpo cittadino riuscisse a superare la prova durissima alla quale il coronavirus lo aveva costretto. Purtroppo la realtà ci porta invece a piangerne la scomparsa e a condividere il dolore dei familiari, dei colleghi, degli amici"". Cordoglio anche dal viceministro dell'Interno Matteo Mauri: ""Dobbiamo essere grati ai Vigili del Fuoco, per il loro impegno quotidiano in prima linea e senza mai tirarsi indietro di fronte a situazioni di pericolo"".Per Lorenzo si erano mobilitati i colleghi di Forlì, raccogliendo l'affetto e la vicinanza di tanti altri caschi rossi della regione. Per lui avevano realizzato un video di incoraggiamento, per lui avevano suonato le sirene sotto l'ospedale Bufalini. Un affetto che sicuramente ha raggiunto Facibeni e la sua famiglia, che ora ne piange la scomparsa.Il collega Lorenzo Facibeni ci ha lasciato. Il suo fisico, provato dalla lunga lotta contro il #Covid_19, non ha retto. Si stringono al dolore della famiglia e dei colleghi di Forlì e Cesena il capo dipartimento Mulas, il capo del corpo Dattilo e i #vigilidelfuoco di tutta Italia pic.twitter.com/vs0h3EmWrk";2020-05-9; La Repubblica;['Emilia-Romagna', 'Forlì', 'Video'];https://bologna.repubblica.it/cronaca/2020/05/09/news/vigile_del_fuoco_morto_covid-256155008/?rss;bologna.repubblica.it;['emilia_romagna']
2206;Ravenna, il cold case del carabiniere ucciso: dopo 33 anni tre persone rischiano processo per...;"RAVENNA - Un cold case. La morte di un giovane, figlio di famiglia benestante e militare di leva, sequestrato e poi gettato nel fiume. Una morte che da 33 anni aspetta giustizia e verità. E un passo avanti importante arriva oggi, a due anni dalla riapertura delle indagini. La Procura di Ravenna ha chiesto il rinvio a giudizio di tre persone per l'omicidio di Pier Paolo Minguzzi, il 21enne studente universitario, rampollo di una famiglia di imprenditori di Alfonsine, nel Ravennate, e carabiniere di leva alla caserma di Mesola, nel Ferrarese. Venne sequestrato a scopo di estorsione la notte del 21 aprile 1987 mentre rincasava, strangolato e gettato nel Po di Volano, incaprettato a una pesante grata sradicata da un casolare abbandonato di Vaccolino, sempre nel Ferrarese.Tre, secondo quanto riportato dalla stampa locale, sono i reati contestati in concorso: sequestro di persona, occultamento di cadavere e omicidio pluriaggravato. Sotto accusa, due ex carabinieri all'epoca in servizio alla caserma di Alfonsine: Orazio Tasca, 55enne originario di Gela (Caltanissetta) ma da tempo residente a Pavia; e Angelo Del Dotto, 57enne di Ascoli Piceno. E poi c'è l'idraulico del paese, il 64enne Alfredo Tarroni.L'udienza è stata fissata davanti al Gup di Ravenna per metà giugno. Il fascicolo, aperto inizialmente contro ignoti, era stato archiviato a metà anni '90. Ma a inizio 2018, i Pm Alessandro Mancini e Marilù Gattelli, anche in seguito a un esposto dei familiari del ragazzo, avevano sia riletto elementi già emersi all'epoca che valutato nuovi elementi probatori nati dalle verifiche della squadra mobile ravennate e dello Sco di Roma.";2020-05-13; La Repubblica;['Emilia-Romagna', 'Ravenna', 'Carabinieri'];https://bologna.repubblica.it/cronaca/2020/05/13/news/carabiniere_ucciso-256482031/?rss;bologna.repubblica.it;['emilia_romagna']
2930;"Tragedia a Carpi, padre uccide figlio disabile e si suicida. Il sindaco: ""Il suo centro diurno era...";"BOLOGNA. I corpi di un 37enne disabile e del padre di 69 anni sono stati ritrovati all'interno di una villetta di via Longhena a Carpi, in provincia di Modena.  Secondo le prime indiscrezioni, si tratterebbe di un omicidio-suicidio. Sarebbe stato il padre a soffocare il figlio con un sacchetto di plastica in testa, prima di togliersi la vita.La moglie dell'uomo, che era uscita per fare la spesa, ha trovato la porta di casa chiusa una volta tornata, dando l'allarme ai vigili del fuoco. Una volta riaperta la porta il rinvenimento che ha portato sul posto i carabinieri.""Quella che è accaduta stamattina a è una vicenda tragica, che sta scuotendo tutti i carpigiani, tutta la città: ovviamente anche il sottoscritto. Il mio primo pensiero va a quella donna, mamma e moglie, che si ritrova oggi in una condizione drammatica e incomprensibile. Faccio un appello a tutti a essere cauti nel giudizio, perchè non è il momento di precipitose frasi fatte e della ricerca per forza di un colpevole nella vicenda"". Così il sindaco di Carpi Alberto Bellelli  Come emerge da una prima verifica dei servizi sociali in comune, il ragazzo frequentava un centro diurno per disabili.""Come tutti i ragazzi che hanno vissuto in questi giorni la chiusura di quei centri diurni - continua il sindaco nel suo messaggio - lui e la sua famiglia sono stati raggiunti dalle telefonate che periodicamente facciamo per sapere qual è la situazione, se si riscontrano particolari difficoltà"".  Nell'ultima telefonata, risalente alla settimana scorsa, secondo le informazioni riportate dalla famiglia era tutto a posto, andava tutto bene: ""Non venivano rilevate cose particolari, anzi la famiglia - ripercorre Bellelli - chiedendo quando sarebbero potuti accedere al servizio del centro diurno, si preoccupava della salute del figlio dicendo che avrebbero preso la cosa con estrema cautela, data la fragile condizione sanitaria del ragazzo in un momento così delicato"".";2020-05-14; La Repubblica;['Carpi', 'Omicidi', 'Disabili'];https://bologna.repubblica.it/cronaca/2020/05/14/news/carpi_padre_uccide_figlio_disabile_e_si_suicida_il_sindaco_il_suo_centro_diurno_era_chiuso_ma_non_li_abbiamo_abbandonat-256622345/?rss;bologna.repubblica.it;['emilia_romagna']
2959;Romagna, travolto dal muro della ferrovia: muore operaio;CATTOLICA.- Un operaio di 55 anni, originario di Afragola nel Napoletano è morto schiacciato da tonnellate di detriti, mentre questa mattina lavorava al muro di contenimento in cemento armato delle Ferrovie dello Stato nel Comune di Cattolica.I vigili del fuoco hanno scavato per circa tre ore prima di arrivare al corpo, ma purtroppo non c'era più niente da fare, il recupero è avvenuto attorno alle 14.30. La linea ferroviaria è rimasta interrotta per permettere i soccorsi e i rilievi delle forze dell'ordine.L'allarme era scattato intorno alle 11.45 nel cantiere di via Mazzini. Secondo  una prima ricostruzione fatta dai carabinieri di Cattolica intervenuti sul luogo dell'infortunio sul lavoro, la terra sottostante il muro di cemento armato è franata provocando un crollo di detriti che ha poi travolto l'operaio. ;2020-05-14; La Repubblica;[];https://bologna.repubblica.it/cronaca/2020/05/14/news/romagna_travolto_dal_muro_della_ferrovia_muore_operaio-256625853/?rss;bologna.repubblica.it;['emilia_romagna']
6081;"Strage stazione di Bologna, l'ex moglie riconosce Bellini: ""Lui sul binario""";"BOLOGNA - ""Purtroppo è lui"". È la conferma, in un verbale visionato dall'Ansa, dell'ex moglie di Paolo Bellini, che lo ha riconosciuto nell'uomo riccio coi baffi, ripreso in un filmato amatoriale sul primo binario della stazione di Bologna la mattina del 2 agosto 1980. Bellini, ex Avanguardia Nazionale, è accusato di concorso in strage - la bomba ha causato 85 morti e duecento feriti - e per lui la procura generale ha da poco chiesto il rinvio a giudizio.""Ho visto in questo momento il video - aggiunge la donna - e posso dire che la persona ritratta nel fermo immagine immediatamente dopo la colonna è il mio ex marito"".Il fotogrammaPer la Procura generale di Bologna Paolo Bellini avrebbe avrebbe agito in concorso con Licio Gelli, Umberto Ortolani, Federico Umberto D'Amato e Mario Tedeschi, tutti deceduti e ritenuti mandanti, finanziatori o organizzatori dell'attentato. Richiesta di giudizio anche per Quintino Spella e Piergiorgio Segatel, per depistaggio, e Domenico Catracchia, per false informazioni al pm al fine di sviare le indagini.Nei fotogrammi prima della colonna - aggiunge Maurizia Bonini, interrogata il 12 novembre 2019 - non si riconosce bene perché il viso è alzato e girato da una parte"". Nell'interrogatorio si parla anche di una catenina e di un crocifisso: ""Paolo aveva una catenina che portava al collo con una medaglietta e un crocifisso, almeno così mi pare di ricordare"". E nel riconoscere l'ex marito nel video, la donna osserva: ""Attaccato alla catenina mi pare ci sia un crocifisso"".repSempre nell'audizione si fa riferimento al sequestro di due crocifissi fatti in indagine: ""Confermo che, a mio avviso, uno dei due crocifissi, poteva essere di Paolo in quanto non apparteneva alla mia famiglia. Quando Paolo se ne andò di casa, ovvero, credo, nel periodo in cui andò sotto protezione (perché collaboratore di giustizia, ndr) non portò con sé tutte le cose. Ricordo che si prese l'orologio e poco altro. Pertanto, quel crocifisso può essere appartenuto a lui"".In ulteriori dichiarazioni Bonini aggiunge un ulteriore elemento, con riferimento alla latitanza di Bellini: ""Quando Paolo rientrò dal Brasile con il nome falso di Da Silva Roberto, si era rifatto il naso, rendendolo più corto e si era tolto un neo sulla guancia sinistra. Se si confrontano le foto del prima e dopo Brasile si possono notare queste cose"".Raccontando di un episodio che l'aveva ""particolarmente colpita"", Maurizia Bonini ricorda ""un telegramma che Paolo mandò a Francesco Cossiga quando cessò l'incarico di presidente della Repubblica, nel quale Paolo gli disse: 'Sarai sempre il mio Presidente'"". Un altro fatto raccontato da Bonini riguarda invece un incontro casuale avvenuto a Reggio Emilia, città d'origine di Bellini, con l'ex procuratore Elio Bevilacqua: ""Paolo gli andò incontro e i due si abbracciarono. La cosa mi stupì e perciò chiesi, in seguito, a Paolo il perché di tanta confidenza. Paolo mi rispose che il dottor Bevilacqua aveva aperto un ufficio di consulenza come avvocato e mi precisò che era un massone"". Paolo era un massone? ""Non lo so"", risponde la donna agli inquirenti.L'ex moglie: ""Se era lì ci ha usati come alibi""""Se Paolo Bellini si trovava a Bologna devo dire che ci ha usati come alibi. Intendo me, e i miei familiari che sono stati interrogati"". Altra cosa messa a verbale Maurizia Bonini. L'alibi di Bellini, che già all'epoca ""destò sospetti di falsità"" secondo la Procura generale, è di essere partito quel giorno da Rimini di prima mattina per il Passo del Tonale con la famiglia. ""Per quello che mi hanno riferito mia madre tornò a Torre Pedrera (frazione di Rimini, ndr) in ritardo rispetto all'ora di pranzo"", dice la donna, riferendosi probabilmente al fatto che la madre l'aveva accompagnata all'appuntamento col marito. Sempre l'ex moglie spiega di aver saputo che il marito era a Bologna dalle indagini svolte all'epoca. E poi racconta: ""Ho saputo della strage in macchina, quando Paolo ha acceso la radio mentre ci stavamo recando al Tonale. Lui ha acceso la radio per sentire un po' di musica; questa fu l'intenzione che dichiarò quando accese l'apparecchio"".La foto inedita fatta poco dopo l'esplosioneAnsaUna foto che ritrae il piazzale della stazione di Bologna la mattina del 2 agosto 1980, poco dopo l'esplosione che causò 85 morti e 200 feriti. L'immagine inedita, a colori, è stata ritrovata dall'avvocato Andrea Speranzoni, difensore dell'associazione dei familiari delle vittime della Strage. Si vedono tra l'altro una donna che sembra allontanarsi andando incontro all'obiettivo, con una borsa sulla spalla destra e l'altra mano sulla tempia, un vigile urbano di spalle e altre persone in secondo piano, mentre sullo sfondo il fumo ha invaso l'ingresso della stazione e si è propagato all'esterno, fino ad arrivare più in alto del tetto.Il fotogrammaAnsa";2020-05-21; La Repubblica;['Emilia-Romagna', 'Bologna', 'Giustizia'];https://bologna.repubblica.it/cronaca/2020/05/21/news/strage_stazione_di_bologna_l_ex_moglie_riconosce_bellini_lui_sul_binario_-257255013/?rss;bologna.repubblica.it;['emilia_romagna']
6805;Modena, operaio muore travasando vino in una cisterna;MODENA - Incidente sul lavoro in una cantina di Savignano sul Panaro: un operaio di 46 anni, residente nel Bolognese, ha perso la vita mentre travasava vino in una cisterna: l'uomo avrebbe perso conoscenza ed è deceduto. Le cause sono tuttora in corso di accertamento.È stato inutile il tentativo di rianimazione a cura del personale del 118 giunto sul posto, che ha constatato poi la morte del 46enne. Sul posto sono intervenuti gli operatori della medicina del lavoro e i Carabinieri. La salma e' stata inviata alla medicina legale per l'autopsia.;2020-05-22; La Repubblica;['Emilia-Romagna', 'Modena'];https://bologna.repubblica.it/cronaca/2020/05/22/news/savignano_modena_cantina_incidente_sul_lavoro-257397120/?rss;bologna.repubblica.it;['emilia_romagna']
7408;Bologna, incidente sulla A13: un morto e 4 feriti;"BOLOGNA - Una persona è morta e quattro sono rimaste ferite in un incidente avvenuto intorno alle 19.30 sulla A13 fra Altedo e Bologna interporto in carreggiata sud, nel territorio di Bentivoglio, tratto che è stato chiuso per effettuare i soccorsi, e già riaperto. L'incidente ha visto coinvolte due auto: una si è ribaltata ed è finita fuori strada.Sanitari del 118 e vigili del fuoco hanno estratto i feriti dai due mezzi; le operazioni di soccorso si sono protratte per più di un'ora. Sul posto operativi il 118 con l'elisoccorso e 4 ambulanze e l'automedica. Presenti, inoltre, la Polstrada e il personale tecnico di Aspi. Al momento (alle 21.20) si viaggia su una sola corsia e si contano circa 2 km di coda. ";2020-05-23; La Repubblica;['Emilia-Romagna', 'Bologna'];https://bologna.repubblica.it/cronaca/2020/05/23/news/incidente_a13-257481245/?rss;bologna.repubblica.it;['emilia_romagna']
8689;Bologna, sfregia la moglie con un coltello rovente: arrestato;"BOLOGNA - Grave episodio di violenza domestica nel territorio di Bologna. Fermato dai carabinieri di Molinella un 27enne che durante una lite per gelosia ha sfregiato la moglie con la lama rovente di un coltello da cucina: è successo ieri mattina, quando la zia della donna ha chiamato il 112 preoccupata per le sorti della nipote che, raccontava, era stata picchiata dal marito.I carabinieri hanno rintracciato la vittima a casa della sorella, dove si era rifugiata subito dopo l’aggressione avvenuta tra domenica e lunedì mattina. La giovane, 25 anni, aveva ecchimosi e gravi ustioni sul viso e sul corpo; è stata trasportata d’urgenza in una struttura sanitaria, dove è stata medicata e ricoverata con una prognosi di sessanta giorni.Poco dopo i carabinieri hanno rintracciato il marito.  Considerato il pericolo di fuga dell'uomo, gravato da precedenti di polizia e socialmente pericoloso, il Sostituto Procuratore della Repubblica presso il Tribunale di Bologna, Michele Martorelli, ha firmato il decreto di fermo (maltrattamenti in famiglia e lesioni personali gravissime): l'uomo è ora in carcere.";2020-05-26; La Repubblica;['Emilia-Romagna', 'Bologna', 'Arresti'];https://bologna.repubblica.it/cronaca/2020/05/26/news/violenza_domestica-257645168/?rss;bologna.repubblica.it;['emilia_romagna']
11716;Bologna, è morta l'anziana picchiata e accoltellata dal figlio;BOLOGNA - Non ce l'ha fatta la signora di 86 anni picchiata e accoltellata dal figlio ieri pomeriggio nella sua casa in via Nullo, zona Savena, e trasportata al Maggiore in gravi condizioni: l'anziana, a causa della ferita all'addome, è morta nella notte.Si aggrava la posizione del figlio, un 60enne, che già ieri era stato arrestato per tentato omicidio e maltrattamenti in famiglia, oltre che per resistenza a pubblico ufficiale, e che adesso potrebbe rispondere di omicidio. Sulle cause del litigio che ha portato all'aggressione sono in corso accertamenti. L'uomo era ubriaco e all'arrivo degli agenti ha cercato di colpire anche loro, tanto che i poliziotti hanno dovuto usare lo spray urticante per bloccarlo. A chiamare la polizia erano stati i vicini, che già altre volte avevano sentito i due litigare.La Procura di Bologna ha richiesto la convalida dell'arresto di Giovanni Marzoli con l'accusa di avere accoltellato a morte la madre Cesarina Marzoli, conosciuta come Bianca.L'uomo risponde di omicidio e maltrattamenti in famiglia.A quanto si apprende, non si esclude che la stessa Procura possa chiedere per l'uomo una perizia psichiatrica. ;2020-02-17; La Repubblica;['Emilia-Romagna', 'Bologna'];https://bologna.repubblica.it/cronaca/2020/02/17/news/madre_accoltellata_figlio_morta-248787545/?rss;bologna.repubblica.it;['emilia_romagna']
11744;Cesena, inscenò funerale contro le unioni gay: lavori sociali al cimitero;"BOLOGNA - Dal funerale inscenato per le vie del centro storico di Cesena in occasione della seconda unione civile, alla ripulitura della camera mortuaria del cimitero di Diegaro. Arriva la messa alla prova per l'esponente di Forza Nuova che insieme ad altri militanti di estrema destra il 5 febbraio 2017 aveva sfilato con tanto di bara in spalla per le vie di Cesena inscenando il ""funerale d'Italia"".Il tribunale di Forlì ha dunque tramutato la pena in lavori socialmente utili, tra i quali la tinteggiatura di alcuni fabbricati del cimitero urbano di Diegaro. L'imputato, giovedì scorso 13 febbraio, affiancato dal personale del Comune, ha effettuato alcuni lavori di tinteggiatura sulle pareti esterne della camera mortuaria del cimitero di Diegaro e su altre strutture per la durata di sei ore. Come riferito dai tecnici del comune, il 57enne ha eseguito i lavori come da accordi.Si tratta, commenta il sindaco Enzo Lattuca, di una ""pena simbolica ma incisiva"". I fatti risalgono a qualche anno fa ""ma è giusto porre un freno a episodi poco rispettosi come questo. In quella occasione è stata violata la 'legge Mancino'"", senza dimenticare che ""in una città libera e democratica come Cesena, manifestazioni di questo tipo non saranno mai tollerate"". Il Comune nella corso della prossima udienza ritirerà la costituzione di parte civile. ";2020-02-17; La Repubblica;['Emilia-Romagna', 'Cesena', 'Gay/Lesbiche'];https://bologna.repubblica.it/cronaca/2020/02/17/news/cesena_insceno_funerale_contro_le_unioni_civili_lavori_sociali_al_cimitero-248799291/?rss;bologna.repubblica.it;['emilia_romagna']
