;title;content;date;author;tags;url;website-domain;region
1854;Decine di furti tra le Marche e lEmilia Romagna, coppia arrestata dai Carabinieri;Si è conclusa dopo 4 mesi di indagini l’operazione “On the road“, condotta dai Carabinieri di Osimo al fine di assicurare alla giustizia un 43enne e una 35enne di etnia rom, responsabili di decine di furti tra le Marche e l’Emilia Romagna.La coppia, originaria del Piemonte ma residente ormai in pianta stabile in provincia di Ancona, a partire dal dicembre del 2018 avrebbe commesso almeno 63 furti, prendendo di mira principalmente capanni agricoli e automobili lasciate temporaneamente in sosta, dalle cui erano soliti prelevare denaro, carte di credito e ogni sorta di oggetto di valore: in tali occasioni era sempre l’uomo a introdursi di soppiatto nelle vetture, mentre la sua complice fungeva invece da palo.Nelle Marche i colpi dei due malviventi hanno interessato perlopiù Osimo e Recanati, dove sono stati commessi rispettivamente 16 e 6 furti, sebbene ulteriori episodi si siano registrati anche a Senigallia, Poggio San Marcello, Agugliano, Serra San Quirico, Potenza Picena, Barbara, Castelfidardo, Camerata Picena, Loreto, Civitanova Marche, Montecosaro, Macerata, Montelupone, Cerreto d’Esi, Fano e Filottrano. I due ladri, rintracciati in provincia di Vercelli nella serata di lunedì 11 maggio, sono infine stati arrestati con l’accusa di furti aggravati in concorso e indebito utilizzo di carte di credito.;2020-05-12; Marche Notizie;['Marche', 'Emilia-Romagna', 'Arresti', 'Carabinieri', 'Inchieste-investigazioni-indagini', 'Osimo', 'Giustizia'];https://www.anconanotizie.it/50250/decine-di-furti-tra-le-marche-e-lemilia-romagna-coppia-arrestata-dai-carabinieri;www.anconanotizie.it;['marche']
2347;Scoperto il cadavere di un 64enne al largo del porto di Ancona;Il corpo senza vita di un 64enne di Falconara Marittima è stato rinvenuto nel tardo pomeriggio di martedì 12 maggio nelle acque antistanti il porto di Marina Dorica.Il cadavere è stato avvistato intorno alle ore 18.00 da una motovedetta della Guardia di Finanza, impegnata nel monitoraggio dell’area in questione. Inutile ogni tentativo di rianimazione compiuto nei confronti dell’uomo, già spirato da diverse ore.Il 64enne, residente a Palombina, si era recato a fare spesa in mattinata, facendo poi perdere le proprie tracce. Resta ancora da chiarire cosa abbia provocato il decesso dello sventurato, caduto in mare forse a causa di un malore o di una disattenzione fatale.;2020-05-13; Marche Notizie;['Marche', 'Ancona', 'Falconara Marittima'];https://www.anconanotizie.it/50260/scoperto-il-cadavere-di-un-64enne-al-largo-del-porto-di-ancona;www.anconanotizie.it;['marche']
4512;Controlli della Polizia di Stato ad Ancona, fioccano denunce e sanzioni;Con l’avvio della fase 2 dell’emergenza Coronavirus non si fermano i controlli della Polizia di Stato di Ancona, che nel fine settimana appena trascorso si è occupata di monitorare attentamente le strade del capoluogo.Intorno alle 19.30 di domenica 17 maggio, una volante si è imbattuta in una dozzina di persone che, parzialmente prive dei dispositivi di protezione individuale e a meno di un metro di distanza l’una dall’altra, stavano bevendo delle birre nei pressi della piazzetta di via Giordano Bruno.Tutti e dodici gli individui colti sul fatto sono stati sanzionati per non aver rispettato le misure di sicurezza anti-Coronavirus: uno di loro, un 23enne originario della provincia di Fermo, è stato inoltre deferito per essere stato trovato in possesso di 4 grammi di marijuana.Un paio d’ore più tardi, intorno alle 21.30, i poliziotti hanno invece provveduto a fermare un’automobile lungo l’Asse nord-sud. Al termine del controllo uno dei tre giovani trovati a bordo, un 22enne anconetano, è stato denunciato per porto abusivo di armi od oggetti atti a offendere, in quanto sorpreso con una mazza da baseball.;2020-05-18; Marche Notizie;['Polizia', 'Marche', 'Ancona', 'Sanzioni'];https://www.anconanotizie.it/50292/controlli-della-polizia-di-stato-ad-ancona-fioccano-denunce-e-sanzioni;www.anconanotizie.it;['marche']
5586;Maltempo, una decina gli interventi dei Vigili del Fuoco nellintera provincia di Ancona;L’ondata di maltempo che si è abbattuta sulle Marche nella notte tra martedì 19 e mercoledì 20 maggio ha richiesto numerosi interventi da parte dei Vigili del Fuoco dei vari distaccamenti regionali.Nella sola provincia di Ancona sono state una decina le chiamate di soccorso indirizzate ai pompieri, i quali si sono recati in diverse località per far fronte alla caduta di alberi, rami, comignoli e grondaie, nonché all’allagamento di alcuni locali interrati.All’incirca altre venti situazioni dello stesso tipo si sono verificate nella provincia di Fermo.Tra gli interventi in questione, i Vigili del Fuoco si sono occupati della rimozione dalla sede stradale di parte di un cedro, divelto da un fulmine nella notte ad Angeli di Rosora.;2020-05-20; Marche Notizie;['Maltempo', 'Vigili Del Fuoco', 'Marche', 'Ancona'];https://www.anconanotizie.it/50317/maltempo-una-decina-gli-interventi-dei-vigili-del-fuoco-nellintera-provincia-di-ancona;www.anconanotizie.it;['marche']
6675;Caporalato nei dintorni di Senigallia, un arresto e una denuncia;Lunghe indagini portate avanti per oltre un anno dalla Polizia di Stato di Senigallia hanno permesso di portare alla luce una vicenda di caporalato, per la quale un individuo di nazionalità pakistana è stato arrestato e un suo connazionale denunciato.Grazie alla collaborazione con l’Ispettorato Territoriale del Lavoro di Ancona, gli agenti sono stati in grado di ricostruire pienamente l’attività illecita portata avanti dai due uomini.Quest’ultimi, gestori di un’azienda situata nei dintorni di Senigallia, erano infatti soliti impiegare altri cittadini stranieri per effettuare lavori in ambito agricolo, mansioni per cui tali lavoratori erano retribuiti con una paga oraria inferiore ai 5 euro: parte del loro compenso era inoltre sottratta loro come corrispettivo per le spese (vitto, alloggio, trasporto) sostenute dai datori di lavoro. Come se ciò non bastasse, i braccianti lavoravano giornalmente un numero di ore ben maggiore rispetto a quanto riportato ufficialmente.Per evitare che i lavoratori abbandonassero il loro impiego, i due pakistani erano persino arrivati al punto di confiscare permessi di soggiorno e passaporti. Le maestranze sfruttate venivano quindi alloggiate presso uno stabile fatiscente di Senigallia, nel quale arrivano ad abitare fino a 30 persone contemporaneamente.Una volta ultimate le indagini, su indicazione del Gip del Tribunale di Ancona le forze dell’ordine hanno applicato una misura di custodia cautelare in carcere nei confronti di uno dei due cittadini pakistani, denunciando al contempo il suo complice: entrambi sono accusati di intermediazione illecita e sfruttamento del lavoro, nonché di alcuni episodi dove si sarebbero resi responsabili del favoreggiamento dell’immigrazione clandestina.;2020-05-22; Marche Notizie;['Marche', 'Senigallia', 'Arresti', 'Inchieste-investigazioni-indagini', 'Polizia'];https://www.anconanotizie.it/50335/caporalato-nei-dintorni-di-senigallia-un-arresto-e-una-denuncia;www.anconanotizie.it;['marche']
8076;Ripetute violenze sessuali ai danni di una minore, 50enne arrestato ad Ancona;Nel corso delle ultime ore la Polizia di Stato di Ancona ha applicato un provvedimento di custodia cautelare in carcere a carico di un 50enne residente nel capoluogo dorico.La misura restrittiva, richiesta dalla Procura della Repubblica, è seguita alla testimonianza rilasciata da una ragazzina di nemmeno 14 anni, la quale ha dichiarato di aver subito ripetutamente delle violenze sessuali da parte dell’uomo.Le forze dell’ordine si sono quindi recate presso l’abitazione del 50enne, peraltro già noto per condanne relative a vicende simili: i periti informatici della Polizia hanno passato al setaccio i suoi dispositivi elettronici, scoprendo numerosi contenuti pedopornografici. All’interno della casa sono inoltre stati rinvenuti diversi pugnali, una mazza da baseball metallica, un machete e alcuni manoscritti nei quali si sarebbe fatto riferimento agli abusi sessuali perpetrati sulla ragazza.L’uomo, accusato di violenza sessuale aggravata su minore, detenzione di materiale pedopornografico e porto abusivo di armi od oggetti atti a offendere, è stato infine condotto presso il carcere di Montacuto.;2020-05-25; Marche Notizie;['Arresti', 'Marche', 'Ancona', 'Polizia', 'Custodia Cautelare', 'Carceri', 'Giustizia'];https://www.anconanotizie.it/50360/ripetute-violenze-sessuali-ai-danni-di-una-minore-50enne-arrestato-ad-ancona;www.anconanotizie.it;['marche']
8641;Ancona, anziana soccorsa dalla Polizia dopo una caduta in casa;Nella notte tra lunedì 25 e martedì 26 maggio la Polizia di Stato di Ancona è intervenuta presso un condominio di via Torresi, dove diverse telefonate avevano segnalato la presenza di un’anziana bisognosa di aiuto.Intorno alle 4.30, alcuni residenti si sono infatti messi in contatto con il centralino del 113, dichiarando di udire chiaramente le richieste di soccorso di una 76enne alloggiata in un appartamento posto al terzo piano dello stabile.Nel giro di pochi minuti i poliziotti si sono portati sul posto, riuscendo quindi a sfondare la porta d’ingresso dell’abitazione per soccorrere l’anziana: quest’ultima, trovata distesa a terra in seguito a una caduta accidentale, è stata infine affidata alle cure del personale sanitario del 118. La donna, che ha ringraziato gli agenti per essere prontamente intervenuti, se la sarebbe cavata con alcune contusioni.;2020-05-26; Marche Notizie;['Marche', 'Ancona', 'Polizia'];https://www.anconanotizie.it/50370/ancona-anziana-soccorsa-dalla-polizia-dopo-una-caduta-in-casa;www.anconanotizie.it;['marche']
9673;Spaccio a domicilio ad Ancona e dintorni, in manette una 45enne di Osimo;Nella serata di mercoledì 27 maggio la Polizia di Stato di Ancona ha arrestato una 45enne di Osimo con l’accusa di detenzione di sostanze stupefacenti ai fini di spaccio.La vicenda ha avuto inizio intorno alle ore 21.00 in via Barilatti, dove una pattuglia si è imbattuta in quella che all’apparenza sembrava una coppia appartatasi in auto in un angolo appartato.Tuttavia i due, entrambi già noti alle forze dell’ordine a causa di diversi precedenti per droga, hanno destato l’attenzione dei poliziotti, i quali hanno dunque passato al setaccio l’intera vettura: in tal modo tra gli effetti personali della donna sono stati scoperti circa 10 grammi di cocaina e altri 5 tra hashish e marijuana. All’interno dell’automobile, appartenente alla 45enne osimana, sono inoltre state scoperte diverse siringhe monouso, del materiale utilizzato per il confezionamento degli stupefacenti e circa 900 euro in banconote di vari tagli.Grazie a numerosi messaggi rinvenuti nel telefono cellulare della donna, la Polizia ha potuto ricostruire come ella fosse dedita allo spaccio di varie sostanze stupefacenti ad Ancona e nei dintorni del capoluogo, attività portata avanti “a domicilio” nelle ore notturne.La 45enne, il cui arresto è stato convalidato nella mattinata di giovedì 28 maggio dal Tribunale di Ancona, è stata momentaneamente rimessa in libertà in attesa di giudizio.;2020-05-28; Marche Notizie;['Droga', 'Marche', 'Ancona', 'Osimo', 'Polizia', 'Arresti', 'Gianfranco Fini'];https://www.anconanotizie.it/50390/spaccio-a-domicilio-ad-ancona-e-dintorni-in-manette-una-45enne-di-osimo;www.anconanotizie.it;['marche']
9702;Controlli della Polfer presso la stazione di Ancona, arrestata una 23enne;Una 23enne di nazionalità tunisina è stata tratta in arresto dalla Polizia Ferroviaria di Ancona dopo essere stata trovata in possesso di un’ingente quantità di stupefacenti.La giovane, arrivata presso lo scalo dorico a bordo di un InterCity proveniente da Roma, è stata trovata priva di documenti in occasione di un controllo condotto dalle forze dell’ordine. Il suo stato d’agitazione ha spinto gli agenti ad effettuare una perquisizione nei suoi confronti, a seguito della quale dalla sua borsa sono saltati fuori tre panetti di hashish per un peso complessivo di 300 grammi.Fotosegnalata e identificata grazie alla collaborazione del personale della Polizia Scientifica, la 23enne ha visto confermato il proprio arresto da parte del Tribunale di Ancona, che ne ha inoltre disposto l’espulsione dal territorio italiano.;2020-05-28; Marche Notizie;['Marche', 'Ancona', 'Arresti', 'Polizia', 'Polizia Ferroviaria'];https://www.anconanotizie.it/50387/controlli-della-polfer-presso-la-stazione-di-ancona-arrestata-una-23enne;www.anconanotizie.it;['marche']
10153;Caporalato e frode ai danni dello Stato, denunciate diciannove persone;Al termine di lunghe e articolate indagini portate avanti per svariati mesi, la Guardia di Finanza di Ancona ha smascherato un’organizzazione operante in diversi cantieri navali italiani, tra cui quello situato presso il porto dorico.Diciannove le persone denunciate con una lunga serie di accuse, quali intermediazione illecita, sfruttamento del lavoro, truffa aggravata ai danni dell’Inps e altri reati in ambito fiscale. Nei confronti di tre di loro le Fiamme Gialle hanno inoltre disposto il sequestro preventivo di beni mobili e immobili per oltre 350.000 euro.Ad essere sfruttati erano alcune centinaia di lavoratori, molti dei quali di origine bengalese, i quali venivano costretti a fornire ai propri supervisori parte del proprio stipendio dietro la minaccia di perdere il posto di lavoro in caso contrario. Gli operai in questione, peraltro, erano impiegati senza essere adeguatamente ricompensati con le indennità spettanti loro di diritto.Parallelamente, il gruppo criminale in controllo di tali attività aveva trovato il modo di garantirsi entrate costanti da parte dell’erario statale, attraverso una serie di escamotages che avrebbero fruttato all’incirca 15 milioni di euro. Sedici le società coinvolte complessivamente e operanti in sei diverse regioni italiane, Marche inclusa.;2020-05-29; Marche Notizie;['Inchieste-investigazioni-indagini', 'Guardia di Finanza', 'Marche', 'Ancona'];https://www.anconanotizie.it/50419/caporalato-e-frode-ai-danni-dello-stato-denunciate-diciannove-persone;www.anconanotizie.it;['marche']
