;title;content;date;author;tags;url;website-domain;region
1855;Scoperto ad Acquasanta Terme il cadavere dell80enne scomparso;Si sono concluse tragicamente nella tarda mattinata di martedì 12 maggio le ricerche di Lucio Monti, scomparso nel nulla da diversi giorni dalla propria abitazione di Favalanciata, frazione del comune di Acquasanta Terme.Il corpo senza vita dell’80enne è stato infatti rinvenuto intorno alle 12.30 dal personale del Gruppo di Soccorso Alpino e Speleologico, che si è avvalso dell’impiego di apposite unità cinofile. Il cadavere è stato scoperto in un fossato situato a poca distanza da un appezzamento di terreno di proprietà dell’anziano, il quale era solito recarvisi quotidianamente.Non è ancora chiaro cosa abbia provocato il decesso dell’uomo, al cui salma sarà ora sottoposta agli accertamenti del caso prima di essere infine riconsegnata ai suoi familiari.;2020-05-12; Marche Notizie;[];https://www.ascolinotizie.it/34663/scoperto-ad-acquasanta-terme-il-cadavere-dell80enne-scomparso;www.ascolinotizie.it;['marche']
4995;Grottammare, latitante 21enne arrestato per traffico di sostanze stupefacenti;Un 21enne di origini albanesi, già condannato in Germania per una vicenda relativa al traffico di sostanze stupefacenti, è stato rintracciato e arrestato a Grottammare. Il giovane, residente a San Benedetto del Tronto, era entrato a far parte di un’organizzazione criminale operante in diversi Paesi europei, motivo per il quale la sentenza del tribunale tedesco ne aveva disposto un periodo di reclusione pari a 11 anni e 3 mesi.Resosi irreperibile, dapprima il 21enne è stato cercato dai Carabinieri presso la sua abitazione, venendo successivamente individuato nel centro di Grottammare: dopo un breve e infruttuoso tentativo di fuga, egli è stato infine condotto presso il carcere di Marino del Tronto.;2020-05-19; Marche Notizie;['Marche', 'Grottammare', 'Latitanti', 'Arresti', 'Droga', 'San Benedetto Del Tronto'];https://www.ascolinotizie.it/34714/grottammare-latitante-21enne-arrestato-per-traffico-di-sostanze-stupefacenti;www.ascolinotizie.it;['marche']
5588;Scappa dai Carabinieri da Grottammare a Ripatransone, arrestato automobilista di 47 anni;Un 47enne di Grottammare è stato tratto in arresto nella tarda serata di martedì 19 maggio al termine di un pericoloso inseguimento.Tutto ha avuto inizio intorno alle ore 23.00 sul lungomare di Grottammare, dove una pattuglia di Carabinieri stava compiendo dei controlli stradali di routine. Quando i militari hanno tentato di fermare il 47enne, tuttavia, quest’ultimo ha dapprima sterzato verso di loro come se volesse investirli, per poi allontanarsi a gran velocità.L’automobilista, braccato dai Carabinieri stessi, è stato successivamente bloccato nel territorio comunale di Ripatransone grazie a un posto di blocco istituito dalle forze dell’ordine lungo la Strada Provinciale “Valtesino”. Nei suoi confronti sono scattate le manette con l’accusa di resistenza a pubblico ufficiale.;2020-05-20; Marche Notizie;['Carabinieri', 'Marche', 'Grottammare', 'Ripatransone', 'Arresti'];https://www.ascolinotizie.it/34723/scappa-dai-carabinieri-da-grottammare-a-ripatransone-arrestato-automobilista-di-47-anni;www.ascolinotizie.it;['marche']
6750;Ripatransone, anziano di 84 anni muore schiacciato da una lastra di cemento;Un anziano di 84 anni è deceduto a Ripatransone nella giornata di giovedì 21 maggio dopo essere stato schiacciato da un lastrone di cemento.Nel pomeriggio l’uomo si era recato presso un proprio appezzamento di terreno situato in campagna per effettuare dei lavori: col passare delle ore i suoi familiari, preoccupati nel non vederlo rincasare, ne hanno quindi segnalato la scomparsa, dando il via alle ricerche.A trovare il corpo senza vita dell’anziano proprio nel terreno di sua proprietà sono stati i Vigili del Fuoco. I sanitari del 118 presenti sul posto non hanno potuto fare altro che constatare il decesso dell’84enne.;2020-05-22; Marche Notizie;['Ripatransone'];https://www.ascolinotizie.it/34738/ripatransone-anziano-di-84-anni-muore-schiacciato-da-una-lastra-di-cemento;www.ascolinotizie.it;['marche']
8642;Scontro tra due vetture ad Ascoli Piceno, ferita unautomobilista;Due automobili sono state coinvolte in un incidente stradale verificatosi nella mattinata di martedì 26 maggio ad Ascoli Piceno.L’impatto ha avuto luogo intorno alle ore 10.00 nei pressi di Porta Cappuccina, all’incrocio tra via Pergolesi e via Verdi. Ad avere la peggio è stata la donna al volante di uno dei due veicoli, rimasta temporaneamente incastrata tra le lamiere del proprio mezzo.L’automobilista è stata quindi soccorsa dai Vigili del Fuoco del distaccamento locale, i quali dopo averla estratta l’hanno affidata ai sanitari del 118 per le cure del caso: la ferita è stata quindi condotta per accertamenti presso l’ospedale “Mazzoni” di Ascoli, dov’è arrivata in condizioni stabili e non gravi.Presente sul posto anche il personale della Polizia Locale per i rilievi di rito.;2020-05-26; Marche Notizie;['Incidenti Stradali', 'Marche', 'Ascoli Piceno'];https://www.ascolinotizie.it/34775/scontro-tra-due-vetture-ad-ascoli-piceno-ferita-unautomobilista;www.ascolinotizie.it;['marche']
9724;Incidente stradale sul raccordo Ascoli-Mare, ferita una donna di 33 anni;Paura nella notte tra mercoledì 27 e giovedì 28 maggio per un’automobilista di 33 anni, protagonista di un incidente stradale lungo l’Ascoli-Mare.Intorno all’1.00 la donna si stava dirigendo verso la costa a bordo della propria vettura quando, all’altezza di Spinetoli, ha improvvisamente perso il controllo del mezzo, finendo così contro il guard-rail posto a lato della carreggiata.Sul posto si sono così precipitati i sanitari del 118, che dopo aver prestato alla ferita le prime cure del caso si sono dedicati al suo trasporto presso l’ospedale “Mazzoni” di Ascoli Piceno: la 33enne, non in pericolo di vita, avrebbe riportato però diversi traumi in varie parti del corpo.;2020-05-28; Marche Notizie;['Incidenti Stradali'];https://www.ascolinotizie.it/34802/incidente-stradale-sul-raccordo-ascoli-mare-ferita-una-donna-di-33-anni;www.ascolinotizie.it;['marche']
13448;Morte sul lavoro a San Benedetto, due gli indagati con laccusa di omicidio colposo;Nell’ambito dell’inchiesta sorta a seguito della morte sul lavoro del 65enne Paolo Guerino, la Procura della Repubblica di Ascoli Piceno sarebbe in procinto di iscrivere due persone al registro degli indagati. L’accusa a loro carico è di omicidio colposo.Entrambi i soggetti in questione sarebbero collegati alla ditta appaltatrice dei lavori che, nella mattinata di martedì 18 febbraio, hanno causato il decesso dell’operaio a San Benedetto del Tronto: nonostante fosse stato prontamente soccorso, Guerino era poi spirato poco dopo essere stato trasportato d’urgenza all’ospedale “Madonna del Soccorso”.Nel frattempo, i sopralluoghi effettuati dalle forze dell’ordine e dal personale dell’Asur avrebbero portato alla scoperta del mancato puntellamento del tratto dov’è avvenuto il crollo fatale, che sarebbe quindi potuto essere evitato seguendo le normali procedure di sicurezza.Nella giornata di giovedì 20 febbraio si è svolto inoltre l’esame autoptico nei confronti della salma del 65enne, il cui corpo sarà quindi riconsegnato alla famiglia.;2020-02-20; Marche Notizie;['Lavoro', 'Marche', 'Omicidi', 'Inchieste-investigazioni-indagini', 'Giustizia', 'Ascoli Piceno'];https://www.ascolinotizie.it/33817/morte-sul-lavoro-a-san-benedetto-due-gli-indagati-con-laccusa-di-omicidio-colposo;www.ascolinotizie.it;['marche']
13943;Incidente a seguito di un malore, automobilista 65enne muore ad Acquasanta Terme;Un uomo di 65 anni è rimasto ucciso nella mattinata di venerdì 21 febbraio in seguito a un incidente stradale avvenuto nella frazione di Fleno di Acquasanta Terme.La tragedia ha avuto luogo intorno alle 10.30. La vittima, Rosato Di Mattia, si trovava alla guida della propria automobile quando si è improvvisamente sentito male, perdendo il controllo della vettura e finendo contro un camion posteggiato a lato della carreggiata.Il 65enne è stato prontamente soccorso dai sanitari del 118, che avrebbero dovuto quindi affidarlo all’eliambulanza giunta nel frattempo per il trasporto d’urgenza all’ospedale regionale di Torrette di Ancona. Di Mattia, tuttavia, è deceduto prima di potervi essere condotto.L’esatta dinamica dell’accaduto è ora al vaglio dei Carabinieri del distaccamento locale.;2020-02-21; Marche Notizie;['Incidenti Stradali', 'Omicidi'];https://www.ascolinotizie.it/33823/incidente-a-seguito-di-un-malore-automobilista-65enne-muore-ad-acquasanta-terme;www.ascolinotizie.it;['marche']
15793;Esce di strada e finisce contro un albero, 38enne perde la vita a Ripatransone;Un uomo di 38 anni ha perso la vita nella notte tra martedì 25 e mercoledì 26 febbraio in seguito a un incidente stradale verificatosi nel territorio comunale di Ripatransone. Intorno alla mezzanotte Luigi Vagnoni si trovava al volante della propria Fiat Punto in contrada Fonte Abeceto quando, per cause non ancora del tutto chiarite, ha perso il controllo della vettura per poi finire contro un albero situato a lato della sede stradale.Inutile ogni tentativo di soccorso nei confronti del 38enne, che è purtroppo deceduto pochi minuti dopo l’arrivo sul posto del personale sanitario del 118. Sul posto anche i Carabinieri per ricostruire l’esatta dinamica di quanto accaduto.;2020-02-26; Marche Notizie;['Ripatransone', 'Incidenti Stradali'];https://www.ascolinotizie.it/33891/esce-di-strada-e-finisce-contro-un-albero-38enne-perde-la-vita-a-ripatransone;www.ascolinotizie.it;['marche']
19449;Incendio nella notte a Spinetoli, intervengono sul posto i Vigili del Fuoco;Momenti di apprensione a Spinetoli nella tarda serata di giovedì 5 marzo per via dell’incendio che ha interessato un condominio ubicato in via Palazzi.L’allarme è stato lanciato intorno alle ore 23.00 da alcuni residenti, spaventati dalla copiosa mole di fumo proveniente da uno dei garage situati alla base dell’edificio.Sul posto sono dunque accorsi i Vigili del Fuoco provenienti dal distaccamento di Ascoli Piceno, che al termine di due ore di sforzi hanno infine avuto la meglio sulle fiamme. La palazzina ha comunque riportato seri danni a seguito dell’accaduto, tanto da venire ritenuta inagibile: per i residenti è stata pertanto disposta l’evacuazione immediata.A scatenare l’incendio, che non ha fortunatamente provocato feriti o intossicati, sarebbe stato un guasto elettrico.;2020-03-6; Marche Notizie;['Incendi', 'Spinetoli', 'Vigili Del Fuoco'];https://www.ascolinotizie.it/33997/incendio-nella-notte-a-spinetoli-intervengono-sul-posto-i-vigili-del-fuoco;www.ascolinotizie.it;['marche']
