;title;content;date;author;tags;url;website-domain;region
1886;ORSO FINISCE IN GALLERIA, SCORTATO DALLA POLIZIA STRADALE;"  (ASIpress) - Castel di Sangro (L'Aquila) 12 mag. 2020  - 


Ieri sera il personale della Polizia Stradale di Sulmona, nel corso del pattugliamento a Castel di Sangro, si è imbattuto in un orso giovane che percorreva pericolosamente la galleria ""Fiore"" della superstrada SS17 che porta a Roccaraso. Gli agenti, dopo aver segnalato il pericolo agli automezzi in transito azionando i dispositivi di emergenza luminosi, ha scortato il cucciolo per tutta la lunghezza della galleria, circa 1 Km, che giunto all'aperto si è dileguato nel bosc. Si ritiene che l'orsacchiotto sia il figlio dell'orsa travolta mortalmente, da un'autovettura a poche centinaia di metri di distanza dall'ingresso della medesima galleria ""Fiore"", la sera del 24 dicembre. In quella circostanza il cucciolo riuscì a scampare all'impatto. E' infatti ricorrente che il cucciolo di orso ritorni sui luoghi in cui ha perso la madre, con la quale solitamente si accompagna in giovanissima età. Del fatto è stato informato il Parco nazionale d'Abruzzo, Lazio e Molise.





(ASIpress) Red - Cronaca Abruzzo - cod.44366 (12/05/2020 16:53:53)   ";2020-05-12; ASIpress;['Polizia Stradale', 'Polizia', 'Abruzzo', 'Sulmona'];https://www.asipress.it/notizia_dettaglio.asp?id=44366;www.asipress.it;['abruzzo']
2688;AI DOMICILIARI CONTINUA A SPACCIARE DROGA, DENUNCIATA;"  (ASIpress) - Alba Adriatica (Teramo) 14 mag. 2020  - 


Dopo una condanna per spaccio di stupefacenti era stata messa ai domiciliari per scontare la pena, ma non ha smesso la sua attività. Ieri mattina i carabinieri di Alba Adriatica, dopo attività di osservazione, hanno deciso di procedere alla perquisizione della casa trovandogli in un borsello circa 10 grammi di eroina. Nel frigorifero i militari hanno trovato degli appunti con riportate le somme che i tossicodipendenti dovevano alla donna. Al termine delle formalità B. A., 37 anni, è stata denunciata nuovamente per detenzione di droga ai fini dello spaccio.





(ASIpress) Red - Cronaca Abruzzo - cod.44384 (14/05/2020 12:21:58)   ";2020-05-14; ASIpress;['Droga', 'Carabinieri', 'Abruzzo'];https://www.asipress.it/notizia_dettaglio.asp?id=44384;www.asipress.it;['abruzzo']
2689;POLSTRADA ABRUZZO SALVA POIANA SULL'AUTOSTRADA A14;"  (ASIpress) - Vasto (Chieti) 14 mag. 2020  - 


Gli agenti della Polizia Stradale di Vasto Sud hanno salvato una poiana ferita ad un'ala che giaceva in corsia di sorpasso dell'autostrada A14 nei pressi dell'uscita di Val di Sangro. Gli agenti, al fine di mettere in salvo l'animale, ed impedire possibili ripercussioni per la circolazione stradale, dopo aver bloccato il traffico, si sono avvicinati con cautela al rapace che, visibilmente disorientato, continuava a spostarsi sulla carreggiata autostradale. Utilizzando la giacca della divisa sono riusciti a coprire l'animale per poi metterlo in sicurezza. Al termine è stato affidato al centro recupero fauna selvatica, per tutte le cure del caso.





(ASIpress) Red - Cronaca Abruzzo - cod.44385 (14/05/2020 12:28:57)   ";2020-05-14; ASIpress;['Polizia Stradale', 'Abruzzo', 'Polizia'];https://www.asipress.it/notizia_dettaglio.asp?id=44385;www.asipress.it;['abruzzo']
3598;DROGA: DENUNCIATA COPPIA CON FARMACI VIETATI;"  (ASIpress) - Pescara 16 mag. 2020  - 


Stanotte la Squadra Volante di Pescara, impegnata nel servizio di prevenzione e repressione dei reati, su segnalazione della sala operativa, ha proceduto al controllo di due persone che alla vista degli agenti mostravano segni di agitazione e atteggiamento sospetto. Identificati per P.M. italiana di anni 24 e M.L. italiano di anni 31, sono stati perquisiti e trovati in possesso di numerose confezioni di farmaci il cui principio attivo è inserito nella tabella degli stupefacenti. Inoltre erano in possesso di tre involucri in cellophane contenenti sostanza stupefacente, un bilancino di precisione e un timbro intestato alla Asl di Pescara con prescrizioni mediche in carta intestata. La perquisizione a casa della donna ha permesso di rinvenire diverse boccette di stupefacente inalante comunemente chiamato ""popper"". I due sono stati denunciati.





(ASIpress) Red - Cronaca Abruzzo - cod.44395 (16/05/2020 10:02:38)   ";2020-05-16; ASIpress;['Abruzzo', 'Pescara'];https://www.asipress.it/notizia_dettaglio.asp?id=44395;www.asipress.it;['abruzzo']
3986;DROGA: ARRESTATO PER SPACCIO 34ENNE ALBANESE;"  (ASIpress) - Bellante (Teramo) 17 mag. 2020  - 


La Squadra volante di Teramo ha arrestato per detenzione e spaccio di droga, su ordine del Gip del Tribunale di Teramo, S.L., 34 anni, pregiudicato, albanese. A seguito di indagini è stato accertato che concordava gli appuntamenti per la cessione tramite messaggi whatsapp ed era diventato un punto di riferimento per l'acquisto di cocaina, smercio che avveniva nella sua abitazione a Bellante. Tra l'agosto del 2019 ed il maggio del 2020 ha venduto ad un acquirente circa 20 grammi di cocaina al mese per circa 100 euro al grammo, per un totale di 180 grammi. Ad un secondo tossicodipendente, tra l'ottobre 2019  ed il maggio 2020, ha ceduto, in almeno 40 occasioni, singole dosi da un grammo di cocaina al prezzo di 80 euro al grammo, per un totale di 40 grammi di cocaina. Nel corso del servizio svolto dagli agenti il 7 maggio è stato accertato che l'albanese aveva ceduto al primo 3,8 grammi di cocaina al prezzo di 250 euro ed al secondo 0,3 grammi di cocaina al prezzo di 80 euro. Nella stessa circostanza è stato trovato in possesso di 1.100 euro ritenuti provento dell'attività di spaccio.





(ASIpress) Red - Cronaca Abruzzo - cod.44407 (17/05/2020 11:05:58)   ";2020-05-17; ASIpress;['Droga', 'Arresti', 'Abruzzo', 'Teramo', 'Giustizia', 'Tribunali', 'Pregiudicati', 'Inchieste-investigazioni-indagini'];https://www.asipress.it/notizia_dettaglio.asp?id=44407;www.asipress.it;['abruzzo']
4219;POLIZIA: SI INSEDIA A SULMONA IL DOTT. ANTONIO SCIALDONE;"  (ASIpress) - Sulmona (L'Aquila) 18 mag. 2020  - 


Oggi si è insediato a capo del Commissariato di Sulmona il nuovo dirigente dott. Antonio Scialdone. 37 anni, campano, entra in Polizia nel 2011 dopo la laurea in Giurisprudenza, frequentando il 102° Corso per Commissari della Polizia di Stato presso la Scuola Superiore di Polizia a Roma durante  il quale consegue  il Master di II livello in Scienze della Sicurezza. Al  termine del corso biennale, viene assegnato a Venezia al Compartimento Polizia Postale e delle Comunicazioni per il Veneto ove assume la funzione di Dirigente del II Settore operativo e di Responsabile delle attività̀ di polizia giudiziaria in materia di criminalità informatica. Nei due anni di permanenza alla Specialità, ha svolto importanti indagini sia in materia di cyber-terrorismo, anche a livello internazionale (in collaborazione con il CNAIPIC, Centro Nazionale Anticrimine Informatico per la Protezione delle Infrastrutture Critiche e con la DIGOS della Questura lagunare) sia in materia di pedopornografia on-line (in collaborazione con il C.N.C.P.O. Centro Nazionale Contro la Pedofilia Online). Dopo un ulteriore quanto intensa parentesi di lavoro svolto presso la Divisione Anticrimine della Questura di Venezia come Vice Dirigente, viene assegnato al Servizio per la Cooperazione Internazionale di Polizia al fine di frequentare a Pechino (Cina) il Corso di Formazione per Ufficiali di collegamento, organizzato in collaborazione con il Ministero della Pubblica Sicurezza Cinese. Durante il biennio di attività, frequenta corsi di lingua cinese, approfondendo l'ordinamento giuridico e di polizia della Repubblica Popolare asiatica. Diverse le esperienze formative in affiancamento ad ufficiali di polizia cinese durante le quali approfondisce la conoscenza della lingua cinese partecipando a convegni, in qualità di relatore, presiedendo la VIII sessione del Comitato Governativo Italia-Cina e la presentazione dei Pattugliamenti congiunti Italia-Cina. Rientrato a Roma, ricopre vari incarichi presso la Direzione Centrale della Polizia Criminale, Servizio per la Cooperazione Internazionale di Polizia tra cui Direttore della 1^ Sezione della 1^ Divisione, Direttore dell'Ufficio del Personale, dell'Ufficio Tecnico Logistico e dell'Ufficio Missioni del Servizio, Direttore pro-tempore della Sala Operativa Internazionale (SOI). Il Questore dell'Aquila ha espresso soddisfazione per l'arrivo del nuovo giovane Dirigente al quale ha rivolto il suo augurio: ""Sono certo che saprà ben interpretare il ruolo di Autorità locale di Pubblica Sicurezza nell'interesse dei cittadini e in sintonia con le altre istituzioni, mettendo a fattor comune il bagaglio di esperienze e conoscenze maturate anche nel mondo internazionale"".





(ASIpress) Red - Cronaca Abruzzo - cod.44412 (18/05/2020 09:23:11)   ";2020-05-18; ASIpress;['Polizia', 'Abruzzo', 'Sulmona'];https://www.asipress.it/notizia_dettaglio.asp?id=44412;www.asipress.it;['abruzzo']
4592;ANATOCISMO: TRIBUNALE SULMONA CONDANNA MONTE PASCHI SIENA;"  (ASIpress) - Sulmona (L'Aquila) 18 mag. 2020  - 


Il Tribunale di Sulmona, con sentenza a firma del Giuseppe Ferruccio, riconosce l'applicazione da parte del Monte Paschi Siena di interessi usurari ed interessi anatocistici e di conseguenza, a seguito della consulenza tecnica d'ufficio, dispone il ricalcolo del conto corrente, accertando una considerevole riduzione del debito a carico del correntista che nel frattempo, tra capitale, interessi ed interessi di mora era arrivato a 35.000 euro circa. La vicenda risale al 2010, quando i soci di una nota società di ristorazione di Pratola Peligna, si sono rivolti alla banca per avere un affidamento in conto corrente per la propria attività. Nel tempo i clienti si sono resi conto che, nonostante gli sforzi profusi per coprire il conto, in sostanza, il debito non diminuiva. Così nel 2018 i 4 soci titolari, non riuscendo più a far fronte alle pretese della banca, si sono rivolti a Vincenzo Mazza, esperto in materia bancaria e finanziaria di Assistenza Debiti, per una consulenza tecnica, il quale dopo un'opportuna analisi, ha consigliato i clienti sulla strada da intraprendere per vedere tutelati i propri diritti. Dopo i primi tentativi di giungere ad un accordo con la banca ma visto il rifiuto di quest'ultima a giungere ad una transazione, gli imprenditori sono stati costretti a rivolgersi al Tribunale di Sulmona per vedere tutelate le proprie ragioni e, sempre con l'assistenza di Vincenzo Mazza, in qualità di consulente tecnico di parte e dell'avv. Gianni Paris del foro di Avezzano, sono riusciti a dimostrare l'applicazione di interessi usurari ed interessi anatocistici sul loro conto corrente societario. Dopo qualche anno di causa, si è giunti alla recente sentenza con la quale ""Il Giudice , ha riconosciuto  il diritto dei clienti  di vedersi ridurre il 'presunto' debito di  quasi il 75%"", inclusi gli interessi di mora, con condanna della banca al pagamento di tutte le spese. ""Con questa pronuncia la Giurisprudenza ribadisce i principi sanciti dalla Legge 108/96 che non è una norma, di volta in volta, raggirabile  ma rappresenta un argine invalicabile per chiunque, in primis dalle banche e dagli operatori finanziari"", così ha dichiarato Vincenzo Mazza. Con la stessa sentenza, il giudice ha disposto la trasmissione degli atti al Pubblico Ministero presso la Procura della Repubblica di Sulmona per valutare eventuali aspetti penali della vicenda.





(ASIpress) Red - Cronaca Abruzzo - cod.44422 (18/05/2020 19:35:15)   ";2020-05-18; ASIpress;['Anatocismo', 'Giustizia', 'Tribunali', 'Abruzzo', 'Sulmona', 'Banca Monte dei Paschi di Siena', 'Toscana', 'Siena'];https://www.asipress.it/notizia_dettaglio.asp?id=44422;www.asipress.it;['toscana', 'abruzzo']
4777;CONTROLLI NEL SETTORE AUTO, SANZIONI E DENUNCE;"  (ASIpress) - Teramo 19 mag. 2020  - 


La Squadra di Polizia Giudiziaria della Sezione Polizia Stradale di Teramo tra gennaio e aprile ha rafforzata l'attività di controllo alle attività produttive del settore auto (concessionarie, agenzie pratiche auto, officine meccaniche, cazrrozzerie, autolavaggi), rilevando numerose violazioni in tema di inquinamento ambientale, gestione amministrativa, mancanza di titoli vari, mancanza o irregolarità di documenti sulla sicurezza dei lavoratori. Nel complesso sono state controllate 15 attività commerciali ed artigianali, accertate e contestate 9 violazioni amministrative. Nell'ambito dell'attività sono state individuate due carrozzerie ""fantasma"" i cui titolari svolgevano l'attività senza le necessarie autorizzazioni e, tra l'altro, risultavano sconosciuti al fisco: sono state sequestrate le attrezzature e i titolari sanzionati in virtù della legge sull'autoriparazione. Sempre nell'ambito dell'azione di controllo, sono stati denunciati due titolari di concessionarie ed un titolare di agenzia pratiche auto per falso, in ordine a fraudolenti attestazioni documentali nella compravendita di veicoli a motore. Negli ultimi giorni l'attenzione degli Agenti si è concentrata su un autolavaggio che è risultato privo di autorizzazione per lo scarico di acque reflue da lavorazioni industriali, nonché privo registri e tracciamento dei rifiuti prodotti nella stessa azienda. Al fine di determinare il tasso di inquinamento delle acque è stato richiesto anche l'intervento dell'Agenzia A.R.T.A. di Teramo. Il titolare è stato denunciato per inquinamento ambientale.





(ASIpress) Red - Cronaca Abruzzo - cod.44427 (19/05/2020 11:39:56)   ";2020-05-19; ASIpress;['Polizia Stradale', 'Polizia', 'Abruzzo', 'Teramo'];https://www.asipress.it/notizia_dettaglio.asp?id=44427;www.asipress.it;['abruzzo']
6448;CORONAVIRUS: UIL, CARCERE AVEZZANO E' COVID FREE;"  (ASIpress) - Avezzano (L'Aquila) 22 mag. 2020  - 


Da diversi giorni il mondo penitenziario abruzzese si ritrova, grazie anche al contributo della Uil oltre che della Cisl, al centro dell'attenzione per l'attivazione di un protocollo anticovid e che vede tutto il personale di Polizia Penitenziaria e sanitario sottoposto alle cure dei tamponi. La Casa Circondariale di Avezzano è la prima ad aver raggiunto l'obiettivo del processamento di tutti i test e quindi alla mappatura della situazione in ambito penitenziario. ""La notizia che ci è pervenuta è ottima nel senso che nessuna delle persone testate è risultato positivo"" dichiarano Franco Migliarini, Segretario Generale Uil PA Abruzzo e Mauro Nardella, segretario generale territoriale Uil PA Polizia Penitenziaria. I due concludono: ""Se a questo aggiungiamo il fatto che anche tra la popolazione detenuta non risultano casi positivi di covid-19 possiamo tranquillamente concludere che l'istituto di pena marsicano risulta essere covid free"".





(ASIpress) Red - Cronaca Abruzzo - cod.44457 (22/05/2020 10:13:37)   ";2020-05-22; ASIpress;['UIL', 'Sindacati', 'Carceri', 'Abruzzo', 'Avezzano', 'CISL'];https://www.asipress.it/notizia_dettaglio.asp?id=44457;www.asipress.it;['abruzzo']
7020;AGROALIMENTARE: CONTROLLI CARABINIERI IN ABRUZZO;"  (ASIpress) - L'Aquila 23 mag. 2020  - 


I Carabinieri del Comando Provinciale di L'Aquila, unitamente a quelli del Reparto Carabinieri Tutela Agroalimentare di Salerno e del Nucleo Ispettorato del lavoro di L'Aquila, hanno proceduto ad ispezionare numerose aziende agricole ubicate nel territorio provinciale. Un notevole contributo alle attività di verifica è stato offerto anche dai militari del  Gruppo Carabinieri Forestale di L'Aquila. Obiettivo dei controlli: accertamento della posizione lavorativa del personale utilizzato e regolarità delle assunzioni, contrasto al caporalato, controllo della filiera agroalimentare e verifica delle misure di contenimento adottate dagli imprenditori per impedire la diffusione epidemiologica da COVID-19 sui luoghi di lavoro. Sono state 47 le imprese finora controllate, con oltre 130 persone identificate. All'esito dei controlli sono emerse violazioni amministrative in materia di tracciabilità di prodotti caseari (quasi 6 quintali quelli sequestrati)  ed  il sequestro di oltre un quintale di salumi scaduti di validità. Sono 2 le sanzioni amministrative elevate in tema di violazione per la mancata ottemperanza alle disposizioni c.d. ""anticovid-19"", per l'assenza di materiale informativo (in merito alle norme da attuare per prevenire il contagio) e di igiene per le mani. Complessivamente sono state elevate sanzioni amministrative per oltre 12.000 euro. I controlli  proseguiranno anche nei prossimi giorni.





(ASIpress) Red - Cronaca Abruzzo - cod.44468 (23/05/2020 11:08:04)   ";2020-05-23; ASIpress;"['Carabinieri', 'Abruzzo', ""L'Aquila"", 'Campania', 'Salerno', 'Lavoro']";https://www.asipress.it/notizia_dettaglio.asp?id=44468;www.asipress.it;['abruzzo', 'campania']
