;title;content;date;author;tags;url;website-domain;region
79;Incidente sulla rotonda, insegnante in bicicletta investita da un'auto muore in ospedale;"
UDINE - È morta oggi 8 maggio in ospedale dove era ricoverata da mercoledì scorso, 6 maggio, Mariangela Simonetta Di Bert, l'anziana ciclista di settantanove anni che nel pomeriggio di due giorni fa, poco prima delle ore 17,  era stata vittima di un incidente stradale in piazzale Dreossi nella zona di Godia, a Udine. Insegnante in pensione, Mariangela Simonetta Di Bert stava viaggiando sulla sua bicicletta quando giunta all'altezza dell' intersezione con la strada che collega a Povoletto, si è scontratata con un'autovettura di marca Peugeot modello 307 guidata da un uomo (I.L.I.. le iniziali di nome e cognome) di 44 anni, di Tricesimo. Sul posto era intervenuto il personale medico del 118 e una pattuglia della polizia locale di Udine e la donna, le cui condizioni erano subito apparse gravi, era stata ricoverata in terapia intensiva all'ospedale a Udine, dove putroppo non è riuscita a sopravvivere.  Per chiarire la dinamica dell'incidente, la polizia locale ha anche richiesto a eventuali testimoni che avessero assistito all'episodio di contattare il comando di polizia municipale di Udine. Mariangela Simonetta Di Bert  abitava in via Tomadini a Udine. Insegnante in pensione, aveva lavorato nelle scuole di Campoformido, Tolmezzo e Udine.

© RIPRODUZIONE RISERVATA ";2020-05-8; Il Gazzettino Web;['Friuli-Venezia Giulia', 'Udine'];https://www.ilgazzettino.it/nordest/udine/incidete_anziana_investita_muore_udine-5216034.html;www.ilgazzettino.it;['trentino', 'veneto', 'friuli']
80;Motociclista contro autocarro, muore travolto da un'auto che sopraggiunge;"
VERONA - Un motociclista ventisettenne è morto in un incidente stradale avvenuto oggi a Monteforte d'Alpone, sulla provinciale 17. Il giovane alla guida di una moto Bmw si è scontrato con un autocarro che procedeva in senso opposto di marcia e stava voltando a sinistra. Il centauro è stato sbalzato al suolo dall'impatto violento, finendo nell'altra corsia, dove è stato travolto da un'auto guidata da una donna. Il giovane è morto sul colpo. Per i rilievi sono intervenuti i Carabinieri di Monteforte d'Alpone e di Colognola ai Colli.

© RIPRODUZIONE RISERVATA ";2020-05-8; Il Gazzettino Web;['Veneto', 'Verona', 'BMW'];https://www.ilgazzettino.it/nordest/verona/motociclista_morto_scontro_autocarro_monteforte-5216197.html;www.ilgazzettino.it;['trentino', 'veneto', 'friuli']
81;Tubi di gomma dell'ossiacetilenico si incendiano all'improvviso, rogo nell'officina;"
ARZIGNANO - Fiamme in un'officina di Arzignano. Poco dopo le 14:30, i vigili del fuoco sono intervenuti in via Novara  in un’officina per l’incendio dei tubi in gomma di un gruppo ossiacetilenico. La squadra arrivata nel capannone in pochi minuiti ha subito spento l’incendio e chiuso le valvole delle bombole, iniziando il raffreddamento delle stesse. Operazioni di raffreddamento, che sono state monitorare attraverso una termocamera. Le bombole sono state poi poste all’esterno in zona sicura.  Le operazioni di soccorso dei vigili del fuoco sono terminate dopo circa un’ora con il ripristino della sicurezza nell’officina. Ultimo aggiornamento: 9 Maggio, 08:59

© RIPRODUZIONE RISERVATA ";2020-05-8; Il Gazzettino Web;['Incendi', 'Veneto', 'Arzignano', 'Vigili Del Fuoco', 'Piemonte', 'Novara'];https://www.ilgazzettino.it/nordest/vicenza_bassano/incendio_officina_vigili_del_fuoco_tubi_gomma_arzignano-5216301.html;www.ilgazzettino.it;['trentino', 'friuli', 'veneto', 'piemonte']
82;Auto in fiamme, la conducente esce appena in tempo e si salva;"
TRIESTE - I Vigili del fuoco sono intervenuti in Via dei Giardini per un incendio di un'autovettura. La conducente accortasi dell'incendio del mezzo è scesa immediatamente attivando i soccorsi. Le cause sono in fase di accertamento.

© RIPRODUZIONE RISERVATA ";2020-05-8; Il Gazzettino Web;['Friuli-Venezia Giulia', 'Trieste', 'Incendi'];https://www.ilgazzettino.it/nordest/trieste/auto_fiamme_la_conducente_esce_appena_tempo_si_salva-5215955.html;www.ilgazzettino.it;['trentino', 'veneto', 'friuli']
83;Folla in strada, Crisanti indignato: «È un delitto abbiamo lavorato giorno e notte»;"
PADOVA - «Padova è un esempio di virtù civili, però purtroppo in televisione hanno fatto vedere altre città dove si vede gente affollata senza mascherine. Io voglio dire a queste persone che noi abbiamo lavorato giorno e notte per arrivare a questo punto, e che è veramente un delitto sprecare il lavoro fatto». Lo ha detto Andrea Crisanti, direttore del laboratorio di Virologia e microbiologia di Padova, oggi a margine dell'incontro con il presidente del Senato, Elisabetta Casellati. «Sono indignato, non preoccupato - ha aggiunto Crisanti - Queste persone non possono sprecare tutto lo sforzo che è stato fatto, perché poi è difficile convincere queste persone a rifare lo stesso lavoro sulla base di un comportamento negligente».

Milano, folla ai Navigli diventa un caso. Spiegamento di forze anti furbi
 

 


Ultimo aggiornamento: 9 Maggio, 09:28

© RIPRODUZIONE RISERVATA ";2020-05-8; Il Gazzettino Web;['Veneto', 'Padova'];https://www.ilgazzettino.it/nordest/padova/crisanti_indignato_affollamenti_in_strada-5215956.html;www.ilgazzettino.it;['trentino', 'veneto', 'friuli']
84;Terremoto nelle colline del Prosecco, epicentro Pianezze. È la seconda scossa in sette mesi: cresce...;"
VALDOBBIADENE - Una scossa di terremoto di magnitudo 2,4, misurata dall'Istituto nazionale di geofisica e vulcanologia, è stata registrata nella zona di Valdobbiadene questa sera, venerdì 8 maggio, alle 20.39, epicentro Pianezze.

La scossa, percepita distintamente dalla popolazione dell'intera vallata ha destato molto allarme, come confermano anche le telefonate ricevute al Gazzettino. Ma non sarebbero stati registrati danni, come affermato anche dal sindaco di Segusino Gloria Paulon.

Tra la popolazione resta, comunque, la preoccupazione. Questa infatti è la seconda scossa di terremoto registrata mella zona in soli sette mesi. L’ultima scossa nella zona era stata registrata lo scorso 9 ottobre nel territorio del bellunese tra Quero e Vas, dall'altra parte della montagna. Una scossa di magnitudo 2,6 che seppur di lieve entità, era stata avvertita distintamente anche nella zona della Marca, soprattutto a Valdobbiadene e a Segusino.   Ultimo aggiornamento: 9 Maggio, 14:17

© RIPRODUZIONE RISERVATA ";2020-05-8; Il Gazzettino Web;['Terremoti', 'Valdobbiadene', 'Istituto Nazionale Di Geofisica E Vulcanologia'];https://www.ilgazzettino.it/nordest/treviso/terremoto_valdobbiadene_epicentro_pianezze-5216357.html;www.ilgazzettino.it;['trentino', 'veneto', 'friuli']
120;I poliziotti guariti dal coronavirus sono pronti a donare il plasma;"
«Siamo a disposizione» così hanno risposto i poliziotti della questura di Belluno, guariti da coronavirus, all’ipotesi di donare il loro plasma a chi ancora lotta contro il virus. Una pagina di grande generosità quella che hanno intenzione di scrivere i poliziotti di Belluno che hanno già comunicato la loro disponibilità all’Usl 1 Dolomiti. Le strutture, come tutte le altre del Veneto, stanno già lavorando alla costruzione di una banca del plasma. Una cura che attende di passare da sperimentazione a protocollo ma sulla quale la macchina sanitaria sta indirizzando gli sforzi. Nell’attesa che l’utilizzo diventi uno standard, infatti, le Usl venete non vogliono farsi trovare impreparate ed è per questo che la disponibilità dei poliziotti bellunesi assume un grande significato. La polizia bellunese, in questi mesi, è stata messa a dura prova dal Covid. Una ventina, tra poliziotti e dirigenti, sono risultati positivi ai tamponi. Per quasi tutti ora l’incubo è alle spalle e, dopo aver superato la malattia e terminato la quarantena, hanno potuto fare ritorno al loro posto di lavoro. Fortunatamente nessuno avrebbe avuto la necessità di ricorrere al ricovero ma per molti di loro i sintomi sono stati estremamente debilitanti. Superata la malattia, per tutti, è stato poi necessario sottoporsi nuovamente a tampone per accertare di non essere più contagiosi. Proprio ieri c’è stato anche il ritorno sotto i riflettori, quello in questura risale alla scorsa settimana, del questore Lilia Fredella. Un rientro che ha permesso alla città di tirare un sospiro di sollievo.
L’IDEA
Da qualche giorno la possibilità di usare il plasma nella lotta contro il Covid è diventata un’ipotesi concreta. Usare, insomma, la parte più “liquida” del sangue, composta da acqua, proteine, nutrienti, ormoni, ma soprattutto contenente una quota di anticorpi che si sono formati dopo la battaglia contro il virus. L’infusione del plasma dei guariti, nei malati convalescenti da coronavirus determinerebbe infatti un miglioramento delle loro condizioni. Un risultato che vanta già i riscontri delle prime settimane di sperimentazione nell’Azienda ospedaliera di Padova. Dove i pazienti sottoposti alla cura hanno registrato un miglioramento del loro quadro clinico. 
IL RUOLO DEI GUARITI
La Regione ha già avviato il reclutamento dei donatori e i primi a farsi avanti sono stati gli operatori sanitari. La categoria che più di tutte ha pagato dazio alla malattia in questi mesi di emergenza. Uno dei più grandi limiti della cura con il plasma, spiegano gli esperti, è dato dalla necessità di avere un numero adeguato di donatori. Ed è proprio in questo contesto che va inquadrata la generosità dei poliziotti bellunesi. La regione ha già annunciato l’intenzione di estendere la sperimentazione anche alle altre province e quindi presto anche a Belluno potrebbe essere avviato il protocollo. In attesa del vaccino l’unica possibilità per ridurre l’impatto del coronavirus è infatti data dall’affinamento delle cure. Circa 600 i millilitri di plasma che possono essere prelevati da un donatore, tre dosi da quattrocento quelle necessarie per il trattamento del paziente sintomatico.
L’OBIETTIVO
L’obiettivo dichiarato dal Veneto è quello di immagazzinare già da adesso fino a 3600 sacche ematiche per essere pronti nel momento in cui le trasfusioni, ricche di anticorpi neutralizzanti, passeranno dalla fase di sperimentazione allo standard di protocollo. E ad effettuare la richiesta di farsi avanti è stata la stessa Regione. Palazzo Balbi, sede della giunta regionale, ha scritto ai direttori generali di tutte le Ulss, affinché attivino i rispettivi centri trasfusionali, perché raccolgano in via prudenziale il plasma del maggiore numero possibile di persone che hanno sconfitto il Covid-19. 
DISPONIBILITÀ
Ciò che è certo è che non appena sarà possibile farlo, ci saranno le strutture in grado di ricevere il plasma, i poliziotti bellunesi saranno a disposizione per donare questa parte nobile del sangue che contiene gli anticorpi a chi ne avrà bisogno. Un gesto di generosità e sensibilità che porterebbe alla lotta al coronavirus un buon numero di persone che è già riuscito a superare la malattia. Un gesto che racchiude in sé l’intero concetto di comunità.  Ultimo aggiornamento: 15:54


© RIPRODUZIONE RISERVATA ";2020-05-9; Il Gazzettino Web;['Coronavirus', 'Veneto', 'Belluno'];https://www.ilgazzettino.it/nordest/belluno/coronavirus_poliziotti_guariti_pronti_a_donare_il_plasma-5216380.html;www.ilgazzettino.it;['trentino', 'veneto', 'friuli']
149;Vendeva anatre e polli surgelati senza etichetta, ambulante cinese nei guai;"
TOMBOLO- Tre sanzioni per un totale di 11 mila euro e il fermo del mezzo. Questo il risultato di un intervento della Polizia locale del Distretto PD1A, che si è svolto giovedì pomeriggio a Tombolo, coordinato dal vice commissario Gledis Sambugaro. Protagonista un cittadino di origini cinesi, residente in provincia di Treviso, F.C., 43 anni.
L’uomo è un commerciante ambulante di generi alimentari porta a porta. Giovedì pomeriggio a bordo del suo autocarro era intento ad effettuare delle vendite in alcune famiglie della zona. Gli agenti hanno deciso di fare una verifica. Non è la prima volta, considerati i numerosi operatori che, data la situazione emergenziale, giungono direttamente alle porte di casa dei clienti. In questo caso i prodotti offerti erano frutta e verdura. Generi alimentari che sono sempre stati disponibili nei negozi come pure anche nei mercati cittadini all’aperto. Del tutto lecita certo anche la vendita casa per casa ed F.C. ha esibito la regolare autorizzazione di ambulante. Come pure tutti i prodotti all’interno del mezzo riportavano le etichettature previste dalla legge. Ma gli uomini del Distretto non si sono accontentati di un rapido sguardo al carico. Ci hanno voluto mettere le mani, ossia, controllare precisamente quanto l’uomo trasportava e proponeva famiglia dopo famiglia. Ed è proprio qui che hanno trovato quello che nessuno di loro si sarebbe aspettato. 
OCCULTATI
Occultati accuratamente sotto ai vari contenitori con i prodotti ortofrutticoli, ecco spuntare una serie di sacchetti con, all’interno, pezzi di animali. E poi anche tre scatoloni, con il medesimo contenuto. Tutti questi prodotti erano conservati come surgelati, ma senza gli appositi dispositivi previsti per gli automezzi. Gli agenti hanno fatto intervenire i veterinari dell’azienda sanitaria. I controlli specifici hanno evidenziato il trasporto di 15 sacchetti con altrettante anatre macellate. Negli scatoloni c’erano invece decine di alette di pollo. Nessuno dei prodotti aveva l’etichettatura prevista dalla legge, nè c’erano documenti di trasporto che indicassero origine e destinazione dei prodotti. Nemmeno F.C. ha saputo fornire informazioni sulla loro origine. Molto probabile frutto di allevamento e macellazione clandestina.
Tutta la merce è stata sequestrata e verrà avviata alla distruzione. Quanto al verbale al verbale, per la mancanza di etichettatura e bollatura sanitaria è stata emessa una sanzione pari a 6 mila euro. Per il veicolo privo di attrezzatura per il trasporto di prodotti surgelati, la sanzione è stata di 3 mila euro mentre 2 mila gli euro che l’uomo dovrà pagare per mancata comunicazione all’azienda sanitaria della vendita di prodotti surgelati. La Polizia locale ha inoltre emesso un provvedimento di fermo e ritiro dell’autocarro. In totale quindi 11 mila euro.
   Ultimo aggiornamento: 09:02

";2020-05-9; Il Gazzettino Web;['Tombolo', 'Sanzioni', 'Polizia'];https://www.ilgazzettino.it/nordest/padova/ambulante_cinese_multa_anatre_surgelati_tombolo-5216356.html;www.ilgazzettino.it;['trentino', 'veneto', 'friuli']
286;Sparito Tiger, il cane eroe anti-ladri: indagano i carabinieri;"
SALGAREDA - È scomparso Tiger, il cane di razza American Staffordshire che lo scorso dicembre aveva messo in fuga i ladri da una pizzeria di Vazzola. Il suo proprietario, Maninder Singh, 29 anni, operaio, l’aveva affidato proprio a un pizzaiolo 21enne di origine albanese. Da settimane l’indiano sta cercando di riavere Tiger ma l’American Staffordshire, sembra essere sparito. Maninder Singh è disperato e non si capacita del perché il giovane non glielo renda. «Sta tirando fuori le scuse più varie – dice l’indiano – Prima ha detto che aveva mandato il cane da sua madre in Kosovo, poi invece che era diventato aggressivo e quindi l’aveva mandato al canile pubblico. Il mio timore più grande è che Tiger sia stato venduto a qualche organizzazione poco pulita».
LA VICENDA
Tutto inizia lo scorso settembre. L’indiano aveva acquistato Tiger quand’era un cucciolo di un paio di mesi. La bestiola cresce, fra i due c’è grande affetto. «È un cane impegnativo che richiede attenzione – spiega Maninder - In quel periodo ero molto preso con il lavoro. In più si erano aggiunti dei problemi familiari e dovevo tornare in India. Ho cercato una persona alla quale affidare Tiger. Ho messo un avviso sul web, si è fatto avanti questo ragazzo. Ci siamo incontrati, mi è parsa una persona affidabile. Gli accordi erano che il cane doveva restare con lui in Italia e, se le cose avessero funzionato, avremmo fatto un regolare passaggio di proprietà. Ogni due settimane io andavo a Vazzola, dove l’albanese lavora come pizzaiolo. Vedevo che Tiger era trattato bene, insomma le cose mi sembrano a posto. Sono partito tranquillo per l’India e mi sono trattenuto a lungo nel mio paese». Nel frattempo Tiger è diventato famoso. Con i suoi latrati aveva messo in fuga i ladri che si erano intrufolati nella pizzeria d’asporto dove lavora il 21enne.
LA DOCCIA FREDDA
Ad aprile il giovane indiano, rientrato a Salgareda, chiama il giovane chiedendo di rivedere Tiger. «Ha tirato fuori un sacco di scuse e di bugie. Dicendomi prima che l’aveva portato da sua mamma in Kosovo. Poi ha cambiato versione: il cane sarebbe diventato aggressivo e pertanto l’avrebbe affidato al canile». Maninder Singh chiama le guardie zoofile, che negano: Tiger al canile non l’hanno mai visto. «A questo punto – dice il proprietario di Tiger – sono andato dai carabinieri e ho sporto querela. Se Tiger è stato venduto, chi l’ha acquistato sappia che la vendita non è valida. Il mio timore è che possa esser stato venduto a chi organizza i combattimenti clandestini fra cani, quelli che usano i rottweiler, i dobermann per questo. Faccio un appello: se qualcuno ha visto il mio Tiger, contatti i carabinieri di Ponte di Piave». Tiger è regolarmente microchippato il che consente di risalire al suo proprietario.
 

© RIPRODUZIONE RISERVATA ";2020-05-9; Il Gazzettino Web;['Carabinieri', 'Salgareda', 'Vazzola'];https://www.ilgazzettino.it/nordest/treviso/salgareda_cane_tiger-5217533.html;www.ilgazzettino.it;['trentino', 'veneto', 'friuli']
287;"È morto Bepi Invaso, il popolare ""sciamano"" del mondo Moto Guzzi";"
SILEA  - Nella tribù dei guzzisti Bepi Invaso era lo sciamano. L’uomo giusto al quale rivolgersi per qualsiasi informazione sui mitici bicilindrici a “V” della casa di Mandello. Una sapienza enciclopedica del mondo Moto Guzzi, che  ha trasmesso per decenni ai clienti che varcavano la porta della sua concessionaria di Lanzago di Silea. Ieri mattina i pistoni del cuore di Giuseppe Invaso, 72 anni, hanno grippato. Bepi si è spento all’ospedale di Treviso dov’era ricoverato da giovedì mattina, quando i vigili del fuoco, allertati da amici e familiari, hanno sfondato la porta d’ingresso dell’appartamento di Silea in cui viveva da solo  e l’hanno trovato a terra, chissà da quanti giorni. Aveva accusato un malore e non era più riuscito ad alzarsi. «Era ancora cosciente quando lo hanno accompagnato al Ca’ Foncello - racconta un amico -. Ci eravamo sentiti un paio di settimane fa, doveva portarmi un pezzo di ricambio, ma né io né i suoi familiari riuscivano più a contattarlo. Abbiamo chiamato le forze dell’ordine e i pompieri che sono entrati dal terrazzino. Aveva diversi alcuni problemi di salute e, purtroppo, non è più riuscito a riprendersi».
QUARANT’ANNI DI PASSIONE
Il nome di Bepi Invaso è legato indissolubilmente a quello della Moto Guzzi. Da sempre. Negli anni Settanta  la sua officina di Silea e prima e quella di San Giuseppe poi, in via Noalese, era  il principale punto di riferimento dei guzzisti, quando ancora  la concessionaria ufficiale era gestita dalla famiglia del campione Omobono Tenni, cresciuto pure lui tra candele e pistoni in un’officina trevigiana. Ma fu negli anni Novanta, una volta arrivato a Lanzago, che il suo nome entrò a far parte della grande famiglia della casa di Mandello, diventando l’unico rivenditore ufficiale nella Marca. «Era un commerciante vecchio stampo, di quelli che trattano i clienti come amici e che con il tempo, legati dalle stesse passioni, diventavano tali - il ricordo di tutti -. La concessionaria l’aveva infine chiusa circa 3 anni fa, ma continuava a fornire, a tempo perso, alcuni pezzi di ricambio per le moto d’epoca, che solo da lui potevi ancora trovare». 
FEDELE ALLA GUZZI
Anche nei momenti in cui la Guzzi era in difficoltà, Invaso ha sempre creduto nel marchio, coltivando costantemente i rapporti con clienti privati e pubbliche amministrazioni: sue le Breva 750 tuttora in uso dalla polizia locale di Treviso. «Per noi è stato come un fratello maggiore - lo ricordano i fratelli Gabbin della moto officina di viale IV novembre -. Quando è tornato a Silea siamo diventati la sua officina di riferimento, affidandosi a noi per le manutenzioni e la gestione del post vendita. Con lui c’era uno scambio continuo di informazioni, di professionalità, che nel tempo è diventata una grande amicizia. Siamo costernati per la sua morte». Socio del motoclub “Rode 9” del circolo ospedaliero e socio fondatore del “Compagnia del Volano”, Invaso «è sempre stato un alfiere del marchio italiano - lo ricorda un caro amico, il dottor Fernando Giusto -. Una passione la sua che ha contagiato letteralmente migliaia di persone nella grande famiglia della Guzzi».  Ultimo aggiornamento: 09:24

© RIPRODUZIONE RISERVATA ";2020-05-9; Il Gazzettino Web;['Moto Guzzi', 'Silea'];https://www.ilgazzettino.it/nordest/treviso/morto_invaso_guzzi-5216245.html;www.ilgazzettino.it;['trentino', 'veneto', 'friuli']
