;title;content;date;author;tags;url;website-domain;region
5587;Violente grandinate nel Maceratese e nel Fermano, almeno 45 gli interventi dei Vigili del Fuoco;A partire dalle notte tra martedì 19 e mercoledì 20 maggio, i Vigili del Fuoco di stanza nelle province di Macerata e Fermo sono stati chiamati a un intenso lavoro in risposta al maltempo che ha flagellato l’area.Complessivamente sono stati almeno 45 gli interventi compiuti dai pompieri, 25 nel territorio provinciale di Macerata e 20 nel Fermano: alcuni di loro si sono protratti fino alle prime ore della mattinata.Nella maggior parte dei casi i Vigili del Fuoco hanno messo in sicurezza tetti e lucernari rimasti danneggiati dalle intense grandinate, aiutando inoltre alcuni automobilisti in difficoltà per via del fango e degli alberi abbattuti presenti in diverse strade.;2020-05-20; Marche Notizie;['Grandinata', 'Vigili Del Fuoco', 'Marche', 'Macerata', 'Lavoro', 'Maltempo'];https://www.maceratanotizie.it/42680/violente-grandinate-nel-maceratese-e-nel-fermano-almeno-45-gli-interventi-dei-vigili-del-fuoco;www.maceratanotizie.it;['marche']
6185;Porto Recanati, uomo ferito gravemente con delle forbici acuminate;Nella serata di mercoledì 20 maggio i Carabinieri dei distaccamenti di Porto Recanati e Civitanova Marche hanno rintracciato e denunciato un 40enne di Castelfidardo, il quale si sarebbe reso responsabile del ferimento di un suo amico.La vicenda ha avuto inizio proprio a Castelfidardo, da dove i due sono partiti in auto alla volta di Porto Recanati. Nel corso del tragitto, l’uomo al volante della vettura avrebbe colpito il passeggero con delle forbici secondo una dinamica tutt’ora al vaglio degli inquirenti: l’arnese in questione, assai acuminato, avrebbe in tal modo raggiunto il cuore dell’uomo, arrivando persino a perforargli la membrana del pericardio.Intorno alle 21.30, i due si trovavano all’esterno di una gelateria di Porto Recanati quando l’uomo ferito dalle forbici si è accasciato al suolo. Ipotizzando un malore improvviso, i sanitari del 118 lo hanno condotto inizialmente presso l’ospedale di Macerata, da dov’è però stato immediatamente trasferito all’ospedale regionale di Torrette di Ancona una volta appurate le sue reali condizioni di salute.Il ferito, soccorso in extremis, non sarebbe in pericolo di vita. Il suo amico, identificato grazie ad alcune testimonianze e alle riprese delle telecamere di sicurezza, è ora accusato di lesioni personali aggravate.;2020-05-21; Marche Notizie;['Marche', 'Recanati', 'Carabinieri', 'Civitanova Marche', 'Castelfidardo'];https://www.maceratanotizie.it/42691/porto-recanati-uomo-ferito-gravemente-con-delle-forbici-acuminate;www.maceratanotizie.it;['marche']
6749;Civitanova Marche, sequestrato un carico di 30.000 mascherine;Nei giorni scorsi la Guardia di Finanza di Civitanova Marche ha provveduto a porre sotto sequestro un carico consistente in circa 30.000 mascherine di protezione.Gli articoli in questione, provenienti dalla Bosnia Erzegovina, erano diretti a una ditta marchigiana, la quale avrebbe poi gestito la loro messa in vendita. Tutti i prodotti, tuttavia, erano privi di qualsiasi marchio di conformità che ne rendesse valida la commercializzazione nel territorio dell’Unione Europea, motivo per cui sono state sequestrate dagli uomini delle Fiamme Gialle.Tali dispositivi, nemmeno qualificabili come semplici mascherine chirurgiche, sono infine state consegnate alla Protezione Civile.;2020-05-22; Marche Notizie;['Marche', 'Civitanova Marche', 'Guardia di Finanza'];https://www.maceratanotizie.it/42699/civitanova-marche-sequestrato-un-carico-di-30-000-mascherine;www.maceratanotizie.it;['marche']
8118;62enne trovato privo di vita allinterno di unautomobile a Macerata;Tragica scoperta a Macerata nella mattinata di domenica 24 maggio: il cadavere di un uomo è stato infatti scoperto all’interno di un’automobile posteggiata in via Piave.L’uomo, un 62enne di Belforte del Chienti, è stato notato intorno alle 9.30 da alcuni passanti, i quali hanno immediatamente allertato i soccorsi.Sul posto si sono così precipitati Polizia, Polizia Locale e sanitari del 118, con quest’ultimi che non hanno potuto fare altro che constatare il decesso del 62enne, rimasto probabilmente vittima di un’overdose: all’interno della vettura sarebbero infatti state trovate diverse siringhe usate, nonché delle tracce di eroina. Si attendono ora i risultati dell’esame autoptico disposto sulla salma.;2020-05-25; Marche Notizie;['Marche', 'Macerata'];https://www.maceratanotizie.it/42720/62enne-trovato-privo-di-vita-allinterno-di-unautomobile-a-macerata;www.maceratanotizie.it;['marche']
9219;Ricatto a luci rosse ai danni di una giovane, in manette tre uomini;Nella tarda serata di lunedì 25 maggio i Carabinieri del comando di Macerata hanno tratto in arresto tre uomini di 33, 46 e 59 anni, per i quali l’accusa è di estorsione ai danni di una donna residente in provincia.Secondo quanto appurato dai militari nel corso delle indagini, la giovane sarebbe finita nel mirino di M.M., 33enne di San Severino Marche che l’avrebbe minacciata di divulgare delle sue presunte foto “compromettenti” qualora lei non gli avesse consegnato 5.000 euro.I tentativi di ricatto si sarebbero protratti per diverso tempo, finché la vittima del raggiro non si è infine recata dai Carabinieri raccontando tutto. D’accordo con le forze dell’ordine, ella ha quindi dato appuntamento al 33enne fingendo di acconsentire alla sua richiesta di denaro: invece di M.M., tuttavia, all’incontro si sono presentati il 46enne A.I. e il 59enne S.P., entrambi residenti in provincia di Fermo, i quali sono poi stati fermati dai militari nel giro di pochi minuti.Lo stesso M.M. è stato individuato nelle vicinanze del luogo dello scambio, venendo immediatamente arrestato assieme ai suoi due complici: per lui si sono aperte le porte del carcere anconetano di Montacuto, mentre per A.I. e S.P. sono invece scattati gli arresti domiciliari. La perquisizione informatica dei dispositivi elettronici in uso al 33enne ha invece portato alla scoperta di alcuni fotomontaggi riguardanti proprio la donna vittima del tentativo di estorsione.;2020-05-27; Marche Notizie;['Carabinieri', 'Marche', 'Macerata'];https://www.maceratanotizie.it/42737/ricatto-a-luci-rosse-ai-danni-di-una-giovane-in-manette-tre-uomini;www.maceratanotizie.it;['marche']
9723;Tre chilogrammi di marijuana nascosti in casa, 58enne arrestato a Corridonia;Nella giornata di mercoledì 27 maggio i Carabinieri di Corridonia hanno tratto in arresto un uomo di 58 anni, colto sul fatto mentre stava cedendo degli stupefacenti a un altro individuo.Nelle prime ore del pomeriggio, i militari stavano portando avanti un appostamento nei pressi di via Niccolai quando hanno assistito a uno scambio sospetto tra il 58enne, al volante di una Volkswagen Golf, e un giovane, che ha ricevuto un involucro in cambio di una banconota da 50 euro.Le forze dell’ordine sono immediatamente intervenute fermando i due uomini e rinvenendo 7,5 grammi di marijuana. Ulteriori controlli operati presso l’abitazione di Petriolo del 58enne hanno poi condotto alla scoperta di circa 3 chilogrammi della medesima sostanza illecita, nonché di tre piante di cannabis in fase di crescita.Il pusher è stato inevitabilmente arrestato con l’accusa di detenzione di stupefacenti ai fini di spaccio.;2020-05-28; Marche Notizie;['Droga', 'Arresti', 'Marche', 'Corridonia', 'Carabinieri'];https://www.maceratanotizie.it/42757/tre-chilogrammi-di-marijuana-nascosti-in-casa-58enne-arrestato-a-corridonia;www.maceratanotizie.it;['marche']
10154;Spaccio di eroina in un parco di Macerata, arrestato un giovane di 22 anni;Nella giornata di mercoledì 27 maggio i Carabinieri di Macerata hanno tratto in arresto un 22enne di nazionalità nigeriana, trovato in possesso di un ingente quantitativo di eroina.Il giovane, già conosciuto dalle forze dell’ordine per alcuni precedenti relativi al traffico di stupefacenti, è stato fermato nel corso dei controlli effettuati in tarda mattinata presso i giardini “Belvedere Sanzio”.Tra i rami di un albero situato nelle immediate vicinanze del 22enne i militari hanno rinvenuto un calzino, al cui interno sono stati scoperti circa 27 grammi di eroina già suddivisi in una quarantina di involucri.La sostanza illecita è stata immediatamente posta sotto sequestro, mentre per il pusher sono scattate le manette con l’accusa di detenzione di stupefacenti ai fini di spaccio.;2020-05-29; Marche Notizie;['Droga', 'Marche', 'Macerata', 'Arresti', 'Carabinieri'];https://www.maceratanotizie.it/42775/spaccio-di-eroina-in-un-parco-di-macerata-arrestato-un-giovane-di-22-anni;www.maceratanotizie.it;['marche']
16685;Porto Recanati, sequestrati 2.500 articoli di bigiotteria a un venditore ambulante;Nell’ambito dei controlli effettuati in occasione del mercato settimanale di Porto Recanati, il personale della Guardia di Finanza ha rinvenuto e posto sotto sequestro migliaia di articoli di bigiotteria.Gli accertamenti svolti dalle Fiamme Gialle nella giornata di giovedì 27 febbraio si sono concentrati nei confronti di un venditore ambulante di origine extracomunitaria, il quale è stato trovato in possesso di un campionario vastissimo di prodotti di vario genere.Dopo aver passato in rassegna la merce, i finanzieri hanno infine sequestrato ben 2.500 articoli privi di qualsiasi conformità alle norme vigenti e, pertanto, messe illecitamente in vendita da parte del commerciante. Quest’ultimo rischia ora una sanzione che, complessivamente, potrebbe superare i 20.000 euro.;2020-02-28; Marche Notizie;['Marche', 'Recanati', 'Guardia di Finanza'];https://www.maceratanotizie.it/41843/porto-recanati-sequestrati-2-500-articoli-di-bigiotteria-a-un-venditore-ambulante;www.maceratanotizie.it;['marche']
17708;Evasione fiscale da oltre mezzo milione di euro, denunciato imprenditore a Civitanova Marche;Le indagini condotte dalla Guardia di Finanza di Civitanova Marche hanno portato a una denuncia nei confronti di un imprenditore di 40 anni, responsabile del mancato versamento di tasse e imposte per un valore superiore al mezzo milione di euro.Al termine di un accertamento fiscale eseguito presso l’azienda intestata al soggetto in questione, operante nel settore dell’abbigliamento all’ingrosso, le Fiamme Gialle hanno infatti riscontrato la totale assenza dei libri contabili: dopo ulteriori controlli, atti ad appurare la rete di clienti e fornitori della ditta, le forze dell’ordine hanno quindi ricostruito l’entità dei mancati pagamenti.Considerata la somma complessiva mai versata, l’imprenditore è stato quindi denunciato per evasione fiscale. I finanzieri hanno inoltre provveduto a sequestrare beni mobili e immobili di pari valore: una villetta e un magazzino situati a Montelupone, un’automobile e due motocicli.;2020-03-2; Marche Notizie;['Evasione Fiscale', 'Fisco', 'Tasse', 'Marche', 'Civitanova Marche', 'Inchieste-investigazioni-indagini', 'Guardia di Finanza'];https://www.maceratanotizie.it/41865/evasione-fiscale-da-oltre-mezzo-milione-di-euro-denunciato-imprenditore-a-civitanova-marche;www.maceratanotizie.it;['marche']
22175;Controlli contro la diffusione del Coronavirus, pioggia di denunce in provincia di Macerata;Raffica di denunce nella provincia di Macerata nel corso della giornata di giovedì 12 marzo. Nell’ambito dei controlli effettuati per prevenire la diffusione del contagio da Covid-19, i Carabinieri si sono imbattuti in diversi soggetti responsabili della mancata osservanza delle disposizioni contenute nel decreto “Io resto a casa”.A Porto Potenza Picena, i militari si sono imbattuti in cinque individui che, incuranti del divieto di uscire dalle proprie abitazioni se non in casi di assoluto bisogno, sono stati sorpresi alle prese con le slot machines presso il bar di un distributore di carburante. Assieme a loro denunciato anche il titolare del locale, il quale non avrebbe dovuto permettere l’accensione delle suddette macchine.Denunciato anche il proprietario di una pizzeria situata ad Appignano, trovata ancora aperta alle 19.00 nonostante il divieto di chiusura al pubblico fissato tassativamente alle ore 18.00. Il 32enne in questione, al pari del titolare del bar trattato in precedenza, rischia ora la sospensione della propria attività.Altre denunce sono invece scattate nei confronti di persone controllate tra Civitanova Marche e Porto Recanati che, sebbene provenienti persino da località al di fuori dei confini provinciali, non hanno saputo fornire spiegazioni valide riguardo la loro presenza nel Maceratese. In alcuni casi, oltre al mancato rispetto delle norme vigenti che limitano gli spostamenti, essi sono stati denunciati per aver fornito false dichiarazioni alle forze dell’ordine.;2020-03-13; Marche Notizie;['Marche', 'Macerata', 'Carabinieri'];https://www.maceratanotizie.it/42026/controlli-contro-la-diffusione-del-coronavirus-pioggia-di-denunce-in-provincia-di-macerata;www.maceratanotizie.it;['marche']
